variable_name,units,value,uncertainty,
fuel_type,,,,
fuel_dimensions,cm,10x12x5,,
fuel_mc,%wb,25,3,
fuel_heating_value,kJ/kg_ar,18000,2,
fuel_source,,Pacific yurts,,
char_heating_value,kJ/kg,30000,,
boil_temp,degC,99.4,,
pot1_dry_mass,kg,1,0.01,
pot2_dry_mass,kg,1,0.01,
pot3_dry_mass,kg,1,0.01,
pot4_dry_mass,kg,1,0.01,
initial_air_temp,ºC,20,,
final_air_temp,ºC,30,,
initial_RH,%,50,,
final_RH,%,60,,
initial_pressure,hPa,980,,
final_pressure,hPa,1000,,
initial_wind_velocity,m/s,1,,
final_wind_velocity,m/s,0.5,,
initial_fuel_mass_hp,kg,1.7,0.3,
final_fuel_mass_hp,kg,0.4,0.2,
initial_char_mass_hp,kg,0.1,,
final_char_mass_hp,kg,0.1,,
initial_pot1_mass_hp,kg,6,,
initial_pot2_mass_hp,kg,6,,
initial_pot3_mass_hp,kg,6,,
initial_pot4_mass_hp,kg,6,,
final_pot1_mass_hp,kg,4.3,,
final_pot2_mass_hp,kg,4.3,,
final_pot3_mass_hp,kg,4.3,,
final_pot4_mass_hp,kg,4.3,,
initial_water_temp_pot1_hp,degC,20,,
initial_water_temp_pot2_hp,degC,20,,
initial_water_temp_pot3_hp,degC,20,,
initial_water_temp_pot4_hp,degC,20,,
final_water_temp_pot1_hp,degC,99.4,,
final_water_temp_pot2_hp,degC,99.4,,
final_water_temp_pot3_hp,degC,99.4,,
final_water_temp_pot4_hp,degC,99.4,,
max_water_temp_pot1_hp,degC,99.4,,
max_water_temp_pot2_hp,degC,99.4,,
max_water_temp_pot3_hp,degC,99.4,,
max_water_temp_pot4_hp,degC,99.4,,
start_time_hp,hh:mm:ss,10:15:12,,
end_time_hp,hh:mm:ss,10:45:00,,
boil_time_hp,hh:mm:ss,10:30:00,,
fire_start_material_hp,,paper,,
initial_fuel_mass_mp,kg,1.7,0.3,
final_fuel_mass_mp,kg,0.4,0.2,
initial_char_mass_mp,kg,0,,
final_char_mass_mp,kg,0.1,,
initial_pot1_mass_mp,kg,6,,
initial_pot2_mass_mp,kg,6,,
initial_pot3_mass_mp,kg,6,,
initial_pot4_mass_mp,kg,6,,
final_pot1_mass_mp,kg,4.3,,
final_pot2_mass_mp,kg,4.3,,
final_pot3_mass_mp,kg,4.3,,
final_pot4_mass_mp,kg,4.3,,
initial_water_temp_pot1_mp,degC,20,,
initial_water_temp_pot2_mp,degC,20,,
initial_water_temp_pot3_mp,degC,20,,
initial_water_temp_pot4_mp,degC,20,,
final_water_temp_pot1_mp,degC,99.4,,
final_water_temp_pot2_mp,degC,99.4,,
final_water_temp_pot3_mp,degC,99.4,,
final_water_temp_pot4_mp,degC,99.4,,
max_water_temp_pot1_mp,degC,99.4,,
max_water_temp_pot2_mp,degC,99.4,,
max_water_temp_pot3_mp,degC,99.4,,
max_water_temp_pot4_mp,degC,99.4,,
start_time_mp,hh:mm:ss,10:15:12,,
end_time_mp,hh:mm:ss,10:45:00,,
boil_time_mp,hh:mm:ss,10:30:00,,
fire_start_material_mp,,paper,,
initial_fuel_mass_lp,kg,1.7,0.3,
final_fuel_mass_lp,kg,0.4,0.2,
initial_char_mass_lp,kg,0,,
final_char_mass_lp,kg,0.1,,
initial_pot1_mass_lp,kg,6,,
initial_pot2_mass_lp,kg,6,,
initial_pot3_mass_lp,kg,6,,
initial_pot4_mass_lp,kg,6,,
final_pot1_mass_lp,kg,4.3,,
final_pot2_mass_lp,kg,4.3,,
final_pot3_mass_lp,kg,4.3,,
final_pot4_mass_lp,kg,4.3,,
initial_water_temp_pot1_lp,degC,20,,
initial_water_temp_pot2_lp,degC,20,,
initial_water_temp_pot3_lp,degC,20,,
initial_water_temp_pot4_lp,degC,20,,
final_water_temp_pot1_lp,degC,99.4,,
final_water_temp_pot2_lp,degC,99.4,,
final_water_temp_pot3_lp,degC,99.4,,
final_water_temp_pot4_lp,degC,99.4,,
max_water_temp_pot1_lp,degC,99.4,,
max_water_temp_pot2_lp,degC,99.4,,
max_water_temp_pot3_lp,degC,99.4,,
max_water_temp_pot4_lp,degC,99.4,,
start_time_lp,hh:mm:ss,10:15:12,,
end_time_lp,hh:mm:ss,10:45:00,,
boil_time_lp,hh:mm:ss,10:30:00,,
fire_start_material_lp,,paper,,
