variable_name,units,value,uncertainty
fuel_type,--,douglas fir sticks,
fuel_source,--,local forest,
fuel_dimensions,cmxcmxcm,2x3x20,
fuel_mc,%,18,
fuel_heating_value,kJ/kg,17500,
char_heating_value,kJ/kg,25000,
boil_temp,ºC,99.4,
pot1_dry_mass,kg,1.3,
pot2_dry_mass,kg,,
pot3_dry_mass,kg,,
pot4_dry_mass,kg,,
initial_air_temp,ºC,17,
initial_RH,%,65,
initial_pressure,hPa,986,
initial_wind_velocity,m/s,1,
start_time_hp,hh:mm:ss,16:20:00,
initial_fuel_mass_hp,kg,3542,
initial_water_temp_pot1_hp,ºC,14,
initial_water_temp_pot2_hp,ºC,,
initial_water_temp_pot3_hp,ºC,,
initial_water_temp_pot4_hp,ºC,,
initial_pot1_mass_hp,kg,6300,
initial_pot2_mass_hp,kg,,
initial_pot3_mass_hp,kg,,
initial_pot4_mass_hp,kg,,
initial_char_mass_hp,kg,0,
fire_start_material_hp,--,paper,
boil_time_hp,hh:mm:ss,17:05:00,
max_water_temp_pot1_hp,ºC,99.5,
max_water_temp_pot2_hp,ºC,,
max_water_temp_pot3_hp,ºC,,
max_water_temp_pot4_hp,ºC,,
final_air_temp,ºC,15,
final_RH,%,75,
final_pressure,hPa,990,
final_wind_velocity,m/s,0,
end_time_hp,hh:mm:ss,17:13:30,
final_fuel_mass_hp,kg,2173,
final_water_temp_pot1_hp,ºC,93.2,
final_water_temp_pot2_hp,ºC,,
final_water_temp_pot3_hp,ºC,,
final_water_temp_pot4_hp,ºC,,
final_pot1_mass_hp,kg,5900,
final_pot2_mass_hp,kg,,
final_pot3_mass_hp,kg,,
final_pot4_mass_hp,kg,,
final_char_mass_hp,kg,50,
start_time_mp,hh:mm:ss,17:18:00,
initial_fuel_mass_mp,kg,2173,
initial_water_temp_pot1_mp,ºC,15,
initial_water_temp_pot2_mp,ºC,,
initial_water_temp_pot3_mp,ºC,,
initial_water_temp_pot4_mp,ºC,,
initial_pot1_mass_mp,kg,6300,
initial_pot2_mass_mp,kg,,
initial_pot3_mass_mp,kg,,
initial_pot4_mass_mp,kg,,
initial_char_mass_mp,kg,0,
fire_start_material_mp,--,paper,
boil_time_mp,hh:mm:ss,,
max_water_temp_pot1_mp,ºC,98,
max_water_temp_pot2_mp,ºC,,
max_water_temp_pot3_mp,ºC,,
max_water_temp_pot4_mp,ºC,,
end_time_mp,hh:mm:ss,17:39:25,
final_fuel_mass_mp,kg,1324,
final_water_temp_pot1_mp,ºC,93,
final_water_temp_pot2_mp,ºC,,
final_water_temp_pot3_mp,ºC,,
final_water_temp_pot4_mp,ºC,,
final_pot1_mass_mp,kg,5950,
final_pot2_mass_mp,kg,,
final_pot3_mass_mp,kg,,
final_pot4_mass_mp,kg,,
final_char_mass_mp,kg,60,
start_time_lp,hh:mm:ss,17:45:00,
initial_fuel_mass_lp,kg,1324,
initial_water_temp_pot1_lp,ºC,16,
initial_water_temp_pot2_lp,ºC,,
initial_water_temp_pot3_lp,ºC,,
initial_water_temp_pot4_lp,ºC,,
initial_pot1_mass_lp,kg,6300,
initial_pot2_mass_lp,kg,,
initial_pot3_mass_lp,kg,,
initial_pot4_mass_lp,kg,,
initial_char_mass_lp,kg,0,
fire_start_material_lp,--,paper,
boil_time_lp,hh:mm:ss,,
max_water_temp_pot1_lp,ºC,93,
max_water_temp_pot2_lp,ºC,,
max_water_temp_pot3_lp,ºC,,
max_water_temp_pot4_lp,ºC,,
end_time_lp,hh:mm:ss,18:38:00,
final_fuel_mass_lp,kg,508,
final_water_temp_pot1_lp,ºC,92,
final_water_temp_pot2_lp,ºC,,
final_water_temp_pot3_lp,ºC,,
final_water_temp_pot4_lp,ºC,,
final_pot1_mass_lp,kg,6100,
final_pot2_mass_lp,kg,,
final_pot3_mass_lp,kg,,
final_pot4_mass_lp,kg,,
final_char_mass_lp,kg,70,
Hvap,kJ/kg,2261.035,0.1725000000000023
phase_time_hp,min,53.5,
time_to_boil_hp,min,45.0,
fuel_mass_hp,kg,1369.0,1.4142135623730951
fuel_dry_mass_hp,kg,1122.5800000000002,13.73902834992344
char_mass_hp,kg,50.0,1.4142135623730951
initial_water_mass_pot1_hp,kg,6298.7,1.004987562112089
final_water_mass_pot1_hp,kg,5898.7,1.004987562112089
useful_energy_delivered_pot1_hp,kJ,3155506.3929999997,26685.197929198323
initial_water_mass_pot2_hp,kg,0,
final_water_mass_pot2_hp,kg,0,
useful_energy_delivered_pot2_hp,kJ,0,
initial_water_mass_pot3_hp,kg,0,
final_water_mass_pot3_hp,kg,0,
useful_energy_delivered_pot3_hp,kJ,0,
initial_water_mass_pot4_hp,kg,0,
final_water_mass_pot4_hp,kg,0,
useful_energy_delivered_pot4_hp,kJ,0,
useful_energy_delivered_hp,kJ,3155506.3929999997,26685.197929198323
cooking_power_hp,kW,983.0237984423675,8.313145772335925
eff_wo_char_hp,%,13.171267423562558,0.11221605181396617
eff_w_char_hp,%,13.89631792579544,0.12045121368553863
char_energy_productivity_hp,%,5.217572785140353,0.1476740870948027
char_mass_productivity_hp,%,3.6523009495982466,0.10337154705169146
burn_rate_hp,g/min,25.588785046728972,0.026433898362113926
firepower_hp,kW,7073.98753894081,13.451223735350442
phase_time_mp,min,21.416666666666668,
time_to_boil_mp,min,NaN,
fuel_mass_mp,kg,849.0,1.4142135623730951
fuel_dry_mass_mp,kg,696.1800000000001,8.568833059407797
char_mass_mp,kg,60.0,1.4142135623730951
initial_water_mass_pot1_mp,kg,6298.7,1.004987562112089
final_water_mass_pot1_mp,kg,5948.7,1.004987562112089
useful_energy_delivered_pot1_mp,kJ,2976633.228,37393.922459656766
initial_water_mass_pot2_mp,kg,0,
final_water_mass_pot2_mp,kg,0,
useful_energy_delivered_pot2_mp,kJ,0,
initial_water_mass_pot3_mp,kg,0,
final_water_mass_pot3_mp,kg,0,
useful_energy_delivered_pot3_mp,kJ,0,
initial_water_mass_pot4_mp,kg,0,
final_water_mass_pot4_mp,kg,0,
useful_energy_delivered_pot4_mp,kJ,0,
useful_energy_delivered_mp,kJ,2976633.228,37393.922459656766
cooking_power_mp,kW,2316.4460918287937,29.10032876237881
eff_wo_char_mp,%,20.034549742554265,0.2538892799090499
eff_w_char_mp,%,22.284358809657498,0.2890607596847313
char_energy_productivity_mp,%,10.095911155981828,0.2385574534493085
char_mass_productivity_mp,%,7.06713780918728,0.16698948984044804
burn_rate_mp,g/min,39.6420233463035,0.0660333180874597
firepower_mp,kW,10394.941634241246,33.591504375735774
phase_time_mp,min,21.416666666666668,
time_to_boil_mp,min,NaN,
fuel_mass_mp,kg,849.0,1.4142135623730951
fuel_dry_mass_mp,kg,696.1800000000001,8.568833059407797
char_mass_mp,kg,60.0,1.4142135623730951
initial_water_mass_pot1_mp,kg,6298.7,1.004987562112089
final_water_mass_pot1_mp,kg,5948.7,1.004987562112089
useful_energy_delivered_pot1_mp,kJ,2976633.228,37393.922459656766
initial_water_mass_pot2_mp,kg,0,
final_water_mass_pot2_mp,kg,0,
useful_energy_delivered_pot2_mp,kJ,0,
initial_water_mass_pot3_mp,kg,0,
final_water_mass_pot3_mp,kg,0,
useful_energy_delivered_pot3_mp,kJ,0,
initial_water_mass_pot4_mp,kg,0,
final_water_mass_pot4_mp,kg,0,
useful_energy_delivered_pot4_mp,kJ,0,
useful_energy_delivered_mp,kJ,2976633.228,37393.922459656766
cooking_power_mp,kW,2316.4460918287937,29.10032876237881
eff_wo_char_mp,%,20.034549742554265,0.2538892799090499
eff_w_char_mp,%,22.284358809657498,0.2890607596847313
char_energy_productivity_mp,%,10.095911155981828,0.2385574534493085
char_mass_productivity_mp,%,7.06713780918728,0.16698948984044804
burn_rate_mp,g/min,39.6420233463035,0.0660333180874597
firepower_mp,kW,10394.941634241246,33.591504375735774
phase_time_lp,min,53.0,
time_to_boil_lp,min,NaN,
fuel_mass_lp,kg,816.0,1.4142135623730951
fuel_dry_mass_lp,kg,669.12,8.2419900509525
char_mass_lp,kg,70.0,1.4142135623730951
initial_water_mass_pot1_lp,kg,6298.7,1.004987562112089
final_water_mass_pot1_lp,kg,6098.7,1.004987562112089
useful_energy_delivered_pot1_lp,kJ,2479506.582,37392.146598899046
initial_water_mass_pot2_lp,kg,0,
final_water_mass_pot2_lp,kg,0,
useful_energy_delivered_pot2_lp,kJ,0,
initial_water_mass_pot3_lp,kg,0,
final_water_mass_pot3_lp,kg,0,
useful_energy_delivered_pot3_lp,kJ,0,
initial_water_mass_pot4_lp,kg,0,
final_water_mass_pot4_lp,kg,0,
useful_energy_delivered_pot4_lp,kJ,0,
useful_energy_delivered_lp,kJ,2479506.582,37392.146598899046
cooking_power_lp,kW,779.7190509433963,11.758536666320458
eff_wo_char_lp,%,17.363491470588237,0.2635751470673655
eff_w_char_lp,%,19.788560111731844,0.3061080488125037
char_energy_productivity_lp,%,12.254901960784313,0.24849719616032995
char_mass_productivity_lp,%,8.57843137254902,0.1739470081645737
burn_rate_lp,g/min,15.39622641509434,0.02668327476175651
firepower_lp,kW,3940.251572327044,13.57373010216851
phase_time_lp,min,53.0,
time_to_boil_lp,min,NaN,
fuel_mass_lp,kg,816.0,1.4142135623730951
fuel_dry_mass_lp,kg,669.12,8.2419900509525
char_mass_lp,kg,70.0,1.4142135623730951
initial_water_mass_pot1_lp,kg,6298.7,1.004987562112089
final_water_mass_pot1_lp,kg,6098.7,1.004987562112089
useful_energy_delivered_pot1_lp,kJ,2479506.582,37392.146598899046
initial_water_mass_pot2_lp,kg,0,
final_water_mass_pot2_lp,kg,0,
useful_energy_delivered_pot2_lp,kJ,0,
initial_water_mass_pot3_lp,kg,0,
final_water_mass_pot3_lp,kg,0,
useful_energy_delivered_pot3_lp,kJ,0,
initial_water_mass_pot4_lp,kg,0,
final_water_mass_pot4_lp,kg,0,
useful_energy_delivered_pot4_lp,kJ,0,
useful_energy_delivered_lp,kJ,2479506.582,37392.146598899046
cooking_power_lp,kW,779.7190509433963,11.758536666320458
eff_wo_char_lp,%,17.363491470588237,0.2635751470673655
eff_w_char_lp,%,19.788560111731844,0.3061080488125037
char_energy_productivity_lp,%,12.254901960784313,0.24849719616032995
char_mass_productivity_lp,%,8.57843137254902,0.1739470081645737
burn_rate_lp,g/min,15.39622641509434,0.02668327476175651
firepower_lp,kW,3940.251572327044,13.57373010216851
phase_time_lp,min,53.0,
time_to_boil_lp,min,NaN,
fuel_mass_lp,kg,816.0,1.4142135623730951
fuel_dry_mass_lp,kg,669.12,8.2419900509525
char_mass_lp,kg,70.0,1.4142135623730951
initial_water_mass_pot1_lp,kg,6298.7,1.004987562112089
final_water_mass_pot1_lp,kg,6098.7,1.004987562112089
useful_energy_delivered_pot1_lp,kJ,2479506.582,37392.146598899046
initial_water_mass_pot2_lp,kg,0,
final_water_mass_pot2_lp,kg,0,
useful_energy_delivered_pot2_lp,kJ,0,
initial_water_mass_pot3_lp,kg,0,
final_water_mass_pot3_lp,kg,0,
useful_energy_delivered_pot3_lp,kJ,0,
initial_water_mass_pot4_lp,kg,0,
final_water_mass_pot4_lp,kg,0,
useful_energy_delivered_pot4_lp,kJ,0,
useful_energy_delivered_lp,kJ,2479506.582,37392.146598899046
cooking_power_lp,kW,779.7190509433963,11.758536666320458
eff_wo_char_lp,%,17.363491470588237,0.2635751470673655
eff_w_char_lp,%,19.788560111731844,0.3061080488125037
