variable_name,units,value,uncertainty
fuel_type,--,wood,
fuel_source,--,,
fuel_dimensions,cmxcmxcm,,
fuel_mc,%,12.5,
fuel_heating_value,kJ/kg,16573,
char_heating_value,kJ/kg,31300,
boil_temp,ºC,99.4,
pot1_dry_mass,kg,2.269,
pot2_dry_mass,kg,0.793,
pot3_dry_mass,kg,0.791,
pot4_dry_mass,kg,,
initial_air_temp,ºC,,
initial_RH,%,,
initial_pressure,hPa,998,
initial_wind_velocity,m/s,,
start_time_hp,hh:mm:ss,03:02:00,
initial_fuel_mass_hp,kg,2.7264999999999997,
initial_water_temp_pot1_hp,ºC,13.4,
initial_water_temp_pot2_hp,ºC,11.3,
initial_water_temp_pot3_hp,ºC,10.3,
initial_water_temp_pot4_hp,ºC,,
initial_pot1_mass_hp,kg,7.269,
initial_pot2_mass_hp,kg,3.293,
initial_pot3_mass_hp,kg,3.291,
initial_pot4_mass_hp,kg,,
initial_char_mass_hp,kg,0.382,
fire_start_material_hp,--,,
boil_time_hp,hh:mm:ss,03:32:00,
final_air_temp,ºC,,
final_RH,%,,
final_pressure,hPa,,
final_wind_velocity,m/s,,
end_time_hp,hh:mm:ss,03:32:00,
final_fuel_mass_hp,kg,1.183,
max_water_temp_pot1_hp,ºC,99.4,
max_water_temp_pot2_hp,ºC,62.3,
max_water_temp_pot3_hp,ºC,62.4,
max_water_temp_pot4_hp,ºC,,
final_pot1_mass_hp,kg,6.997,
final_pot2_mass_hp,kg,3.27,
final_pot3_mass_hp,kg,3.27,
final_pot4_mass_hp,kg,,
final_char_mass_hp,kg,0.426,
start_time_mp,hh:mm:ss,,
initial_fuel_mass_mp,kg,,
initial_water_temp_pot1_mp,ºC,,
initial_water_temp_pot2_mp,ºC,,
initial_water_temp_pot3_mp,ºC,,
initial_water_temp_pot4_mp,ºC,,
initial_pot1_mass_mp,kg,,
initial_pot2_mass_mp,kg,,
initial_pot3_mass_mp,kg,,
initial_pot4_mass_mp,kg,,
initial_char_mass_mp,kg,,
fire_start_material_mp,--,,
boil_time_mp,hh:mm:ss,,
end_time_mp,hh:mm:ss,,
final_fuel_mass_mp,kg,,
max_water_temp_pot1_mp,ºC,,
max_water_temp_pot2_mp,ºC,,
max_water_temp_pot3_mp,ºC,,
max_water_temp_pot4_mp,ºC,,
final_pot1_mass_mp,kg,,
final_pot2_mass_mp,kg,,
final_pot3_mass_mp,kg,,
final_pot4_mass_mp,kg,,
final_char_mass_mp,kg,,
start_time_lp,hh:mm:ss,,
initial_fuel_mass_lp,kg,,
initial_water_temp_pot1_lp,ºC,,
initial_water_temp_pot2_lp,ºC,,
initial_water_temp_pot3_lp,ºC,,
initial_water_temp_pot4_lp,ºC,,
initial_pot1_mass_lp,kg,,
initial_pot2_mass_lp,kg,,
initial_pot3_mass_lp,kg,,
initial_pot4_mass_lp,kg,,
initial_char_mass_lp,kg,,
fire_start_material_lp,--,,
boil_time_lp,hh:mm:ss,,
end_time_lp,hh:mm:ss,,
final_fuel_mass_lp,kg,,
max_water_temp_pot1_lp,ºC,,
max_water_temp_pot2_lp,ºC,,
max_water_temp_pot3_lp,ºC,,
max_water_temp_pot4_lp,ºC,,
final_pot1_mass_lp,kg,,
final_pot2_mass_lp,kg,,
final_pot3_mass_lp,kg,,
final_pot4_mass_lp,kg,,
final_char_mass_lp,kg,,
Hvap,kJ/kg,2261.035,0.0
phase_time_hp,min,30.0,
