sep=,

firmware launcher:,6.84
firmware GUI,6.30

Household ID:,1
Sensor ID:,3944
Sensor Type:,EXACT 
Start time:,2023-02-03 03:07:57
Stop time:,2023-02-03 15:05:33
Total number of logs:,10764
Study arm:,0

Type of stove data logged:,usage and temperature
Stove Name:,Coal Hea
Cooking Events per day:,10.03
Cooking Time (min/day):,481.61
Number of days since last use:,0

Timestamp,Coal Hea Usage (EXACT 3944),Coal Hea Temperature (EXACT 3944)
2023-02-03 03:08:01,1,127
2023-02-03 03:08:05,1,127
2023-02-03 03:08:09,1,127
2023-02-03 03:08:13,1,127
2023-02-03 03:08:17,1,127
2023-02-03 03:08:21,1,127
2023-02-03 03:08:25,1,127
2023-02-03 03:08:29,1,127
2023-02-03 03:08:33,1,127
2023-02-03 03:08:37,1,127
2023-02-03 03:08:41,1,127
2023-02-03 03:08:45,1,127
2023-02-03 03:08:49,1,127
2023-02-03 03:08:53,1,127
2023-02-03 03:08:57,1,127
2023-02-03 03:09:01,1,127
2023-02-03 03:09:05,1,127
2023-02-03 03:09:09,1,127
2023-02-03 03:09:13,1,127
2023-02-03 03:09:17,1,127
2023-02-03 03:09:21,1,127
2023-02-03 03:09:25,1,127
2023-02-03 03:09:29,1,127
2023-02-03 03:09:33,1,127
2023-02-03 03:09:37,1,127
2023-02-03 03:09:41,1,127
2023-02-03 03:09:45,1,127
2023-02-03 03:09:49,1,127
2023-02-03 03:09:53,1,127
2023-02-03 03:09:57,1,127
2023-02-03 03:10:01,1,127
2023-02-03 03:10:05,1,127
2023-02-03 03:10:09,1,127
2023-02-03 03:10:13,1,127
2023-02-03 03:10:17,1,127
2023-02-03 03:10:21,1,127
2023-02-03 03:10:25,1,127
2023-02-03 03:10:29,1,127
2023-02-03 03:10:33,1,127
2023-02-03 03:10:37,1,127
2023-02-03 03:10:41,1,127
2023-02-03 03:10:45,1,127
2023-02-03 03:10:49,1,127
2023-02-03 03:10:53,1,127
2023-02-03 03:10:57,1,127
2023-02-03 03:11:01,1,127
2023-02-03 03:11:05,1,127
2023-02-03 03:11:09,1,127
2023-02-03 03:11:13,1,127
2023-02-03 03:11:17,1,127
2023-02-03 03:11:21,1,127
2023-02-03 03:11:25,1,127
2023-02-03 03:11:29,1,127
2023-02-03 03:11:33,1,127
2023-02-03 03:11:37,1,127
2023-02-03 03:11:41,1,127
2023-02-03 03:11:45,1,127
2023-02-03 03:11:49,1,127
2023-02-03 03:11:53,1,127
2023-02-03 03:11:57,1,127
2023-02-03 03:12:01,1,127
2023-02-03 03:12:05,1,127
2023-02-03 03:12:09,1,127
2023-02-03 03:12:13,1,127
2023-02-03 03:12:17,1,127
2023-02-03 03:12:21,1,127
2023-02-03 03:12:25,1,127
2023-02-03 03:12:29,1,127
2023-02-03 03:12:33,1,127
2023-02-03 03:12:37,1,127
2023-02-03 03:12:41,1,127
2023-02-03 03:12:45,1,127
2023-02-03 03:12:49,1,127
2023-02-03 03:12:53,1,127
2023-02-03 03:12:57,1,127
2023-02-03 03:13:01,1,127
2023-02-03 03:13:05,1,127
2023-02-03 03:13:09,1,127
2023-02-03 03:13:13,1,127
2023-02-03 03:13:17,1,127
2023-02-03 03:13:21,1,127
2023-02-03 03:13:25,1,127
2023-02-03 03:13:29,1,127
2023-02-03 03:13:33,1,127
2023-02-03 03:13:37,1,127
2023-02-03 03:13:41,1,127
2023-02-03 03:13:45,1,127
2023-02-03 03:13:49,1,127
2023-02-03 03:13:53,1,127
2023-02-03 03:13:57,1,127
2023-02-03 03:14:01,1,127
2023-02-03 03:14:05,1,127
2023-02-03 03:14:09,1,127
2023-02-03 03:14:13,1,127
2023-02-03 03:14:17,1,127
2023-02-03 03:14:21,1,127
2023-02-03 03:14:25,1,127
2023-02-03 03:14:29,1,127
2023-02-03 03:14:33,1,127
2023-02-03 03:14:37,1,127
2023-02-03 03:14:41,1,127
2023-02-03 03:14:45,1,127
2023-02-03 03:14:49,1,127
2023-02-03 03:14:53,1,127
2023-02-03 03:14:57,1,127
2023-02-03 03:15:01,1,127
2023-02-03 03:15:05,1,127
2023-02-03 03:15:09,1,127
2023-02-03 03:15:13,1,127
2023-02-03 03:15:17,1,127
2023-02-03 03:15:21,1,127
2023-02-03 03:15:25,1,127
2023-02-03 03:15:29,1,127
2023-02-03 03:15:33,1,127
2023-02-03 03:15:37,1,127
2023-02-03 03:15:41,1,127
2023-02-03 03:15:45,1,127
2023-02-03 03:15:49,1,127
2023-02-03 03:15:53,1,127
2023-02-03 03:15:57,1,127
2023-02-03 03:16:01,1,127
2023-02-03 03:16:05,1,127
2023-02-03 03:16:09,1,127
2023-02-03 03:16:13,1,127
2023-02-03 03:16:17,1,127
2023-02-03 03:16:21,1,127
2023-02-03 03:16:25,1,127
2023-02-03 03:16:29,1,127
2023-02-03 03:16:33,1,127
2023-02-03 03:16:37,1,127
2023-02-03 03:16:41,1,127
2023-02-03 03:16:45,1,127
2023-02-03 03:16:49,1,127
2023-02-03 03:16:53,1,127
2023-02-03 03:16:57,1,127
2023-02-03 03:17:01,1,127
2023-02-03 03:17:05,1,127
2023-02-03 03:17:09,1,127
2023-02-03 03:17:13,1,127
2023-02-03 03:17:17,1,127
2023-02-03 03:17:21,1,127
2023-02-03 03:17:25,1,127
2023-02-03 03:17:29,1,127
2023-02-03 03:17:33,1,127
2023-02-03 03:17:37,1,127
2023-02-03 03:17:41,1,127
