ISO Performance Metrics (Weighted Mean),units,brick_test4,bricktest_3,average,N,stdev,Interval,High Tier Estimate,Low Tier Estimate,COV
thermal_efficiency_w_char,%,,,nan,0,nan,nan,nan,nan,nan
thermal_efficiency_wo_char,%,,,nan,0,nan,nan,nan,nan,nan
char_mass_productivity,%,,,nan,0,nan,nan,nan,nan,nan
char_energy_productivity,%,,,nan,0,nan,nan,nan,nan,nan
avg_cooking_power,watts,,,nan,0,nan,nan,nan,nan,nan
burning_rate,g/min,,,nan,0,nan,nan,nan,nan,nan
Basic Operation,units,brick_test4,bricktest_3,average,N,stdev,Interval,High Tier Estimate,Low Tier Estimate,COV
time_to_boil_hp,min,,91.0,91.0,1,nan,nan,nan,nan,nan
phase_time_hp,min,39.416666666666664,91.0,65.20833333333333,2,36.474924796206075,162.84217448590735,228.0505078192407,-97.63384115257402,55.93598690791987
eff_w_char_hp,%,13.480629932704119,20.515443345167867,16.998036638935993,2,4.974364268335194,22.208031919642455,39.20606855857845,-5.209995280706462,29.264346077127694
eff_wo_char_hp,%,12.791376593518478,18.97719529857753,15.884285946048005,2,4.374034353537844,19.527861109675268,35.412147055723274,-3.643575163627263,27.53686485117765
fuel_mass_hp,kg,1.8372999999999997,2.141,1.98915,2,0.2147483294463547,0.9587431675225224,2.9478931675225226,1.0304068324774776,10.795984689256953
burn_rate_hp,g/min,46.612262156448196,23.52747252747253,35.06986734196036,2,16.323411288913576,72.87581274440296,107.94568008636332,-37.8059454024426,46.54540357893786
firepower_hp,kW,12.231534418604648,6.011408974358974,9.12147169648181,2,4.398292881457102,19.636163222928968,28.757634919410776,-10.514691526447157,48.219114500498215
cooking_power_hp,kW,1.648887890063425,1.233267202380952,1.4410775462221885,2,0.29388820666169274,1.312062873218909,2.7531404194410976,0.1290146730032795,20.393642759345333
char_energy_productivity_hp,%,5.112916403954563,7.49800050971185,6.305458456833207,2,1.68650914488123,7.529414192826347,13.834872649659554,-1.2239557359931403,26.746812407487436
char_mass_productivity_hp,%,2.7104991019430695,3.970107426436246,3.3403032641896577,2,0.8906775878881502,3.9764269834123285,7.316730247601987,-0.6361237192226707,26.66457256850972
time_to_boil_mp,min,,,nan,0,nan,nan,nan,nan,nan
phase_time_mp,min,,,nan,0,nan,nan,nan,nan,nan
eff_w_char_mp,%,,,nan,0,nan,nan,nan,nan,nan
eff_wo_char_mp,%,,,nan,0,nan,nan,nan,nan,nan
fuel_mass_mp,kg,0.32779000000000014,,0.32779000000000014,1,nan,nan,nan,nan,nan
burn_rate_mp,g/min,,,nan,0,nan,nan,nan,nan,nan
firepower_mp,kW,,,nan,0,nan,nan,nan,nan,nan
cooking_power_mp,kW,,,nan,0,nan,nan,nan,nan,nan
char_energy_productivity_mp,%,,,nan,0,nan,nan,nan,nan,nan
char_mass_productivity_mp,%,,,nan,0,nan,nan,nan,nan,nan
time_to_boil_lp,min,,,nan,0,nan,nan,nan,nan,nan
phase_time_lp,min,45.0,,45.0,1,nan,nan,nan,nan,nan
eff_w_char_lp,%,,,nan,0,nan,nan,nan,nan,nan
eff_wo_char_lp,%,,,nan,0,nan,nan,nan,nan,nan
fuel_mass_lp,kg,1.6600000000000001,,1.6600000000000001,1,nan,nan,nan,nan,nan
burn_rate_lp,g/min,36.88888888888889,,36.88888888888889,1,nan,nan,nan,nan,nan
firepower_lp,kW,9.621992592592592,,9.621992592592592,1,nan,nan,nan,nan,nan
cooking_power_lp,kW,,,nan,0,nan,nan,nan,nan,nan
char_energy_productivity_lp,%,5.68173979592207,,5.68173979592207,1,nan,nan,nan,nan,nan
char_mass_productivity_lp,%,3.012048192771083,,3.012048192771083,1,nan,nan,nan,nan,nan
