time,seconds,ID,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,GravFlo1,GravFlo2,COtemp,VOC,CH4,CH4temp,Ctemp1,Ctemp2,Ctemp3,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,dP2,AmbTemp,AmbPres,AmbRH,AS1_415nm,AS1_445nm,AS1_480nm,AS1_515nm,AS1_555nm,AS1_590nm,AS1_630nm,AS1_680nm,AS1_CLEAR,AS1_NIR,AS2_415nm,AS2_445nm,AS2_480nm,AS2_515nm,AS2_555nm,AS2_590nm,AS2_630nm,AS2_680nm,AS2_CLEAR,AS2_NIR,AS3_415nm,AS3_445nm,AS3_480nm,AS3_515nm,AS3_555nm,AS3_590nm,AS3_630nm,AS3_680nm,AS3_CLEAR,AS3_NIR,O2_1,O2_2,O2_3,O2_4,O2_ave,datenumbers,phase,COmass,CO2mass,PMmass,MCE,MW_duct,density,mass_flow,mole_flow,vol_flow,totvol,CO_ER,CO2_ER,PM_ER,CO_totmass,CO2_totmass,PM_totmass
#units:,s,4003,ppm,ppm,Mm^-1,mmH2O,degC,degC,%,lpm,lpm,degC,ppm,ppm,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,mmH2O,degC,hPa,%,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,lambda,lambda,lambda,lambda,lambda,date,text,gm^-3,gm^-3,gm^-3,mol/mol,g/mol,gm^-3,g/sec,mol/sec,m^3/sec,m^3,g/sec,g/sec,g/sec,g,g,g
20230711 09:30:30,971.0,4003.0,-0.1201101321585903,-10.854625550660785,0.3436123348017617,17.034,18.33,18.49,58.0,0.01,-0.05,19.0,-0.13585903083701467,0.0,19.5,21.9,21.68,21.53,21.62,19.0,nan,nan,nan,-47.94,nan,nan,0.252,19.2,992.39,50.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.953,0.019,0.025,-0.001,1.999,19549.396180555555,L1,-0.00013744795881386483+/-0,-0.019516941298923243+/-0,(3.624099637149554+/-0)e-06,0.9890557608283342,29.0,1184.7958899063285+/-0,230.91953514445518,7.96274259118811,0.19490237695094637,0.19490237695094637,-2.6788933879878033e-05,-0.003803898249972231,7.063456335875103e-07,-2.6788933879878033e-05,-0.003803898249972231,7.063456335875103e-07
20230711 09:30:31,972.0,4003.0,0.01988986784140971,-13.854625550660785,0.3436123348017617,17.554,18.33,18.49,58.0,-0.07,-0.04,19.0,-0.13585903083701467,0.0,19.5,21.9,21.69,21.54,21.62,19.0,nan,nan,nan,-47.94,nan,nan,0.232,19.2,992.4,50.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.954,0.019,0.025,-0.001,1.99925,19549.39619212963,L1,(2.2760958519882646+/-0)e-05,-0.024911031000451948+/-0,(3.624099637149554+/-0)e-06,1.0014376760277472,29.0,1184.7958899063285+/-0,234.4176997796542,8.083368957919111,0.19785492317852957,0.39275730012947596,4.503367699421079e-06,-0.004928770124892389,7.170459552995619e-07,-2.2285566180456953e-05,-0.00873266837486462,1.4233915888870722e-06
20230711 09:30:32,973.0,4003.0,-0.050110132158590295,-12.854625550660785,0.3436123348017617,17.557,18.33,18.49,58.0,-0.05,0.02,19.0,-0.13585903083701467,0.0,19.5,21.91,21.7,21.55,21.62,19.0,nan,nan,nan,-47.94,nan,nan,0.205,19.2,992.38,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.952,0.019,0.025,-0.001,1.99875,19549.396203703705,L1,(-5.734350014699109+/-0)e-05,-0.023113001099942375+/-0,(3.624099637149554+/-0)e-06,0.9961169191380415,29.0,1184.7958899063285+/-0,234.4377300592259,8.084059657214686,0.19787182928002972,0.5906291294095056,-1.134666327140478e-05,-0.004573411807796936,7.171072246958741e-07,-3.363222945186173e-05,-0.013306080182661556,2.140498813582946e-06
20230711 09:30:33,974.0,4003.0,-0.050110132158590295,-8.854625550660785,0.3436123348017617,17.371,18.33,18.49,58.1,-0.06,-0.05,19.0,-0.13585903083701467,0.0,19.5,21.91,21.69,21.55,21.62,19.0,nan,nan,nan,-48.0,nan,nan,0.203,19.2,992.39,51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.949,0.019,0.025,-0.001,1.998,19549.39621527778,L1,(-5.734350014699109+/-0)e-05,-0.015920881497904098+/-0,(3.624099637149554+/-0)e-06,0.9943726423845155,29.0,1184.7958899063285+/-0,233.19259924865284,8.041124112022512,0.19682090496371435,0.78745003437322,-1.1286399592717674e-05,-0.0031335623042375404,7.13298570262444e-07,-4.4918629044579405e-05,-0.016439642486899095,2.85379738384539e-06
20230711 09:30:34,975.0,4003.0,-0.050110132158590295,-3.854625550660785,0.3436123348017617,16.964,18.33,18.49,58.1,0.02,0.08,19.0,-0.13585903083701467,0.0,19.5,21.9,21.69,21.54,21.62,19.0,nan,nan,nan,-47.81,nan,nan,0.201,19.2,992.35,51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.952,0.019,0.025,-0.001,1.99875,19549.39622685185,L1,(-5.734350014699109+/-0)e-05,-0.006930731995356255+/-0,(3.624099637149554+/-0)e-06,0.9871668311944718,29.0,1184.7958899063285+/-0,230.44457306136695,7.946364588322998,0.19450149601682548,0.9819515303900455,-1.115339656543082e-05,-0.0013480377415884695,7.048928011396226e-07,-5.607202561001022e-05,-0.017787680228487566,3.558690184985013e-06
20230711 09:30:35,976.0,4003.0,-0.1201101321585903,-6.854625550660785,0.3436123348017617,17.533,18.31,18.49,58.1,-0.06,0.01,19.0,-0.13585903083701467,0.0,19.5,21.9,21.69,21.54,21.62,19.0,nan,nan,nan,-47.75,nan,nan,0.246,19.2,992.35,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.954,0.019,0.025,-0.001,1.99925,19549.396238425925,L1,-0.00013745739049977806+/-0,-0.012325667426775641+/-0,(3.624099637149554+/-0)e-06,0.9827792567889772,29.0,1184.8771906604563+/-0,234.28547779824675,8.078809579249889,0.19772975599914694,1.1796812863891923,-2.7179416283800574e-05,-0.002437151212822981,7.165923369701782e-07,-8.32514418938108e-05,-0.020224831441310546,4.2752825219551906e-06
20230711 09:30:36,977.0,4003.0,-0.050110132158590295,-2.854625550660785,0.3436123348017617,17.465,18.33,18.49,58.1,0.02,0.06,19.0,-0.13585903083701467,0.0,19.5,21.91,21.7,21.55,21.62,19.0,nan,nan,nan,-47.94,nan,nan,0.233,19.2,992.38,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.951,0.019,0.025,-0.001,1.9985,19549.39625,L1,(-5.734350014699109+/-0)e-05,-0.0051327020948466855+/-0,(3.624099637149554+/-0)e-06,0.9827488151658768,29.0,1184.7958899063285+/-0,233.8226876180869,8.06285129717541,0.19735271670850682,1.377034003097699,-1.1316895539583352e-05,-0.0010129527024734374,7.152259090137783e-07,-9.456833743339415e-05,-0.021237784143783984,4.990508430968969e-06
20230711 09:30:37,978.0,4003.0,0.01988986784140971,-2.854625550660785,0.3436123348017617,17.182,18.36,18.49,58.1,-0.04,0.01,19.0,-0.07585903083701595,0.0,19.5,21.92,21.71,21.55,21.62,19.0,nan,nan,nan,-47.94,nan,nan,0.205,19.2,992.38,50.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.95,0.019,0.025,-0.001,1.99825,19549.396261574075,L1,(2.2758616134525034+/-0)e-05,-0.005132173876045116+/-0,(3.624099637149554+/-0)e-06,1.0070164805706427,29.0,1184.6739596922803+/-0,231.90860428970885,7.996848423783064,0.19575732410793198,1.572791327205631,4.4551657948942274e-06,-0.0010046606248312253,7.094440472689239e-07,-9.011317163849993e-05,-0.02224244476861521,5.699952478237893e-06
20230711 09:30:38,979.0,4003.0,-0.050110132158590295,1.145374449339215,-0.6563876651982383,16.913,18.33,18.49,58.1,0.13,0.11,19.0,-0.13585903083701467,0.0,19.5,21.91,21.7,21.55,21.62,19.0,nan,nan,nan,-47.94,nan,nan,0.226,19.3,992.35,50.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.952,0.019,0.025,-0.001,1.99875,19549.396273148148,L1,(-5.734350014699109+/-0)e-05,0.0020594175071915913+/-0,(-6.9229595632728795+/-0)e-06,1.045751633986928,29.0,1184.7958899063285+/-0,230.0979119042222,7.934410755318007,0.19420890455858522,1.7670002317642164,-1.1136618347102211e-05,0.00039995721810045127,-1.3445003930866073e-06,-0.00010124978998560214,-0.02184248755051476,4.355452085151286e-06
