time,seconds,ID,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,GravFlo1,GravFlo2,COtemp,VOC,CH4,CH4temp,Ctemp1,Ctemp2,Ctemp3,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,dP2,AmbTemp,AmbPres,AmbRH,AS1_415nm,AS1_445nm,AS1_480nm,AS1_515nm,AS1_555nm,AS1_590nm,AS1_630nm,AS1_680nm,AS1_CLEAR,AS1_NIR,AS2_415nm,AS2_445nm,AS2_480nm,AS2_515nm,AS2_555nm,AS2_590nm,AS2_630nm,AS2_680nm,AS2_CLEAR,AS2_NIR,AS3_415nm,AS3_445nm,AS3_480nm,AS3_515nm,AS3_555nm,AS3_590nm,AS3_630nm,AS3_680nm,AS3_CLEAR,AS3_NIR,O2_1,O2_2,O2_3,O2_4,O2_ave,datenumbers,phase,COmass,CO2mass,PMmass,MCE,MW_duct,density,mass_flow,mole_flow,vol_flow,totvol,CO_ER,CO2_ER,PM_ER,CO_totmass,CO2_totmass,PM_totmass
#units:,s,4003,ppm,ppm,Mm^-1,mmH2O,degC,degC,%,lpm,lpm,degC,ppm,ppm,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,mmH2O,degC,hPa,%,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,lambda,lambda,lambda,lambda,lambda,date,text,gm^-3,gm^-3,gm^-3,mol/mol,g/mol,gm^-3,g/sec,mol/sec,m^3/sec,m^3,g/sec,g/sec,g/sec,g,g,g
20230711 09:54:58,2439.0,4003.0,130.4298898678414,8305.14537444934,235.34361233480178,15.487,47.69,20.11,90.2,-0.04,16.53,20.0,1.5841409691629842,0.0,21.2,23.46,23.2,23.0,348.38,616.06,nan,nan,nan,-46.62,nan,nan,0.251,21.1,992.13,51.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.034,0.019,0.025,-0.001,0.51925,19549.413171296295,"L1,hp",0.13559885757934137+/-0,13.566393242304544+/-0,0.002482183011736421+/-0,0.984538115566396,29.0,1076.3754706080806+/-0,209.86795413043137,7.236826004497633,0.19497652990166148,0.19497652990166148,0.02643859470944959,2.64512827766589,0.00048396743020922244,0.02643859470944959,2.64512827766589,0.00048396743020922244
20230711 09:54:59,2440.0,4003.0,129.1198898678414,8279.14537444934,235.34361233480178,16.087,47.64,20.11,90.2,-0.11,16.53,20.0,1.5841409691629842,0.0,21.2,23.46,23.19,22.99,348.12,616.12,nan,nan,nan,-46.69,nan,nan,0.209,21.1,992.16,51.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.019,0.025,-0.001,0.52325,19549.413182870372,hp,0.13425786483506807+/-0,13.526030344526252+/-0,0.002482183011736421+/-0,0.9846436945304524,29.0,1076.5432400944437+/-0,213.9113623640809,7.37625387462348,0.19870206267359475,0.3936785925752562,0.02667731467288071,2.6876501292429995,0.0004932148843653825,0.053115909382330295,5.33277840690889,0.000977182314574605
20230711 09:55:00,2441.0,4003.0,127.79988986784142,8279.14537444934,222.34361233480178,15.688,47.64,20.09,90.2,0.0,16.51,20.0,1.5241409691629855,0.0,21.2,23.45,23.18,22.99,348.0,616.25,nan,nan,nan,-46.62,nan,nan,0.209,21.1,992.12,51.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.041,0.019,0.025,-0.001,0.521,19549.413194444445,hp,0.1328853390238729+/-0,13.526030344526252+/-0,0.0023450712421309297+/-0,0.9847982964263748,29.0,1076.5432400944437+/-0,211.24192336235433,7.284204253874287,0.19622242330351947,0.5899010158787756,0.026075083244774082,2.6541104518798795,0.0004601555619503255,0.07919099262710438,7.986888858788769,0.0014373378765249304
20230711 09:55:01,2442.0,4003.0,126.48988986784141,8279.14537444934,255.34361233480178,15.326,47.64,20.11,90.2,-0.01,16.52,20.0,1.5241409691629855,0.0,21.2,23.46,23.2,22.99,348.25,616.44,nan,nan,nan,-46.62,nan,nan,0.225,21.1,992.1,51.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.052,0.019,0.025,-0.001,0.52375,19549.41320601852,hp,0.13152321113548984+/-0,13.526030344526252+/-0,0.0026931241957448703+/-0,0.9849517751020194,29.0,1076.5432400944437+/-0,208.79049954903743,7.1996723982426705,0.19394529803625957,0.7838463139150352,0.02550830838235847,2.6233099864166345,0.0005223187747924007,0.10469930100946286,10.610198845205403,0.0019596566513173314
20230711 09:55:02,2443.0,4003.0,125.30988986784142,8279.14537444934,248.34361233480178,15.761,47.64,20.11,90.2,-0.03,16.51,20.0,1.5241409691629855,0.0,21.2,23.46,23.2,23.0,348.0,616.62,nan,nan,nan,-46.62,nan,nan,0.21,21.1,992.12,51.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.048,0.019,0.025,-0.001,0.52275,19549.41321759259,hp,0.13029625624366387+/-0,13.526030344526252+/-0,0.002619294781341913+/-0,0.9850900640283172,29.0,1076.5432400944437+/-0,211.73283243363127,7.301132152883837,0.19667842827665355,0.9805247421916887,0.025626462888335914,2.660278388983746,0.0005151587807875683,0.13032576389779876,13.27047723418915,0.0024748154321048996
20230711 09:55:03,2444.0,4003.0,124.12988986784141,8279.14537444934,231.34361233480178,15.286,47.62,20.11,90.2,-0.01,16.52,20.0,1.5241409691629855,0.0,21.2,23.47,23.2,23.0,347.81,616.62,nan,nan,nan,-46.81,nan,nan,0.223,21.1,992.12,51.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.054,0.019,0.025,-0.001,0.52425,19549.41322916667,hp,0.12907734881895458+/-0,13.526873692117643+/-0,0.0024399947749347314+/-0,0.9852283917920749,29.0,1076.6103625335804+/-0,208.52435623242926,7.19049504249756,0.19368600144411596,1.1742107436358047,0.025000475569750696,2.619966077465872,0.0004725928315016438,0.15532623946754945,15.890443311655021,0.002947408263606543
20230711 09:55:04,2445.0,4003.0,122.94988986784142,8271.14537444934,231.34361233480178,16.181,47.59,20.11,90.2,0.0,16.52,20.0,1.4641409691629832,0.0,21.2,23.46,23.19,23.0,347.81,616.81,nan,nan,nan,-46.62,nan,nan,0.218,21.1,992.14,51.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.052,0.019,0.025,-0.001,0.52375,19549.41324074074,hp,0.12786227574018583+/-0,13.515066895857618+/-0,0.0024399947749347314+/-0,0.9853528121856688,29.0,1076.7110618878112+/-0,214.55213969731793,7.3983496447351005,0.1992662166218864,1.373476960257691,0.02547863193541124,2.69309624772925,0.00048620852737841515,0.1808048714029607,18.58353955938427,0.0034336167909849585
20230711 09:55:05,2446.0,4003.0,121.91988986784142,8255.14537444934,216.34361233480178,15.932,47.57,20.11,90.1,-0.14,16.52,20.0,1.4641409691629832,0.0,21.2,23.46,23.19,22.99,347.81,616.81,nan,nan,nan,-46.62,nan,nan,0.218,21.1,992.12,51.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.058,0.019,0.025,-0.001,0.52525,19549.413252314815,hp,0.1267990293902522+/-0,13.48976403121403+/-0,0.002281788886928395+/-0,0.9854459902100597,29.0,1076.7782052565997+/-0,212.9015683903889,7.34143339277203,0.19772091165204608,1.571197871909737,0.02507081968763525,2.667208442222618,0.0004511573789209898,0.20587569109059595,21.250748001606887,0.0038847741699059484
20230711 09:55:06,2447.0,4003.0,121.00988986784142,8243.14537444934,230.34361233480178,15.388,47.59,20.14,90.1,-0.13,16.51,20.0,1.4641409691629832,0.0,21.2,23.47,23.2,23.01,347.81,616.81,nan,nan,nan,-46.62,nan,nan,0.243,21.1,992.12,51.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.059,0.019,0.025,-0.001,0.5255000000000001,19549.413263888888,hp,0.12584476425479457+/-0,13.469314843880268+/-0,0.002429447715734309+/-0,0.9855323238218583,29.0,1076.7110618878112+/-0,209.22870157014552,7.214782812763638,0.19432205071182437,1.7655199226215614,0.024454412661337774,2.6173848821460304,0.0004720952622186483,0.23033010375193372,23.868132883752917,0.004356869432124597
