time,seconds,ID,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,GravFlo1,GravFlo2,COtemp,VOC,CH4,CH4temp,Ctemp1,Ctemp2,Ctemp3,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,dP2,AmbTemp,AmbPres,AmbRH,AS1_415nm,AS1_445nm,AS1_480nm,AS1_515nm,AS1_555nm,AS1_590nm,AS1_630nm,AS1_680nm,AS1_CLEAR,AS1_NIR,AS2_415nm,AS2_445nm,AS2_480nm,AS2_515nm,AS2_555nm,AS2_590nm,AS2_630nm,AS2_680nm,AS2_CLEAR,AS2_NIR,AS3_415nm,AS3_445nm,AS3_480nm,AS3_515nm,AS3_555nm,AS3_590nm,AS3_630nm,AS3_680nm,AS3_CLEAR,AS3_NIR,O2_1,O2_2,O2_3,O2_4,O2_ave,datenumbers,phase,COmass,CO2mass,PMmass,MCE,MW_duct,density,mass_flow,mole_flow,vol_flow,totvol,CO_ER,CO2_ER,PM_ER,CO_totmass,CO2_totmass,PM_totmass
#units:,s,4003,ppm,ppm,Mm^-1,mmH2O,degC,degC,%,lpm,lpm,degC,ppm,ppm,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,mmH2O,degC,hPa,%,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,lambda,lambda,lambda,lambda,lambda,date,text,gm^-3,gm^-3,gm^-3,mol/mol,g/mol,gm^-3,g/sec,mol/sec,m^3/sec,m^3,g/sec,g/sec,g/sec,g,g,g
20230711 11:42:32,8893.0,4003.0,229.3398898678414,5329.145374449339,70.34361233480176,15.603,46.5,24.35,52.3,-0.05,16.27,28.0,3.134140969162985,0.0,28.7,31.44,30.87,30.51,302.38,505.69,nan,nan,nan,-38.12,nan,nan,0.271,27.3,991.56,40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.255,0.019,0.025,-0.001,0.8245,19549.48787037037,"mp,lp",0.23931631203448536+/-0,8.737526969463525+/-0,0.0007419182436667199+/-0,0.9587405778800757,29.0,1080.382624714208+/-0,211.04420592721223,7.277386411283181,0.19534209556826168,0.19534209556826168,0.04674854989648437,1.706806828299208,0.00014492786445818124,0.04674854989648437,1.706806828299208,0.00014492786445818124
20230711 11:42:33,8894.0,4003.0,229.3398898678414,5340.145374449339,83.34361233480176,15.652,46.53,24.35,52.3,-0.06,16.27,28.0,3.074140969162986,0.0,28.7,31.44,30.87,30.51,302.38,505.5,nan,nan,nan,-38.38,nan,nan,0.292,27.4,991.57,40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.263,0.019,0.025,-0.001,0.8265,19549.487881944446,lp,0.23929385367186953+/-0,8.754740625307877+/-0,0.0008790300132722115+/-0,0.9588220672137897,29.0,1080.281237455883+/-0,211.36541169763083,7.288462472332098,0.195657764264616,0.39099985983287766,0.046819700411702164,1.7129329774643454,0.00017198904711833663,0.09356825030818654,3.4197398057635535,0.00031691691157651787
20230711 11:42:34,8895.0,4003.0,229.19988986784142,5340.145374449339,63.34361233480176,15.386,46.5,24.35,52.3,0.05,16.27,28.0,3.014140969162984,0.0,28.7,31.44,30.87,30.5,302.38,505.5,nan,nan,nan,-38.38,nan,nan,0.25,27.4,991.57,40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29,0.019,0.025,-0.001,0.83325,19549.48789351852,lp,0.23917022195088006+/-0,8.755562280927334+/-0,0.0006680888292637629+/-0,0.958846169703946,29.0,1080.382624714208+/-0,209.57151030384244,7.226603803580774,0.19397897144012297,0.5849788312730007,0.046393993653137636,1.6983949656342212,0.00012959518393122063,0.13996224396132417,5.1181347713977745,0.0004465120955077385
20230711 11:42:35,8896.0,4003.0,229.12988986784143,5345.145374449339,66.34361233480176,14.697,46.48,24.33,52.3,0.05,16.27,28.0,3.074140969162986,0.0,28.8,31.43,30.86,30.5,302.38,505.31,nan,nan,nan,-38.12,nan,nan,0.283,27.4,991.59,40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.274,0.019,0.025,-0.001,0.82925,19549.487905092592,lp,0.23911213778114254+/-0,8.764308518835604+/-0,0.0006997300068650301+/-0,0.9588951246569075,29.0,1080.4502267931564+/-0,204.83176781602197,7.063164407449033,0.18958001279149658,0.7745588440644973,0.045330882139151096,1.6615377211094762,0.0001326548236520664,0.18529312610047527,6.779672492507251,0.0005791669191598049
20230711 11:42:36,8897.0,4003.0,229.12988986784143,5345.145374449339,76.34361233480176,15.647,46.5,24.38,52.3,-0.06,16.26,28.0,3.014140969162984,0.0,28.7,31.44,30.86,30.5,302.31,504.94,nan,nan,nan,-38.31,nan,nan,0.278,27.4,991.55,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.283,0.019,0.025,-0.001,0.8315,19549.487916666665,lp,0.23909717690907742+/-0,8.763760149774518+/-0,0.0008052005988692545+/-0,0.9588951246569075,29.0,1080.382624714208+/-0,211.3415656577844,7.287640195096014,0.1956173311410763,0.9701761752055735,0.0467715516303195,1.7143433712594103,0.0001575111921839999,0.23206467773079476,8.494015863766661,0.0007366781113438048
20230711 11:42:37,8898.0,4003.0,229.19988986784142,5345.145374449339,70.34361233480176,15.008,46.53,24.35,52.3,0.02,16.26,28.0,3.014140969162984,0.0,28.8,31.44,30.88,30.51,302.12,504.44,nan,nan,nan,-38.38,nan,nan,0.276,27.4,991.57,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.273,0.019,0.025,-0.001,0.8290000000000001,19549.487928240742,lp,0.23914777729791922+/-0,8.762937724835538+/-0,0.0007419182436667199+/-0,0.9588830833039695,29.0,1080.281237455883+/-0,206.97143500025587,7.136946034491581,0.1915903265039427,1.1617665017095162,0.04581840073520052,1.6788940998349575,0.00014214435854333857,0.27788307846599525,10.172909963601619,0.0008788224698871433
20230711 11:42:38,8899.0,4003.0,228.9898898678414,5340.145374449339,59.34361233480176,15.472,46.5,24.35,52.2,0.02,16.27,28.0,2.954140969162985,0.0,28.8,31.44,30.86,30.5,302.25,504.38,nan,nan,nan,-38.31,nan,nan,0.288,27.4,991.59,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.245,0.019,0.025,-0.001,0.8220000000000001,19549.487939814815,lp,0.23895108682547211+/-0,8.755562280927334+/-0,0.0006259005924620731+/-0,0.9588823257113118,29.0,1080.382624714208+/-0,210.15639379993854,7.2467721999978805,0.19452033843614513,1.3562868401456614,0.046480846278975536,1.7031349380847318,0.0001217503950731062,0.3243639247449708,11.87604490168635,0.0010005728649602496
20230711 11:42:39,8900.0,4003.0,228.7798898678414,5334.145374449339,56.34361233480176,15.314,46.48,24.35,52.2,-0.06,16.26,28.0,2.894140969162983,0.0,28.8,31.42,30.85,30.49,302.19,504.44,nan,nan,nan,-38.31,nan,nan,0.226,27.4,991.55,40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.245,0.019,0.025,-0.001,0.8220000000000001,19549.487951388888,lp,0.23874688971912986+/-0,8.746272078859988+/-0,0.0005942594148608058+/-0,0.9588741751870501,29.0,1080.4502267931564+/-0,209.08712332299814,7.2099008042413155,0.1935185149098277,1.549805355055489,0.046201943537786415,1.6925655836982763,0.00011500019943504633,0.37056586828275717,13.568610485384626,0.0011155730643952959
20230711 11:42:40,8901.0,4003.0,228.7798898678414,5340.145374449339,55.34361233480176,15.344,46.53,24.38,52.2,0.17,16.26,28.0,2.954140969162985,0.0,28.8,31.44,30.86,30.5,302.19,504.0,nan,nan,nan,-38.38,nan,nan,0.279,27.4,991.59,40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.284,0.019,0.025,-0.001,0.83175,19549.48796296296,lp,0.23870954817606824+/-0,8.754740625307877+/-0,0.0005837123556603833+/-0,0.9589184844455095,29.0,1080.281237455883+/-0,209.27545516688141,7.216395005754531,0.19372312311906453,1.7435284781745537,0.04624355919100873,1.6959956960319937,0.00011307858054171563,0.4168094274737659,15.264606181416621,0.0012286516449370114
