time,seconds,ID,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,GravFlo1,GravFlo2,COtemp,VOC,CH4,CH4temp,Ctemp1,Ctemp2,Ctemp3,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,dP2,AmbTemp,AmbPres,AmbRH,AS1_415nm,AS1_445nm,AS1_480nm,AS1_515nm,AS1_555nm,AS1_590nm,AS1_630nm,AS1_680nm,AS1_CLEAR,AS1_NIR,AS2_415nm,AS2_445nm,AS2_480nm,AS2_515nm,AS2_555nm,AS2_590nm,AS2_630nm,AS2_680nm,AS2_CLEAR,AS2_NIR,AS3_415nm,AS3_445nm,AS3_480nm,AS3_515nm,AS3_555nm,AS3_590nm,AS3_630nm,AS3_680nm,AS3_CLEAR,AS3_NIR,O2_1,O2_2,O2_3,O2_4,O2_ave,datenumbers,phase,COmass,CO2mass,PMmass,MCE,MW_duct,density,mass_flow,mole_flow,vol_flow,totvol,CO_ER,CO2_ER,PM_ER,CO_totmass,CO2_totmass,PM_totmass
#units:,s,4003,ppm,ppm,Mm^-1,mmH2O,degC,degC,%,lpm,lpm,degC,ppm,ppm,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,mmH2O,degC,hPa,%,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,lambda,lambda,lambda,lambda,lambda,date,text,gm^-3,gm^-3,gm^-3,mol/mol,g/mol,gm^-3,g/sec,mol/sec,m^3/sec,m^3,g/sec,g/sec,g/sec,g,g,g
20230711 10:43:50,5371.0,4003.0,186.66988986784142,6635.145374449339,136.34361233480178,15.701,50.01,23.12,60.4,0.12,16.34,24.0,5.924140969162984,0.0,25.7,28.07,27.54,27.23,328.38,569.12,nan,nan,nan,-42.19,nan,nan,0.281,25.1,991.84,44.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.515,0.019,0.025,-0.001,0.6395000000000001,19549.447106481482,"hp,mp",0.19267442984077704+/-0,10.76065019291406+/-0,0.0014380241508946006+/-0,0.972636331733541,29.0,1068.64805665892+/-0,210.55307606458575,7.260450898778819,0.19702751972700017,0.19702751972700017,0.037962165026342205,2.120144218159723,0.0002833303317582886,0.037962165026342205,2.120144218159723,0.0002833303317582886
20230711 10:43:51,5372.0,4003.0,185.35988986784142,6614.145374449339,145.34361233480178,14.863,49.97,23.09,60.4,-0.05,16.33,24.0,5.924140969162984,0.0,25.7,28.07,27.53,27.22,328.19,568.75,nan,nan,nan,-42.25,nan,nan,0.21,25.1,991.83,44.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.534,0.019,0.025,-0.001,0.64425,19549.447118055556,mp,0.19134597592854385+/-0,10.72792099368252+/-0,0.0015329476836984024+/-0,0.9727392093009203,29.0,1068.7803478271126+/-0,204.86985136444454,7.0644776332567085,0.19168564596173188,0.38871316568873204,0.03667827699804093,2.0563884655004583,0.0002938440669752689,0.07464044202438314,4.176532683660181,0.0005771743987335574
20230711 10:43:52,5373.0,4003.0,184.1798898678414,6600.145374449339,155.34361233480178,14.882,49.92,23.09,60.3,0.04,16.34,24.0,5.924140969162984,0.0,25.7,28.06,27.53,27.22,328.06,568.94,nan,nan,nan,-42.19,nan,nan,0.258,25.1,991.85,44.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.524,0.019,0.025,-0.001,0.64175,19549.44712962963,mp,0.19015729372050091+/-0,10.706870260015132+/-0,0.0016384182757026267+/-0,0.9728521433315478,29.0,1068.9457578540148+/-0,205.01661930984653,7.06953859689126,0.19179328586459998,0.580506451553332,0.03647089219377474,2.053505828494266,0.00031423762471761887,0.11111133421815787,6.230038512154447,0.0008914120234511763
20230711 10:43:53,5374.0,4003.0,183.2798898678414,6614.145374449339,178.34361233480178,14.619,49.87,23.12,60.3,0.05,16.35,24.0,6.044140969162985,0.0,25.7,28.07,27.53,27.23,327.81,568.12,nan,nan,nan,-42.19,nan,nan,0.246,25.1,991.85,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.501,0.019,0.025,-0.001,0.636,19549.447141203702,mp,0.18925737543490267+/-0,10.731242125808606+/-0,0.0018810006373123427+/-0,0.973036865762988,29.0,1069.1112190882811+/-0,203.21270656006092,7.007334708967618,0.19007630163432115,0.7705827531876532,0.03597334197968453,2.0397548152161304,0.00035753364451213116,0.1470846761978424,8.269793327370579,0.0012489456679633075
20230711 10:43:54,5375.0,4003.0,182.65988986784143,6634.145374449339,188.34361233480178,15.399,49.82,23.12,60.3,-0.16,16.33,24.0,6.224140969162985,0.0,25.7,28.07,27.54,27.23,327.81,567.38,nan,nan,nan,-42.19,nan,nan,0.241,25.1,991.83,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.498,0.019,0.025,-0.001,0.6352500000000001,19549.44715277778,mp,0.18864635518509823+/-0,10.765357855487217+/-0,0.001986471229316567+/-0,0.9732044729480566,29.0,1069.2767315536942+/-0,208.57963410458603,7.1924011760202085,0.19506609276114423,0.9656488459487975,0.03679850741958813,2.099956294045382,0.0003874931810852097,0.18388318361743053,10.369749621415961,0.0016364388490485173
20230711 10:43:55,5376.0,4003.0,182.09988986784143,6676.145374449339,206.34361233480178,15.305,49.75,23.09,60.2,-0.03,16.34,24.0,6.464140969162983,0.0,25.7,28.07,27.54,27.23,327.69,567.56,nan,nan,nan,-42.06,nan,nan,0.245,25.1,991.83,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.506,0.019,0.025,-0.001,0.63725,19549.447164351852,mp,0.18810877223051534+/-0,10.835860626551653+/-0,0.002176318294924171+/-0,0.973448034759665,29.0,1069.5085351189118+/-0,207.96458223582587,7.171192490890547,0.19444873547708866,1.1600975814258863,0.0365775128923714,2.1070193966389428,0.00042318234044365875,0.22046069650980193,12.476769018054904,0.002059621189492176
20230711 10:43:56,5377.0,4003.0,181.75988986784142,6662.145374449339,224.34361233480178,15.453,49.7,23.12,60.2,0.02,16.33,24.0,6.634140969162985,0.0,25.7,28.07,27.53,27.23,327.44,566.81,nan,nan,nan,-42.19,nan,nan,0.222,25.1,991.79,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.512,0.019,0.025,-0.001,0.63875,19549.447175925925,mp,0.18778663114397154+/-0,10.814812264946324+/-0,0.0023661653605317745+/-0,0.9734420797997448,29.0,1069.6741706361984+/-0,208.98385710778481,7.206339900268442,0.1953715092358356,1.355469090661722,0.03668815754091089,2.112906194304789,0.00046228129758864783,0.2571488540507128,14.589675212359694,0.002521902487080824
20230711 10:43:57,5378.0,4003.0,181.75988986784142,6662.145374449339,220.34361233480178,15.293,49.65,23.12,60.1,-0.02,16.34,24.0,6.874140969162983,0.0,25.7,28.07,27.53,27.24,327.25,566.69,nan,nan,nan,-42.19,nan,nan,0.26,25.1,991.82,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.511,0.019,0.025,-0.001,0.6385000000000001,19549.4471875,mp,0.1878157182925378+/-0,10.81648742174077+/-0,0.002323977123730085+/-0,0.9734420797997448,29.0,1069.839857465603+/-0,207.91523563543083,7.169490883980374,0.19434239076488663,1.5498114814266086,0.036500555716196245,2.102102025219426,0.00045164727030860943,0.29364940976690906,16.69177723757912,0.0029735497573894335
20230711 10:43:58,5379.0,4003.0,182.09988986784143,6689.145374449339,207.34361233480178,14.871,49.63,23.12,60.1,0.0,16.35,24.0,7.234140969162986,0.0,25.7,28.08,27.55,27.25,327.06,566.0,nan,nan,nan,-42.19,nan,nan,0.205,25.1,991.81,44.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.503,0.019,0.025,-0.001,0.6365000000000001,19549.447199074075,mp,0.18817870547504+/-0,10.86099684966149+/-0,0.002186865354124593+/-0,0.973498269547516,29.0,1069.9061465700993+/-0,205.03287983633007,7.070099304701037,0.19163632295563834,1.741447804382247,0.03606187517578872,2.0813614999018997,0.0004190828352635169,0.3297112849426978,18.77313873748102,0.0033926325926529506
