time,seconds,ID,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,GravFlo1,GravFlo2,COtemp,VOC,CH4,CH4temp,Ctemp1,Ctemp2,Ctemp3,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,dP2,AmbTemp,AmbPres,AmbRH,AS1_415nm,AS1_445nm,AS1_480nm,AS1_515nm,AS1_555nm,AS1_590nm,AS1_630nm,AS1_680nm,AS1_CLEAR,AS1_NIR,AS2_415nm,AS2_445nm,AS2_480nm,AS2_515nm,AS2_555nm,AS2_590nm,AS2_630nm,AS2_680nm,AS2_CLEAR,AS2_NIR,AS3_415nm,AS3_445nm,AS3_480nm,AS3_515nm,AS3_555nm,AS3_590nm,AS3_630nm,AS3_680nm,AS3_CLEAR,AS3_NIR,O2_1,O2_2,O2_3,O2_4,O2_ave,datenumbers,phase
#units:,s,4003,ppm,ppm,Mm^-1,mmH2O,degC,degC,%,lpm,lpm,degC,ppm,ppm,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,mmH2O,degC,hPa,%,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,lambda,lambda,lambda,lambda,lambda,date,text
20230711 09:30:30,971.0,4003.0,-0.1201101321585903,-10.854625550660785,0.3436123348017617,17.034,18.33,18.49,58.0,0.01,-0.05,19.0,-0.13585903083701467,0.0,19.5,21.9,21.68,21.53,21.62,19.0,nan,nan,nan,-47.94,nan,nan,0.252,19.2,992.39,50.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.953,0.019,0.025,-0.001,1.999,19549.396180555555,L1
20230711 09:30:31,972.0,4003.0,0.01988986784140971,-13.854625550660785,0.3436123348017617,17.554,18.33,18.49,58.0,-0.07,-0.04,19.0,-0.13585903083701467,0.0,19.5,21.9,21.69,21.54,21.62,19.0,nan,nan,nan,-47.94,nan,nan,0.232,19.2,992.4,50.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.954,0.019,0.025,-0.001,1.99925,19549.39619212963,L1
20230711 09:30:32,973.0,4003.0,-0.050110132158590295,-12.854625550660785,0.3436123348017617,17.557,18.33,18.49,58.0,-0.05,0.02,19.0,-0.13585903083701467,0.0,19.5,21.91,21.7,21.55,21.62,19.0,nan,nan,nan,-47.94,nan,nan,0.205,19.2,992.38,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.952,0.019,0.025,-0.001,1.99875,19549.396203703705,L1
20230711 09:30:33,974.0,4003.0,-0.050110132158590295,-8.854625550660785,0.3436123348017617,17.371,18.33,18.49,58.1,-0.06,-0.05,19.0,-0.13585903083701467,0.0,19.5,21.91,21.69,21.55,21.62,19.0,nan,nan,nan,-48.0,nan,nan,0.203,19.2,992.39,51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.949,0.019,0.025,-0.001,1.998,19549.39621527778,L1
20230711 09:30:34,975.0,4003.0,-0.050110132158590295,-3.854625550660785,0.3436123348017617,16.964,18.33,18.49,58.1,0.02,0.08,19.0,-0.13585903083701467,0.0,19.5,21.9,21.69,21.54,21.62,19.0,nan,nan,nan,-47.81,nan,nan,0.201,19.2,992.35,51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.952,0.019,0.025,-0.001,1.99875,19549.39622685185,L1
20230711 09:30:35,976.0,4003.0,-0.1201101321585903,-6.854625550660785,0.3436123348017617,17.533,18.31,18.49,58.1,-0.06,0.01,19.0,-0.13585903083701467,0.0,19.5,21.9,21.69,21.54,21.62,19.0,nan,nan,nan,-47.75,nan,nan,0.246,19.2,992.35,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.954,0.019,0.025,-0.001,1.99925,19549.396238425925,L1
20230711 09:30:36,977.0,4003.0,-0.050110132158590295,-2.854625550660785,0.3436123348017617,17.465,18.33,18.49,58.1,0.02,0.06,19.0,-0.13585903083701467,0.0,19.5,21.91,21.7,21.55,21.62,19.0,nan,nan,nan,-47.94,nan,nan,0.233,19.2,992.38,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.951,0.019,0.025,-0.001,1.9985,19549.39625,L1
20230711 09:30:37,978.0,4003.0,0.01988986784140971,-2.854625550660785,0.3436123348017617,17.182,18.36,18.49,58.1,-0.04,0.01,19.0,-0.07585903083701595,0.0,19.5,21.92,21.71,21.55,21.62,19.0,nan,nan,nan,-47.94,nan,nan,0.205,19.2,992.38,50.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.95,0.019,0.025,-0.001,1.99825,19549.396261574075,L1
20230711 09:30:38,979.0,4003.0,-0.050110132158590295,1.145374449339215,-0.6563876651982383,16.913,18.33,18.49,58.1,0.13,0.11,19.0,-0.13585903083701467,0.0,19.5,21.91,21.7,21.55,21.62,19.0,nan,nan,nan,-47.94,nan,nan,0.226,19.3,992.35,50.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.952,0.019,0.025,-0.001,1.99875,19549.396273148148,L1
