time,seconds,ID,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,GravFlo1,GravFlo2,COtemp,VOC,CH4,CH4temp,Ctemp1,Ctemp2,Ctemp3,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,dP2,AmbTemp,AmbPres,AmbRH,AS1_415nm,AS1_445nm,AS1_480nm,AS1_515nm,AS1_555nm,AS1_590nm,AS1_630nm,AS1_680nm,AS1_CLEAR,AS1_NIR,AS2_415nm,AS2_445nm,AS2_480nm,AS2_515nm,AS2_555nm,AS2_590nm,AS2_630nm,AS2_680nm,AS2_CLEAR,AS2_NIR,AS3_415nm,AS3_445nm,AS3_480nm,AS3_515nm,AS3_555nm,AS3_590nm,AS3_630nm,AS3_680nm,AS3_CLEAR,AS3_NIR,O2_1,O2_2,O2_3,O2_4,O2_ave,datenumbers,phase
#units:,s,4003,ppm,ppm,Mm^-1,mmH2O,degC,degC,%,lpm,lpm,degC,ppm,ppm,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,mmH2O,degC,hPa,%,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,lambda,lambda,lambda,lambda,lambda,date,text
20230711 09:54:58,2439.0,4003.0,130.4298898678414,8305.14537444934,235.34361233480178,15.487,47.69,20.11,90.2,-0.04,16.53,20.0,1.5841409691629842,0.0,21.2,23.46,23.2,23.0,348.38,616.06,nan,nan,nan,-46.62,nan,nan,0.251,21.1,992.13,51.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.034,0.019,0.025,-0.001,0.51925,19549.413171296295,"L1,hp"
20230711 09:54:59,2440.0,4003.0,129.1198898678414,8279.14537444934,235.34361233480178,16.087,47.64,20.11,90.2,-0.11,16.53,20.0,1.5841409691629842,0.0,21.2,23.46,23.19,22.99,348.12,616.12,nan,nan,nan,-46.69,nan,nan,0.209,21.1,992.16,51.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.019,0.025,-0.001,0.52325,19549.413182870372,hp
20230711 09:55:00,2441.0,4003.0,127.79988986784142,8279.14537444934,222.34361233480178,15.688,47.64,20.09,90.2,0.0,16.51,20.0,1.5241409691629855,0.0,21.2,23.45,23.18,22.99,348.0,616.25,nan,nan,nan,-46.62,nan,nan,0.209,21.1,992.12,51.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.041,0.019,0.025,-0.001,0.521,19549.413194444445,hp
20230711 09:55:01,2442.0,4003.0,126.48988986784141,8279.14537444934,255.34361233480178,15.326,47.64,20.11,90.2,-0.01,16.52,20.0,1.5241409691629855,0.0,21.2,23.46,23.2,22.99,348.25,616.44,nan,nan,nan,-46.62,nan,nan,0.225,21.1,992.1,51.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.052,0.019,0.025,-0.001,0.52375,19549.41320601852,hp
20230711 09:55:02,2443.0,4003.0,125.30988986784142,8279.14537444934,248.34361233480178,15.761,47.64,20.11,90.2,-0.03,16.51,20.0,1.5241409691629855,0.0,21.2,23.46,23.2,23.0,348.0,616.62,nan,nan,nan,-46.62,nan,nan,0.21,21.1,992.12,51.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.048,0.019,0.025,-0.001,0.52275,19549.41321759259,hp
20230711 09:55:03,2444.0,4003.0,124.12988986784141,8279.14537444934,231.34361233480178,15.286,47.62,20.11,90.2,-0.01,16.52,20.0,1.5241409691629855,0.0,21.2,23.47,23.2,23.0,347.81,616.62,nan,nan,nan,-46.81,nan,nan,0.223,21.1,992.12,51.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.054,0.019,0.025,-0.001,0.52425,19549.41322916667,hp
20230711 09:55:04,2445.0,4003.0,122.94988986784142,8271.14537444934,231.34361233480178,16.181,47.59,20.11,90.2,0.0,16.52,20.0,1.4641409691629832,0.0,21.2,23.46,23.19,23.0,347.81,616.81,nan,nan,nan,-46.62,nan,nan,0.218,21.1,992.14,51.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.052,0.019,0.025,-0.001,0.52375,19549.41324074074,hp
20230711 09:55:05,2446.0,4003.0,121.91988986784142,8255.14537444934,216.34361233480178,15.932,47.57,20.11,90.1,-0.14,16.52,20.0,1.4641409691629832,0.0,21.2,23.46,23.19,22.99,347.81,616.81,nan,nan,nan,-46.62,nan,nan,0.218,21.1,992.12,51.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.058,0.019,0.025,-0.001,0.52525,19549.413252314815,hp
20230711 09:55:06,2447.0,4003.0,121.00988986784142,8243.14537444934,230.34361233480178,15.388,47.59,20.14,90.1,-0.13,16.51,20.0,1.4641409691629832,0.0,21.2,23.47,23.2,23.01,347.81,616.81,nan,nan,nan,-46.62,nan,nan,0.243,21.1,992.12,51.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.059,0.019,0.025,-0.001,0.5255000000000001,19549.413263888888,hp
