time,seconds,ID,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,GravFlo1,GravFlo2,COtemp,VOC,CH4,CH4temp,Ctemp1,Ctemp2,Ctemp3,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,dP2,AmbTemp,AmbPres,AmbRH,AS1_415nm,AS1_445nm,AS1_480nm,AS1_515nm,AS1_555nm,AS1_590nm,AS1_630nm,AS1_680nm,AS1_CLEAR,AS1_NIR,AS2_415nm,AS2_445nm,AS2_480nm,AS2_515nm,AS2_555nm,AS2_590nm,AS2_630nm,AS2_680nm,AS2_CLEAR,AS2_NIR,AS3_415nm,AS3_445nm,AS3_480nm,AS3_515nm,AS3_555nm,AS3_590nm,AS3_630nm,AS3_680nm,AS3_CLEAR,AS3_NIR,O2_1,O2_2,O2_3,O2_4,O2_ave,datenumbers,phase
#units:,s,4003,ppm,ppm,Mm^-1,mmH2O,degC,degC,%,lpm,lpm,degC,ppm,ppm,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,mmH2O,degC,hPa,%,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,lambda,lambda,lambda,lambda,lambda,date,text
20230711 11:42:32,8893.0,4003.0,229.3398898678414,5329.145374449339,70.34361233480176,15.603,46.5,24.35,52.3,-0.05,16.27,28.0,3.134140969162985,0.0,28.7,31.44,30.87,30.51,302.38,505.69,nan,nan,nan,-38.12,nan,nan,0.271,27.3,991.56,40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.255,0.019,0.025,-0.001,0.8245,19549.48787037037,"mp,lp"
20230711 11:42:33,8894.0,4003.0,229.3398898678414,5340.145374449339,83.34361233480176,15.652,46.53,24.35,52.3,-0.06,16.27,28.0,3.074140969162986,0.0,28.7,31.44,30.87,30.51,302.38,505.5,nan,nan,nan,-38.38,nan,nan,0.292,27.4,991.57,40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.263,0.019,0.025,-0.001,0.8265,19549.487881944446,lp
20230711 11:42:34,8895.0,4003.0,229.19988986784142,5340.145374449339,63.34361233480176,15.386,46.5,24.35,52.3,0.05,16.27,28.0,3.014140969162984,0.0,28.7,31.44,30.87,30.5,302.38,505.5,nan,nan,nan,-38.38,nan,nan,0.25,27.4,991.57,40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29,0.019,0.025,-0.001,0.83325,19549.48789351852,lp
20230711 11:42:35,8896.0,4003.0,229.12988986784143,5345.145374449339,66.34361233480176,14.697,46.48,24.33,52.3,0.05,16.27,28.0,3.074140969162986,0.0,28.8,31.43,30.86,30.5,302.38,505.31,nan,nan,nan,-38.12,nan,nan,0.283,27.4,991.59,40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.274,0.019,0.025,-0.001,0.82925,19549.487905092592,lp
20230711 11:42:36,8897.0,4003.0,229.12988986784143,5345.145374449339,76.34361233480176,15.647,46.5,24.38,52.3,-0.06,16.26,28.0,3.014140969162984,0.0,28.7,31.44,30.86,30.5,302.31,504.94,nan,nan,nan,-38.31,nan,nan,0.278,27.4,991.55,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.283,0.019,0.025,-0.001,0.8315,19549.487916666665,lp
20230711 11:42:37,8898.0,4003.0,229.19988986784142,5345.145374449339,70.34361233480176,15.008,46.53,24.35,52.3,0.02,16.26,28.0,3.014140969162984,0.0,28.8,31.44,30.88,30.51,302.12,504.44,nan,nan,nan,-38.38,nan,nan,0.276,27.4,991.57,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.273,0.019,0.025,-0.001,0.8290000000000001,19549.487928240742,lp
20230711 11:42:38,8899.0,4003.0,228.9898898678414,5340.145374449339,59.34361233480176,15.472,46.5,24.35,52.2,0.02,16.27,28.0,2.954140969162985,0.0,28.8,31.44,30.86,30.5,302.25,504.38,nan,nan,nan,-38.31,nan,nan,0.288,27.4,991.59,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.245,0.019,0.025,-0.001,0.8220000000000001,19549.487939814815,lp
20230711 11:42:39,8900.0,4003.0,228.7798898678414,5334.145374449339,56.34361233480176,15.314,46.48,24.35,52.2,-0.06,16.26,28.0,2.894140969162983,0.0,28.8,31.42,30.85,30.49,302.19,504.44,nan,nan,nan,-38.31,nan,nan,0.226,27.4,991.55,40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.245,0.019,0.025,-0.001,0.8220000000000001,19549.487951388888,lp
20230711 11:42:40,8901.0,4003.0,228.7798898678414,5340.145374449339,55.34361233480176,15.344,46.53,24.38,52.2,0.17,16.26,28.0,2.954140969162985,0.0,28.8,31.44,30.86,30.5,302.19,504.0,nan,nan,nan,-38.38,nan,nan,0.279,27.4,991.59,40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.284,0.019,0.025,-0.001,0.83175,19549.48796296296,lp
20230711 11:42:41,8902.0,4003.0,228.84988986784143,5324.145374449339,62.34361233480176,15.452,46.55,24.35,52.2,-0.01,16.28,28.0,2.954140969162985,0.0,28.8,31.45,30.88,30.52,302.19,503.88,nan,nan,nan,-38.38,nan,nan,0.279,27.4,991.56,40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.294,0.019,0.025,-0.001,0.83425,19549.487974537038,lp
20230711 11:42:42,8903.0,4003.0,228.63988986784142,5317.145374449339,68.34361233480176,15.546,46.55,24.35,52.2,-0.02,16.27,28.0,2.894140969162983,0.0,28.8,31.44,30.87,30.51,302.0,504.19,nan,nan,nan,-38.31,nan,nan,0.263,27.4,991.56,40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.284,0.019,0.025,-0.001,0.83175,19549.48798611111,lp
20230711 11:42:43,8904.0,4003.0,228.50988986784142,5312.145374449339,63.34361233480176,16.163,46.55,24.35,52.2,-0.11,16.26,28.0,2.894140969162983,0.0,28.7,31.43,30.86,30.5,302.25,503.69,nan,nan,nan,-38.38,nan,nan,0.26,27.4,991.55,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.282,0.019,0.025,-0.001,0.83125,19549.487997685184,lp
20230711 11:42:44,8905.0,4003.0,228.57988986784142,5312.145374449339,57.34361233480176,15.249,46.58,24.38,52.2,0.19,16.27,28.0,2.894140969162983,0.0,28.7,31.44,30.87,30.51,302.19,503.88,nan,nan,nan,-38.12,nan,nan,0.265,27.4,991.57,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.276,0.019,0.025,-0.001,0.82975,19549.488009259258,lp
20230711 11:42:45,8906.0,4003.0,228.50988986784142,5312.145374449339,63.34361233480176,15.554,46.58,24.38,52.2,-0.05,16.27,28.0,2.894140969162983,0.0,28.7,31.45,30.88,30.52,302.0,504.19,nan,nan,nan,-38.12,nan,nan,0.264,27.4,991.55,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.214,0.019,0.025,-0.001,0.81425,19549.488020833334,lp
20230711 11:42:46,8907.0,4003.0,228.3698898678414,5294.145374449339,64.34361233480176,15.142,46.58,24.35,52.2,-0.02,16.27,28.0,2.894140969162983,0.0,28.7,31.44,30.88,30.51,302.25,504.0,nan,nan,nan,-38.38,nan,nan,0.267,27.4,991.56,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.224,0.019,0.025,-0.001,0.8167500000000001,19549.488032407407,lp
20230711 11:42:47,8908.0,4003.0,228.29988986784142,5294.145374449339,61.34361233480176,15.873,46.58,24.35,52.2,-0.02,16.26,28.0,2.954140969162985,0.0,28.8,31.44,30.87,30.5,302.19,504.75,nan,nan,nan,-38.31,nan,nan,0.246,27.4,991.54,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.215,0.019,0.025,-0.001,0.8145,19549.48804398148,lp
20230711 11:42:48,8909.0,4003.0,228.22988986784142,5298.145374449339,52.34361233480176,15.489,46.6,24.38,52.2,-0.02,16.27,28.0,2.894140969162983,0.0,28.8,31.44,30.87,30.51,302.19,504.75,nan,nan,nan,-38.19,nan,nan,0.252,27.4,991.56,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22,0.019,0.025,-0.001,0.8157500000000001,19549.488055555557,lp
20230711 11:42:49,8910.0,4003.0,228.3698898678414,5298.145374449339,76.34361233480176,15.438,46.6,24.38,52.2,0.02,16.27,28.0,2.894140969162983,0.0,28.8,31.46,30.88,30.52,302.25,505.19,nan,nan,nan,-38.06,nan,nan,0.246,27.4,991.55,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.218,0.019,0.025,-0.001,0.81525,19549.48806712963,lp
20230711 11:42:50,8911.0,4003.0,228.3698898678414,5304.145374449339,53.34361233480176,15.453,46.62,24.38,52.2,-0.03,0.02,28.0,2.954140969162985,0.0,28.8,31.46,30.88,30.52,302.25,505.31,nan,nan,nan,-38.38,nan,nan,0.257,27.4,991.56,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.208,0.019,0.025,-0.001,0.8127500000000001,19549.488078703704,lp
