time,seconds,ID,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,GravFlo1,GravFlo2,COtemp,VOC,CH4,CH4temp,Ctemp1,Ctemp2,Ctemp3,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,dP2,AmbTemp,AmbPres,AmbRH,AS1_415nm,AS1_445nm,AS1_480nm,AS1_515nm,AS1_555nm,AS1_590nm,AS1_630nm,AS1_680nm,AS1_CLEAR,AS1_NIR,AS2_415nm,AS2_445nm,AS2_480nm,AS2_515nm,AS2_555nm,AS2_590nm,AS2_630nm,AS2_680nm,AS2_CLEAR,AS2_NIR,AS3_415nm,AS3_445nm,AS3_480nm,AS3_515nm,AS3_555nm,AS3_590nm,AS3_630nm,AS3_680nm,AS3_CLEAR,AS3_NIR,O2_1,O2_2,O2_3,O2_4,O2_ave,datenumbers,phase
#units:,s,4003,ppm,ppm,Mm^-1,mmH2O,degC,degC,%,lpm,lpm,degC,ppm,ppm,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,mmH2O,degC,hPa,%,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,lambda,lambda,lambda,lambda,lambda,date,text
20230711 10:43:50,5371.0,4003.0,186.66988986784142,6635.145374449339,136.34361233480178,15.701,50.01,23.12,60.4,0.12,16.34,24.0,5.924140969162984,0.0,25.7,28.07,27.54,27.23,328.38,569.12,nan,nan,nan,-42.19,nan,nan,0.281,25.1,991.84,44.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.515,0.019,0.025,-0.001,0.6395000000000001,19549.447106481482,"hp,mp"
20230711 10:43:51,5372.0,4003.0,185.35988986784142,6614.145374449339,145.34361233480178,14.863,49.97,23.09,60.4,-0.05,16.33,24.0,5.924140969162984,0.0,25.7,28.07,27.53,27.22,328.19,568.75,nan,nan,nan,-42.25,nan,nan,0.21,25.1,991.83,44.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.534,0.019,0.025,-0.001,0.64425,19549.447118055556,mp
20230711 10:43:52,5373.0,4003.0,184.1798898678414,6600.145374449339,155.34361233480178,14.882,49.92,23.09,60.3,0.04,16.34,24.0,5.924140969162984,0.0,25.7,28.06,27.53,27.22,328.06,568.94,nan,nan,nan,-42.19,nan,nan,0.258,25.1,991.85,44.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.524,0.019,0.025,-0.001,0.64175,19549.44712962963,mp
20230711 10:43:53,5374.0,4003.0,183.2798898678414,6614.145374449339,178.34361233480178,14.619,49.87,23.12,60.3,0.05,16.35,24.0,6.044140969162985,0.0,25.7,28.07,27.53,27.23,327.81,568.12,nan,nan,nan,-42.19,nan,nan,0.246,25.1,991.85,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.501,0.019,0.025,-0.001,0.636,19549.447141203702,mp
20230711 10:43:54,5375.0,4003.0,182.65988986784143,6634.145374449339,188.34361233480178,15.399,49.82,23.12,60.3,-0.16,16.33,24.0,6.224140969162985,0.0,25.7,28.07,27.54,27.23,327.81,567.38,nan,nan,nan,-42.19,nan,nan,0.241,25.1,991.83,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.498,0.019,0.025,-0.001,0.6352500000000001,19549.44715277778,mp
20230711 10:43:55,5376.0,4003.0,182.09988986784143,6676.145374449339,206.34361233480178,15.305,49.75,23.09,60.2,-0.03,16.34,24.0,6.464140969162983,0.0,25.7,28.07,27.54,27.23,327.69,567.56,nan,nan,nan,-42.06,nan,nan,0.245,25.1,991.83,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.506,0.019,0.025,-0.001,0.63725,19549.447164351852,mp
20230711 10:43:56,5377.0,4003.0,181.75988986784142,6662.145374449339,224.34361233480178,15.453,49.7,23.12,60.2,0.02,16.33,24.0,6.634140969162985,0.0,25.7,28.07,27.53,27.23,327.44,566.81,nan,nan,nan,-42.19,nan,nan,0.222,25.1,991.79,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.512,0.019,0.025,-0.001,0.63875,19549.447175925925,mp
20230711 10:43:57,5378.0,4003.0,181.75988986784142,6662.145374449339,220.34361233480178,15.293,49.65,23.12,60.1,-0.02,16.34,24.0,6.874140969162983,0.0,25.7,28.07,27.53,27.24,327.25,566.69,nan,nan,nan,-42.19,nan,nan,0.26,25.1,991.82,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.511,0.019,0.025,-0.001,0.6385000000000001,19549.4471875,mp
20230711 10:43:58,5379.0,4003.0,182.09988986784143,6689.145374449339,207.34361233480178,14.871,49.63,23.12,60.1,0.0,16.35,24.0,7.234140969162986,0.0,25.7,28.08,27.55,27.25,327.06,566.0,nan,nan,nan,-42.19,nan,nan,0.205,25.1,991.81,44.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.503,0.019,0.025,-0.001,0.6365000000000001,19549.447199074075,mp
20230711 10:43:59,5380.0,4003.0,182.5898898678414,6732.145374449339,222.34361233480178,15.369,49.58,23.12,60.0,0.06,16.35,24.0,7.5341409691629835,0.0,25.7,28.08,27.54,27.24,327.06,565.56,nan,nan,nan,-42.19,nan,nan,0.236,25.1,991.82,44.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.486,0.019,0.025,-0.001,0.6322500000000001,19549.447210648148,mp
20230711 10:44:00,5381.0,4003.0,183.2098898678414,6717.145374449339,206.34361233480178,15.502,49.53,23.12,60.0,-0.11,16.33,24.0,7.764140969162984,0.0,25.7,28.08,27.53,27.24,326.94,566.19,nan,nan,nan,-42.19,nan,nan,0.248,25.1,991.81,44.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.469,0.019,0.025,-0.001,0.628,19549.44722222222,mp
20230711 10:44:01,5382.0,4003.0,184.2498898678414,6689.145374449339,204.34361233480178,15.642,49.53,23.14,60.0,-0.07,16.34,24.0,7.764140969162984,0.0,25.7,28.09,27.54,27.25,326.75,566.19,nan,nan,nan,-42.06,nan,nan,0.191,25.1,991.81,44.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.467,0.019,0.025,-0.001,0.6275000000000001,19549.447233796298,mp
20230711 10:44:02,5383.0,4003.0,185.35988986784142,6640.145374449339,225.34361233480178,15.216,49.51,23.14,60.0,0.02,16.35,24.0,7.764140969162984,0.0,25.7,28.09,27.55,27.25,326.56,566.75,nan,nan,nan,-42.19,nan,nan,0.251,25.1,991.78,44.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.472,0.019,0.025,-0.001,0.62875,19549.44724537037,mp
20230711 10:44:03,5384.0,4003.0,186.32988986784142,6640.145374449339,225.34361233480178,14.948,49.48,23.12,59.9,0.03,16.36,24.0,7.764140969162984,0.0,25.7,28.09,27.55,27.25,326.56,566.56,nan,nan,nan,-42.19,nan,nan,0.23,25.1,991.79,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.486,0.019,0.025,-0.001,0.6322500000000001,19549.447256944444,mp
20230711 10:44:04,5385.0,4003.0,187.29988986784142,6626.145374449339,203.34361233480178,15.376,49.46,23.14,59.9,0.03,16.34,24.0,7.824140969162986,0.0,25.7,28.08,27.54,27.24,326.31,566.56,nan,nan,nan,-42.06,nan,nan,0.221,25.1,991.8,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.512,0.019,0.025,-0.001,0.63875,19549.447268518517,mp
