time,seconds,ID,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,GravFlo1,GravFlo2,COtemp,VOC,CH4,CH4temp,Ctemp1,Ctemp2,Ctemp3,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,dP2,AmbTemp,AmbPres,AmbRH,AS1_415nm,AS1_445nm,AS1_480nm,AS1_515nm,AS1_555nm,AS1_590nm,AS1_630nm,AS1_680nm,AS1_CLEAR,AS1_NIR,AS2_415nm,AS2_445nm,AS2_480nm,AS2_515nm,AS2_555nm,AS2_590nm,AS2_630nm,AS2_680nm,AS2_CLEAR,AS2_NIR,AS3_415nm,AS3_445nm,AS3_480nm,AS3_515nm,AS3_555nm,AS3_590nm,AS3_630nm,AS3_680nm,AS3_CLEAR,AS3_NIR,O2_1,O2_2,O2_3,O2_4,O2_ave,datenumbers,phase
#units:,s,4003,ppm,ppm,Mm^-1,mmH2O,degC,degC,%,lpm,lpm,degC,ppm,ppm,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,mmH2O,degC,hPa,%,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,lambda,lambda,lambda,lambda,lambda,date,text
20230711 18:32:46,33507.0,4003.0,-3.1701101321585905,-119.85462555066078,1.3436123348017617,0.151,26.28,23.09,42.2,0.0,0.02,30.0,1.294140969162985,-672.0,29.8,32.4,32.07,31.76,27.81,27.0,27.44,nan,nan,-36.19,nan,nan,0.205,27.9,988.78,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.957,0.019,0.025,-0.001,1.9999999999999998,19549.77275462963,postbkg
20230711 18:32:47,33508.0,4003.0,-3.1001101321585907,-119.85462555066078,0.3436123348017617,0.158,26.28,23.09,42.2,0.0,0.02,30.0,1.294140969162985,-672.0,29.8,32.39,32.06,31.76,27.69,27.0,27.44,nan,nan,-36.19,nan,nan,0.214,27.9,988.78,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.96,0.019,0.025,-0.001,2.00075,19549.772766203703,postbkg
20230711 18:32:48,33509.0,4003.0,-3.1701101321585905,-116.85462555066078,1.3436123348017617,0.15,26.25,23.07,42.2,0.0,0.01,30.0,1.294140969162985,-673.0,29.8,32.38,32.05,31.74,27.88,27.0,27.44,nan,nan,-36.19,nan,nan,0.212,27.9,988.79,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.967,0.019,0.025,-0.001,2.0025,19549.772777777776,postbkg
20230711 18:32:49,33510.0,4003.0,-3.1701101321585905,-114.85462555066078,1.3436123348017617,0.151,26.25,23.09,42.2,0.0,0.02,30.0,1.294140969162985,-673.0,29.8,32.39,32.06,31.76,27.62,27.0,27.44,nan,nan,-36.19,nan,nan,0.203,27.9,988.76,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.96,0.019,0.025,-0.001,2.00075,19549.772789351853,postbkg
20230711 18:32:50,33511.0,4003.0,-3.1701101321585905,-116.85462555066078,1.3436123348017617,0.151,26.28,23.09,42.2,0.0,0.02,30.0,1.294140969162985,-673.0,29.8,32.4,32.07,31.76,27.81,27.0,27.44,nan,nan,-36.25,nan,nan,0.217,27.9,988.74,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.958,0.019,0.025,-0.001,2.0002500000000003,19549.772800925926,postbkg
20230711 18:32:51,33512.0,4003.0,-3.1701101321585905,-116.85462555066078,1.3436123348017617,0.152,26.28,23.09,42.2,0.0,0.02,30.0,1.294140969162985,-673.0,29.8,32.38,32.06,31.76,27.81,26.94,27.44,nan,nan,-36.25,nan,nan,0.204,27.9,988.76,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.959,0.019,0.025,-0.001,2.0005,19549.7728125,postbkg
20230711 18:32:52,33513.0,4003.0,-3.2401101321585903,-119.85462555066078,1.3436123348017617,0.159,26.28,23.09,42.2,0.0,0.01,30.0,1.2341409691629863,-673.0,29.8,32.38,32.05,31.74,27.81,27.0,27.38,nan,nan,-36.19,nan,nan,0.204,27.9,988.75,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.962,0.019,0.025,-0.001,2.00125,19549.772824074073,postbkg
20230711 18:32:53,33514.0,4003.0,-3.2401101321585903,-122.85462555066078,1.3436123348017617,0.15,26.28,23.07,42.2,0.0,0.02,30.0,1.294140969162985,-675.0,29.8,32.39,32.06,31.76,27.81,27.0,27.44,nan,nan,-36.19,nan,nan,0.205,28.0,988.77,35.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.962,0.019,0.025,-0.001,2.00125,19549.77283564815,postbkg
20230711 18:32:54,33515.0,4003.0,-3.1701101321585905,-126.85462555066078,0.3436123348017617,0.143,26.28,23.09,42.2,0.0,0.02,30.0,1.294140969162985,-675.0,29.8,32.4,32.07,31.76,27.62,27.0,27.38,nan,nan,-36.19,nan,nan,0.21,28.0,988.77,35.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.957,0.019,0.025,-0.001,1.9999999999999998,19549.772847222222,postbkg
