time,seconds,ID,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,GravFlo1,GravFlo2,COtemp,VOC,CH4,CH4temp,Ctemp1,Ctemp2,Ctemp3,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,dP2,AmbTemp,AmbPres,AmbRH,AS1_415nm,AS1_445nm,AS1_480nm,AS1_515nm,AS1_555nm,AS1_590nm,AS1_630nm,AS1_680nm,AS1_CLEAR,AS1_NIR,AS2_415nm,AS2_445nm,AS2_480nm,AS2_515nm,AS2_555nm,AS2_590nm,AS2_630nm,AS2_680nm,AS2_CLEAR,AS2_NIR,AS3_415nm,AS3_445nm,AS3_480nm,AS3_515nm,AS3_555nm,AS3_590nm,AS3_630nm,AS3_680nm,AS3_CLEAR,AS3_NIR,O2_1,O2_2,O2_3,O2_4,O2_ave,datenumbers,phase
#units:,s,4003,ppm,ppm,Mm^-1,mmH2O,degC,degC,%,lpm,lpm,degC,ppm,ppm,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,mmH2O,degC,hPa,%,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,lambda,lambda,lambda,lambda,lambda,date,text
20230711 09:18:25,246.0,4003.0,0.01988986784140971,-12.854625550660785,0.3436123348017617,0.008,18.02,18.37,57.3,-0.01,0.0,19.0,0.16414096916298604,0.0,17.9,20.63,20.23,20.25,21.12,18.75,nan,nan,nan,-48.31,nan,nan,0.065,18.8,992.41,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.948,0.019,0.025,-0.001,1.9977500000000001,19549.38778935185,prebkg
20230711 09:18:26,247.0,4003.0,0.01988986784140971,-12.854625550660785,0.3436123348017617,0.018,18.04,18.4,57.3,-0.01,0.0,19.0,0.16414096916298604,0.0,17.9,20.64,20.24,20.26,21.12,18.69,nan,nan,nan,-48.31,nan,nan,0.056,18.8,992.44,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.945,0.019,0.025,-0.001,1.997,19549.387800925924,prebkg
20230711 09:18:27,248.0,4003.0,0.01988986784140971,-9.854625550660785,0.3436123348017617,0.015,18.04,18.37,57.3,-0.01,0.0,19.0,0.16414096916298604,0.0,17.9,20.64,20.23,20.25,21.12,18.75,nan,nan,nan,-48.31,nan,nan,0.066,18.8,992.45,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.947,0.019,0.025,-0.001,1.9975,19549.3878125,prebkg
20230711 09:18:28,249.0,4003.0,-0.050110132158590295,-9.854625550660785,-0.6563876651982383,0.018,18.02,18.37,57.3,-0.01,0.0,19.0,0.16414096916298604,0.0,17.9,20.63,20.23,20.25,20.94,18.69,nan,nan,nan,-48.31,nan,nan,0.047,18.8,992.48,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.95,0.019,0.025,-0.001,1.99825,19549.387824074074,prebkg
20230711 09:18:29,250.0,4003.0,0.01988986784140971,-14.854625550660785,-0.6563876651982383,0.028,18.04,18.4,57.3,-0.01,0.0,19.0,0.16414096916298604,0.0,17.9,20.65,20.25,20.26,21.19,18.69,nan,nan,nan,-48.31,nan,nan,0.05,18.8,992.47,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.949,0.019,0.025,-0.001,1.998,19549.387835648147,prebkg
20230711 09:18:30,251.0,4003.0,0.0898898678414097,-17.854625550660785,-0.6563876651982383,0.025,18.04,18.4,57.3,-0.01,0.0,19.0,0.16414096916298604,0.0,17.9,20.65,20.25,20.26,21.12,18.75,nan,nan,nan,-48.31,nan,nan,0.043,18.8,992.46,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.944,0.019,0.025,-0.001,1.99675,19549.38784722222,prebkg
20230711 09:18:31,252.0,4003.0,-0.050110132158590295,-20.854625550660785,0.3436123348017617,0.022,18.04,18.37,57.3,-0.01,0.0,19.0,0.16414096916298604,0.0,17.9,20.65,20.25,20.26,21.12,18.75,nan,nan,nan,-48.31,nan,nan,0.05,18.8,992.45,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.945,0.019,0.025,-0.001,1.997,19549.387858796297,prebkg
20230711 09:18:32,253.0,4003.0,0.01988986784140971,-24.854625550660785,0.3436123348017617,0.025,18.02,18.37,57.3,-0.01,0.0,19.0,0.10414096916298377,0.0,17.9,20.65,20.24,20.26,21.12,18.75,nan,nan,nan,-48.31,nan,nan,0.048,18.8,992.45,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.949,0.019,0.025,-0.001,1.998,19549.38787037037,prebkg
20230711 09:18:33,254.0,4003.0,-0.050110132158590295,-20.854625550660785,0.3436123348017617,0.021,18.04,18.4,57.3,-0.01,0.0,19.0,0.16414096916298604,0.0,17.9,20.65,20.25,20.26,21.12,18.69,nan,nan,nan,-48.31,nan,nan,0.05,18.8,992.46,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.949,0.019,0.025,-0.001,1.998,19549.387881944444,prebkg
