Energy Outputs,units,5.31,7.11,average,N,stdev,Interval,High Tier Estimate,Low Tier Estimate,COV,CI
variable_name,units,value,value,nan,0,nan,nan,nan,nan,nan,nan-nan
fuel_type,--,df,df,nan,0,nan,nan,nan,nan,nan,nan-nan
fuel_source,--,,,nan,0,nan,nan,nan,nan,nan,nan-nan
fuel_dimensions,cmxcmxcm,,,nan,0,nan,nan,nan,nan,nan,nan-nan
fuel_mc,%,14,14,14.0,2,0.0,0.0,14.0,14.0,0.0,14.0-14.0
fuel_heating_value,kJ/kg,30288,30288,30288.0,2,0.0,0.0,30288.0,30288.0,0.0,30288.0-30288.0
char_heating_value,kJ/kg,31300,31300,31300.0,2,0.0,0.0,31300.0,31300.0,0.0,31300.0-31300.0
boil_temp,ºC,96.12083231400032,99.3557402738627,97.738,2,2.287,10.21,107.948,87.528,2.34,107.948-87.528
pot1_dry_mass,lb,234.14,241.835,237.988,2,5.441,24.291,262.279,213.697,2.286,262.279-213.697
pot2_dry_mass,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
pot3_dry_mass,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
pot4_dry_mass,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_air_temp,ºC,19,21,20.0,2,1.414,6.313,26.313,13.687,7.07,26.313-13.687
initial_RH,%,60,60,60.0,2,0.0,0.0,60.0,60.0,0.0,60.0-60.0
initial_pressure,in Hg,26,29.24,27.62,2,2.291,10.228,37.848,17.392,8.295,37.848-17.392
initial_wind_velocity,m/s,,,nan,0,nan,nan,nan,nan,nan,nan-nan
start_time_L1,hh:mm:ss,13:16:25,09:30:30,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_fuel_mass_L1,lb,12.452,9.486,10.969,2,2.097,9.362,20.331,1.607,19.118,20.331-1.607
initial_water_temp_pot1_L1,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_water_temp_pot2_L1,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_water_temp_pot3_L1,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_water_temp_pot4_L1,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_pot1_mass_L1,lb,246,251.321,248.661,2,3.763,16.8,265.461,231.861,1.513,265.461-231.861
initial_pot2_mass_L1,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_pot3_mass_L1,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_pot4_mass_L1,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_char_mass_L1,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
fire_start_material_L1,--,.155 paper,Paper,nan,0,nan,nan,nan,nan,nan,nan-nan
boil_time_L1,hh:mm:ss,,,nan,0,nan,nan,nan,nan,nan,nan-nan
weight_L1,,1,1,1.0,2,0.0,0.0,1.0,1.0,0.0,1.0-1.0
weight_hp,,1,1,1.0,2,0.0,0.0,1.0,1.0,0.0,1.0-1.0
weight_mp,,,1,1.0,1,nan,nan,nan,nan,nan,nan-nan
weight_lp,,,1,1.0,1,nan,nan,nan,nan,nan,nan-nan
weight_total,,1,4,2.5,2,2.121,9.469,11.969,-6.969,84.84,11.969--6.969
final_air_temp,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_RH,%,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_pressure,in Hg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_wind_velocity,m/s,,,nan,0,nan,nan,nan,nan,nan,nan-nan
end_time_L1,hh:mm:ss,14:29:00,09:54:58,nan,0,nan,nan,nan,nan,nan,nan-nan
final_fuel_mass_L1,lb,3.1200000000000045,0.26499999999998636,1.692,2,2.019,9.014,10.706,-7.322,119.326,10.706--7.322
max_water_temp_pot1_L1,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
max_water_temp_pot2_L1,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
max_water_temp_pot3_L1,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
max_water_temp_pot4_L1,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_pot1_mass_L1,lb,237.26,242.1,239.68,2,3.422,15.278,254.958,224.402,1.428,254.958-224.402
final_pot2_mass_L1,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_pot3_mass_L1,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_pot4_mass_L1,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_char_mass_L1,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
start_time_hp,hh:mm:ss,14:29:00,09:54:58,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_fuel_mass_hp,lb,21.02,15.858,18.439,2,3.65,16.295,34.734,2.144,19.795,34.734-2.144
initial_water_temp_pot1_hp,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_water_temp_pot2_hp,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_water_temp_pot3_hp,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_water_temp_pot4_hp,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_pot1_mass_hp,lb,257.78,256.5,257.14,2,0.905,4.04,261.18,253.1,0.352,261.18-253.1
initial_pot2_mass_hp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_pot3_mass_hp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_pot4_mass_hp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_char_mass_hp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
fire_start_material_hp,--,,,nan,0,nan,nan,nan,nan,nan,nan-nan
boil_time_hp,hh:mm:ss,,,nan,0,nan,nan,nan,nan,nan,nan-nan
end_time_hp,hh:mm:ss,16:16:00,10:43:50,nan,0,nan,nan,nan,nan,nan,nan-nan
final_fuel_mass_hp,lb,2.0600000000000023,0.3649999999999807,1.212,2,1.199,5.353,6.565,-4.141,98.927,6.565--4.141
max_water_temp_pot1_hp,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
max_water_temp_pot2_hp,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
max_water_temp_pot3_hp,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
max_water_temp_pot4_hp,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_pot1_mass_hp,lb,236.2,242.2,239.2,2,4.243,18.943,258.143,220.257,1.774,258.143-220.257
