variable_name,units,average,uncertainty
time_prebkg,yyyymmdd hh:mm:ss,20230321 18:24:42,
seconds_prebkg,s,1759.5,0.0
ID_prebkg,10,10.0,0.0
CO_prebkg,ppm,5.850977731884883e-17,0.0
CObkg_prebkg,ppm,0.727671277997365,0.0
CO2_prebkg,ppm,-5.99140119745012e-16,0.0
CO2bkg_prebkg,ppm,438.6106719367589,0.0
COhi_prebkg,ppm,-3.744625748406325e-17,0.0
CO2hi_prebkg,ppm,-2.396560478980048e-14,0.0
SO2_prebkg,ppm,-0.3936758893280632,0.0
NO_prebkg,ppm,0.5804413702239789,0.0
NO2_prebkg,ppm,-0.043652832674571804,0.0
H2S_prebkg,ppm,0.0009881422924901185,0.0
VOC_prebkg,ppm,3.0700230566534916,0.0
O2_prebkg,ppm,20.632203557312256,0.0
HC_prebkg,ppm,113.10671936758894,0.0
PM_prebkg,Mm^-1,-2.808469311304744e-16,0.0
RH_prebkg,%,50.13873517786562,0.0
F1Flow_prebkg,sccm,475.61735836627145,0.0
F2Flow_prebkg,sccm,464.54713438735183,0.0
SampFlow_prebkg,sccm,1193.1851119894598,0.0
USampFlow_prebkg,sccm,520.3946640316206,0.0
DilFlow_prebkg,sccm,1283.222299077734,0.0
Pitot_prebkg,Pa,0.12603491436100134,0.0
Pamb_prebkg,Pa,96804.61100131752,0.0
TCnoz_prebkg,degC,3305.7426976284587,0.0
TC2_prebkg,degC,13.654990118577077,0.0
COtemp_prebkg,degC,16.418079710144927,0.0
HCtemp_prebkg,degC,19.547101449275363,0.0
HCinTemp_prebkg,degC,4624.141304347826,0.0
HCoutTemp_prebkg,degC,4546.857048748353,0.0
BattV_prebkg,V,12.090573122529642,0.0
StakVel_prebkg,m/s,0.8674472990777338,0.0
NozVel_prebkg,m/s,37.506218708827404,0.0
PMmass_prebkg,ug,0.0,0.0
DilRat_prebkg,-,1.4968083003952568,0.0
TAPstat_prebkg,-,0.0,0.0
TAPspot_prebkg,-,0.0,0.0
TAPflow_prebkg,sccm,-248.07800000000003,0.0
TAPtemp_prebkg,degC,0.0,0.0
drk_prebkg,raw,nan,
red_prebkg,raw,nan,
grn_prebkg,raw,nan,
blu_prebkg,raw,nan,
drkref_prebkg,raw,nan,
redref_prebkg,raw,nan,
grnref_prebkg,raw,nan,
bluref_prebkg,raw,nan,
RedRat_prebkg,-,nan,
GrnRat_prebkg,-,nan,
BluRat_prebkg,-,nan,
RedAbs_prebkg,Mm^-1,nan,
GrnAbs_prebkg,Mm^-1,nan,
BluAbs_prebkg,Mm^-1,nan,
datenumbers_prebkg,date,19437.767158564817,
phase_prebkg,text,prebkg,
time_test,yyyymmdd hh:mm:ss,20230322 06:09:48,
seconds_test,s,40715.0,0.0
ID_test,10,10.0,0.0
CO_test,ppm,161.32086419636397,0.0
CObkg_test,ppm,-1.99845002889214,0.0
CO2_test,ppm,1362.9956529247047,0.0
CO2bkg_test,ppm,475.575408485683,0.0
COhi_test,ppm,1878.914673730205,0.0
CO2hi_test,ppm,12990.016175253255,0.0
SO2_test,ppm,3.1533355053665613,0.0
NO_test,ppm,0.3987951362848396,0.0
NO2_test,ppm,-0.24588121027330737,0.0
H2S_test,ppm,0.25134932441570257,0.0
VOC_test,ppm,4.283616927105745,0.0
O2_test,ppm,19.16278507936117,0.0
HC_test,ppm,75.16043129203192,0.0
