time,Battery level,Temperature,firewood,seconds
yyyymmdd hhmmss,%,C,kg,s
2023-03-21 19:26:04,83.0,15.68,1.573739,0
2023-03-21 19:26:08,83.0,15.68,1.573739,4
2023-03-21 19:26:12,83.0,15.68,1.572992,8
2023-03-21 19:26:16,83.0,15.69,1.57296,12
2023-03-21 19:26:20,83.0,15.68,1.57296,16
2023-03-21 19:26:24,83.0,15.68,1.57296,20
2023-03-21 19:26:28,83.0,15.68,1.57296,24
2023-03-21 19:26:32,83.0,15.68,1.573397,28
2023-03-21 19:26:36,83.0,15.68,1.57372,32
2023-03-21 19:26:40,83.0,15.69,1.57372,36
2023-03-21 19:26:44,83.0,15.68,1.573634,40
2023-03-21 19:26:48,83.0,15.68,1.573634,44
2023-03-21 19:26:52,83.0,15.7,1.573634,48
2023-03-21 19:26:56,83.0,15.69,1.573634,52
2023-03-21 19:27:00,83.0,15.69,1.573634,56
2023-03-21 19:27:04,83.0,15.7,1.573018,60
2023-03-21 19:27:08,83.0,15.69,1.573018,64
2023-03-21 19:27:12,83.0,15.69,1.573602,68
2023-03-21 19:27:16,83.0,15.68,1.573292,72
2023-03-21 19:27:20,83.0,15.69,1.573292,76
2023-03-21 19:27:24,83.0,15.69,1.573292,80
2023-03-21 19:27:28,83.0,15.68,1.573018,84
2023-03-21 19:27:32,83.0,15.68,1.572743,88
2023-03-21 19:27:36,83.0,15.69,1.572743,92
2023-03-21 19:27:40,83.0,15.68,1.573018,96
2023-03-21 19:27:44,83.0,15.69,1.573018,100
2023-03-21 19:27:48,83.0,15.68,1.573056,104
2023-03-21 19:27:52,83.0,15.68,1.573056,108
2023-03-21 19:27:56,83.0,15.69,1.573056,112
2023-03-21 19:28:00,83.0,15.68,1.573056,116
2023-03-21 19:28:04,83.0,15.68,1.573222,120
2023-03-21 19:28:08,83.0,15.68,1.573222,124
2023-03-21 19:28:12,83.0,15.68,1.5738,128
2023-03-21 19:28:16,83.0,15.68,1.573407,132
2023-03-21 19:28:20,83.0,15.68,1.573407,136
2023-03-21 19:28:24,83.0,15.68,1.573656,140
2023-03-21 19:28:28,83.0,15.68,1.573656,144
2023-03-21 19:28:32,83.0,15.68,1.573407,148
2023-03-21 19:28:36,83.0,15.69,1.573203,152
2023-03-21 19:28:40,83.0,15.68,1.573107,156
2023-03-21 19:28:44,83.0,15.68,1.573094,160
2023-03-21 19:28:48,83.0,15.68,1.573094,164
2023-03-21 19:28:52,83.0,15.68,1.573107,168
2023-03-21 19:28:56,83.0,15.68,1.573094,172
2023-03-21 19:29:00,83.0,15.69,1.573196,176
2023-03-21 19:29:04,83.0,15.68,1.573196,180
