time,#units:,nan,
seconds,s,40715.0,
ID,10,10.0,
CO,ppm,161.3208641963612,
CObkg,ppm,-1.9984500288926266,
CO2,ppm,1362.9956529250967,
CO2bkg,ppm,475.575408485683,
COhi,ppm,1878.91467373156,
CO2hi,ppm,12990.016175240165,
SO2,ppm,3.1533355053626435,
NO,ppm,0.39879513628483404,
NO2,ppm,-0.24588121027332102,
H2S,ppm,0.25134932441570257,
VOC,ppm,4.283616927105691,
O2,ppm,19.16278507937428,
HC,ppm,75.16043129203192,
PM,Mm^-1,824.1346885179797,
RH,%,36.89762051710225,
F1Flow,sccm,293.99004389146177,
F2Flow,sccm,4.671854137723561,
SampFlow,sccm,1236.62203917037,
USampFlow,sccm,717.4895496514239,
DilFlow,sccm,1455.4926798381948,
Pitot,Pa,0.2743867858416296,
Pamb,Pa,97434.93220797423,
TCnoz,degC,41.62176438766598,
TC2,degC,51.09260336624343,
COtemp,degC,14.64414854248475,
HCtemp,degC,16.52268709197338,
HCinTemp,degC,3771.64857322006,
HCoutTemp,degC,3792.786468642807,
BattV,V,23.828240038345534,
StakVel,m/s,0.1857767207860302,
NozVel,m/s,1.8789054181980904,
PMmass,ug,285.9146022105561,
DilRat,-,18.578138854395984,
TAPstat,-,0.0,
TAPspot,-,0.0,
TAPflow,sccm,-248.07800000013353,
TAPtemp,degC,0.0,
drk,raw,nan,
red,raw,nan,
grn,raw,nan,
blu,raw,nan,
drkref,raw,nan,
redref,raw,nan,
grnref,raw,nan,
bluref,raw,nan,
RedRat,-,nan,
GrnRat,-,nan,
BluRat,-,nan,
RedAbs,Mm^-1,nan,
GrnAbs,Mm^-1,nan,
BluAbs,Mm^-1,nan,
datenumbers,date,19438.256805555557,
phase,text,nan,
COconc,gm^-3,0.1879501257294111,
COhiconc,gm^-3,2.189067427339298,
CO2conc,gm^-3,2.4950819312871935,
CO2hiconc,gm^-3,23.779352910229605,
PMconc,mgm^-3,7.219542389013105,
Cconc,gm^-3,0.7614776042378468,
Cconchi,gm^-3,7.427825988428579,
MCE,mol/mol,0.9171471725841839,
MCEhi,mol/mol,0.9066001113301682,
CER_CO,g/g,0.19323128192474143,
CER_COhi,g/g,0.21782938231874557,
CER_CO2,g/g,3.3608365583205293,
CER_CO2hi,g/g,3.322187418786834,
CER_PM,mg/g,3.386733371956493,
EFmass_CO,g/kg,79.22482558913936,
EFmass_COhi,g/kg,89.31004675066525,
EFmass_CO2,g/kg,1377.9429889114008,
EFmass_CO2hi,g/kg,1362.0968417024412,
EFmass_PM,mg/kg,1388.5606825021853,
EFmass_dry_CO,g/kg,96.61564096236741,
EFmass_dry_COhi,g/kg,108.91469115936464,
EFmass_dry_CO2,g/kg,1680.41827916043,
EFmass_dry_CO2hi,g/kg,1661.0937093932887,
EFmass_dry_PM,mg/kg,1693.3666859782916,
EFenergy_CO,g/MJ,5.134134248534495,
EFenergy_COhi,g/MJ,5.787703113905706,
EFenergy_CO2,g/MJ,89.29706363239256,
EFenergy_CO2hi,g/MJ,88.2701601777428,
EFenergy_PM,mg/MJ,89.9851391680502,
ER_CO,g/min,0.566893484962149,
ER_COhi,g/min,0.6390583162302956,
ER_CO2,g/min,9.859875326379324,
ER_CO2hi,g/min,9.746488170930618,
ER_PM,mg/min,9.935850265765463,
ER_PM_heat,g/hr,0.6111843479808342,
Realtime_conc_PM,mg/m^3,7218.777126895335,
PM_flowrate,g/hr,1.7008527515607146,
Psat,Pa,184137.7396062009,
PH2O,Pa,87165.51994013079,
H2O,ppm,898747.1729602574,
COstak,%vol,0.12228964066602586,
CO2stak,%vol,0.7131227241778388,
H2Ostak,%vol,674.0603797201985,
O2stak,%vol,-76.75916172932365,
N2stak,%vol,-498.13663035572455,
MW,g/mol,151.05000000014658,
Stak_PM,mg/m^3,132.50215500201722,
VolFlow,m^3/s,0.0033888403391216333,
StakDensity,g/m^3,0.015335044587459847,
MassFlow,g/s,4.5209339644442474e-05,
EnergyFlow,W,-0.00010288270553872755,
ERCOstak,g/hr,1.7384373085429279,
ERCO2stak,g/hr,15.744525632347315,
ERH2Ostak,g/hr,16957.219012777125,
ERO2stak,g/hr,-2217.1267183434848,
ERN2stak,g/hr,-13680.09347836088,
ERPMstak,g/hr,1.3061430806600185,
MolFlow,mol/s,1.5589427463600994e-06,
CO2Flow,mol/s,3.635289288788166e-09,
COFlow,mol/s,3.308659352855787e-10,
CBurnRate,g/s,4.7593862688884615e-08,
FirePower,watts,1.791270475980918e-06,
