time,seconds,ID,CO,CObkg,CO2,CO2bkg,COhi,CO2hi,SO2,NO,NO2,H2S,VOC,O2,HC,PM,RH,F1Flow,F2Flow,SampFlow,USampFlow,DilFlow,Pitot,Pamb,TCnoz,TC2,COtemp,HCtemp,HCinTemp,HCoutTemp,BattV,StakVel,NozVel,PMmass,DilRat,TAPstat,TAPspot,TAPflow,TAPtemp,drk,red,grn,blu,drkref,redref,grnref,bluref,RedRat,GrnRat,BluRat,RedAbs,GrnAbs,BluAbs,datenumbers,phase
#units:,s,10,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,Mm^-1,%,sccm,sccm,sccm,sccm,sccm,Pa,Pa,degC,degC,degC,degC,degC,degC,V,m/s,m/s,ug,-,-,-,sccm,degC,raw,raw,raw,raw,raw,raw,raw,raw,-,-,-,Mm^-1,Mm^-1,Mm^-1,date,text
20230322 17:43:07,836.0,10.0,-1.4847891963109354,-7.14,-26.518774703557312,383.0,-5.676877470355731,19.358036890645565,-0.5,0.02,-0.95,1.0,1.34,21.32,47.0,0.5194334650856387,43.34,310.3,-4.8,1214.6,698.8,1487.3,0.246,98065.0,4095.0,19.25,23.38,22.2,5380.0,5387.0,23.99,2.11,23.72,0.0,45.37,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19438.73827546296,postbkg
20230322 17:43:08,837.0,10.0,-1.6247891963109353,-7.14,-26.518774703557312,383.0,-5.676877470355731,-1.6419631093544353,-0.38,0.85,-0.97,1.0,1.41,21.14,47.0,-0.4805665349143613,43.37,310.5,-4.9,1215.0,698.3,1489.8,0.327,98096.0,4095.0,19.44,23.44,22.2,5379.0,5386.0,23.99,2.43,23.63,0.0,48.52,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19438.73828703704,postbkg
20230322 17:43:09,838.0,10.0,-1.6247891963109353,-7.14,-24.518774703557312,383.0,-5.676877470355731,40.358036890645565,-0.5,0.51,-0.95,1.0,1.34,21.32,47.0,0.5194334650856387,43.37,309.6,-5.2,1212.6,698.5,1492.6,0.388,98095.0,4095.0,19.12,23.31,22.2,5379.0,5386.0,23.98,2.64,23.44,0.0,61.02,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19438.73829861111,postbkg
20230322 17:43:10,839.0,10.0,-1.6247891963109353,-7.14,-24.518774703557312,383.0,-5.676877470355731,40.358036890645565,-0.62,1.15,-0.95,1.0,1.41,21.14,45.0,-0.4805665349143613,43.4,309.5,-5.0,1216.4,698.6,1493.0,0.327,98096.0,4095.0,19.25,23.44,22.2,5379.0,5387.0,23.98,2.43,23.55,0.0,53.61,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19438.738310185185,postbkg
20230322 17:43:11,840.0,10.0,-1.6247891963109353,-7.14,-26.518774703557312,381.0,-5.676877470355731,60.358036890645565,-0.62,0.82,-0.97,1.0,1.34,21.32,45.0,0.5194334650856387,43.4,308.8,-5.2,1212.7,698.5,1489.4,0.341,98072.0,4095.0,19.25,23.38,22.2,5378.0,5386.0,23.99,2.48,23.52,0.0,55.22,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19438.738321759258,postbkg
20230322 17:43:12,841.0,10.0,-1.7647891963109354,-7.14,-26.518774703557312,381.0,-5.676877470355731,-1.6419631093544353,-0.5,0.53,-1.0,1.0,1.41,21.32,45.0,0.5194334650856387,43.4,310.7,-4.8,1214.1,699.1,1488.1,0.213,98096.0,4095.0,19.25,23.38,22.2,5378.0,5386.0,23.98,1.96,23.69,0.0,46.65,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19438.738333333335,postbkg
20230322 17:43:13,842.0,10.0,-1.4847891963109354,-7.14,-28.518774703557312,379.0,-5.676877470355731,19.358036890645565,-0.62,0.03,-0.99,1.0,1.41,21.32,45.0,0.5194334650856387,43.4,309.8,-4.9,1213.7,698.8,1487.6,0.469,98094.0,4095.0,19.25,23.31,22.2,5379.0,5385.0,23.99,2.91,23.66,0.0,48.01,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19438.738344907408,postbkg
20230322 17:43:14,843.0,10.0,-1.6247891963109353,-7.14,-28.518774703557312,379.0,-5.676877470355731,-1.6419631093544353,-0.5,-0.09,-0.99,1.0,1.41,21.32,45.0,-0.4805665349143613,43.4,311.4,-4.7,1214.6,698.7,1491.7,0.279,98095.0,4095.0,19.25,23.31,22.2,5378.0,5386.0,23.98,2.24,23.61,0.0,50.37,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19438.73835648148,postbkg
20230322 17:43:15,844.0,10.0,-1.6247891963109353,-6.62,-30.518774703557312,380.0,-5.676877470355731,40.358036890645565,-0.38,0.24,-0.99,1.0,1.41,21.14,42.0,-0.4805665349143613,43.4,310.5,-4.7,1212.6,698.6,1490.5,0.469,98081.0,4095.0,19.25,23.31,22.2,5379.0,5386.0,23.98,2.91,23.55,0.0,53.44,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19438.738368055554,postbkg
20230322 17:43:16,845.0,10.0,-1.4847891963109354,-7.14,-30.518774703557312,380.0,-5.676877470355731,-1.6419631093544353,-0.5,1.17,-1.0,1.0,1.41,21.14,42.0,-0.4805665349143613,43.4,310.4,-4.6,1216.0,698.8,1493.6,0.346,98096.0,4095.0,19.25,23.25,22.2,5379.0,5385.0,23.98,2.49,23.57,0.0,52.99,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19438.73837962963,postbkg
20230322 17:43:17,846.0,10.0,-1.4847891963109354,-7.14,-37.51877470355731,376.0,-5.676877470355731,-22.641963109354435,-0.62,-0.11,-0.96,1.0,1.41,21.14,42.0,0.5194334650856387,43.44,310.6,-4.6,1212.3,699.1,1490.6,0.279,98096.0,4095.0,19.25,23.25,22.2,5379.0,5385.0,23.99,2.24,23.56,0.0,53.88,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19438.738391203704,postbkg
20230322 17:43:18,847.0,10.0,-1.6247891963109353,-7.67,-37.51877470355731,376.0,-5.676877470355731,-1.6419631093544353,-0.5,1.01,-1.01,1.0,1.41,21.32,42.0,0.5194334650856387,43.44,310.3,-4.8,1215.2,698.7,1491.3,0.213,98064.0,4095.0,19.25,23.19,22.2,5378.0,5385.0,23.98,1.96,23.61,0.0,50.76,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19438.738402777777,postbkg
