time,seconds,ID,CO,CObkg,CO2,CO2bkg,COhi,CO2hi,SO2,NO,NO2,H2S,VOC,O2,HC,PM,RH,F1Flow,F2Flow,SampFlow,USampFlow,DilFlow,Pitot,Pamb,TCnoz,TC2,COtemp,HCtemp,HCinTemp,HCoutTemp,BattV,StakVel,NozVel,PMmass,DilRat,TAPstat,TAPspot,TAPflow,TAPtemp,drk,red,grn,blu,drkref,redref,grnref,bluref,RedRat,GrnRat,BluRat,RedAbs,GrnAbs,BluAbs,datenumbers,phase
#units:,s,10,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,Mm^-1,%,sccm,sccm,sccm,sccm,sccm,Pa,Pa,degC,degC,degC,degC,degC,degC,V,m/s,m/s,ug,-,-,-,sccm,degC,raw,raw,raw,raw,raw,raw,raw,raw,-,-,-,Mm^-1,Mm^-1,Mm^-1,date,text
20230322 18:02:19,242.0,10.0,-0.0885223367697594,-6.62,-1.9467353951890232,395.0,0.00859106529209619,-183.14261168384883,-0.5,1.26,-0.92,1.0,2.24,21.14,51.0,0.1683848797250862,34.09,288.0,-3.2,1214.3,697.0,1443.1,0.222,98134.0,4.84,14.06,22.19,21.0,5111.0,5089.0,23.99,0.5,1.55,0.0,25.74,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19438.751608796298,prebkg
20230322 18:02:20,243.0,10.0,-0.0885223367697594,-7.14,-1.9467353951890232,395.0,0.00859106529209619,-246.14261168384883,-0.5,1.29,-0.94,1.0,2.37,21.14,51.0,0.1683848797250862,33.73,286.7,-3.1,1216.7,697.0,1443.2,0.279,98136.0,4.7,14.06,22.25,21.0,5111.0,5088.0,23.98,0.57,1.55,0.0,25.29,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19438.75162037037,prebkg
20230322 18:02:21,244.0,10.0,-0.0885223367697594,-7.14,-6.946735395189023,388.0,0.00859106529209619,-204.14261168384883,-0.62,1.5,-0.93,1.0,2.5,21.14,51.0,0.1683848797250862,33.38,287.8,-3.2,1214.1,697.0,1443.5,0.322,98148.0,4.98,14.06,22.19,21.0,5110.0,5088.0,23.99,0.61,1.55,0.0,26.16,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19438.751631944444,prebkg
20230322 18:02:22,245.0,10.0,-0.0885223367697594,-6.62,-6.946735395189023,388.0,0.00859106529209619,-183.14261168384883,-0.5,1.0,-0.91,1.0,2.63,21.14,51.0,0.1683848797250862,32.99,288.8,-3.2,1214.4,697.1,1442.7,0.388,98156.0,5.12,14.06,22.19,21.0,5110.0,5088.0,23.98,0.67,1.56,0.0,25.17,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19438.751643518517,prebkg
20230322 18:02:23,246.0,10.0,-0.0885223367697594,-7.14,-12.946735395189023,380.0,0.00859106529209619,-162.14261168384883,-0.62,1.32,-0.91,1.0,2.69,21.14,51.0,0.1683848797250862,32.64,288.3,-3.1,1216.7,697.0,1445.5,0.303,98142.0,4.98,14.06,22.19,21.0,5109.0,5087.0,23.99,0.59,1.55,0.0,25.65,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19438.751655092594,prebkg
20230322 18:02:24,247.0,10.0,0.05147766323024072,-7.14,-12.946735395189023,380.0,0.00859106529209619,-225.14261168384883,-0.5,0.32,-0.94,1.0,2.82,21.14,58.0,0.1683848797250862,32.29,288.4,-2.8,1214.8,697.6,1442.8,0.255,98140.0,4.56,14.06,22.19,21.0,5111.0,5087.0,23.98,0.54,1.55,0.0,25.09,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19438.751666666667,prebkg
20230322 18:02:25,248.0,10.0,-0.0885223367697594,-7.14,-12.946735395189023,378.0,0.00859106529209619,-162.14261168384883,-0.5,1.46,-0.93,1.0,2.95,21.14,58.0,0.1683848797250862,32.02,287.6,-2.9,1215.3,697.0,1445.9,0.161,98136.0,5.12,14.06,22.25,21.0,5111.0,5087.0,24.0,0.43,1.55,0.0,26.73,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19438.75167824074,prebkg
20230322 18:02:26,249.0,10.0,-0.0885223367697594,-6.62,-12.946735395189023,378.0,0.00859106529209619,-204.14261168384883,-0.74,0.33,-0.95,1.0,3.01,21.14,58.0,0.1683848797250862,31.7,289.2,-2.9,1217.1,697.4,1444.3,0.222,98142.0,4.56,14.06,22.25,21.0,5110.0,5087.0,23.98,0.5,1.56,0.0,24.42,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19438.751689814813,prebkg
20230322 18:02:27,250.0,10.0,-0.0885223367697594,-7.14,-13.946735395189023,379.0,0.00859106529209619,-246.14261168384883,-0.74,1.19,-0.93,1.0,3.08,21.14,58.0,-0.8316151202749138,31.44,287.0,-3.1,1214.8,696.8,1445.5,0.203,98143.0,4.98,14.06,22.19,21.0,5109.0,5086.0,23.98,0.48,1.55,0.0,27.18,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19438.75170138889,prebkg
20230322 18:02:28,251.0,10.0,0.05147766323024072,-7.14,-13.946735395189023,379.0,0.00859106529209619,-121.14261168384883,-0.62,0.92,-0.92,1.0,3.14,21.14,58.0,-0.8316151202749138,31.2,289.4,-2.8,1214.1,696.8,1443.2,0.274,98139.0,4.43,14.06,22.12,21.0,5110.0,5085.0,23.98,0.56,1.55,0.0,25.09,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19438.751712962963,prebkg
20230322 18:02:29,252.0,10.0,0.05147766323024072,-6.62,-14.946735395189023,384.0,0.00859106529209619,-162.14261168384883,-0.5,0.89,-0.93,1.0,3.27,21.14,56.0,-0.8316151202749138,30.97,287.8,-2.8,1215.9,696.8,1445.3,0.213,98143.0,4.84,14.06,22.25,21.0,5109.0,5085.0,24.0,0.49,1.55,0.0,25.97,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19438.751724537036,prebkg
20230322 18:02:30,253.0,10.0,-0.0885223367697594,-7.14,-14.946735395189023,384.0,0.00859106529209619,-204.14261168384883,-0.62,0.71,-0.93,1.0,3.33,21.14,56.0,0.1683848797250862,30.74,288.0,-2.8,1214.3,697.1,1443.3,0.407,98141.0,4.7,14.06,22.25,21.0,5110.0,5084.0,23.98,0.68,1.55,0.0,25.64,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19438.75173611111,prebkg
20230322 18:02:31,254.0,10.0,-0.0885223367697594,-7.14,-12.946735395189023,387.0,0.00859106529209619,-141.14261168384883,-0.5,1.54,-0.93,1.0,3.4,21.14,56.0,0.1683848797250862,30.5,288.2,-3.1,1213.9,697.0,1444.3,0.284,98132.0,4.98,14.06,22.25,21.0,5109.0,5083.0,23.99,0.57,1.55,0.0,26.44,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19438.751747685186,prebkg
20230322 18:02:32,255.0,10.0,0.05147766323024072,-6.09,-12.946735395189023,387.0,0.00859106529209619,-162.14261168384883,-0.5,0.41,-0.92,1.0,3.46,21.14,56.0,0.1683848797250862,30.35,287.9,-2.9,1216.3,697.1,1442.6,0.274,98148.0,4.98,14.06,22.38,21.0,5108.0,5084.0,23.99,0.56,1.56,0.0,24.56,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19438.75175925926,prebkg
20230322 18:02:33,256.0,10.0,-0.22852233676975908,-7.14,-9.946735395189023,384.0,0.00859106529209619,-141.14261168384883,-0.5,1.25,-0.93,1.0,3.59,21.14,56.0,0.1683848797250862,30.15,286.2,-3.2,1215.1,697.1,1444.4,0.17,98140.0,4.98,14.06,22.31,21.0,5108.0,5083.0,23.98,0.44,1.55,0.0,26.89,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19438.751770833333,prebkg
