Energy Outputs,units,3.21.23,3.22.23,3.23.23,average,N,stdev,Interval,High Tier Estimate,Low Tier Estimate,COV,CI
variable_name,units,value,value,value,nan,0,nan,nan,nan,nan,nan,nan-nan
start_time_test,yyyymmdd hh:mm:ss,20230321 18:52:00,20230322 18:14:00,20230323 18:14:00,nan,0,nan,nan,nan,nan,nan,nan-nan
end_time_test,yyyymmdd hh:mm:ss,20230322 17:27:36,20230323 13:37:55,20230324 07:03:24,nan,0,nan,nan,nan,nan,nan,nan-nan
fuel_type_1,--,douglas fir ,douglas fir ,douglas fir ,nan,0,nan,nan,nan,nan,nan,nan-nan
fuel_source_1,--,local forest,local forest,local forest,nan,0,nan,nan,nan,nan,nan,nan-nan
fuel_dimensions_1,cmxcmxcm,2x3x20,2x3x20,2x3x20,nan,0,nan,nan,nan,nan,nan,nan-nan
fuel_mc_1,%,18,18,18,18.0,3,0.0,0.0,18.0,18.0,0.0,18.0-18.0
fuel_Cfrac_db_1,g/g,0.5,0.5,0.5,0.5,3,0.0,0.0,0.5,0.5,0.0,0.5-0.5
fuel_heating_value_1,MJ/kg,15.431,15.431,15.431,15.431,3,0.0,0.0,15.431,15.431,0.0,15.431-15.431
initial_fuel_mass_1,kg,9.7,8.4,12.18,10.093,3,1.92,3.237,13.33,6.856,19.023,13.33-6.856
final_fuel_mass_1,kg,0,0,0,0.0,3,0.0,0.0,0.0,0.0,nan,0.0-0.0
stak_dia,in,6,6,6,6.0,3,0.0,0.0,6.0,6.0,0.0,6.0-6.0
phase_time_test,min,1355.6,1163.9166666666667,769.4,1096.306,3,298.891,503.887,1600.193,592.419,27.263,1600.193-592.419
fuel_mass_1,kg,9.7,8.4,12.18,10.093,3,1.92,3.237,13.33,6.856,19.023,13.33-6.856
fuel_dry_mass_1,kg,7.954,6.888000000000001,9.9876,8.277,3,1.575,2.655,10.932,5.622,19.029,10.932-5.622
fuel_Cfrac_1,g/g,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41,3,0.0,0.0,0.41,0.41,0.0,0.41-0.41
fuel_energy_1,MJ,149.68069999999997,129.6204,187.94958,155.75,3,29.634,49.959,205.709,105.791,19.027,205.709-105.791
fuel_mass,kg,9.7,8.4,12.18,10.093,3,1.92,3.237,13.33,6.856,19.023,13.33-6.856
fuel_dry_mass,kg,7.954,6.888000000000001,9.9876,8.277,3,1.575,2.655,10.932,5.622,19.029,10.932-5.622
burn_rate,g/min,7.155503098259073,7.21701152717119,15.830517286197036,10.068,3,4.991,8.414,18.482,1.654,49.573,18.482-1.654
fuel_energy,MJ,149.68069999999997,129.6204,187.94958,155.75,3,29.634,49.959,205.709,105.791,19.027,205.709-105.791
firepower,W,1840.2761384872624,1856.0950812629767,4071.3452040551074,2589.239,3,1283.566,2163.905,4753.144,425.334,49.573,4753.144-425.334
fuel_EHV,MJ/kg,15.431,15.430999999999997,15.431000000000001,15.431,3,0.0,0.0,15.431,15.431,0.0,15.431-15.431
fuel_Cfrac,g/g,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41,3,0.0,0.0,0.41,0.41,0.0,0.41-0.41
fuel_Cfrac_db,g/g,0.5,0.5,0.5,0.5,3,0.0,0.0,0.5,0.5,0.0,0.5-0.5
Emissions Outputs,units,3.21.23,3.22.23,3.23.23,average,N,stdev,Interval,High Tier Estimate,Low Tier Estimate,COV,CI
variable_name,units,value,value,value,nan,0,nan,nan,nan,nan,nan,nan-nan
CO,ppm,161.32086419636397,230.63435984434028,327.3179127152605,239.758,3,83.374,140.556,380.314,99.202,34.774,380.314-99.202
CO2,ppm,1362.9956529247047,1166.0680277642127,2131.1338844362613,1553.399,3,509.93,859.668,2413.067,693.731,32.827,2413.067-693.731
PM,Mm^-1,824.1346885150632,1163.979041274708,5800.098185855085,2596.071,3,2779.967,4686.62,7282.691,-2090.549,107.084,7282.691--2090.549
COconc,gm^-3,0.1879501257294334,0.2687052114815547,0.3813483342950968,0.279,3,0.097,0.164,0.443,0.115,34.767,0.443-0.115
CO2conc,gm^-3,2.4950819312872223,2.1345888084699114,3.901225683883095,2.844,3,0.933,1.573,4.417,1.271,32.806,4.417-1.271
PMconc,mgm^-3,7.218767973203387,10.623268468891174,47.72114666202492,21.854,3,22.466,37.874,59.728,-16.02,102.8,59.728--16.02
Cconc,gm^-3,0.7614776042377963,0.6977275231249743,1.2281281240491588,0.896,3,0.29,0.489,1.385,0.407,32.366,1.385-0.407
MCE,mol/mol,0.8941683945660801,0.8348722233952542,0.8668601462536275,0.865,3,0.03,0.051,0.916,0.814,3.468,0.916-0.814
