Energy Outputs,units,3.21.23,3.22.23,3.23.23,average,N,stdev,Interval,High Tier Estimate,Low Tier Estimate,COV,CI
variable_name,units,value,value,value,nan,0,nan,nan,nan,nan,nan,nan-nan
start_time_test,yyyymmdd hh:mm:ss,20230321 18:52:00,20230322 18:14:00,20230323 18:14:00,nan,0,nan,nan,nan,nan,nan,nan-nan
end_time_test,yyyymmdd hh:mm:ss,20230322 17:27:36,20230323 13:37:55,20230324 07:03:24,nan,0,nan,nan,nan,nan,nan,nan-nan
fuel_type_1,--,douglas fir ,douglas fir ,douglas fir ,nan,0,nan,nan,nan,nan,nan,nan-nan
fuel_source_1,--,local forest,local forest,local forest,nan,0,nan,nan,nan,nan,nan,nan-nan
fuel_dimensions_1,cmxcmxcm,2x3x20,2x3x20,2x3x20,nan,0,nan,nan,nan,nan,nan,nan-nan
fuel_mc_1,%,18,18,18,18.0,3,0.0,0.0,18.0,18.0,0.0,18.0-18.0
fuel_Cfrac_db_1,g/g,0.5,0.5,0.5,0.5,3,0.0,0.0,0.5,0.5,0.0,0.5-0.5
fuel_heating_value_1,MJ/kg,15.431,15.431,15.431,15.431,3,0.0,0.0,15.431,15.431,0.0,15.431-15.431
initial_fuel_mass_1,kg,9.7,8.4,12.18,10.093,3,1.92,3.237,13.33,6.856,19.023,13.33-6.856
final_fuel_mass_1,kg,0,0,0,0.0,3,0.0,0.0,0.0,0.0,nan,0.0-0.0
stak_dia,in,6,6,6,6.0,3,0.0,0.0,6.0,6.0,0.0,6.0-6.0
phase_time_test,min,1355.6,1163.9166666666667,769.4,1096.306,3,298.891,503.887,1600.193,592.419,27.263,1600.193-592.419
fuel_mass_1,kg,9.7,8.4,12.18,10.093,3,1.92,3.237,13.33,6.856,19.023,13.33-6.856
fuel_dry_mass_1,kg,7.954,6.888000000000001,9.9876,8.277,3,1.575,2.655,10.932,5.622,19.029,10.932-5.622
fuel_Cfrac_1,g/g,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41,3,0.0,0.0,0.41,0.41,0.0,0.41-0.41
fuel_energy_1,MJ,149.68069999999997,129.6204,187.94958,155.75,3,29.634,49.959,205.709,105.791,19.027,205.709-105.791
fuel_mass,kg,9.7,8.4,12.18,10.093,3,1.92,3.237,13.33,6.856,19.023,13.33-6.856
fuel_dry_mass,kg,7.954,6.888000000000001,9.9876,8.277,3,1.575,2.655,10.932,5.622,19.029,10.932-5.622
burn_rate,g/min,7.155503098259073,7.21701152717119,15.830517286197036,10.068,3,4.991,8.414,18.482,1.654,49.573,18.482-1.654
fuel_energy,MJ,149.68069999999997,129.6204,187.94958,155.75,3,29.634,49.959,205.709,105.791,19.027,205.709-105.791
firepower,W,1840.2761384872624,1856.0950812629767,4071.3452040551074,2589.239,3,1283.566,2163.905,4753.144,425.334,49.573,4753.144-425.334
fuel_EHV,MJ/kg,15.431,15.430999999999997,15.431000000000001,15.431,3,0.0,0.0,15.431,15.431,0.0,15.431-15.431
fuel_Cfrac,g/g,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41,3,0.0,0.0,0.41,0.41,0.0,0.41-0.41
fuel_Cfrac_db,g/g,0.5,0.5,0.5,0.5,3,0.0,0.0,0.5,0.5,0.0,0.5-0.5
Emissions Outputs,units,3.21.23,3.22.23,3.23.23,average,N,stdev,Interval,High Tier Estimate,Low Tier Estimate,COV,CI
start_time_test,yyyymmdd hh:mm:ss,20230321 18:52:00,20230322 18:14:00,20230323 18:14:00,nan,0,nan,nan,nan,nan,nan,nan-nan
end_time_test,yyyymmdd hh:mm:ss,20230322 17:27:36,20230323 13:37:55,20230324 07:03:24,nan,0,nan,nan,nan,nan,nan,nan-nan
time_test,#units:,nan,nan,nan,nan,3,nan,nan,nan,nan,nan,nan-nan
seconds_test,s,23069.0,20692.0,27850.0,23870.333,3,3645.661,6146.054,30016.387,17724.279,15.273,30016.387-17724.279
ID_test,10,10.0,10.0,10.0,10.0,3,0.0,0.0,10.0,10.0,0.0,10.0-10.0
CO_test,ppm,430.09619173129425,488.6544226204573,463.2820909374813,460.678,3,29.366,49.507,510.185,411.171,6.375,510.185-411.171
CObkg_test,ppm,-1.2835353272645802,-3.111502440438773,-0.04434490682559452,-1.48,3,1.543,2.601,1.121,-4.081,-104.257,1.121--4.081
CO2_test,ppm,4215.233500979523,3179.431266826264,3216.8040136779045,3537.156,3,587.529,990.488,4527.644,2546.668,16.61,4527.644-2546.668
CO2bkg_test,ppm,488.38812310359776,455.5102208476296,523.1695450791713,489.023,3,33.834,57.039,546.062,431.984,6.919,546.062-431.984
