time_test,seconds_test,CO_test,ChipTemp_test,PM_test,Flow_test,FlueTemp_test,TC_test,F1Flow_test,DilFlow_test,CO2_test,PM_RH_test,datenumbers_test,phase_test,COconc_test,CO2conc_test,PMconc_test,Cconc_test,MCE_test,CER_CO_test,CER_CO2_test,CER_PM_test,EFmass_CO_test,EFmass_CO2_test,EFmass_PM_test,EFmass_dry_CO_test,EFmass_dry_CO2_test,EFmass_dry_PM_test,EFenergy_CO_test,EFenergy_CO2_test,EFenergy_PM_test,ER_CO_test,ER_CO2_test,ER_PM_test,ER_PM_heat_test,Realtime_conc_PM_test,PM_flowrate_test
yyyymmdd hhmmss,s,ppm,degC,Mm^-1,,degC,degC,ccm,ccm,ppm,%,date,text,gm^-3,gm^-3,mgm^-3,gm^-3,mol/mol,g/g,g/g,mg/g,g/kg,g/kg,mg/kg,g/kg,g/kg,mg/kg,g/MJ,g/MJ,mg/MJ,g/min,g/min,mg/min,g/hr,mg/m^3,g/hr
20230605 11:48:21,2223.0,116.63702652360514,18.78912,2066.7030309012875,11242.0,19.39968,41.0,2782.626,2668.968,838.005364806867,47.0,19513.491909722223,test,0.13589031963735876,1.5340416086909392,45.79588287569216,0.47689491840389975,0.8778212369544477,0.28494813929274937,3.216728779214425,96.02929515157037,116.82873711002725,1318.858799477914,39372.01101214385,142.4740696463747,1608.3643896072124,48014.64757578518,7.571041222864833,85.46813553741909,2551.487979531064,10.885176459691687,122.88081779240659,3668.3721663146052,220.1023299788763,45795.88287569216,25.957065446643774
20230605 11:48:23,2225.0,121.51259652360514,18.79296,2262.2698309012876,11247.0,19.41888,41.400000000000006,2783.462,2670.3360000000002,869.005364806867,47.0,19513.49193287037,test,0.1415707007775641,1.590789801323786,50.1294296568512,0.4948166838557765,0.8773241866705896,0.28610737147017357,3.214907365143434,101.30909343279612,117.30402230277117,1318.112019708808,41536.72830744641,143.0536857350868,1607.4536825717169,50654.54671639806,7.601841896362592,85.41974076267306,2691.7716484638977,10.929459769771672,122.81123876789322,3870.0633796889592,232.20380278133754,50129.4296568512,28.413315885574473
20230605 11:48:25,2227.0,126.28516152360514,18.78912,2615.6826309012877,11227.0,19.4304,41.800000000000004,2784.2980000000002,2626.1040000000003,915.005364806867,47.0,19513.49195601852,test,0.14713107386551158,1.674996796843494,57.96067147223298,0.5201802948400803,0.8787224522548606,0.2828463041083559,3.2200312342827986,111.42419666252813,115.96698468442591,1320.2128060559476,45683.92063163654,141.42315205417793,1610.0156171413994,55712.09833126407,7.51519568948389,85.55588141118187,2960.5288465839244,10.804885193610435,123.00697340184024,4256.465915381643,255.38795492289856,57960.67147223298,32.85205674099435
20230605 11:48:27,2229.0,130.57703652360513,18.7968,3027.9074309012876,11230.0,19.4112,42.1,2781.3720000000003,2701.8,960.005364806867,47.0,19513.491979166665,test,0.15213140937625572,1.757373205504078,67.09512300057996,0.544804221998122,0.8802685277478293,0.2792405110560618,3.2256967448944183,123.15455771341517,114.48860953298534,1322.5356654067116,50493.36866250022,139.6202555280309,1612.8483724472092,61577.278856707584,7.419390158316721,85.70641341499005,3272.2032702028528,10.667141905485197,123.22339903948365,4704.5721928668145,282.27433157200886,67095.12300057996,38.029455695919815
20230605 11:48:29,2231.0,135.07492152360516,18.80448,3358.9446309012874,11242.0,19.4112,42.5,2780.954,2630.208,978.005364806867,47.0,19513.492002314815,test,0.15737176099151562,1.7903237689683118,74.43054594815543,0.556043118498813,0.8786476382859039,0.28302078697850397,3.219757082511459,133.85750757801046,116.03852266118663,1320.1004038296983,54881.57810698429,141.51039348925198,1609.8785412557295,66928.75378900523,7.519831680460542,85.5485972282871,3556.579489792255,10.811550535716089,122.99650065260532,5113.430795012869,306.8058477007721,74430.54594815543,42.187166860608244
20230605 11:48:31,2233.0,139.57280652360515,18.7968,3227.0570309012874,11233.0,19.42272,42.800000000000004,2769.668,2679.456,1000.005364806867,47.0,19513.49202546296,test,0.16261211260677547,1.8305966798690416,71.50806071827597,0.5692802288761757,0.8775223937813305,0.2856451082585292,3.215633684455982,125.61135463889386,117.11449438599698,1318.4098106269528,51500.65540194649,142.8225541292646,1607.816842227991,62805.67731944693,7.589559612857039,85.4390389882025,3337.480098629155,10.911801059516318,122.83898456719126,4798.42319370451,287.9053916222706,71508.06071827597,40.53070484665949
20230605 11:48:33,2235.0,144.27670152360514,18.79296,3061.4370309012875,11244.0,19.39968,43.300000000000004,2775.5200000000004,2654.8320000000003,1051.005364806867,47.0,19513.49204861111,test,0.16809248032655102,1.9239566096843703,67.83810233119002,0.5971073028695915,0.8792948496529057,0.2815113456471366,3.222128753807192,113.61124207520518,115.41965171532601,1321.072789060949,46580.60925083413,140.7556728235683,1611.064376903596,56805.62103760259,7.479725987643445,85.61161227794368,3018.638406508595,10.753889042336041,123.08709980732351,4340.012259293336,260.40073555760017,67838.10233119002,38.45057571586785
20230605 11:48:35,2237.0,148.91192652360513,18.80064,3001.0702309012877,11236.0,19.4304,43.7,2773.4300000000003,2646.6240000000003,1085.005364806867,47.0,19513.492071759258,test,0.17349284267815468,1.9861965628945892,66.50043994765217,0.6164076635504246,0.8793177406866218,0.2814579586484363,3.2222126367708768,107.88386303411389,115.3977630458589,1321.1071810760595,44232.383843986696,140.72897932421816,1611.1063183854385,53941.931517056946,7.478307500865718,85.61384103921064,2866.4625652249815,10.751849629469728,123.09030418291246,4121.223213439036,247.27339280634217,66500.43994765216,37.69238987350175
20230605 11:48:37,2239.0,153.78749652360514,18.7968,2967.6758309012876,11249.0,19.426560000000002,44.2,2776.356,2673.9840000000004,1119.005364806867,47.0,19513.492094907408,test,0.17917322381836004,2.0484365161048084,65.76045650143972,0.6358280894098051,0.8791731936940246,0.28179507449045554,3.221682952079436,103.42489990097886,115.53598054108679,1320.8900103525689,42404.20895940134,140.89753724522777,1610.8414760397181,51712.44995048943,7.487264632304243,85.5997673742835,2747.9883973430974,10.764727641015423,123.07006993485369,3950.8883565352367,237.0533013921142,65760.45650143972,37.272967918150286
20230605 11:48:39,2241.0,158.21671152360514,18.80064,3259.2346309012873,11236.0,19.41888,44.7,2777.1920000000005,2669.4240000000004,1165.005364806867,47.0,19513.492118055554,test,0.184333570065448,2.1326435116245164,72.22108120490981,0.6610201787104703,0.8804307195641959,0.2788622435476163,3.2262910880949422,109.25699930341001,114.33351985452268,1322.7793461189262,44795.369714398104,139.43112177380814,1613.145544047471,54628.49965170501,7.409339631554836,85.72220504950594,2902.9466472942845,10.652691877530577,123.24610327833699,4173.677778089255,250.42066668535531,72221.0812049098,40.93484422064186
20230605 11:48:41,2243.0,162.13090152360513,18.812160000000002,3532.203430901288,11592.0,19.39968,45.300000000000004,2777.1920000000005,2657.112,1191.005364806867,47.0,19513.492141203704,test,0.18889387605124663,2.180238769961743,78.26977180370699,0.6759639161023187,0.8801813937311112,0.27944372702677567,3.2253774469697087,115.78986679498958,114.57192808097804,1322.4047532575808,47473.84538594573,139.72186351338783,1612.6887234848543,57894.93339749479,7.424789584665805,85.69792970368613,3076.524229534426,10.674904867918078,123.21120168223015,4423.236928080997,265.39421568485983,78269.77180370699,44.36323664110579
20230605 11:48:43,2245.0,165.53006652360514,18.80064,3452.976230901287,11238.0,19.43424,45.800000000000004,2773.848,2649.36,1233.005364806867,47.0,19513.49216435185,test,0.19285414177575602,2.2571234180449546,76.51418354670095,0.6986432264753957,0.8816404198168,0.27604095261710493,3.230723969703361,109.51825001254137,113.17679057301302,1324.5968275783782,44902.48250514197,138.02047630855247,1615.3619848516805,54759.12500627069,7.334378236861708,85.83998623409877,2909.888050362385,10.544917004183562,123.41544180657701,4183.657699615231,251.01946197691385,76514.18354670095,43.36817078751893
20230605 11:48:45,2247.0,168.96356652360515,18.78528,3593.5166309012875,11225.0,19.426560000000002,46.300000000000004,2773.848,2618.3520000000003,1262.005364806867,47.0,19513.4921875,test,0.19685441018435135,2.310210436959553,79.62840537802818,0.7148454939176534,0.881923665270281,0.27538036101410746,3.2317619074558754,111.39247019888325,112.90594801578406,1325.022382056909,45670.91278154214,137.69018050705373,1615.8809537279378,55696.23509944162,7.3168263894617365,85.8675641278536,2959.6858778784353,10.5196820397291,123.4550916025656,4255.253946929863,255.31523681579176,79628.40537802818,45.13330893564784
20230605 11:48:47,2249.0,172.15672152360514,18.80064,3596.8290309012878,11250.0,19.43808,46.800000000000004,2769.668,2623.368,1293.005364806867,47.0,19513.49221064815,test,0.20057465980434497,2.3669586295924,79.7018045457699,0.7319268031197,0.8824998796175685,0.2740365005755129,3.2338734139857768,108.89313549668626,112.3549652359603,1325.8880997341687,44646.185553641364,137.01825028775644,1616.9367069928883,54446.56774834313,7.281120163045835,85.92366662783803,2893.278825328324,10.468345827997348,123.53575231939227,4159.777979503751,249.5866787702251,79701.8045457699,45.17491151826368
20230605 11:48:49,2251.0,175.79623152360514,18.816,3547.4134309012875,11241.0,19.42272,47.2,2772.594,2654.8320000000003,1293.005364806867,47.0,19513.492233796296,test,0.204814944317456,2.3669586295924,78.60680879843936,0.7337449329662713,0.8803131532789729,0.27913643435936464,3.225860272756669,107.13097326704504,114.44593808733951,1322.6027118302343,43923.69903948847,139.5682171796823,1612.9301363783345,53565.486633522516,7.416624851749044,85.71075833259246,2846.458365594483,10.663166118130691,123.22964589423096,4092.4624080883445,245.54774448530068,78606.80879843936,44.55426890821931
20230605 11:48:51,2253.0,179.36707152360515,18.812160000000002,3540.923830901287,11247.0,19.43424,47.7,2772.594,2670.3360000000002,1306.005364806867,47.0,19513.492256944446,test,0.20897522346239514,2.390756258761013,78.46300634735354,0.742022953575298,0.8792443786241778,0.28162905534860794,3.221943805432977,105.74202047159633,115.46791269292926,1320.9969602275207,43354.228393354504,140.81452767430397,1610.9719027164886,52871.01023579817,7.482853521672559,85.60669821965658,2809.5540401370295,10.758385618010175,123.08003467717646,4039.4036433946467,242.3642186036788,78463.00634735354,44.472761807584206
20230605 11:48:53,2255.0,182.97224652360515,18.80448,3768.8034309012874,11237.0,19.4304,48.0,2769.668,2649.816,1342.005364806867,47.0,19513.492280092592,test,0.2131755052914202,2.45665738568948,83.51256949954404,0.7618078561435506,0.8800164375108626,0.2798284417419432,3.224772973759622,109.62419043865495,114.72966111419673,1322.1569192414452,44945.91807984853,139.9142208709716,1612.386486879811,54812.09521932747,7.435011413012554,85.68186891591246,2912.7028760189573,10.689601182733933,123.18811047141094,4187.704682463842,251.26228094783053,83512.56949954404,47.334849685093836
20230605 11:48:55,2257.0,186.47441652360513,18.80448,3945.239430901287,11239.0,19.4304,48.400000000000006,2760.8900000000003,2628.384,1370.005364806867,47.0,19513.492303240742,test,0.2172557790681874,2.5079138177449547,87.42219863843968,0.7775448744533684,0.8801947710723182,0.279412528081962,3.2254264675181283,112.43363760824667,114.55913651360443,1322.4248516824325,46097.79141938114,139.70626404098098,1612.7132337590642,56216.81880412334,7.423960632078571,85.69923217435243,2987.349583266226,10.673713050977296,123.21307429428164,4295.0271175956905,257.7016270557414,87422.19863843969,49.55082398361065
20230605 11:48:57,2259.0,189.97658652360514,18.80448,4162.505830901288,11243.0,19.43808,48.7,2770.5040000000004,2612.4240000000004,1383.005364806867,47.0,19513.49232638889,test,0.22133605284495464,2.531711446913568,92.23658486541696,0.7857885907256672,0.8792251962186104,0.28167379299889456,3.2218735125379716,117.38091638647677,115.48625512954678,1320.9681401405685,48126.17571845548,140.83689649944728,1610.9367562689858,58690.45819323839,7.484042196199,85.60483054504364,3118.798244990958,10.760094620985136,123.07734944972455,4484.015902116217,269.0409541269731,92236.58486541695,52.27961379028998
20230605 11:48:59,2261.0,193.41008652360514,18.80064,4332.046630901288,11248.0,19.41504,48.900000000000006,2772.176,2606.04,1408.005364806867,47.0,19513.49234953704,test,0.22533632125354996,2.57747611839167,95.99342390003392,0.7999926442912533,0.8792255399041404,0.2816729914475461,3.2218747719551386,119.9928831659177,115.4859264934939,1320.968656501607,49197.082098026265,140.83649572377306,1610.9373859775692,59996.441582958854,7.484020899066418,85.60486400762147,3188.1979196439806,10.760064001280472,123.07739756015663,4583.7944771637185,275.02766862982315,95993.42390003391,54.40898679438199
20230605 11:49:01,2263.0,196.32856152360515,18.80448,4333.263430901287,11068.0,19.40736,49.1,2773.012,2604.216,1432.005364806867,47.0,19513.492372685185,test,0.22873654940085597,2.6214102030106483,96.0203868596125,0.8134398618622134,0.8794297911816891,0.2811966318901656,3.2226232397923504,118.04239177533343,115.2906190749679,1321.2755283148638,48397.38062788671,140.5983159450828,1611.3116198961752,59021.19588766671,7.4713640771802154,85.62475071705423,3136.373574485562,10.741866802824582,123.10598944534203,4509.28462767912,270.55707766074715,96020.3868596125,54.42426937575107
20230605 11:49:03,2265.0,199.55605152360513,18.816,4268.570230901288,11230.0,19.42272,49.300000000000004,2772.176,2619.264,1466.005364806867,47.0,19513.492395833335,test,0.23249680170493556,2.6836501562208674,94.58685617535076,0.8320369836401275,0.8801869150143603,0.27943085016217867,3.225397679415654,113.68107191766545,114.56664856649326,1322.4130485604182,46609.239486242834,139.71542508108934,1612.6988397078271,56840.53595883273,7.424447447767044,85.69846727758527,3020.4937778655194,10.674412964571264,123.21197457285112,4342.679797882003,260.5607878729202,94586.85617535077,53.61174546629491
20230605 11:49:05,2267.0,202.68053652360513,18.808320000000002,4395.725830901288,11230.0,19.4304,49.6,2773.4300000000003,2607.864,1503.005364806867,47.0,19513.49241898148,test,0.2361370459567573,2.7513818700084585,97.40448545131349,0.8520813093204538,0.8811735874902232,0.2771297097750915,3.2290132877139652,114.31360409606316,113.62318100778752,1323.895447962726,46868.577679385904,138.56485488754575,1614.5066438569827,57156.80204803158,7.363306396720078,85.79453359877687,3037.300089390571,10.586508129557645,123.35009280880075,4366.842876803598,262.0105726082159,97404.48545131349,55.208775219363915
20230605 11:49:07,2269.0,205.87369152360515,18.83136,4157.165430901287,11441.0,19.44192,49.800000000000004,2768.8320000000003,2613.792,1521.005364806867,47.0,19513.49244212963,test,0.23985729557675095,2.7843324334726924,92.1182474317109,0.8626684234233175,0.8807827967054762,0.2780411210890598,3.2275812558707746,106.78291326134216,113.99685964651452,1323.3083149070178,43780.99443715029,139.0205605445299,1613.7906279353872,53391.45663067108,7.387522496695905,85.75648466768308,2837.2104489113012,10.621324545641388,123.29538840066628,4079.166323439255,244.7499794063553,92118.2474317109,52.212540238725666
20230605 11:49:09,2271.0,208.38014652360513,18.81984,4249.845030901288,11226.0,19.41888,50.0,2767.996,2654.8320000000003,1542.005364806867,47.0,19513.492465277777,test,0.24277749151502553,2.8227747575142983,94.17192618628023,0.874411154566407,0.8809518559341737,0.2776468372426142,3.2282007643349697,107.69753530074435,113.83520326947183,1323.5623133773377,44155.989473305184,138.8234186213071,1614.100382167485,53848.767650372174,7.377046417566705,85.77294494053125,2861.5118575144306,10.606262684720242,123.31905396650494,4114.105391009678,246.84632346058066,94171.92618628024,53.37656351967072
20230605 11:49:11,2273.0,211.16128152360514,18.81984,4164.466230901288,11219.0,19.43424,50.400000000000006,2767.16,2663.952,1581.005364806867,47.0,19513.492488425927,test,0.24601770892598773,2.8941676450201377,92.28002518918245,0.8952830655014304,0.8821754204856085,0.2747932116734477,3.2326844509218673,103.07357387297192,112.66521678611358,1325.4006248779658,42260.16528791849,137.39660583672386,1616.3422254609336,51536.78693648596,7.301225895023885,85.89207600790394,2738.6537028007574,10.497252610299814,123.49033327301129,3937.4675080284524,236.24805048170714,92280.02518918246,52.30423572694017
20230605 11:49:13,2275.0,213.53039652360513,18.808320000000002,4194.345430901288,11223.0,19.426560000000002,50.800000000000004,2768.4139999999998,2644.8,1585.005364806867,47.0,19513.492511574073,test,0.24877789412791848,2.901489992456634,92.94211564105673,0.8984647789952099,0.8812754235336164,0.2768922053974526,3.2293864604258493,103.44547478533072,113.52580421295556,1324.0484487745982,42412.64466198559,138.4461026987263,1614.6932302129246,51722.73739266536,7.356995931109815,85.80444875734548,2748.5350697936356,10.577435331023267,123.36434821270997,3951.6743284926724,237.10045970956034,92942.11564105673,52.679508002780935
20230605 11:49:15,2277.0,215.55616152360514,18.81984,4224.562630901288,11233.0,19.44576,51.2,2766.742,2692.224,1595.005364806867,47.0,19513.492534722223,test,0.25113805248898974,2.919795861047875,93.61169580392507,0.9044722916203581,0.8809451331043798,0.277662516381875,3.2281761288862407,103.49868831937364,113.84163171656876,1323.5522128433588,42434.462210943195,138.8312581909375,1614.0880644431204,51749.34415968682,7.377463010600009,85.77229037932466,2749.9489476341905,10.6068616365085,123.31811287874334,3953.7071149131725,237.22242689479035,93611.69580392507,53.05902544011313
20230605 11:49:17,2279.0,217.30724652360513,18.82368,4211.042630901288,11036.0,19.42272,51.5,2772.594,2636.592,1612.005364806867,47.0,19513.49255787037,test,0.25317818937737335,2.9509158376529845,93.31210736416297,0.9138394611827707,0.8812082499308,0.27704886922883376,3.2291403063659034,102.10995620980331,113.59003638382185,1323.9475256100206,41865.08204601936,138.5244346144169,1614.5701531829518,51054.97810490166,7.361158472154873,85.79790847061244,2713.0504857766414,10.583419975996447,123.35494499152934,3900.6567805420377,234.03940683252227,93312.10736416296,52.889218980456675
