time,seconds,CO,ChipTemp,PM,Flow,FlueTemp,TC,F1Flow,DilFlow,CO2,PM_RH,datenumbers,phase,COconc,CO2conc,PMconc,Cconc,MCE,CER_CO,CER_CO2,CER_PM,EFmass_CO,EFmass_CO2,EFmass_PM,EFmass_dry_CO,EFmass_dry_CO2,EFmass_dry_PM,EFenergy_CO,EFenergy_CO2,EFenergy_PM,ER_CO,ER_CO2,ER_PM,ER_PM_heat,Realtime_conc_PM,PM_flowrate
yyyymmdd hhmmss,s,ppm,degC,Mm^-1,,degC,degC,ccm,ccm,ppm,%,date,text,gm^-3,gm^-3,mgm^-3,gm^-3,mol/mol,g/g,g/g,mg/g,g/kg,g/kg,mg/kg,g/kg,g/kg,mg/kg,g/MJ,g/MJ,mg/MJ,g/min,g/min,mg/min,g/hr,mg/m^3,g/hr
20230605 14:15:15,11037.0,196.22555652360515,31.77216,80.00663090128755,13678.0,27.91296,218.70000000000002,2689.4120000000003,2605.128,2274.005364806867,35.0,19513.59392361111,test,0.22861654134859813,4.162764338393131,1.2529447700798781,1.2340124263965133,0.9205638813646144,0.1852627546192464,3.373356904151264,1.0153421013260375,14.634344702763668,266.4694684166632,80.20428246666039,20.95394094270631,381.5398378024165,114.83915626513561,3.7519625252252817,68.31761038314308,20.562824526107008,0.5197494626171684,9.463858192932156,2.8485137912440983,0.1709108274746459,1252.9447700798783,0.22348520333515412
20230605 14:15:17,11039.0,193.82210652360513,31.764480000000002,128.54343090128756,13618.0,27.8784,218.8,2694.01,2585.976,2263.005364806867,35.0,19513.593946759258,test,0.2258163534625814,4.142627882942766,2.013055888762597,1.2273166864501945,0.9211087840780929,0.18399191989780317,3.3753536708806715,1.6402090112414422,14.53395845183016,266.62719775988285,129.56400278306558,20.81020457348417,381.76567991628536,185.51404369368808,3.726225434894257,68.35804913164247,33.21770075351877,0.5161841714451633,9.46946006599463,4.6015603833843315,0.27609362300305984,2013.0558887625969,0.35906467337459486
20230605 14:15:19,11041.0,191.79634152360515,31.76832,203.17383090128757,13668.0,27.90528,218.70000000000002,2691.084,2584.608,2248.005364806867,35.0,19513.593969907408,test,0.22345619510151019,4.115169080055905,3.181806132531011,1.2188114064792068,0.9213885534115509,0.18333943538238653,3.376378870578047,2.61058119050783,14.482417151305684,266.70818071725813,206.21600437152208,20.736406027034995,381.8816340051546,295.2669261798733,3.7130112437571103,68.3788115933328,52.869789267539204,0.5143536444352912,9.472336234995145,7.323912319416489,0.4394347391649893,3181.806132531011,0.5675322707611444
20230605 14:15:21,11043.0,192.17402652360514,31.764480000000002,273.0722309012876,13931.0,27.88992,218.70000000000002,2691.92,2587.8,2228.005364806867,35.0,19513.593993055554,test,0.22389622462645564,4.078557342873423,4.276450835480776,1.2090090109478506,0.9205951314138084,0.18518987253115948,3.3734714182782444,3.5371538150307766,14.628587573642312,266.47851415934906,279.4081751739124,20.94569769396107,381.5527897973212,400.06590800050304,3.7504865088299506,68.31992953635832,71.63484418240643,0.5195449939629295,9.46417945910399,9.923385832920804,0.5954031499752482,4276.450835480776,0.7627818139655758
20230605 14:15:23,11045.0,195.12683652360514,31.76832,332.5602309012876,13617.0,27.89376,218.8,2688.994,2620.1760000000004,2191.005364806867,35.0,19513.594016203704,test,0.2273364554578476,4.010825629085832,5.208063348629511,1.1920006190679315,0.918224632979344,0.1907184038508388,3.364784854073349,4.369178392459129,15.06529938438102,265.79234183551426,345.13177132944986,21.570996173466824,380.57030546733006,494.17113651308114,3.862450958314694,68.14400824318359,88.48510121865408,0.5350551335393978,9.439809546831214,12.25760745178546,0.7354564471071275,5208.063348629511,0.9289516379693471
20230605 14:15:25,11047.0,202.19984652360515,31.75296,445.65503090128755,13525.0,27.8976,219.0,2691.5020000000004,2638.416,2139.005364806867,35.0,19513.59403935185,test,0.23557700837955398,3.9156351124113793,6.979185774195232,1.1695571853541589,0.9136342916267908,0.2014241042076261,3.347963794712328,5.967374542769222,15.910968065210671,264.4636064323257,471.3770785113287,22.78185268635561,378.667777972427,674.9333615878628,4.079264028095014,67.80334622243987,120.85195270073734,0.5650896756621056,9.392618536519885,16.74130193202614,1.0044781159215683,6979.185774195232,1.2448631329219713
20230605 14:15:27,11049.0,213.01537152360513,31.764480000000002,753.5730309012877,13534.0,27.89376,219.4,2688.994,2588.712,2134.005364806867,35.0,19513.5940625,test,0.2481778538666292,3.906482178115759,11.801339180323064,1.1724623510429417,0.9092400982120631,0.21167234380350658,3.3318615089352948,10.065431243762673,16.720500834767396,263.1916486605231,795.0923039329974,23.940968600939307,376.8465465764674,1138.4395761476121,4.286812550151152,67.47724088664228,203.8462663714811,0.5938408244490163,9.347444025341307,28.238285081680527,1.6942971049008315,11801.339180323064,2.1049808014869473
20230605 14:15:29,11051.0,226.68070152360514,31.78368,1136.7298309012876,13715.0,27.89376,220.0,2693.592,2579.136,2150.005364806867,35.0,19513.594085648147,test,0.26409892213283853,3.935771567861744,17.80177068546742,1.1872817695584528,0.9046232042443902,0.22243997078389932,3.3149431489421826,14.99372022876074,17.571061246576555,261.8552272494656,1184.3895479987102,25.158829256762683,374.9330140001452,1695.8483038353488,4.504879765005362,67.13460832235332,303.65453934677856,0.6240490999775926,9.299980040835324,42.06446162126196,2.5238676972757177,17801.77068546742,3.175265531547602
20230605 14:15:31,11053.0,242.23445652360513,31.78368,1561.8662309012877,13635.0,27.88608,220.5,2693.174,2585.976,2139.005364806867,35.0,19513.594108796296,test,0.2822201380237753,3.9156351124113793,24.45962420273151,1.1895566136664437,0.8982738091502848,0.23724817699421488,3.2916761316156564,20.561967309266784,18.740796601946524,260.0173103273009,1624.2386009492452,26.833695200735505,372.3014234898187,2325.6387909686932,4.8047772532031345,66.66340202261807,416.42331696854546,0.6655931072226201,9.234705076220768,57.686022650949766,3.461161359056986,24459.624202731513,4.3628132851381904
