time,seconds,CO,ChipTemp,PM,Flow,FlueTemp,TC,F1Flow,DilFlow,CO2,PM_RH,datenumbers,phase,COconc,CO2conc,PMconc,Cconc,MCE,CER_CO,CER_CO2,CER_PM,EFmass_CO,EFmass_CO2,EFmass_PM,EFmass_dry_CO,EFmass_dry_CO2,EFmass_dry_PM,EFenergy_CO,EFenergy_CO2,EFenergy_PM,ER_CO,ER_CO2,ER_PM,ER_PM_heat,Realtime_conc_PM,PM_flowrate
yyyymmdd hhmmss,s,ppm,degC,Mm^-1,,degC,degC,ccm,ccm,ppm,%,date,text,gm^-3,gm^-3,mgm^-3,gm^-3,mol/mol,g/g,g/g,mg/g,g/kg,g/kg,mg/kg,g/kg,g/kg,mg/kg,g/MJ,g/MJ,mg/MJ,g/min,g/min,mg/min,g/hr,mg/m^3,g/hr
20230605 11:48:21,2223.0,116.63702652360514,18.78912,2066.7030309012875,11242.0,19.39968,41.0,2782.626,2668.968,838.005364806867,47.0,19513.491909722223,test,0.13589031963735876,1.5340416086909392,45.79588287569216,0.47689491840389975,0.8778212369544477,0.28494813929274937,3.216728779214425,96.02929515157037,70.3493459157333,794.1612328745892,23708.16710517742,92.55517317913971,1044.8388607466493,31191.66900013681,7.216109685458502,81.46137664487273,2431.873843959622,6.554594897276546,73.99365405400977,2208.939246109205,132.5363547665523,45795.88287569216,15.630251779093683
20230605 11:48:23,2225.0,121.51259652360514,18.79296,2262.2698309012876,11247.0,19.41888,41.400000000000006,2783.462,2670.3360000000002,869.005364806867,47.0,19513.49193287037,test,0.1415707007775641,1.590789801323786,50.1294296568512,0.4948166838557765,0.8773241866705896,0.28610737147017357,3.214907365143434,101.30909343279612,70.63554264489487,793.7115535439787,25011.668705760414,92.93170813459733,1044.2472397759352,32906.62192273766,7.245466418806431,81.4152506243571,2565.580993650035,6.581260441869196,73.95175649536918,2330.3892017350513,139.82335210410307,50129.4296568512,17.109302362523955
20230605 11:48:25,2227.0,126.28516152360514,18.78912,2615.6826309012877,11227.0,19.4304,41.800000000000004,2784.2980000000002,2626.1040000000003,915.005364806867,47.0,19513.49195601852,test,0.14713107386551158,1.674996796843494,57.96067147223298,0.5201802948400803,0.8787224522548606,0.2828463041083559,3.2200312342827986,111.42419666252813,69.83043489279503,794.9765586196629,27508.933288178676,91.87246747708322,1045.9115447147858,36192.15006647783,7.162882198979789,81.54500897903652,2821.738814391204,6.506246877848394,74.06961964969105,2563.0645376034895,153.78387225620938,57960.67147223298,19.78212519355522
20230605 11:48:27,2229.0,130.57703652360513,18.7968,3027.9074309012876,11230.0,19.4112,42.1,2781.3720000000003,2701.8,960.005364806867,47.0,19513.491979166665,test,0.15213140937625572,1.757373205504078,67.09512300057996,0.544804221998122,0.8802685277478293,0.2792405110560618,3.2256967448944183,123.15455771341517,68.94021962988442,796.3752867067996,30404.98037005655,90.70125505495069,1047.7517824405284,40002.33672434982,7.071568045348184,81.68848402014068,3118.8018947233977,6.423303670007615,74.199942055156,2832.895268480321,169.97371610881927,67095.12300057996,22.89973682776116
20230605 11:48:29,2231.0,135.07492152360516,18.80448,3358.9446309012874,11242.0,19.4112,42.5,2780.954,2630.208,978.005364806867,47.0,19513.492002314815,test,0.15737176099151562,1.7903237689683118,74.43054594815543,0.556043118498813,0.8786476382859039,0.28302078697850397,3.219757082511459,133.85750757801046,69.87351204998892,794.9088747321904,33047.3753132627,91.92914197337377,1045.822496354138,43478.805743252706,7.167300854010658,81.53806627971811,3389.846514886839,6.510260466191781,74.06331340110152,3079.092701958589,184.74556211751533,74430.54594815543,25.403335412986895
20230605 11:48:31,2233.0,139.57280652360515,18.7968,3227.0570309012874,11233.0,19.42272,42.800000000000004,2769.668,2679.456,1000.005364806867,47.0,19513.49202546296,test,0.16261211260677547,1.8305966798690416,71.50806071827597,0.5692802288761757,0.8775223937813305,0.2856451082585292,3.215633684455982,125.61135463889386,70.52141691429419,793.8908706951295,31011.52602844965,92.78155852592018,1044.483158529162,40800.33900458245,7.2337599305764755,81.43364414620645,3181.0185357344744,6.570627110148682,73.96846384735132,2889.4083891883774,173.36450335130263,71508.06071827597,24.405883740580236
20230605 11:48:33,2235.0,144.27670152360514,18.79296,3061.4370309012875,11244.0,19.39968,43.300000000000004,2775.5200000000004,2654.8320000000003,1051.005364806867,47.0,19513.49204861111,test,0.16809248032655102,1.9239566096843703,67.83810233119002,0.5971073028695915,0.8792948496529057,0.2815113456471366,3.222128753807192,113.61124207520518,69.50085402659057,795.4944041720248,28048.881415763273,91.43885414705136,1046.5928486296268,36902.53325207569,7.129075322031586,81.59812717448423,2877.1241895128937,6.475539142961259,74.11786839700925,2613.3726278322083,156.80235766993252,67838.10233119002,23.153317570720517
20230605 11:48:35,2237.0,148.91192652360513,18.80064,3001.0702309012877,11236.0,19.4304,43.7,2773.4300000000003,2646.6240000000003,1085.005364806867,47.0,19513.492071759258,test,0.17349284267815468,1.9861965628945892,66.50043994765217,0.6164076635504246,0.8793177406866218,0.2814579586484363,3.2222126367708768,107.88386303411389,69.48767359155319,795.5151135953022,26634.878957799145,91.42151329716027,1046.6200949989134,35042.19978814607,7.1277233341247515,81.60025145109188,2732.0823742784028,6.474311094411335,74.11979793705504,2481.62707746405,148.897624647843,66500.43994765216,22.696769983094104
20230605 11:48:37,2239.0,153.78749652360514,18.7968,2967.6758309012876,11249.0,19.426560000000002,44.2,2776.356,2673.9840000000004,1119.005364806867,47.0,19513.492094907408,test,0.17917322381836004,2.0484365161048084,65.76045650143972,0.6358280894098051,0.8791731936940246,0.28179507449045554,3.221682952079436,103.42489990097886,69.57090234694269,795.384342530515,25534.029025397427,91.53101327570714,1046.4480459430104,33593.86569475263,7.136260553910621,81.58683756166755,2619.162292989292,6.48206569068059,74.10761372492333,2379.0585993117356,142.74351595870414,65760.45650143972,22.444211743130545
20230605 11:48:39,2241.0,158.21671152360514,18.80064,3259.2346309012873,11236.0,19.41888,44.7,2777.1920000000005,2669.4240000000004,1165.005364806867,47.0,19513.492118055554,test,0.184333570065448,2.1326435116245164,72.22108120490981,0.6610201787104703,0.8804307195641959,0.2788622435476163,3.2262910880949422,109.25699930341001,68.84683115622614,796.5220209704803,26973.885342041256,90.57838843494358,1047.944833491814,35488.2138085173,7.061988688774167,81.7035353404842,2766.8560771596212,6.4146024716533585,74.21361359173473,2513.213007473395,150.7927804484037,72221.0812049098,24.64923945358155
20230605 11:48:41,2243.0,162.13090152360513,18.812160000000002,3532.203430901288,11592.0,19.39968,45.300000000000004,2777.1920000000005,2657.112,1191.005364806867,47.0,19513.492141203704,test,0.18889387605124663,2.180238769961743,78.26977180370699,0.6759639161023187,0.8801813937311112,0.27944372702677567,3.2253774469697087,115.78986679498958,68.99039055100303,796.296456923207,28586.75060281285,90.76726246741836,1047.648069972742,37610.18127789711,7.076714345787793,81.68039802648316,2932.296316554804,6.427978199092073,74.19259732023966,2663.487018846737,159.80922113080422,78269.77180370699,26.71367300210953
20230605 11:48:43,2245.0,165.53006652360514,18.80064,3452.976230901287,11238.0,19.43424,45.800000000000004,2773.848,2649.36,1233.005364806867,47.0,19513.49216435185,test,0.19285414177575602,2.2571234180449546,76.51418354670095,0.6986432264753957,0.8816404198168,0.27604095261710493,3.230723969703361,109.51825001254137,68.15029749191764,797.6164317725587,27038.384154186617,89.66199336280752,1049.3846959382513,35573.071722265544,6.990541495401749,81.81579492564379,2773.47206622056,6.349704981244186,74.31558212272037,2519.2224959692053,151.15334975815233,76514.18354670095,26.114486246568468
20230605 11:48:45,2247.0,168.96356652360515,18.78528,3593.5166309012875,11225.0,19.426560000000002,46.300000000000004,2773.848,2618.3520000000003,1262.005364806867,47.0,19513.4921875,test,0.19685441018435135,2.310210436959553,79.62840537802818,0.7148454939176534,0.881923665270281,0.27538036101410746,3.2317619074558754,111.39247019888325,67.98720750893463,797.872682759745,27501.100508602798,89.44742389634996,1049.7218327543455,36181.84486376865,6.97381248121568,81.84207996364198,2820.9353641838734,6.334509548275444,74.33945756024107,2562.334741236924,153.74008447421542,79628.40537802818,27.177378110706574
20230605 11:48:47,2249.0,172.15672152360514,18.80064,3596.8290309012878,11250.0,19.43808,46.800000000000004,2769.668,2623.368,1293.005364806867,47.0,19513.49221064815,test,0.20057465980434497,2.3669586295924,79.7018045457699,0.7319268031197,0.8824998796175685,0.2740365005755129,3.2338734139857768,108.89313549668626,67.65542888040311,798.3939814902579,26884.05292246849,89.01091907855599,1050.407679845781,35370.02571390989,6.9397801679992615,81.89555237009161,2757.641484123835,6.303597043300586,74.38802804735077,2504.843134075468,150.29058804452805,79701.8045457699,27.202429434103767
