time,seconds,CO,ChipTemp,PM,Flow,FlueTemp,TC,F1Flow,DilFlow,CO2,PM_RH,datenumbers,phase,CO_bkg,PM_bkg,CO2_bkg
yyyymmdd hhmmss,s,ppm,degC,Mm^-1,,degC,degC,ccm,ccm,ppm,%,date,text,ppm,Mm^-1,ppm
20230605 11:11:19,1.0,3.09118152360515,17.82144,0.6442309012875538,10444.0,19.05792,18.5,3.3440000000000003,-12.768,18.005364806866964,56.0,19513.46619212963,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:11:21,3.0,2.67916152360515,17.82144,0.7118309012875539,10493.0,19.046400000000002,18.5,5.016000000000001,-12.312,13.005364806866964,56.0,19513.46621527778,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:11:23,5.0,2.40448152360515,17.82528,0.779430901287554,10477.0,19.05024,18.5,3.762,-12.768,8.005364806866964,56.0,19513.466238425925,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:11:25,7.0,2.19847152360515,17.82528,0.8470309012875537,10497.0,19.05408,18.5,5.852,-12.768,10.005364806866964,56.0,19513.466261574074,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:11:27,9.0,2.06113152360515,17.82912,0.779430901287554,10549.0,19.05792,18.5,3.762,-12.312,5.0053648068669645,56.0,19513.46628472222,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:11:29,11.0,1.99246152360515,17.8176,0.8470309012875537,10317.0,19.05408,18.5,5.434,-12.768,18.005364806866964,56.0,19513.46630787037,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:11:31,13.0,1.78645152360515,17.83296,0.8470309012875537,10460.0,19.05024,18.5,3.3440000000000003,-12.768,27.005364806866964,56.0,19513.466331018517,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:11:33,15.0,1.47743652360515,17.83296,0.8470309012875537,10440.0,19.06176,18.5,6.2700000000000005,-11.856,32.005364806866964,56.0,19513.466354166667,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:11:35,17.0,1.34009652360515,17.82528,0.9146309012875538,10458.0,19.05408,18.5,5.016000000000001,-12.312,32.005364806866964,56.0,19513.466377314813,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:11:37,19.0,1.27142652360515,17.82912,0.9146309012875538,10443.0,19.05408,18.5,5.852,-11.856,34.005364806866964,56.0,19513.466400462963,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:11:39,21.0,1.13408652360515,17.82912,0.9822309012875539,10484.0,19.06176,18.5,4.598000000000001,-12.768,32.005364806866964,56.0,19513.46642361111,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:11:41,23.0,1.03108152360515,17.8368,0.8470309012875537,10442.0,19.05792,18.5,6.688000000000001,-12.312,18.005364806866964,56.0,19513.46644675926,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:11:43,25.0,1.13408652360515,17.8368,0.7118309012875539,10551.0,19.06176,18.5,3.762,-12.768,8.005364806866964,56.0,19513.46646990741,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:11:45,27.0,0.8937415236051501,17.84064,0.7118309012875539,10473.0,19.06944,18.5,6.688000000000001,-12.312,8.005364806866964,56.0,19513.466493055555,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:11:47,29.0,0.8594065236051501,17.83296,0.6442309012875538,10462.0,19.06176,18.5,3.762,-12.312,11.005364806866964,56.0,19513.466516203705,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:11:49,31.0,0.7907365236051501,17.82912,0.779430901287554,10445.0,19.05792,18.5,6.688000000000001,-12.312,18.005364806866964,56.0,19513.46653935185,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:11:51,33.0,0.6877315236051501,17.8368,0.6442309012875538,10465.0,19.06176,18.5,3.762,-12.768,23.005364806866964,56.0,19513.4665625,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:11:53,35.0,0.6533965236051501,17.84064,0.5766309012875541,10449.0,19.0656,18.5,6.688000000000001,-11.856,13.005364806866964,56.0,19513.466585648148,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:11:55,37.0,0.6533965236051501,17.8368,0.779430901287554,10479.0,19.06176,18.5,3.762,-12.768,8.005364806866964,56.0,19513.466608796298,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:11:57,39.0,0.5503915236051502,17.84832,0.7118309012875539,10457.0,19.06176,18.5,6.688000000000001,-11.4,11.005364806866964,56.0,19513.466631944444,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:11:59,41.0,0.5160565236051502,17.84448,0.8470309012875537,10482.0,19.0656,18.5,4.180000000000001,-12.768,11.005364806866964,56.0,19513.466655092594,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:12:01,43.0,0.4817215236051502,17.84448,0.8470309012875537,10474.0,19.06944,18.5,6.688000000000001,-12.768,18.005364806866964,56.0,19513.46667824074,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:12:03,45.0,0.4473865236051502,17.84832,0.7118309012875539,10455.0,19.06944,18.5,3.3440000000000003,-12.312,13.005364806866964,56.0,19513.46670138889,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:12:05,47.0,0.4130515236051502,17.84448,0.8470309012875537,10473.0,19.07712,18.5,6.688000000000001,-12.312,13.005364806866964,56.0,19513.466724537036,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:12:07,49.0,0.4817215236051502,17.84832,0.5766309012875541,10460.0,19.06944,18.5,3.3440000000000003,-12.768,21.005364806866964,56.0,19513.466747685186,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:12:09,51.0,0.3787165236051502,17.84832,0.6442309012875538,10470.0,19.06944,18.5,6.2700000000000005,-12.312,18.005364806866964,56.0,19513.466770833333,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:12:11,53.0,0.31004652360515017,17.84448,0.5766309012875541,10473.0,19.07328,18.5,3.762,-13.680000000000001,6.0053648068669645,56.0,19513.466793981483,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:12:13,55.0,0.3443815236051502,17.84064,0.6442309012875538,10456.0,19.07328,18.5,6.688000000000001,-12.312,-4.9946351931330355,56.0,19513.46681712963,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:12:15,57.0,0.24137652360515016,17.859840000000002,0.6442309012875538,10459.0,19.07328,18.5,3.762,-13.680000000000001,-2.9946351931330355,56.0,19513.46684027778,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:12:17,59.0,0.31004652360515017,17.84448,0.509030901287554,10545.0,19.07712,18.5,6.688000000000001,-12.768,6.0053648068669645,56.0,19513.466863425925,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:12:19,61.0,0.20704152360515016,17.84448,0.6442309012875538,10443.0,19.08096,18.5,4.180000000000001,-12.312,6.0053648068669645,56.0,19513.466886574075,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:12:21,63.0,0.20704152360515016,17.856,0.5766309012875541,10480.0,19.08096,18.5,6.688000000000001,-12.768,6.0053648068669645,56.0,19513.46690972222,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:12:23,65.0,0.20704152360515016,17.859840000000002,0.509030901287554,10471.0,19.07712,18.5,3.762,-12.768,13.005364806866964,56.0,19513.46693287037,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 11:12:25,67.0,0.24137652360515016,17.84832,0.4414309012875539,10423.0,19.08096,18.5,6.2700000000000005,-12.768,8.005364806866964,56.0,19513.466956018518,none,-1.37443152360515,2.803369098712446,869.994635193133
