time_test,seconds_test,CO_test,ChipTemp_test,PM_test,Flow_test,FlueTemp_test,TC_test,F1Flow_test,DilFlow_test,CO2_test,PM_RH_test,datenumbers_test,phase_test,COconc_test,CO2conc_test,PMconc_test,Cconc_test,MCE_test,CER_CO_test,CER_CO2_test,CER_PM_test,EFmass_CO_test,EFmass_CO2_test,EFmass_PM_test,EFmass_dry_CO_test,EFmass_dry_CO2_test,EFmass_dry_PM_test,EFenergy_CO_test,EFenergy_CO2_test,EFenergy_PM_test,ER_CO_test,ER_CO2_test,ER_PM_test,ER_PM_heat_test,Realtime_conc_PM_test,PM_flowrate_test
yyyymmdd hhmmss,s,ppm,degC,Mm^-1,,degC,degC,ccm,ccm,ppm,%,date,text,gm^-3,gm^-3,mgm^-3,gm^-3,mol/mol,g/g,g/g,mg/g,g/kg,g/kg,mg/kg,g/kg,g/kg,mg/kg,g/MJ,g/MJ,mg/MJ,g/min,g/min,mg/min,g/hr,mg/m^3,g/hr
20230605 12:37:35,5177.0,86.45656152360515,23.71968,26.940630901287555,13931.0,23.88096,231.10000000000002,2759.2180000000003,2676.72,1912.005364806867,44.0,19513.526099537037,test,0.10072796032580596,3.500091895390211,0.42157729529432586,0.9983385882983985,0.9567384495123434,0.10089558943873946,3.505916666364549,0.42227887435752254,41.367191669883184,1437.425833209465,173.13433848658426,50.447794719369725,1752.9583331822744,211.13943717876126,2.6807848920927473,93.15182640201317,11.219903991094826,3.372139348538063,117.17498861059224,14.113433661458108,0.8468060196874865,421.57729529432584,1.1441654660314609
20230605 12:37:37,5179.0,85.56385152360515,23.71584,33.90343090128756,13708.0,23.87328,229.9,2758.382,2677.632,1898.005364806867,44.0,19513.526122685184,test,0.09968789053957118,3.474463679362474,0.5305338524896901,0.9908988833525867,0.9568636925703581,0.10060349467978937,3.5063756128244346,0.5354066508730869,41.24743281871365,1437.6140012580183,219.51672685796566,50.30174733989468,1753.1878064122172,267.7033254365435,2.673023965959021,93.16402055978345,14.2256967700062,3.3623769373599672,117.19032755082603,17.894398010076923,1.0736638806046153,530.53385248969,1.4398747735110835
20230605 12:37:39,5181.0,85.15183152360515,23.71584,52.358230901287556,14012.0,23.88096,229.0,2756.2920000000004,2684.9280000000003,1873.005364806867,44.0,19513.526145833333,test,0.09920785833053974,3.4286990078843718,0.819321620590024,0.9782042206030221,0.9565143024864515,0.10141835032094038,3.5050952916260387,0.8375772699947526,41.581523631585554,1437.089069566676,343.40668069784857,50.70917516047019,1752.5476458130195,418.7886349973763,2.6946745921577056,93.13000256410318,22.254337418044752,3.389611098795456,117.14753656743522,27.993565281714268,1.679613916902856,819.321620590024,2.223647986539597
20230605 12:37:41,5183.0,84.43079652360515,23.73504,117.25423090128754,14020.0,23.86944,228.8,2763.8160000000003,2669.88,1860.005364806867,44.0,19513.52616898148,test,0.09836780196473473,3.4049013787157585,1.8348390468769131,0.9713498299681975,0.956578262530443,0.10126918122583636,3.5053296697722556,1.8889580151951915,41.52036430259291,1437.185164606625,774.4727862300285,50.63459061291818,1752.664834886128,944.4790075975957,2.690711185444424,93.1362299660829,50.18941003370025,3.3846255590113663,117.15536997000211,63.13288505682024,3.7879731034092146,1834.839046876913,4.979773570815689
20230605 12:37:43,5185.0,83.98444152360514,23.72736,162.68143090128757,14187.0,23.86944,228.9,2763.8160000000003,2673.5280000000002,1827.005364806867,44.0,19513.52619212963,test,0.09784776707161733,3.3444920123646638,2.5457012452777357,0.9546415872969256,0.9560518631520729,0.10249686204083562,3.503400707520627,2.666656553781516,42.023713436742604,1436.3942900834572,1093.3291870504215,51.24843102041781,1751.7003537603134,1333.328276890758,2.7233305318347876,93.08497764781656,70.85277603852126,3.4256571918779137,117.09090006059628,89.12517924783434,5.3475107548700604,2545.701245277736,6.909061479808954
20230605 12:37:45,5187.0,84.39646152360515,23.72736,140.71143090128757,14110.0,23.86944,228.70000000000002,2757.9640000000004,2646.168,1822.005364806867,44.0,19513.52621527778,test,0.09832779928064878,3.335339078069043,2.2019062832535288,0.9523496459714526,0.9557299723710109,0.10324758317135578,3.502221156040649,2.312077599406734,42.33150910025588,1435.910673976666,947.951815756761,51.62379158567789,1751.1105780203245,1156.038799703367,2.7432771110268863,93.05363709264896,61.43165159463165,3.4507478452760307,117.05147700968406,77.27441698099939,4.636465018859964,2201.9062832535287,5.975998130965486
20230605 12:37:47,5189.0,86.21621652360514,23.746560000000002,121.37783090128755,14124.0,23.86944,228.5,2753.784,2612.4240000000004,1822.005364806867,44.0,19513.526238425926,test,0.10044794153720428,3.335339078069043,1.899366716672226,0.9532587108947382,0.9548185507557815,0.10537322175941391,3.498881300479762,1.9924986731980252,43.20302092135971,1434.5413331967025,816.9244560111904,52.686610879706954,1749.4406502398808,996.2493365990126,2.799755098267106,92.96489749184775,52.940474111281866,3.5217910847618734,116.93985212679326,66.593428069326,3.9956056841595595,1899.366716672226,5.154902383983233
20230605 12:37:49,5191.0,90.09607152360515,23.73504,134.49223090128757,14020.0,23.888640000000002,228.5,2761.308,2646.6240000000003,1831.005364806867,44.0,19513.526261574076,test,0.104968244838917,3.35181435980116,2.1045858632343686,0.9596928871423681,0.9531018665543767,0.10937691239066692,3.4925906034186607,2.1929784949236146,44.844534080173446,1431.962147401651,899.121182918682,54.68845619533346,1746.2953017093303,1096.4892474618073,2.906132725045263,92.79775435173683,58.26720127786158,3.6556027091562076,116.72960401577593,73.29387849723324,4.397632709833994,2104.5858632343684,5.711869429139027
20230605 12:37:51,5193.0,95.79568152360514,23.746560000000002,272.19343090128757,14122.0,23.884800000000002,228.4,2753.366,2650.2720000000004,1841.005364806867,44.0,19513.526284722222,test,0.1116086903971852,3.370120228392401,4.259386902136861,0.9675356817824515,0.9505392246120979,0.11535356524688894,3.4831999396484954,4.402304723573571,47.29496175122447,1428.1119752558832,1804.9449366651643,57.676782623444474,1741.5999698242476,2201.1523617867856,3.0649317446195625,92.54824543165597,116.96876007161976,3.8553548130998143,116.4157486036175,147.1341320784982,8.828047924709892,4259.386902136861,11.560023403274858
