variable_name,units,value,unc
CO,ppm,180.06296776455656,0.0
CO2,ppm,4170.2756164442335,0.0
PM,%,38.07790417097553,0.0
PM,%,38.07790417097553,0.0
COconc,gm^-3,0.20978599141006898,0.0
CO2conc,gm^-3,7.634051742388425,0.0
PMconc,mgm^-3,24.264539433750215,0.0
Cconc,gm^-3,2.1732267317965737,0.0
MCE,mol/mol,0.9586094359601885,0.0
CER_CO,g/g,0.09653203153664601,0.0
CER_CO2,g/g,3.512772795720891,0.0
CER_PM,mg/g,11.165213034946929,0.0
EFmass_CO,g/kg,39.578132930024864,3.12091207997547
EFmass_CO2,g/kg,1440.2368462455654,113.56909077597395
EFmass_PM,mg/kg,4577.737344328241,360.9749808594585
EFmass_dry_CO,g/kg,48.26601576832301,2.4133007884161506
EFmass_dry_CO2,g/kg,1756.3863978604454,87.81931989302228
EFmass_dry_PM,mg/kg,5582.606517473464,279.1303258736732
EFenergy_CO,g/MJ,2.5648456308745295,0.261785979684849
EFenergy_CO2,g/MJ,93.33399301701546,9.526316323188308
EFenergy_PM,mg/MJ,296.6585019978123,30.27902952227854
ER_CO,g/min,3.2263002153992675,0.4405220719702401
ER_CO2,g/min,117.40413463877641,16.030471188666606
ER_PM,mg/min,373.1645200686883,50.9522352513296
ER_PM_heat,g/hr,22.3898712041213,3.0571341150797755
