time,seconds,CO,ChipTemp,PM,Flow,FlueTemp,TC,F1Flow,DilFlow,CO2,PM_RH,datenumbers,phase
yyyymmdd hhmmss,s,ppm,degC,Mm^-1,,degC,degC,ccm,ccm,ppm,%,date,text
20230605 11:15:19,241.0,0.035366523605150135,17.952,0.23863090128755404,10476.0,19.15776,18.6,2.5080000000000005,-15.048,-23.994635193133036,55.0,19513.468969907408,prebkg
20230605 11:15:21,243.0,0.10403652360515014,17.96352,0.30623090128755415,10491.0,19.15776,18.6,5.434,-14.136000000000001,-15.994635193133036,55.0,19513.468993055554,prebkg
20230605 11:15:23,245.0,0.10403652360515014,17.96352,0.30623090128755415,10457.0,19.15392,18.6,2.5080000000000005,-14.136000000000001,1.0053648068669645,55.0,19513.469016203704,prebkg
20230605 11:15:25,247.0,0.13837152360515015,17.96736,0.30623090128755415,10451.0,19.1616,18.6,5.016000000000001,-15.048,4.0053648068669645,55.0,19513.46903935185,prebkg
20230605 11:15:27,249.0,0.0010315236051501309,17.95968,0.30623090128755415,10454.0,19.15776,18.6,2.5080000000000005,-15.504,1.0053648068669645,55.0,19513.4690625,prebkg
20230605 11:15:29,251.0,-0.06763847639484988,17.96352,0.37383090128755425,10484.0,19.1616,18.6,5.016000000000001,-14.136000000000001,-3.9946351931330355,55.0,19513.469085648147,prebkg
20230605 11:15:31,253.0,0.17270652360515015,17.97504,0.6442309012875538,10563.0,19.16544,18.6,2.5080000000000005,-15.504,1.0053648068669645,55.0,19513.469108796296,prebkg
20230605 11:15:33,255.0,0.13837152360515015,17.97504,0.6442309012875538,10466.0,19.16544,18.6,5.016000000000001,-15.504,1.0053648068669645,55.0,19513.469131944443,prebkg
20230605 11:15:35,257.0,0.06970152360515014,17.97888,0.6442309012875538,10462.0,19.16928,18.6,2.0900000000000003,-15.048,-3.9946351931330355,55.0,19513.469155092593,prebkg
20230605 11:15:37,259.0,0.0010315236051501309,17.97504,0.23863090128755404,10470.0,19.1616,18.6,5.016000000000001,-15.504,12.005364806866964,55.0,19513.46917824074,prebkg
20230605 11:15:39,261.0,0.035366523605150135,17.97888,0.30623090128755415,10551.0,19.16544,18.6,2.5080000000000005,-14.592,17.005364806866964,55.0,19513.46920138889,prebkg
20230605 11:15:41,263.0,0.10403652360515014,17.97888,0.23863090128755404,10473.0,19.17312,18.6,5.016000000000001,-15.048,4.0053648068669645,55.0,19513.46922453704,prebkg
20230605 11:15:43,265.0,0.13837152360515015,17.97888,0.23863090128755404,10467.0,19.16928,18.6,2.5080000000000005,-15.048,9.005364806866964,55.0,19513.469247685185,prebkg
20230605 11:15:45,267.0,0.0010315236051501309,17.97888,0.1710309012875535,10497.0,19.16928,18.6,5.016000000000001,-15.048,4.0053648068669645,55.0,19513.469270833335,prebkg
20230605 11:15:47,269.0,0.0010315236051501309,17.97504,0.1710309012875535,10542.0,19.16928,18.6,2.926,-15.960000000000003,4.0053648068669645,55.0,19513.46929398148,prebkg
20230605 11:15:49,271.0,0.035366523605150135,17.9712,0.23863090128755404,10496.0,19.16928,18.6,5.016000000000001,-14.592,1.0053648068669645,55.0,19513.46931712963,prebkg
20230605 11:15:51,273.0,0.06970152360515014,17.98656,0.1710309012875535,10495.0,19.17696,18.6,2.5080000000000005,-15.504,-5.9946351931330355,55.0,19513.469340277778,prebkg
20230605 11:15:53,275.0,-0.06763847639484988,17.97888,0.1710309012875535,10437.0,19.16544,18.6,4.598000000000001,-15.048,-1.9946351931330355,55.0,19513.469363425927,prebkg
20230605 11:15:55,277.0,-0.06763847639484988,17.98656,0.30623090128755415,10442.0,19.16544,18.6,3.3440000000000003,-15.504,1.0053648068669645,55.0,19513.469386574074,prebkg
20230605 11:15:57,279.0,0.035366523605150135,17.98272,0.30623090128755415,10442.0,19.17312,18.6,4.598000000000001,-15.048,1.0053648068669645,55.0,19513.469409722224,prebkg
20230605 11:15:59,281.0,0.10403652360515014,17.98272,0.1710309012875535,10559.0,19.17696,18.6,2.0900000000000003,-15.048,-3.9946351931330355,55.0,19513.46943287037,prebkg
20230605 11:16:01,283.0,0.10403652360515014,17.98656,0.03583090128755373,10438.0,19.17312,18.6,5.434,-14.592,-3.9946351931330355,55.0,19513.46945601852,prebkg
20230605 11:16:03,285.0,0.06970152360515014,17.98272,0.23863090128755404,10457.0,19.1808,18.6,2.0900000000000003,-15.048,-12.994635193133036,55.0,19513.469479166666,prebkg
20230605 11:16:05,287.0,0.10403652360515014,17.9904,0.03583090128755373,10478.0,19.17696,18.6,4.598000000000001,-14.592,-8.994635193133036,55.0,19513.469502314816,prebkg
20230605 11:16:07,289.0,0.0010315236051501309,17.9904,0.30623090128755415,10579.0,19.1808,18.6,1.6720000000000002,-15.960000000000003,-3.9946351931330355,55.0,19513.469525462962,prebkg
20230605 11:16:09,291.0,0.06970152360515014,17.9904,0.10343090128755383,10514.0,19.17312,18.6,4.598000000000001,-14.592,-3.9946351931330355,55.0,19513.469548611112,prebkg
20230605 11:16:11,293.0,-0.06763847639484988,17.99424,0.23863090128755404,10526.0,19.17312,18.6,2.0900000000000003,-15.504,-5.9946351931330355,55.0,19513.46957175926,prebkg
20230605 11:16:13,295.0,0.10403652360515014,17.99424,0.1710309012875535,10461.0,19.17696,18.6,5.016000000000001,-15.504,7.0053648068669645,55.0,19513.46959490741,prebkg
20230605 11:16:15,297.0,0.10403652360515014,17.99808,0.1710309012875535,10458.0,19.1808,18.6,2.5080000000000005,-15.504,9.005364806866964,55.0,19513.469618055555,prebkg
20230605 11:16:17,299.0,0.035366523605150135,17.9904,0.23863090128755404,10457.0,19.17696,18.6,5.016000000000001,-16.416,17.005364806866964,55.0,19513.469641203705,prebkg
20230605 11:16:19,301.0,0.035366523605150135,18.005760000000002,0.1710309012875535,10541.0,19.1808,18.6,2.0900000000000003,-16.416,22.005364806866964,55.0,19513.46966435185,prebkg
20230605 11:16:21,303.0,0.27571152360515017,17.99424,0.4414309012875539,10428.0,19.18464,18.6,5.016000000000001,-15.504,30.005364806866964,55.0,19513.4696875,prebkg
20230605 11:16:23,305.0,0.20704152360515016,18.001920000000002,0.23863090128755404,10334.0,19.1808,18.6,2.0900000000000003,-15.504,22.005364806866964,55.0,19513.469710648147,prebkg
20230605 11:16:25,307.0,0.10403652360515014,17.99808,0.23863090128755404,10492.0,19.17696,18.6,4.598000000000001,-15.504,22.005364806866964,55.0,19513.469733796297,prebkg
20230605 11:16:27,309.0,0.06970152360515014,18.005760000000002,0.23863090128755404,10473.0,19.17312,18.6,1.6720000000000002,-15.504,9.005364806866964,55.0,19513.469756944443,prebkg
20230605 11:16:29,311.0,0.06970152360515014,18.0096,0.23863090128755404,10477.0,19.19232,18.6,5.016000000000001,-15.504,7.0053648068669645,55.0,19513.469780092593,prebkg
20230605 11:16:31,313.0,0.0010315236051501309,18.0096,0.23863090128755404,10476.0,19.18464,18.6,2.0900000000000003,-15.504,1.0053648068669645,55.0,19513.46980324074,prebkg
20230605 11:16:33,315.0,0.10403652360515014,18.001920000000002,0.30623090128755415,10531.0,19.18464,18.6,4.598000000000001,-15.048,7.0053648068669645,55.0,19513.46982638889,prebkg
