time,seconds,ID,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,GravFlo1,GravFlo2,COtemp,VOC,CH4,CH4temp,Ctemp1,Ctemp2,Ctemp3,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,dP2,AmbTemp,AmbPres,AmbRH,AS1_415nm,AS1_445nm,AS1_480nm,AS1_515nm,AS1_555nm,AS1_590nm,AS1_630nm,AS1_680nm,AS1_CLEAR,AS1_NIR,AS2_415nm,AS2_445nm,AS2_480nm,AS2_515nm,AS2_555nm,AS2_590nm,AS2_630nm,AS2_680nm,AS2_CLEAR,AS2_NIR,AS3_415nm,AS3_445nm,AS3_480nm,AS3_515nm,AS3_555nm,AS3_590nm,AS3_630nm,AS3_680nm,AS3_CLEAR,AS3_NIR,O2_1,O2_2,O2_3,O2_4,O2_ave,datenumbers,phase,COmass,CO2mass,PMmass,MCE,MW_duct,density,mass_flow,mole_flow,vol_flow,totvol,CO_ER,CO2_ER,PM_ER,CO_totmass,CO2_totmass,PM_totmass
#units:,s,4003,ppm,ppm,Mm^-1,mmH2O,degC,degC,%,lpm,lpm,degC,ppm,ppm,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,mmH2O,degC,hPa,%,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,lambda,lambda,lambda,lambda,lambda,date,text,gm^-3,gm^-3,gm^-3,mol/mol,g/mol,gm^-3,g/sec,mol/sec,m^3/sec,m^3,g/sec,g/sec,g/sec,g,g,g
20230531 13:16:25,534.0,4003.0,-6.924642262895175,201.33444259567386,2.728785357737105,11.15,18.84,16.87,57.5,-0.08,-0.03,18.0,-4.2955740432612295,491.3643926788686,17.6,20.49,20.22,20.1,18.81,nan,nan,nan,nan,-49.06,nan,nan,0.409,18.5,991.33,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.95,0.019,0.025,-0.001,1.99825,19508.55306712963,"prebkg,L1",-0.007033844360172058+/-0,0.3213303512159736+/-0,9.913750227326302+/-0,1.0356187921135764,29.0,1051.6719759738826+/-0,176.01844015244748,6.069601384567155,0.16737009654502646,0.16737009654502646,-0.0011772552096446873,0.05378109190586476,1.6592653326708813,-0.0011772552096446873,0.05378109190586476,1.6592653326708813
20230531 13:16:26,535.0,4003.0,-6.924642262895175,197.33444259567386,3.728785357737105,11.871,18.84,16.85,57.5,-0.04,-0.11,18.0,-4.235574043261231,491.3643926788686,17.6,20.49,20.21,20.1,18.81,nan,nan,nan,nan,-49.06,nan,nan,0.6,18.5,991.32,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.951,0.019,0.025,-0.001,1.9985,19508.553078703702,"prebkg,L1",-0.007033844360172058+/-0,0.3149463396763032+/-0,13.546776987462342+/-0,1.036367047551087,29.0,1051.6719759738826+/-0,181.62029921269195,6.262768938368688,0.17269671852243246,0.34006681506745895,-0.001214721839599233,0.054390199372748936,2.3394839322899497,-0.0023919770492439206,0.10817129127861369,3.998749264960831
20230531 13:16:27,536.0,4003.0,-6.994642262895175,196.33444259567386,5.728785357737105,11.723,18.84,16.82,57.5,-0.02,0.0,18.0,-4.2955740432612295,491.3643926788686,17.6,20.49,20.22,20.1,18.75,nan,nan,nan,nan,-49.06,nan,nan,0.434,18.5,991.34,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.955,0.019,0.025,-0.001,1.9995,19508.55309027778,"prebkg,L1",-0.0071049482651131595+/-0,0.3133503367913856+/-0,20.812830507734425+/-0,1.0369422712530676,29.0,1051.6719759738826+/-0,180.48458568061807,6.223606402779933,0.17161680619423508,0.511683621261694,-0.0012193285294339919,0.05377618402002551,3.5718314995993223,-0.0036113055786779124,0.1619474752986392,7.5705807645601535
20230531 13:16:28,537.0,4003.0,-6.994642262895175,199.33444259567386,2.728785357737105,11.371,18.84,16.85,57.5,0.02,0.01,18.0,-4.235574043261231,491.3643926788686,17.6,20.5,20.22,20.11,18.88,nan,nan,nan,nan,-49.06,nan,nan,0.53,18.5,991.3,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.955,0.019,0.025,-0.001,1.9995,19508.553101851852,"prebkg,L1",-0.0071049482651131595+/-0,0.3181383454461384+/-0,9.913750227326302+/-0,1.0363660680254079,29.0,1051.6719759738826+/-0,177.75427899670055,6.12945789643795,0.16902064812756304,0.680704269389257,-0.0012008829606822307,0.053771949341536854,1.675628488797467,-0.004812188539360144,0.21571942464017607,9.24620925335762
20230531 13:16:29,538.0,4003.0,-6.994642262895175,196.33444259567386,3.728785357737105,11.229,18.84,16.85,57.5,-0.03,-0.02,18.0,-4.235574043261231,491.3643926788686,17.6,20.51,20.22,20.11,18.88,nan,nan,nan,nan,-49.06,nan,nan,0.429,18.5,991.34,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.951,0.019,0.025,-0.001,1.9985,19508.553113425925,"prebkg,L1",-0.0071049482651131595+/-0,0.3133503367913856+/-0,13.546776987462342+/-0,1.0369422712530676,29.0,1051.6719759738826+/-0,176.64090261444863,6.09106560739478,0.16796197545425073,0.8486662448435077,-0.001193361146108658,0.0526309415767359,2.275343423852359,-0.006005549685468801,0.268350366216912,11.521552677209979
20230531 13:16:30,539.0,4003.0,-6.924642262895175,190.33444259567386,9.728785357737106,10.741,18.84,16.85,57.5,0.02,0.07,18.0,-4.235574043261231,491.3643926788686,17.6,20.5,20.22,20.11,18.81,nan,nan,nan,nan,-49.12,nan,nan,0.282,18.5,991.34,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.95,0.019,0.025,-0.001,1.99825,19508.553125,"prebkg,L1",-0.007033844360172058+/-0,0.30377431948187994+/-0,35.344937548278594+/-0,1.0377550286316821,29.0,1051.6719759738826+/-0,172.7599591259605,5.957239969860707,0.1642717150145407,1.0129379598580484,-0.0011554616761908186,0.04990152843866342,5.80617350813756,-0.00716101136165962,0.3182518946555754,17.327726185347537
20230531 13:16:31,540.0,4003.0,-6.994642262895175,194.33444259567386,15.728785357737106,11.269,18.84,16.85,57.5,0.02,0.04,18.0,-4.235574043261231,491.3643926788686,17.6,20.5,20.22,20.11,18.81,nan,nan,nan,nan,-49.12,nan,nan,0.548,18.5,991.35,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.952,0.019,0.025,-0.001,1.99875,19508.553136574075,"prebkg,L1",-0.0071049482651131595+/-0,0.3101583310215503+/-0,57.143098109094836+/-0,1.0373366591107194,29.0,1051.6719759738826+/-0,176.95523848477842,6.101904775337187,0.16826086700742604,1.1811988268654745,-0.0011954847551308477,0.0521875096872623,9.614947231326704,-0.008356496116790468,0.37043940434283773,26.94267341667424
20230531 13:16:32,541.0,4003.0,-6.994642262895175,190.33444259567386,19.728785357737106,11.276,18.84,16.85,57.5,-0.08,-0.01,18.0,-4.235574043261231,491.3643926788686,17.6,20.51,20.22,20.11,18.88,nan,nan,nan,nan,-49.12,nan,nan,0.525,18.5,991.34,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.955,0.019,0.025,-0.001,1.9995,19508.55314814815,"prebkg,L1",-0.0071049482651131595+/-0,0.30377431948187994+/-0,71.675205149639+/-0,1.0381512483934163,29.0,1051.6719759738826+/-0,177.01018987218615,6.10379965076504,0.16831311845907934,1.3495119453245539,-0.0011958559989916214,0.05112920301977987,12.063877294930002,-0.009552352115782089,0.4215686073626176,39.00655071160424
20230531 13:16:33,542.0,4003.0,-6.994642262895175,191.33444259567386,8.728785357737106,11.46,18.82,16.85,57.5,0.1,0.08,18.0,-4.235574043261231,491.3643926788686,17.6,20.51,20.23,20.11,18.88,nan,nan,nan,nan,-49.12,nan,nan,0.562,18.5,991.32,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.952,0.019,0.025,-0.001,1.99875,19508.55315972222,"prebkg,L1",-0.007105434955407717+/-0,0.3053912402914039+/-0,31.71191078814255+/-0,1.0379442868564908,29.0,1051.744015702346+/-0,178.45466988675835,6.153609306439943,0.1696750038245645,1.5191869491491183,-0.0012056147032339986,0.051817259864432454,5.380718584262335,-0.010757966819016088,0.47338586722705006,44.387269295866574
