time,seconds,ID,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,GravFlo1,GravFlo2,COtemp,VOC,CH4,CH4temp,Ctemp1,Ctemp2,Ctemp3,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,dP2,AmbTemp,AmbPres,AmbRH,AS1_415nm,AS1_445nm,AS1_480nm,AS1_515nm,AS1_555nm,AS1_590nm,AS1_630nm,AS1_680nm,AS1_CLEAR,AS1_NIR,AS2_415nm,AS2_445nm,AS2_480nm,AS2_515nm,AS2_555nm,AS2_590nm,AS2_630nm,AS2_680nm,AS2_CLEAR,AS2_NIR,AS3_415nm,AS3_445nm,AS3_480nm,AS3_515nm,AS3_555nm,AS3_590nm,AS3_630nm,AS3_680nm,AS3_CLEAR,AS3_NIR,O2_1,O2_2,O2_3,O2_4,O2_ave,datenumbers,phase
#units:,s,4003,ppm,ppm,Mm^-1,mmH2O,degC,degC,%,lpm,lpm,degC,ppm,ppm,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,mmH2O,degC,hPa,%,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,lambda,lambda,lambda,lambda,lambda,date,text
20230531 13:16:25,534.0,4003.0,-6.924642262895175,201.33444259567386,2.728785357737105,11.15,18.84,16.87,57.5,-0.08,-0.03,18.0,-4.2955740432612295,491.3643926788686,17.6,20.49,20.22,20.1,18.81,nan,nan,nan,nan,-49.06,nan,nan,0.409,18.5,991.33,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.95,0.019,0.025,-0.001,1.99825,19508.55306712963,"prebkg,L1"
20230531 13:16:26,535.0,4003.0,-6.924642262895175,197.33444259567386,3.728785357737105,11.871,18.84,16.85,57.5,-0.04,-0.11,18.0,-4.235574043261231,491.3643926788686,17.6,20.49,20.21,20.1,18.81,nan,nan,nan,nan,-49.06,nan,nan,0.6,18.5,991.32,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.951,0.019,0.025,-0.001,1.9985,19508.553078703702,"prebkg,L1"
20230531 13:16:27,536.0,4003.0,-6.994642262895175,196.33444259567386,5.728785357737105,11.723,18.84,16.82,57.5,-0.02,0.0,18.0,-4.2955740432612295,491.3643926788686,17.6,20.49,20.22,20.1,18.75,nan,nan,nan,nan,-49.06,nan,nan,0.434,18.5,991.34,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.955,0.019,0.025,-0.001,1.9995,19508.55309027778,"prebkg,L1"
20230531 13:16:28,537.0,4003.0,-6.994642262895175,199.33444259567386,2.728785357737105,11.371,18.84,16.85,57.5,0.02,0.01,18.0,-4.235574043261231,491.3643926788686,17.6,20.5,20.22,20.11,18.88,nan,nan,nan,nan,-49.06,nan,nan,0.53,18.5,991.3,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.955,0.019,0.025,-0.001,1.9995,19508.553101851852,"prebkg,L1"
20230531 13:16:29,538.0,4003.0,-6.994642262895175,196.33444259567386,3.728785357737105,11.229,18.84,16.85,57.5,-0.03,-0.02,18.0,-4.235574043261231,491.3643926788686,17.6,20.51,20.22,20.11,18.88,nan,nan,nan,nan,-49.06,nan,nan,0.429,18.5,991.34,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.951,0.019,0.025,-0.001,1.9985,19508.553113425925,"prebkg,L1"
20230531 13:16:30,539.0,4003.0,-6.924642262895175,190.33444259567386,9.728785357737106,10.741,18.84,16.85,57.5,0.02,0.07,18.0,-4.235574043261231,491.3643926788686,17.6,20.5,20.22,20.11,18.81,nan,nan,nan,nan,-49.12,nan,nan,0.282,18.5,991.34,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.95,0.019,0.025,-0.001,1.99825,19508.553125,"prebkg,L1"
20230531 13:16:31,540.0,4003.0,-6.994642262895175,194.33444259567386,15.728785357737106,11.269,18.84,16.85,57.5,0.02,0.04,18.0,-4.235574043261231,491.3643926788686,17.6,20.5,20.22,20.11,18.81,nan,nan,nan,nan,-49.12,nan,nan,0.548,18.5,991.35,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.952,0.019,0.025,-0.001,1.99875,19508.553136574075,"prebkg,L1"
20230531 13:16:32,541.0,4003.0,-6.994642262895175,190.33444259567386,19.728785357737106,11.276,18.84,16.85,57.5,-0.08,-0.01,18.0,-4.235574043261231,491.3643926788686,17.6,20.51,20.22,20.11,18.88,nan,nan,nan,nan,-49.12,nan,nan,0.525,18.5,991.34,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.955,0.019,0.025,-0.001,1.9995,19508.55314814815,"prebkg,L1"
20230531 13:16:33,542.0,4003.0,-6.994642262895175,191.33444259567386,8.728785357737106,11.46,18.82,16.85,57.5,0.1,0.08,18.0,-4.235574043261231,491.3643926788686,17.6,20.51,20.23,20.11,18.88,nan,nan,nan,nan,-49.12,nan,nan,0.562,18.5,991.32,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.952,0.019,0.025,-0.001,1.99875,19508.55315972222,"prebkg,L1"
