time,seconds,ID,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,GravFlo1,GravFlo2,COtemp,VOC,CH4,CH4temp,Ctemp1,Ctemp2,Ctemp3,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,dP2,AmbTemp,AmbPres,AmbRH,AS1_415nm,AS1_445nm,AS1_480nm,AS1_515nm,AS1_555nm,AS1_590nm,AS1_630nm,AS1_680nm,AS1_CLEAR,AS1_NIR,AS2_415nm,AS2_445nm,AS2_480nm,AS2_515nm,AS2_555nm,AS2_590nm,AS2_630nm,AS2_680nm,AS2_CLEAR,AS2_NIR,AS3_415nm,AS3_445nm,AS3_480nm,AS3_515nm,AS3_555nm,AS3_590nm,AS3_630nm,AS3_680nm,AS3_CLEAR,AS3_NIR,O2_1,O2_2,O2_3,O2_4,O2_ave,datenumbers,phase
#units:,s,4003,ppm,ppm,Mm^-1,mmH2O,degC,degC,%,lpm,lpm,degC,ppm,ppm,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,mmH2O,degC,hPa,%,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,lambda,lambda,lambda,lambda,lambda,date,text
20230531 14:29:00,4889.0,4003.0,57.065357737104826,7160.334442595674,168.7287853577371,12.385,55.05,18.35,61.2,0.02,16.09,21.0,-3.995574043261229,491.3643926788686,22.0,24.45,24.04,23.74,174.12,nan,nan,nan,nan,-45.94,nan,nan,1.539,21.0,990.66,37.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.779,0.019,0.025,-0.001,0.7055,19508.60347222222,"prebkg,L1,hp"
20230531 14:29:01,4890.0,4003.0,56.995357737104825,7139.334442595674,169.7287853577371,12.229,54.93,18.35,61.2,0.04,16.09,21.0,-3.995574043261229,491.3643926788686,22.0,24.45,24.04,23.74,173.19,nan,nan,nan,nan,-45.94,nan,nan,1.681,21.1,990.63,37.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.865,0.019,0.025,-0.001,0.7270000000000001,19508.603483796298,"prebkg,hp"
20230531 14:29:02,4891.0,4003.0,56.995357737104825,7160.334442595674,155.7287853577371,11.864,54.86,18.35,61.2,0.05,16.09,21.0,-4.055574043261231,491.3643926788686,22.0,24.44,24.03,23.73,174.12,nan,nan,nan,nan,-45.94,nan,nan,1.664,21.1,990.66,37.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.891,0.019,0.025,-0.001,0.7335,19508.60349537037,"prebkg,hp"
20230531 14:29:03,4892.0,4003.0,56.925357737104825,7167.334442595674,177.7287853577371,12.439,54.81,18.35,61.2,-0.08,16.08,21.0,-3.995574043261229,491.3643926788686,22.0,24.45,24.04,23.73,175.12,nan,nan,nan,nan,-45.94,nan,nan,1.481,21.0,990.64,37.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.933,0.019,0.025,-0.001,0.744,19508.603506944444,"prebkg,hp"
20230531 14:29:04,4893.0,4003.0,56.79535773710482,7182.334442595674,190.7287853577371,11.908,54.83,18.35,61.2,0.07,16.08,21.0,-3.995574043261229,491.3643926788686,22.0,24.46,24.05,23.74,174.69,nan,nan,nan,nan,-45.94,nan,nan,1.66,21.0,990.64,37.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.908,0.019,0.025,-0.001,0.73775,19508.603518518517,"prebkg,hp"
20230531 14:29:05,4894.0,4003.0,56.58535773710483,7189.334442595674,229.7287853577371,12.181,54.91,18.33,61.2,0.03,16.09,21.0,-4.055574043261231,491.3643926788686,22.0,24.45,24.04,23.74,174.94,nan,nan,nan,nan,-45.94,nan,nan,1.723,21.0,990.65,37.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,0.019,0.025,-0.001,0.7332500000000001,19508.603530092594,"prebkg,hp"
20230531 14:29:06,4895.0,4003.0,56.23535773710483,7195.334442595674,241.7287853577371,12.221,54.93,18.33,61.2,0.01,16.07,21.0,-4.055574043261231,491.3643926788686,22.0,24.45,24.04,23.74,174.38,nan,nan,nan,nan,-45.88,nan,nan,1.562,21.0,990.64,37.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.888,0.019,0.025,-0.001,0.73275,19508.603541666667,"prebkg,hp"
20230531 14:29:07,4896.0,4003.0,55.955357737104826,7234.334442595674,188.7287853577371,11.982,54.96,18.3,61.2,-0.07,16.08,21.0,-4.055574043261231,491.3643926788686,22.0,24.45,24.04,23.74,172.5,nan,nan,nan,nan,-45.88,nan,nan,1.633,21.0,990.64,37.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.873,0.019,0.024,-0.001,0.7287500000000001,19508.60355324074,"prebkg,hp"
20230531 14:29:08,4897.0,4003.0,55.61535773710482,7265.334442595674,121.72878535773711,12.089,54.98,18.33,61.2,0.07,16.07,21.0,-4.055574043261231,491.3643926788686,22.0,24.46,24.05,23.75,172.5,nan,nan,nan,nan,-45.94,nan,nan,1.556,21.0,990.62,37.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.881,0.019,0.025,-0.001,0.731,19508.603564814814,"prebkg,hp"
20230531 14:29:09,4898.0,4003.0,55.33535773710483,7265.334442595674,92.72878535773711,11.609,54.98,18.3,61.2,0.01,16.07,21.0,-4.11557404326123,491.3643926788686,22.0,24.46,24.05,23.75,172.56,nan,nan,nan,nan,-45.94,nan,nan,1.262,21.0,990.65,37.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.891,0.019,0.025,-0.001,0.7335,19508.60357638889,"prebkg,hp"
20230531 14:29:10,4899.0,4003.0,54.925357737104825,7256.334442595674,121.72878535773711,11.846,55.0,18.3,61.2,0.0,16.07,21.0,-4.11557404326123,491.3643926788686,22.0,24.46,24.04,23.74,175.75,nan,nan,nan,nan,-45.94,nan,nan,1.586,21.0,990.62,37.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.614,0.019,0.025,-0.001,0.66425,19508.603587962964,"prebkg,hp"
20230531 14:29:11,4900.0,4003.0,54.575357737104824,7226.334442595674,140.7287853577371,11.709,55.37,18.28,61.1,-0.09,16.07,21.0,-4.055574043261231,491.3643926788686,22.0,24.45,24.04,23.74,181.62,nan,nan,nan,nan,-45.94,nan,nan,1.607,21.0,990.63,37.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52,0.019,0.024,-0.001,0.6405000000000001,19508.603599537037,"prebkg,hp"
20230531 14:29:12,4901.0,4003.0,54.29535773710482,7226.334442595674,200.7287853577371,12.113,55.83,18.28,61.1,0.06,16.09,21.0,-4.11557404326123,491.3643926788686,22.0,24.46,24.05,23.75,183.38,nan,nan,nan,nan,-45.94,nan,nan,1.718,21.0,990.62,37.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.644,0.019,0.025,-0.001,0.6717500000000001,19508.60361111111,"prebkg,hp"
