variable_name,units,average,uncertainty
time_prebkg,yyyymmdd hh:mm:ss,20230711 09:22:11,
seconds_prebkg,s,472.5,0.0
ID_prebkg,4003,4003.0,0.0
CO_prebkg,ppm,1.8340688732794437e-17,0.0
CO2_prebkg,ppm,8.013169178616109e-15,0.0
PM_prebkg,Mm^-1,-4.382201894555684e-16,0.0
Flow_prebkg,mmH2O,0.032083700440528634,0.0
FLUEtemp_prebkg,degC,18.11123348017621,0.0
H2Otemp_prebkg,degC,18.40971365638767,0.0
RH_prebkg,%,57.12246696035243,0.0
GravFlo1_prebkg,lpm,-0.006828193832599119,0.0
GravFlo2_prebkg,lpm,0.0,0.0
COtemp_prebkg,degC,19.0,0.0
VOC_prebkg,ppm,-9.938207868010213e-15,0.0
CH4_prebkg,ppm,0.0,0.0
CH4temp_prebkg,degC,18.45330396475771,0.0
Ctemp1_prebkg,degC,21.12830396475771,0.0
Ctemp2_prebkg,degC,20.808348017621146,0.0
Ctemp3_prebkg,degC,20.70887665198238,0.0
TC1_prebkg,degC,21.099118942731277,0.0
TC2_prebkg,degC,18.818942731277534,0.0
TC3_prebkg,degC,nan,
TC4_prebkg,degC,nan,
TC5_prebkg,degC,nan,
TC6_prebkg,degC,-48.18222466960352,0.0
TC7_prebkg,degC,nan,
TC8_prebkg,degC,nan,
dP2_prebkg,mmH2O,0.06291850220264318,0.0
AmbTemp_prebkg,degC,18.88832599118943,0.0
AmbPres_prebkg,hPa,992.4553524229075,0.0
AmbRH_prebkg,%,50.76938325991188,0.0
AS1_415nm_prebkg,counts,0.0,0.0
AS1_445nm_prebkg,counts,0.0,0.0
AS1_480nm_prebkg,counts,0.0,0.0
AS1_515nm_prebkg,counts,0.0,0.0
AS1_555nm_prebkg,counts,0.0,0.0
AS1_590nm_prebkg,counts,0.0,0.0
AS1_630nm_prebkg,counts,0.0,0.0
AS1_680nm_prebkg,counts,0.0,0.0
AS1_CLEAR_prebkg,counts,0.0,0.0
AS1_NIR_prebkg,counts,0.0,0.0
AS2_415nm_prebkg,counts,0.0,0.0
AS2_445nm_prebkg,counts,0.0,0.0
AS2_480nm_prebkg,counts,0.0,0.0
AS2_515nm_prebkg,counts,0.0,0.0
AS2_555nm_prebkg,counts,0.0,0.0
AS2_590nm_prebkg,counts,0.0,0.0
AS2_630nm_prebkg,counts,0.0,0.0
AS2_680nm_prebkg,counts,0.0,0.0
AS2_CLEAR_prebkg,counts,0.0,0.0
AS2_NIR_prebkg,counts,0.0,0.0
AS3_415nm_prebkg,counts,0.0,0.0
AS3_445nm_prebkg,counts,0.0,0.0
AS3_480nm_prebkg,counts,0.0,0.0
AS3_515nm_prebkg,counts,0.0,0.0
AS3_555nm_prebkg,counts,0.0,0.0
AS3_590nm_prebkg,counts,0.0,0.0
AS3_630nm_prebkg,counts,0.0,0.0
AS3_680nm_prebkg,counts,0.0,0.0
AS3_CLEAR_prebkg,counts,0.0,0.0
AS3_NIR_prebkg,counts,0.0,0.0
O2_1_prebkg,lambda,7.949185022026432,0.0
O2_2_prebkg,lambda,0.019,0.0
O2_3_prebkg,lambda,0.025000000000000005,0.0
O2_4_prebkg,lambda,-0.0010000000000000005,0.0
O2_ave_prebkg,lambda,1.998046255506608,0.0
datenumbers_prebkg,date,19549.39041087963,
phase_prebkg,text,prebkg,
time_L1,yyyymmdd hh:mm:ss,20230711 09:42:44,
seconds_L1,s,1705.0,0.0
ID_L1,4003,4003.0,0.0
CO_L1,ppm,495.87072717213005,0.0
CO2_L1,ppm,6565.1930259129185,0.0
PM_L1,Mm^-1,4950.2796232265655,0.0
Flow_L1,mmH2O,16.17525595643295,0.0
FLUEtemp_L1,degC,38.56933287950987,0.0
H2Otemp_L1,degC,19.001742682096662,0.0
RH_L1,%,80.81919673247107,0.0
GravFlo1_L1,lpm,0.007215793056501021,0.0
GravFlo2_L1,lpm,13.589823008849555,0.0
COtemp_L1,degC,19.453369639210347,0.0
VOC_L1,ppm,22.727803324506755,0.0
CH4_L1,ppm,0.0,0.0
CH4temp_L1,degC,20.326752893124574,0.0
Ctemp1_L1,degC,22.628345813478557,0.0
Ctemp2_L1,degC,22.41,0.0
Ctemp3_L1,degC,22.255323349217154,0.0
TC1_L1,degC,243.29087372013652,0.0
TC2_L1,degC,454.04562287270255,0.0
TC3_L1,degC,nan,
TC4_L1,degC,nan,
TC5_L1,degC,nan,
TC6_L1,degC,-47.454601769911505,0.0
TC7_L1,degC,nan,
TC8_L1,degC,nan,
dP2_L1,mmH2O,0.24217222600408445,0.0
AmbTemp_L1,degC,20.061810755616065,0.0
AmbPres_L1,hPa,992.2491831177671,0.0
AmbRH_L1,%,51.38087134104833,0.0
AS1_415nm_L1,counts,0.0,0.0
AS1_445nm_L1,counts,0.0,0.0
AS1_480nm_L1,counts,0.0,0.0
AS1_515nm_L1,counts,0.0,0.0
AS1_555nm_L1,counts,0.0,0.0
AS1_590nm_L1,counts,0.0,0.0
AS1_630nm_L1,counts,0.0,0.0
AS1_680nm_L1,counts,0.0,0.0
AS1_CLEAR_L1,counts,0.0,0.0
AS1_NIR_L1,counts,0.0,0.0
AS2_415nm_L1,counts,0.0,0.0
AS2_445nm_L1,counts,0.0,0.0
AS2_480nm_L1,counts,0.0,0.0
AS2_515nm_L1,counts,0.0,0.0
AS2_555nm_L1,counts,0.0,0.0
AS2_590nm_L1,counts,0.0,0.0
AS2_630nm_L1,counts,0.0,0.0
AS2_680nm_L1,counts,0.0,0.0
AS2_CLEAR_L1,counts,0.0,0.0
AS2_NIR_L1,counts,0.0,0.0
AS3_415nm_L1,counts,0.0,0.0
AS3_445nm_L1,counts,0.0,0.0
AS3_480nm_L1,counts,0.0,0.0
AS3_515nm_L1,counts,0.0,0.0
AS3_555nm_L1,counts,0.0,0.0
AS3_590nm_L1,counts,0.0,0.0
AS3_630nm_L1,counts,0.0,0.0
AS3_680nm_L1,counts,0.0,0.0
AS3_CLEAR_L1,counts,0.0,0.0
AS3_NIR_L1,counts,0.0,0.0
O2_1_L1,lambda,3.0662055820285903,0.0
O2_2_L1,lambda,0.018999999999999996,0.0
O2_3_L1,lambda,0.024999999999999994,0.0
O2_4_L1,lambda,-0.0010000000000000002,0.0
O2_ave_L1,lambda,0.7773013955071478,0.0
datenumbers_L1,date,19549.404675925925,
phase_L1,text,L1,
time_hp,yyyymmdd hh:mm:ss,20230711 10:19:24,
seconds_hp,s,3905.0,0.0
ID_hp,4003,4003.0,0.0
CO_hp,ppm,578.818423792151,0.0
CO2_hp,ppm,8328.560989860182,0.0
PM_hp,Mm^-1,2056.9085628973653,0.0
Flow_hp,mmH2O,15.189319127173542,0.0
FLUEtemp_hp,degC,52.774159563586764,0.0
H2Otemp_hp,degC,21.695506307534945,0.0
RH_hp,%,81.53215138083873,0.0
GravFlo1_hp,lpm,0.0027957722468462324,0.0
GravFlo2_hp,lpm,16.35674394817593,0.0
COtemp_hp,degC,22.101602454824413,0.0
VOC_hp,ppm,28.553254504792037,0.0
CH4_hp,ppm,0.0,0.0
CH4temp_hp,degC,23.44838049778384,0.0
Ctemp1_hp,degC,25.75472212751449,0.0
Ctemp2_hp,degC,25.332621888851005,0.0
Ctemp3_hp,degC,25.062492328673716,0.0
TC1_hp,degC,374.4465837026935,0.0
TC2_hp,degC,664.4253187862257,0.0
TC3_hp,degC,nan,
TC4_hp,degC,nan,
TC5_hp,degC,nan,
TC6_hp,degC,-44.442659393112855,0.0
TC7_hp,degC,nan,
TC8_hp,degC,nan,
dP2_hp,mmH2O,0.2444766450733038,0.0
AmbTemp_hp,degC,23.277497442891235,0.0
AmbPres_hp,hPa,991.9965973406069,0.0
AmbRH_hp,%,47.64974428912376,0.0
AS1_415nm_hp,counts,0.0,0.0
AS1_445nm_hp,counts,0.0,0.0
AS1_480nm_hp,counts,0.0,0.0
AS1_515nm_hp,counts,0.0,0.0
AS1_555nm_hp,counts,0.0,0.0
AS1_590nm_hp,counts,0.0,0.0
AS1_630nm_hp,counts,0.0,0.0
AS1_680nm_hp,counts,0.0,0.0
AS1_CLEAR_hp,counts,0.0,0.0
AS1_NIR_hp,counts,0.0,0.0
AS2_415nm_hp,counts,0.0,0.0
AS2_445nm_hp,counts,0.0,0.0
AS2_480nm_hp,counts,0.0,0.0
AS2_515nm_hp,counts,0.0,0.0
AS2_555nm_hp,counts,0.0,0.0
AS2_590nm_hp,counts,0.0,0.0
AS2_630nm_hp,counts,0.0,0.0
AS2_680nm_hp,counts,0.0,0.0
AS2_CLEAR_hp,counts,0.0,0.0
AS2_NIR_hp,counts,0.0,0.0
AS3_415nm_hp,counts,0.0,0.0
AS3_445nm_hp,counts,0.0,0.0
AS3_480nm_hp,counts,0.0,0.0
AS3_515nm_hp,counts,0.0,0.0
AS3_555nm_hp,counts,0.0,0.0
AS3_590nm_hp,counts,0.0,0.0
AS3_630nm_hp,counts,0.0,0.0
AS3_680nm_hp,counts,0.0,0.0
AS3_CLEAR_hp,counts,0.0,0.0
AS3_NIR_hp,counts,0.0,0.0
O2_1_hp,lambda,1.8776512103648142,0.0
O2_2_hp,lambda,0.018999999999999996,0.0
O2_3_hp,lambda,0.024999999999999994,0.0
O2_4_hp,lambda,-0.0010000000000000002,0.0
O2_ave_hp,lambda,0.48016280259120353,0.0
datenumbers_hp,date,19549.43013888889,
phase_hp,text,hp,
time_mp,yyyymmdd hh:mm:ss,20230711 11:13:11,
seconds_mp,s,7132.0,0.0
ID_mp,4003,4003.0,0.0
CO_mp,ppm,288.1055867171176,0.0
CO2_mp,ppm,5869.7528112929385,0.0
PM_mp,Mm^-1,727.4438110290964,0.0
Flow_mp,mmH2O,15.249678399091684,0.0
FLUEtemp_mp,degC,48.861325574794215,0.0
H2Otemp_mp,degC,23.681390860062447,0.0
RH_mp,%,59.81623616236162,0.0
GravFlo1_mp,lpm,0.0007862617087709338,0.0
GravFlo2_mp,lpm,16.305282429747372,0.0
COtemp_mp,degC,26.509225092250922,0.0
VOC_mp,ppm,12.395761746909223,0.0
CH4_mp,ppm,0.0,0.0
CH4temp_mp,degC,27.47414135679818,0.0
Ctemp1_mp,degC,29.991010502412713,0.0
Ctemp2_mp,degC,29.433309679250645,0.0
Ctemp3_mp,degC,29.10063582174283,0.0
TC1_mp,degC,334.6585949474879,0.0
TC2_mp,degC,530.4352341754187,0.0
TC3_mp,degC,nan,
TC4_mp,degC,nan,
TC5_mp,degC,nan,
TC6_mp,degC,-40.06429463525405,0.0
TC7_mp,degC,nan,
TC8_mp,degC,nan,
dP2_mp,mmH2O,0.2604220834516037,0.0
AmbTemp_mp,degC,26.436190746522854,0.0
AmbPres_mp,hPa,991.7064518875958,0.0
AmbRH_mp,%,41.48745387453875,0.0
AS1_415nm_mp,counts,0.0,0.0
AS1_445nm_mp,counts,0.0,0.0
AS1_480nm_mp,counts,0.0,0.0
AS1_515nm_mp,counts,0.0,0.0
AS1_555nm_mp,counts,0.0,0.0
AS1_590nm_mp,counts,0.0,0.0
AS1_630nm_mp,counts,0.0,0.0
AS1_680nm_mp,counts,0.0,0.0
AS1_CLEAR_mp,counts,0.0,0.0
AS1_NIR_mp,counts,0.0,0.0
AS2_415nm_mp,counts,0.0,0.0
AS2_445nm_mp,counts,0.0,0.0
AS2_480nm_mp,counts,0.0,0.0
AS2_515nm_mp,counts,0.0,0.0
AS2_555nm_mp,counts,0.0,0.0
AS2_590nm_mp,counts,0.0,0.0
AS2_630nm_mp,counts,0.0,0.0
AS2_680nm_mp,counts,0.0,0.0
AS2_CLEAR_mp,counts,0.0,0.0
AS2_NIR_mp,counts,0.0,0.0
AS3_415nm_mp,counts,0.0,0.0
AS3_445nm_mp,counts,0.0,0.0
AS3_480nm_mp,counts,0.0,0.0
AS3_515nm_mp,counts,0.0,0.0
AS3_555nm_mp,counts,0.0,0.0
AS3_590nm_mp,counts,0.0,0.0
AS3_630nm_mp,counts,0.0,0.0
AS3_680nm_mp,counts,0.0,0.0
AS3_CLEAR_mp,counts,0.0,0.0
AS3_NIR_mp,counts,0.0,0.0
O2_1_mp,lambda,2.8352259437978997,0.0
O2_2_mp,lambda,0.019,0.0
O2_3_mp,lambda,0.024999148453022993,0.0
