variable_name,units,value,uncertainty
fuel_type,--,df,
fuel_source,--,,
fuel_dimensions,cmxcmxcm,,
fuel_mc,%,14,
fuel_heating_value,kJ/kg,30288,
char_heating_value,kJ/kg,31300,
boil_temp,ºC,99.3557402738627,
pot1_dry_mass,lb,241.835,
pot2_dry_mass,kg,,
pot3_dry_mass,kg,,
pot4_dry_mass,kg,,
initial_air_temp,ºC,21,
initial_RH,%,60,
initial_pressure,in Hg,29.24,
initial_wind_velocity,m/s,,
start_time_L1,hh:mm:ss,09:30:30,
initial_fuel_mass_L1,lb,9.486,
initial_water_temp_pot1_L1,ºC,,
initial_water_temp_pot2_L1,ºC,,
initial_water_temp_pot3_L1,ºC,,
initial_water_temp_pot4_L1,ºC,,
initial_pot1_mass_L1,lb,251.321,
initial_pot2_mass_L1,kg,,
initial_pot3_mass_L1,kg,,
initial_pot4_mass_L1,kg,,
initial_char_mass_L1,kg,,
fire_start_material_L1,--,Paper,
boil_time_L1,hh:mm:ss,,
weight_L1,,1,
weight_hp,,1,
weight_mp,,1,
weight_lp,,1,
weight_total,,4,
final_air_temp,ºC,,
final_RH,%,,
final_pressure,in Hg,,
final_wind_velocity,m/s,,
end_time_L1,hh:mm:ss,09:54:58,
final_fuel_mass_L1,lb,0.26499999999998636,
max_water_temp_pot1_L1,ºC,,
max_water_temp_pot2_L1,ºC,,
max_water_temp_pot3_L1,ºC,,
max_water_temp_pot4_L1,ºC,,
final_pot1_mass_L1,lb,242.1,
final_pot2_mass_L1,kg,,
final_pot3_mass_L1,kg,,
final_pot4_mass_L1,kg,,
final_char_mass_L1,kg,,
start_time_hp,hh:mm:ss,09:54:58,
initial_fuel_mass_hp,lb,15.858,
initial_water_temp_pot1_hp,ºC,,
initial_water_temp_pot2_hp,ºC,,
initial_water_temp_pot3_hp,ºC,,
initial_water_temp_pot4_hp,ºC,,
initial_pot1_mass_hp,lb,256.5,
initial_pot2_mass_hp,kg,,
initial_pot3_mass_hp,kg,,
initial_pot4_mass_hp,kg,,
initial_char_mass_hp,kg,,
fire_start_material_hp,--,,
boil_time_hp,hh:mm:ss,,
end_time_hp,hh:mm:ss,10:43:50,
final_fuel_mass_hp,lb,0.3649999999999807,
max_water_temp_pot1_hp,ºC,,
max_water_temp_pot2_hp,ºC,,
max_water_temp_pot3_hp,ºC,,
max_water_temp_pot4_hp,ºC,,
final_pot1_mass_hp,lb,242.2,
final_pot2_mass_hp,kg,,
final_pot3_mass_hp,kg,,
final_pot4_mass_hp,kg,,
final_char_mass_hp,kg,,
start_time_mp,hh:mm:ss,10:43:50,
initial_fuel_mass_mp,lb,11.982,
initial_water_temp_pot1_mp,ºC,,
initial_water_temp_pot2_mp,ºC,,
initial_water_temp_pot3_mp,ºC,,
initial_water_temp_pot4_mp,ºC,,
initial_pot1_mass_mp,lb,254.7,
initial_pot2_mass_mp,kg,,
initial_pot3_mass_mp,kg,,
initial_pot4_mass_mp,kg,,
initial_char_mass_mp,kg,,
fire_start_material_mp,--,,
boil_time_mp,hh:mm:ss,,
end_time_mp,hh:mm:ss,11:42:32,
final_fuel_mass_mp,lb,2.0649999999999977,
max_water_temp_pot1_mp,ºC,,
max_water_temp_pot2_mp,ºC,,
max_water_temp_pot3_mp,ºC,,
max_water_temp_pot4_mp,ºC,,
final_pot1_mass_mp,lb,243.9,
final_pot2_mass_mp,kg,,
final_pot3_mass_mp,kg,,
final_pot4_mass_mp,kg,,
final_char_mass_mp,kg,,
start_time_lp,hh:mm:ss,11:42:32,
initial_fuel_mass_lp,lb,23.601000000000003,
initial_water_temp_pot1_lp,ºC,,
initial_water_temp_pot2_lp,ºC,,
initial_water_temp_pot3_lp,ºC,,
initial_water_temp_pot4_lp,ºC,,
initial_pot1_mass_lp,lb,267.2,
initial_pot2_mass_lp,kg,,
initial_pot3_mass_lp,kg,,
initial_pot4_mass_lp,kg,,
initial_char_mass_lp,kg,,
fire_start_material_lp,--,,
boil_time_lp,hh:mm:ss,,
end_time_lp,hh:mm:ss,13:01:00,
final_fuel_mass_lp,lb,4.064999999999998,
max_water_temp_pot1_lp,ºC,,
max_water_temp_pot2_lp,ºC,,
max_water_temp_pot3_lp,ºC,,
max_water_temp_pot4_lp,ºC,,
final_pot1_mass_lp,lb,245.9,
final_pot2_mass_lp,kg,,
final_pot3_mass_lp,kg,,
final_pot4_mass_lp,kg,,
final_char_mass_lp,kg,,
