variable_name,units,value,uncertainty
test_name,,,
test_number,,,
date,,,
name_of_tester,,,
location,,,
stove_type/model,,,
general_comments,,,
high_power_comments,,,
medium_power_comments,,,
low_power_comments,,,
initial_air_temp,C,,
initial_RH,%,,
initial_pressure,in Hg,,
initial_wind_velocity,m/s,,
final_air_temp,C,,
final_RH,%,,
final_pressure,in Hg,,
final_wind_velocity,m/s,,
pot1_dry_mass,lb,,
pot2_dry_mass,lb,,
pot3_dry_mass,lb,,
pot4_dry_mass,lb,,
fuel_type_1,,,
fuel_source_1,,,
fuel_dimensions_1,cmxcmxcm,,
fuel_mc_1,%,,
fuel_higher_heating_value_1,kJ/kg,,
fuel_Cfrac_db_1,g/g,,
fuel_correction_value_1,kJ/kg,1320,
fuel_type_2,,charcoal,
fuel_source_2,,created by fire,
fuel_dimensions_2,cmxcmxcm,,
fuel_mc_2,%,0.0,
fuel_higher_heating_value_2,kJ/kg,32500,
fuel_Cfrac_db_2,g/g,0.9,
fuel_correction_value_2,kJ/kg,1200,
fuel_type_3,,,
fuel_source_3,,,
fuel_dimensions_3,cmxcmxcm,,
fuel_mc_3,%,,
fuel_higher_heating_value_3,kJ/kg,,
fuel_Cfrac_db_3,g/g,,
fuel_correction_value_3,kJ/kg,,
start_time_L1,hh:mm:ss,,
initial_fuel_mass_1_L1,lb,,
initial_fuel_mass_2_L1,lb,0,
initial_fuel_mass_3_L1,lb,0,
initial_water_temp_pot1_L1,C,,
initial_water_temp_pot2_L1,C,,
initial_water_temp_pot3_L1,C,,
initial_water_temp_pot4_L1,C,,
initial_pot1_mass_L1,lb,,
initial_pot2_mass_L1,lb,,
initial_pot3_mass_L1,lb,,
initial_pot4_mass_L1,lb,,
fire_start_material_L1,,,
boil_time_L1,hh:mm:ss,,
end_time_L1,hh:mm:ss,,
final_fuel_mass_1_L1,lb,,
final_fuel_mass_2_L1,lb,0,
final_fuel_mass_3_L1,lb,0,
max_water_temp_pot1_L1,C,,
max_water_temp_pot2_L1,C,,
max_water_temp_pot3_L1,C,,
max_water_temp_pot4_L1,C,,
end_water_temp_pot1_L1,C,,
final_pot1_mass_L1,lb,,
final_pot2_mass_L1,lb,,
final_pot3_mass_L1,lb,,
final_pot4_mass_L1,lb,,
start_time_hp,hh:mm:ss,,
initial_fuel_mass_1_hp,lb,,
initial_fuel_mass_2_hp,lb,0,
initial_fuel_mass_3_hp,lb,0,
initial_water_temp_pot1_hp,C,,
initial_water_temp_pot2_hp,C,,
initial_water_temp_pot3_hp,C,,
initial_water_temp_pot4_hp,C,,
initial_pot1_mass_hp,lb,,
initial_pot2_mass_hp,lb,,
initial_pot3_mass_hp,lb,,
initial_pot4_mass_hp,lb,,
fire_start_material_hp,,,
boil_time_hp,hh:mm:ss,,
end_time_hp,hh:mm:ss,,
final_fuel_mass_1_hp,lb,,
final_fuel_mass_2_hp,lb,0,
final_fuel_mass_3_hp,lb,0,
max_water_temp_pot1_hp,C,,
max_water_temp_pot2_hp,C,,
max_water_temp_pot3_hp,C,,
max_water_temp_pot4_hp,C,,
end_water_temp_pot1_hp,C,,
final_pot1_mass_hp,lb,,
final_pot2_mass_hp,lb,,
final_pot3_mass_hp,lb,,
final_pot4_mass_hp,lb,,
start_time_mp,hh:mm:ss,,
initial_fuel_mass_1_mp,lb,,
initial_fuel_mass_2_mp,lb,0,
initial_fuel_mass_3_mp,lb,0,
initial_water_temp_pot1_mp,C,,
initial_water_temp_pot2_mp,C,,
initial_water_temp_pot3_mp,C,,
initial_water_temp_pot4_mp,C,,
initial_pot1_mass_mp,lb,,
initial_pot2_mass_mp,lb,,
initial_pot3_mass_mp,lb,,
initial_pot4_mass_mp,lb,,
boil_time_mp,hh:mm:ss,,
end_time_mp,hh:mm:ss,,
final_fuel_mass_1_mp,lb,,
final_fuel_mass_2_mp,lb,0,
final_fuel_mass_3_mp,lb,0,
max_water_temp_pot1_mp,C,,
max_water_temp_pot2_mp,C,,
max_water_temp_pot3_mp,C,,
max_water_temp_pot4_mp,C,,
end_water_temp_pot1_mp,C,,
final_pot1_mass_mp,lb,,
final_pot2_mass_mp,lb,,
final_pot3_mass_mp,lb,,
final_pot4_mass_mp,lb,,
start_time_lp,hh:mm:ss,,
initial_fuel_mass_1_lp,lb,,
initial_fuel_mass_2_lp,lb,0,
initial_fuel_mass_3_lp,lb,0,
initial_water_temp_pot1_lp,C,,
initial_water_temp_pot2_lp,C,,
initial_water_temp_pot3_lp,C,,
initial_water_temp_pot4_lp,C,,
initial_pot1_mass_lp,lb,,
initial_pot2_mass_lp,lb,,
initial_pot3_mass_lp,lb,,
initial_pot4_mass_lp,lb,,
boil_time_lp,hh:mm:ss,,
end_time_lp,hh:mm:ss,,
final_fuel_mass_1_lp,lb,,
final_fuel_mass_2_lp,lb,0,
final_fuel_mass_3_lp,lb,0,
max_water_temp_pot1_lp,C,,
max_water_temp_pot2_lp,C,,
max_water_temp_pot3_lp,C,,
max_water_temp_pot4_lp,C,,
end_water_temp_pot1_lp,C,,
final_pot1_mass_lp,lb,,
final_pot2_mass_lp,lb,,
final_pot3_mass_lp,lb,,
final_pot4_mass_lp,lb,,
start_time_L5,hh:mm:ss,,
initial_fuel_mass_1_L5,lb,,
initial_fuel_mass_2_L5,lb,0,
initial_fuel_mass_3_L5,lb,0,
initial_water_temp_pot1_L5,C,,
initial_water_temp_pot2_L5,C,,
initial_water_temp_pot3_L5,C,,
initial_water_temp_pot4_L5,C,,
initial_pot1_mass_L5,lb,,
initial_pot2_mass_L5,lb,,
initial_pot3_mass_L5,lb,,
initial_pot4_mass_L5,lb,,
boil_time_L5,hh:mm:ss,,
end_time_L5,hh:mm:ss,,
final_fuel_mass_1_L5,lb,,
final_fuel_mass_2_L5,lb,0,
final_fuel_mass_3_L5,lb,0,
max_water_temp_pot1_L5,C,,
max_water_temp_pot2_L5,C,,
max_water_temp_pot3_L5,C,,
max_water_temp_pot4_L5,C,,
end_water_temp_pot1_L5,C,,
final_pot1_mass_L5,lb,,
final_pot2_mass_L5,lb,,
final_pot3_mass_L5,lb,,
final_pot4_mass_L5,lb,,
weight_L1,,,
weight_hp,,,
weight_mp,,,
weight_lp,,,
weight_L5,,,
weight_total,,,
