variable_name,units,value,uncertainty
start_time_test,yyyymmdd hh:mm:ss,20230321 18:52:00,
end_time_test,yyyymmdd hh:mm:ss,20230322 17:27:36,
fuel_type_1,--,douglas fir ,
fuel_source_1,--,local forest,
fuel_dimensions_1,cmxcmxcm,2x3x20,
fuel_mc_1,%,18,5
fuel_Cfrac_db_1,g/g,0.5,0.025
fuel_heating_value_1,MJ/kg,15.431,1
initial_fuel_mass_1,kg,9.7,0.5
final_fuel_mass_1,kg,0,0
stak_dia,in,6,0
phase_time_test,min,1355.6,
fuel_mass_1,kg,9.7,0.5
fuel_dry_mass_1,kg,7.954,0.635078735276186
fuel_Cfrac_1,g/g,0.41000000000000003,0.032330326320654426
fuel_energy_1,MJ,149.68069999999997,12.394310801734802
fuel_mass,kg,9.7,0.5
fuel_dry_mass,kg,7.954,0.635078735276186
burn_rate,g/min,7.155503098259073,0.368840365889643
fuel_energy,MJ,149.68069999999997,12.394310801734802
firepower,W,1840.2761384872624,152.38407103539396
fuel_EHV,MJ/kg,15.431,1.0
fuel_Cfrac,g/g,0.41000000000000003,0.032330326320654426
fuel_Cfrac_db,g/g,0.5,0.025
