time,#units:,nan,
seconds,s,40715.0,
ID,10,10.0,
CO,ppm,161.3208641963612,
CObkg,ppm,-1.9984500288926266,
CO2,ppm,1362.9956529250967,
CO2bkg,ppm,475.575408485683,
COhi,ppm,1878.91467373156,
CO2hi,ppm,12990.016175240165,
SO2,ppm,3.1533355053626435,
NO,ppm,0.39879513628483404,
NO2,ppm,-0.24588121027332102,
H2S,ppm,0.25134932441570257,
VOC,ppm,4.283616927105691,
O2,ppm,19.16278507937428,
HC,ppm,75.16043129203192,
PM,Mm^-1,824.1346885179797,
RH,%,36.89762051710225,
F1Flow,sccm,293.79004389146894,
F2Flow,sccm,4.830944137720704,
SampFlow,sccm,1236.8174891701296,
USampFlow,sccm,717.839549651442,
DilFlow,sccm,1455.8608598383678,
Pitot,Pa,0.2743867858416296,
Pamb,Pa,97434.93220797423,
TCnoz,degC,41.62176438766598,
TC2,degC,51.09260336624343,
COtemp,degC,14.64414854248475,
HCtemp,degC,16.52268709197338,
HCinTemp,degC,3771.64857322006,
HCoutTemp,degC,3792.786468642807,
BattV,V,23.828240038345534,
StakVel,m/s,0.43335654723008304,
NozVel,m/s,1.8789054181980904,
PMmass,ug,285.9146022105561,
DilRat,-,18.578138854395984,
TAPstat,-,0.0,
TAPspot,-,0.0,
TAPflow,sccm,-248.07800000013353,
TAPtemp,degC,0.0,
drk,raw,nan,
red,raw,nan,
grn,raw,nan,
blu,raw,nan,
drkref,raw,nan,
redref,raw,nan,
grnref,raw,nan,
bluref,raw,nan,
RedRat,-,nan,
GrnRat,-,nan,
BluRat,-,nan,
RedAbs,Mm^-1,nan,
GrnAbs,Mm^-1,nan,
BluAbs,Mm^-1,nan,
datenumbers,date,19438.256805555557,
phase,text,nan,
COconc,gm^-3,0.1879501257294111,
COhiconc,gm^-3,2.189067427339298,
CO2conc,gm^-3,2.4950819312871935,
CO2hiconc,gm^-3,23.779352910229605,
PMconc,mgm^-3,7.224451974228846,
Cconc,gm^-3,0.7614776042378468,
Cconchi,gm^-3,7.427825988428579,
MCE,mol/mol,0.9171471725841839,
MCEhi,mol/mol,0.9066001113301682,
CER_CO,g/g,0.19323128192474143,
CER_COhi,g/g,0.21782938231874557,
CER_CO2,g/g,3.3608365583205293,
CER_CO2hi,g/g,3.322187418786834,
CER_PM,mg/g,3.389036489686789,
EFmass_CO,g/kg,79.22482558913936,
EFmass_COhi,g/kg,89.31004675066525,
EFmass_CO2,g/kg,1377.9429889114008,
EFmass_CO2hi,g/kg,1362.0968417024412,
EFmass_PM,mg/kg,1389.504960771572,
EFmass_dry_CO,g/kg,96.61564096236741,
EFmass_dry_COhi,g/kg,108.91469115936464,
EFmass_dry_CO2,g/kg,1680.41827916043,
EFmass_dry_CO2hi,g/kg,1661.0937093932887,
EFmass_dry_PM,mg/kg,1694.5182448434418,
EFenergy_CO,g/MJ,5.134134248534495,
EFenergy_COhi,g/MJ,5.787703113905706,
EFenergy_CO2,g/MJ,89.29706363239256,
EFenergy_CO2hi,g/MJ,88.2701601777428,
EFenergy_PM,mg/MJ,90.04633275689154,
ER_CO,g/min,0.566893484962149,
ER_COhi,g/min,0.6390583162302956,
ER_CO2,g/min,9.859875326379324,
ER_CO2hi,g/min,9.746488170930618,
ER_PM,mg/min,9.942607051847068,
ER_PM_heat,g/hr,0.611599978428704,
Realtime_conc_PM,mg/m^3,7223.686191695322,
PM_flowrate,g/hr,1.702009401259012,
Psat,Pa,1776.4854972730332,
PH2O,Pa,621.8513713208112,
H2O,ppm,6382.9936095927815,
COstak,%vol,0.3466203000158167,
CO2stak,%vol,1.7484809766846758,
H2Ostak,%vol,12.983979968907793,
O2stak,%vol,16.71692029917325,
N2stak,%vol,68.2039984552184,
MW,g/mol,27.65966247731277,
Stak_PM,mg/m^3,138.34332434015346,
VolFlow,m^3/s,0.00790506012950474,
StakDensity,g/m^3,0.002803986834781542,
MassFlow,g/s,1.934362636101155e-05,
EnergyFlow,W,0.0012024672754875744,
ERCOstak,g/hr,10.739563275138812,
ERCO2stak,g/hr,90.09453291136701,
ERH2Ostak,g/hr,392.04264728991035,
ERO2stak,g/hr,392.72790433836445,
ERN2stak,g/hr,1632.962438267896,
ERPMstak,g/hr,3.0991343512386877,
MolFlow,mol/s,6.670215986555798e-07,
CO2Flow,mol/s,1.5704517099530832e-09,
COFlow,mol/s,1.4239892698079496e-10,
CBurnRate,g/s,2.0554207643207068e-08,
FirePower,watts,7.73590190591023e-07,
