variable_name,units,average,uncertainty
time_prebkg,yyyymmdd hh:mm:ss,20230322 18:07:09,
seconds_prebkg,s,532.5,0.0
ID_prebkg,10,10.0,0.0
CO_prebkg,ppm,1.2094182089559264e-16,0.0
CObkg_prebkg,ppm,-6.673556701030927,0.0
CO2_prebkg,ppm,-2.0315173750941696e-14,0.0
CO2bkg_prebkg,ppm,416.36254295532643,0.0
COhi_prebkg,ppm,-3.0521595178698464e-17,0.0
CO2hi_prebkg,ppm,-2.500329077038978e-14,0.0
SO2_prebkg,ppm,-0.5620618556701031,0.0
NO_prebkg,ppm,0.7260481099656358,0.0
NO2_prebkg,ppm,-0.7020790378006873,0.0
H2S_prebkg,ppm,1.0,0.0
VOC_prebkg,ppm,4.553883161512027,0.0
O2_prebkg,ppm,21.14,0.0
HC_prebkg,ppm,28.957044673539517,0.0
PM_prebkg,Mm^-1,2.6859003757254644e-16,0.0
RH_prebkg,%,25.71694158075601,0.0
F1Flow_prebkg,sccm,287.93161512027496,0.0
F2Flow_prebkg,sccm,-2.776632302405498,0.0
SampFlow_prebkg,sccm,1217.2276632302405,0.0
USampFlow_prebkg,sccm,698.5824742268042,0.0
DilFlow_prebkg,sccm,1443.880412371134,0.0
Pitot_prebkg,Pa,0.3682319587628866,0.0
Pamb_prebkg,Pa,98124.46907216495,0.0
TCnoz_prebkg,degC,4.872096219931271,0.0
TC2_prebkg,degC,14.251391752577321,0.0
COtemp_prebkg,degC,21.965000000000003,0.0
HCtemp_prebkg,degC,20.832646048109968,0.0
HCinTemp_prebkg,degC,5047.1082474226805,0.0
HCoutTemp_prebkg,degC,5013.20618556701,0.0
BattV_prebkg,V,23.975790378006874,0.0
StakVel_prebkg,m/s,0.6423539518900344,0.0
NozVel_prebkg,m/s,1.5606701030927839,0.0
PMmass_prebkg,ug,0.0,0.0
DilRat_prebkg,-,24.703127147766324,0.0
TAPstat_prebkg,-,0.0,0.0
TAPspot_prebkg,-,0.0,0.0
TAPflow_prebkg,sccm,-248.078,0.0
TAPtemp_prebkg,degC,0.0,0.0
drk_prebkg,raw,nan,
red_prebkg,raw,nan,
grn_prebkg,raw,nan,
blu_prebkg,raw,nan,
drkref_prebkg,raw,nan,
redref_prebkg,raw,nan,
grnref_prebkg,raw,nan,
bluref_prebkg,raw,nan,
RedRat_prebkg,-,nan,
GrnRat_prebkg,-,nan,
BluRat_prebkg,-,nan,
RedAbs_prebkg,Mm^-1,nan,
GrnAbs_prebkg,Mm^-1,nan,
BluAbs_prebkg,Mm^-1,nan,
datenumbers_prebkg,date,19438.754971064813,
phase_prebkg,text,prebkg,
time_test,yyyymmdd hh:mm:ss,20230323 03:55:57,
seconds_test,s,35860.5,0.0
ID_test,10,10.0,0.0
CO_test,ppm,230.63435984434028,0.0
CObkg_test,ppm,-3.1209205853714415,0.0
CO2_test,ppm,1166.0680277642127,0.0
CO2bkg_test,ppm,463.32361532733836,0.0
COhi_test,ppm,2645.881350100747,0.0
CO2hi_test,ppm,11335.892914405846,0.0
SO2_test,ppm,4.3197352368405975,0.0
NO_test,ppm,0.5276556503808923,0.0
NO2_test,ppm,-0.5872275044389713,0.0
H2S_test,ppm,0.9963915459075549,0.0
VOC_test,ppm,4.363188183744774,0.0
O2_test,ppm,19.446112177100634,0.0
HC_test,ppm,59.93619336731771,0.0
PM_test,Mm^-1,1163.979041274708,0.0
RH_test,%,32.68002734979093,0.0
F1Flow_test,sccm,289.0735709376253,0.0
F2Flow_test,sccm,4.319289478206082,0.0
SampFlow_test,sccm,1247.4137894495677,0.0
USampFlow_test,sccm,722.9822813448651,0.0
DilFlow_test,sccm,1464.2541010367145,0.0
Pitot_test,Pa,0.411447863566069,0.0
Pamb_test,Pa,98514.03903430895,0.0
TCnoz_test,degC,45.14307792542529,0.0
TC2_test,degC,52.408510080760635,0.0
COtemp_test,degC,16.65960392920557,0.0
HCtemp_test,degC,17.975178990778396,0.0
HCinTemp_test,degC,4074.049558966722,0.0
HCoutTemp_test,degC,4154.604573572369,0.0
BattV_test,V,23.983838994215027,0.0
StakVel_test,m/s,0.6576834297496993,0.0
NozVel_test,m/s,1.8821712297382438,0.0
PMmass_test,ug,317.31022681711437,0.0
DilRat_test,-,19.476163296866943,0.0
TAPstat_test,-,0.0,0.0
TAPspot_test,-,0.0,0.0
TAPflow_test,sccm,-248.078,0.0
TAPtemp_test,degC,0.0,0.0
drk_test,raw,nan,
red_test,raw,nan,
