time,Battery level,Temperature,firewood,seconds
yyyymmdd hhmmss,%,C,kg,s
2023-03-22 18:12:48,83.0,16.18,1.331515,0
2023-03-22 18:12:52,83.0,16.19,1.331501,4
2023-03-22 18:12:56,83.0,16.18,1.331345,8
2023-03-22 18:13:00,83.0,16.18,1.331313,12
2023-03-22 18:13:04,82.0,16.19,1.331313,16
2023-03-22 18:13:08,82.0,16.18,1.331313,20
2023-03-22 18:13:12,83.0,16.18,1.331313,24
2023-03-22 18:13:16,83.0,16.18,1.331486,28
2023-03-22 18:13:20,83.0,16.19,1.331546,32
2023-03-22 18:13:24,83.0,16.18,1.331546,36
2023-03-22 18:13:28,83.0,16.18,1.331518,40
2023-03-22 18:13:32,82.0,16.19,1.331486,44
2023-03-22 18:13:36,83.0,16.18,1.331518,48
2023-03-22 18:13:40,83.0,16.19,1.331444,52
2023-03-22 18:13:44,83.0,16.19,1.330837,56
2023-03-22 18:13:48,82.0,16.18,1.330837,60
2023-03-22 18:13:52,82.0,16.18,1.330876,64
2023-03-22 18:13:56,82.0,16.18,1.330876,68
2023-03-22 18:14:00,82.0,16.18,1.330876,72
2023-03-22 18:14:04,83.0,16.18,1.330969,76
2023-03-22 18:14:08,82.0,16.19,1.331374,80
2023-03-22 18:14:12,83.0,16.18,1.331434,84
2023-03-22 18:14:16,83.0,16.18,1.331434,88
2023-03-22 18:14:20,83.0,16.19,1.331434,92
2023-03-22 18:14:24,83.0,16.19,1.331297,96
2023-03-22 18:14:28,82.0,16.19,1.331297,100
2023-03-22 18:14:32,82.0,16.19,1.331297,104
2023-03-22 18:14:36,83.0,16.18,1.331438,108
2023-03-22 18:14:40,82.0,16.19,1.331438,112
2023-03-22 18:14:44,83.0,16.18,1.331601,116
2023-03-22 18:14:48,83.0,16.18,1.331754,120
2023-03-22 18:14:52,83.0,16.18,1.33191,124
2023-03-22 18:14:56,82.0,16.18,1.33191,128
2023-03-22 18:15:00,83.0,16.19,1.331955,132
2023-03-22 18:15:04,83.0,16.18,1.332061,136
2023-03-22 18:15:08,83.0,16.18,1.332338,140
2023-03-22 18:15:12,83.0,16.19,1.332338,144
2023-03-22 18:15:16,82.0,16.18,1.332338,148
2023-03-22 18:15:20,83.0,16.18,1.331348,152
2023-03-22 18:15:24,82.0,16.18,1.331348,156
2023-03-22 18:15:28,82.0,16.18,1.331348,160
2023-03-22 18:15:32,83.0,16.18,1.331348,164
2023-03-22 18:15:36,83.0,16.18,1.331546,168
2023-03-22 18:15:40,82.0,16.18,1.331741,172
2023-03-22 18:15:44,83.0,16.18,1.331546,176
2023-03-22 18:15:48,83.0,16.18,1.331664,180
2023-03-22 18:15:52,83.0,16.18,1.331741,184
2023-03-22 18:15:56,83.0,16.18,1.331664,188
2023-03-22 18:16:00,83.0,16.18,1.330471,192
2023-03-22 18:16:04,82.0,16.18,1.331649,196
2023-03-22 18:16:08,83.0,16.18,1.331409,200
2023-03-22 18:16:12,83.0,16.18,1.331409,204
2023-03-22 18:16:16,83.0,16.18,1.331473,208
2023-03-22 18:16:20,83.0,16.18,1.331473,212
2023-03-22 18:16:24,83.0,16.18,1.331409,216
2023-03-22 18:16:28,83.0,16.18,1.331473,220
2023-03-22 18:16:32,83.0,16.18,1.331515,224
2023-03-22 18:16:36,83.0,16.18,1.33138,228
2023-03-22 18:16:40,82.0,16.18,1.331515,232
2023-03-22 18:16:44,83.0,16.18,1.33169,236
2023-03-22 18:16:48,82.0,16.18,1.331515,240
2023-03-22 18:16:52,83.0,16.18,1.331467,244
2023-03-22 18:16:56,83.0,16.18,1.331467,248
2023-03-22 18:17:00,83.0,16.18,1.331275,252
2023-03-22 18:17:04,83.0,16.18,1.331275,256
2023-03-22 18:17:08,83.0,16.18,1.331275,260
2023-03-22 18:17:12,83.0,16.18,1.331195,264
2023-03-22 18:17:16,82.0,16.18,1.331036,268
2023-03-22 18:17:20,82.0,16.18,1.331747,272
2023-03-22 18:17:24,83.0,16.18,1.331482,276
2023-03-22 18:17:28,83.0,16.18,1.331103,280
2023-03-22 18:17:32,83.0,16.18,1.331103,284
2023-03-22 18:17:36,83.0,16.18,1.331103,288
2023-03-22 18:17:40,83.0,16.18,1.331,292
2023-03-22 18:17:44,83.0,16.18,1.331,296
2023-03-22 18:17:48,83.0,16.18,1.331,300
2023-03-22 18:17:52,82.0,16.18,1.331,304
2023-03-22 18:17:56,83.0,16.18,1.330981,308
2023-03-22 18:18:00,83.0,16.18,1.331007,312
2023-03-22 18:18:04,83.0,16.18,1.331007,316
2023-03-22 18:18:08,83.0,16.18,1.331199,320
2023-03-22 18:18:12,82.0,16.18,1.331199,324
2023-03-22 18:18:16,83.0,16.18,1.331269,328
2023-03-22 18:18:20,82.0,16.18,1.331709,332
2023-03-22 18:18:24,83.0,16.18,1.331709,336
2023-03-22 18:18:28,83.0,16.18,1.331556,340
2023-03-22 18:18:32,83.0,16.18,1.331556,344
2023-03-22 18:18:36,82.0,16.18,1.33153,348
2023-03-22 18:18:40,82.0,16.18,1.33153,352
2023-03-22 18:18:44,83.0,16.18,1.331556,356
2023-03-22 18:18:48,83.0,16.18,1.331559,360
2023-03-22 18:18:52,83.0,16.18,1.331559,364
2023-03-22 18:18:56,83.0,16.18,1.331741,368
2023-03-22 18:19:00,83.0,16.18,1.332137,372
2023-03-22 18:19:04,82.0,16.18,1.332137,376
2023-03-22 18:19:08,83.0,16.18,1.332054,380
2023-03-22 18:19:12,82.0,16.18,1.332054,384
2023-03-22 18:19:16,83.0,16.18,1.331428,388
2023-03-22 18:19:20,83.0,16.18,1.331151,392
2023-03-22 18:19:24,82.0,16.18,1.331,396
2023-03-22 18:19:28,83.0,16.18,1.330806,400
2023-03-22 18:19:32,82.0,16.18,1.330806,404
2023-03-22 18:19:36,82.0,16.18,1.330806,408
2023-03-22 18:19:40,83.0,16.18,1.330796,412
2023-03-22 18:19:44,82.0,16.18,1.331345,416
2023-03-22 18:19:48,82.0,16.18,1.331747,420
2023-03-22 18:19:52,83.0,16.18,1.331345,424
2023-03-22 18:19:56,82.0,16.18,1.331233,428
2023-03-22 18:20:00,82.0,16.18,1.331511,432
2023-03-22 18:20:04,82.0,16.18,1.331233,436
2023-03-22 18:20:08,83.0,16.18,1.331233,440
2023-03-22 18:20:12,83.0,16.18,1.330886,444
2023-03-22 18:20:16,83.0,16.18,1.331508,448
2023-03-22 18:20:20,83.0,16.18,1.331508,452
2023-03-22 18:20:24,83.0,16.18,1.331508,456
2023-03-22 18:20:28,83.0,16.18,1.331492,460
2023-03-22 18:20:32,83.0,16.18,1.331492,464
2023-03-22 18:20:36,82.0,16.18,1.331482,468
2023-03-22 18:20:40,83.0,16.18,1.331419,472
2023-03-22 18:20:44,82.0,16.18,1.331419,476
2023-03-22 18:20:48,82.0,16.18,1.33116,480
2023-03-22 18:20:52,83.0,16.18,1.331384,484
2023-03-22 18:20:56,83.0,16.18,1.33116,488
2023-03-22 18:21:00,82.0,16.18,1.33116,492
2023-03-22 18:21:04,82.0,16.18,1.33116,496
2023-03-22 18:21:08,83.0,16.18,1.331333,500
2023-03-22 18:21:12,83.0,16.18,1.331333,504
2023-03-22 18:21:16,83.0,16.18,1.331812,508
2023-03-22 18:21:20,82.0,16.18,1.331812,512
2023-03-22 18:21:24,83.0,16.18,1.331333,516
2023-03-22 18:21:28,83.0,16.18,1.331473,520
2023-03-22 18:21:32,83.0,16.18,1.331304,524
2023-03-22 18:21:36,82.0,16.18,1.330729,528
2023-03-22 18:21:40,83.0,16.18,1.330729,532
2023-03-22 18:21:44,83.0,16.18,1.330659,536
2023-03-22 18:21:48,83.0,16.18,1.330659,540
2023-03-22 18:21:52,83.0,16.18,1.330659,544
2023-03-22 18:21:56,83.0,16.18,1.330486,548
2023-03-22 18:22:00,83.0,16.18,1.330486,552
2023-03-22 18:22:04,83.0,16.18,1.330706,556
2023-03-22 18:22:08,82.0,16.18,1.330467,560
2023-03-22 18:22:12,82.0,16.18,1.33072,564
2023-03-22 18:22:16,82.0,16.18,1.33072,568
2023-03-22 18:22:20,83.0,16.18,1.330241,572
2023-03-22 18:22:24,83.0,16.18,1.330241,576
2023-03-22 18:22:28,82.0,16.18,1.330831,580
2023-03-22 18:22:32,83.0,16.18,1.330831,584
2023-03-22 18:22:36,82.0,16.18,1.33086,588
2023-03-22 18:22:40,83.0,16.18,1.331087,592
2023-03-22 18:22:44,82.0,16.18,1.33162,596
2023-03-22 18:22:48,82.0,16.18,1.331087,600
2023-03-22 18:22:52,83.0,16.18,1.331087,604
2023-03-22 18:22:56,82.0,16.18,1.330962,608
2023-03-22 18:23:00,82.0,16.18,1.330614,612
2023-03-22 18:23:04,82.0,16.18,1.330614,616
2023-03-22 18:23:08,82.0,16.18,1.330614,620
2023-03-22 18:23:12,83.0,16.18,1.330614,624
2023-03-22 18:23:16,83.0,16.18,1.330687,628
2023-03-22 18:23:20,82.0,16.18,1.33124,632
2023-03-22 18:23:24,82.0,16.18,1.331227,636
2023-03-22 18:23:28,82.0,16.18,1.33124,640
2023-03-22 18:23:32,83.0,16.18,1.331307,644
2023-03-22 18:23:36,82.0,16.18,1.331367,648
2023-03-22 18:23:40,83.0,16.18,1.331367,652
2023-03-22 18:23:44,83.0,16.18,1.331367,656
2023-03-22 18:23:48,83.0,16.18,1.331361,660
2023-03-22 18:23:52,82.0,16.18,1.331333,664
2023-03-22 18:23:56,83.0,16.18,1.331199,668
2023-03-22 18:24:00,83.0,16.18,1.331064,672
2023-03-22 18:24:04,83.0,16.18,1.331199,676
2023-03-22 18:24:08,82.0,16.18,1.330847,680
2023-03-22 18:24:12,82.0,16.18,1.331125,684
2023-03-22 18:24:16,82.0,16.18,1.331125,688
2023-03-22 18:24:20,83.0,16.18,1.331639,692
2023-03-22 18:24:24,82.0,16.18,1.331358,696
2023-03-22 18:24:28,82.0,16.18,1.33169,700
2023-03-22 18:24:32,82.0,16.18,1.33169,704
2023-03-22 18:24:36,83.0,16.18,1.331358,708
2023-03-22 18:24:40,82.0,16.18,1.331358,712
2023-03-22 18:24:44,83.0,16.18,1.330969,716
2023-03-22 18:24:48,82.0,16.18,1.330576,720
2023-03-22 18:24:52,83.0,16.18,1.330586,724
2023-03-22 18:24:56,83.0,16.18,1.330586,728
2023-03-22 18:25:00,82.0,16.18,1.330586,732
2023-03-22 18:25:04,82.0,16.18,1.331,736
