variable_name,units,value,uncertainty
start_time_test,yyyymmdd hh:mm:ss,20230322 18:14:00,
end_time_test,yyyymmdd hh:mm:ss,20230323 13:37:55,
fuel_type_1,--,douglas fir ,
fuel_source_1,--,local forest,
fuel_dimensions_1,cmxcmxcm,2x3x20,
fuel_mc_1,%,18,5
fuel_Cfrac_db_1,g/g,0.5,0.025
fuel_heating_value_1,MJ/kg,15.431,1
initial_fuel_mass_1,kg,8.4,0.5
final_fuel_mass_1,kg,0,0
stak_dia,in,6,0
phase_time_test,min,1163.9166666666667,
fuel_mass_1,kg,8.4,0.5
fuel_dry_mass_1,kg,6.888000000000001,0.5869412236331676
fuel_Cfrac_1,g/g,0.41000000000000003,0.032330326320654426
fuel_energy_1,MJ,129.6204,11.405653872093437
fuel_mass,kg,8.4,0.5
fuel_dry_mass,kg,6.888000000000001,0.5869412236331676
burn_rate,g/min,7.21701152717119,0.4295840194744755
fuel_energy,MJ,129.6204,11.405653872093437
firepower,W,1856.0950812629767,163.32288783695046
fuel_EHV,MJ/kg,15.430999999999997,1.0
fuel_Cfrac,g/g,0.41000000000000003,0.032330326320654426
fuel_Cfrac_db,g/g,0.5,0.024999999999999998
