time,seconds,ID,CO,CObkg,CO2,CO2bkg,COhi,CO2hi,SO2,NO,NO2,H2S,VOC,O2,HC,PM,RH,F1Flow,F2Flow,SampFlow,USampFlow,DilFlow,Pitot,Pamb,TCnoz,TC2,COtemp,HCtemp,HCinTemp,HCoutTemp,BattV,StakVel,NozVel,PMmass,DilRat,TAPstat,TAPspot,TAPflow,TAPtemp,drk,red,grn,blu,drkref,redref,grnref,bluref,RedRat,GrnRat,BluRat,RedAbs,GrnAbs,BluAbs,datenumbers,phase
#units:,s,10,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,Mm^-1,%,sccm,sccm,sccm,sccm,sccm,Pa,Pa,degC,degC,degC,degC,degC,degC,V,m/s,m/s,ug,-,-,-,sccm,degC,raw,raw,raw,raw,raw,raw,raw,raw,-,-,-,Mm^-1,Mm^-1,Mm^-1,date,text
20230323 17:10:41,83544.0,10.0,0.6114776632302408,-1.37,61.05326460481098,493.0,4.008591065292096,-162.14261168384883,-0.26,0.1,-0.65,1.0,0.06,20.59,125.0,0.1683848797250862,68.62,318.6,12.7,1285.5,746.1,1525.7,0.023,99000.0,4095.0,15.06,12.0,13.6,2874.0,2947.0,23.98,0.64,26.88,396.0,16.77,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19439.715752314816,postbkg
20230323 17:10:42,83545.0,10.0,0.6114776632302408,-1.37,61.05326460481098,493.0,4.008591065292096,-141.14261168384883,-0.38,0.07,-0.64,1.0,-0.01,20.59,125.0,1.1683848797250862,68.65,319.2,12.8,1280.1,745.8,1526.9,0.099,99002.0,4095.0,15.06,11.94,13.6,2875.0,2947.0,23.98,1.33,26.69,396.0,17.94,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19439.71576388889,postbkg
20230323 17:10:43,83546.0,10.0,0.6114776632302408,-1.37,59.05326460481098,493.0,4.008591065292096,-141.14261168384883,-0.38,0.35,-0.65,1.0,0.06,20.59,118.0,0.1683848797250862,68.67,319.1,12.7,1287.0,746.1,1527.3,0.071,98999.0,4095.0,15.06,12.0,13.6,2874.0,2947.0,23.99,1.12,26.9,396.0,16.68,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19439.715775462962,postbkg
20230323 17:10:44,83547.0,10.0,0.6114776632302408,-1.89,59.05326460481098,491.0,4.008591065292096,-121.14261168384883,-0.38,-1.09,-0.64,0.0,0.06,20.59,118.0,1.1683848797250862,68.67,319.7,12.9,1286.5,744.9,1526.9,0.128,98999.0,4095.0,15.06,12.0,13.6,2874.0,2947.0,23.97,1.51,26.89,396.0,16.58,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19439.715787037036,postbkg
20230323 17:10:45,83548.0,10.0,0.6114776632302408,-1.37,56.05326460481098,491.0,4.008591065292096,-183.14261168384883,-0.38,-0.02,-0.64,1.0,0.06,20.59,118.0,1.1683848797250862,68.67,320.0,12.6,1283.0,745.4,1524.3,0.113,98999.0,4095.0,15.06,12.06,13.6,2875.0,2948.0,23.98,1.42,26.87,396.0,16.7,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19439.715798611112,postbkg
20230323 17:10:46,83549.0,10.0,0.6114776632302408,-1.37,56.05326460481098,491.0,4.008591065292096,-246.14261168384883,-0.38,0.1,-0.64,0.0,0.06,20.59,118.0,3.168384879725086,68.62,318.7,12.6,1285.5,745.7,1524.4,0.104,99002.0,4095.0,15.06,11.94,13.6,2875.0,2947.0,23.97,1.36,26.92,396.0,16.52,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19439.715810185186,postbkg
20230323 17:10:47,83550.0,10.0,0.6114776632302408,-1.89,52.05326460481098,491.0,4.008591065292096,-183.14261168384883,-0.38,0.2,-0.67,1.0,-0.01,20.59,118.0,1.1683848797250862,68.62,318.7,12.8,1280.7,745.9,1524.6,0.128,99000.0,4095.0,15.06,12.0,13.6,2875.0,2948.0,23.99,1.51,26.77,396.0,17.41,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19439.71582175926,postbkg
20230323 17:10:48,83551.0,10.0,0.6114776632302408,-1.37,52.05326460481098,493.0,4.008591065292096,-204.14261168384883,-0.38,-0.64,-0.65,1.0,-0.01,20.59,123.0,1.1683848797250862,68.65,320.2,12.8,1280.8,746.5,1525.6,0.075,99002.0,4095.0,15.06,12.06,13.6,2876.0,2948.0,23.97,1.16,26.81,396.0,17.31,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19439.715833333332,postbkg
20230323 17:10:49,83552.0,10.0,0.6114776632302408,-1.89,52.05326460481098,493.0,4.008591065292096,-141.14261168384883,-0.38,0.25,-0.64,0.0,-0.01,20.59,123.0,1.1683848797250862,68.67,318.7,12.7,1279.9,748.1,1524.5,0.132,99001.0,4095.0,15.06,12.0,13.6,2875.0,2948.0,23.99,1.54,26.81,396.0,17.57,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19439.71584490741,postbkg
