#,2023-02-24
#,18:24:22
##,## 
#0,0.034335,0.00384,.2028,1,0.00384,0.1,.000418,.000456,1,1
seconds,CO,ChipTemp,PM,Flow,FlueTemp,TC,grav,dilution,CO2,PM_RH
1.00,70,3456,23,-3,3576,134,-20,-10,968,51
3.00,56,3457,24,-2,3576,133,-16,-9,977,51
5.00,43,3455,23,-3,3576,134,-19,-9,973,51
7.00,33,3456,24,-1,3574,134,-15,-9,982,51
9.00,23,3457,22,-3,3575,134,-21,-5,982,51
11.00,15,3457,23,-2,3576,134,-15,-9,977,51
13.00,8,3458,23,-1,3575,134,-23,-11,968,51
15.00,-2,3457,21,-3,3574,134,-16,-8,968,51
17.00,-8,3457,23,-2,3576,134,-20,-10,968,51
19.00,-7,3457,21,-2,3576,134,-15,-9,966,51
21.00,-12,3459,22,-2,3575,134,-21,-11,968,51
23.00,-17,3458,22,-3,3576,134,-14,-9,968,51
25.00,-21,3457,21,-2,3574,134,-22,-9,958,51
27.00,-24,3458,22,-2,3577,134,-16,-11,958,51
29.00,-26,3461,23,-3,3576,134,-22,-12,952,51
31.00,-35,3460,23,-3,3577,134,-16,-9,950,51
33.00,-32,3460,24,-2,3576,134,-23,-11,950,51
35.00,-35,3461,24,-3,3576,134,-16,-8,942,51
37.00,-36,3460,25,-2,3575,134,-22,-13,945,51
39.00,-36,3460,24,-2,3577,134,-18,-7,940,51
41.00,-40,3459,25,-2,3578,134,-25,-11,942,51
43.00,-42,3457,24,-1,3576,134,-16,-9,952,51
45.00,-41,3459,24,-2,3577,134,-24,-11,966,51
47.00,-41,3461,23,-2,3578,134,-16,-11,964,51
49.00,-44,3461,23,-3,3576,134,-22,-10,959,51
51.00,-46,3459,23,-2,3577,134,-18,-12,955,51
53.00,-48,3460,23,-1,3576,134,-23,-12,943,51
55.00,-50,3460,22,-3,3577,134,-18,-9,948,51
57.00,-49,3461,22,-1,3578,134,-23,-12,953,51
59.00,-49,3461,23,-3,3579,134,-16,-10,959,51
61.00,-50,3461,23,-2,3577,134,-24,-6,950,51
63.00,-50,3461,22,-2,3577,134,-17,-10,953,51
65.00,-52,3462,22,-1,3577,134,-24,-10,955,51
67.00,-51,3462,21,-2,3580,134,-17,-9,945,51
69.00,-54,3461,22,-2,3577,134,-24,-11,945,51
71.00,-52,3463,23,-2,3577,134,-16,-10,936,50
73.00,-53,3462,23,-2,3578,134,-24,-10,936,50
75.00,-47,3445,21,-2,3554,134,6481,66,930,50
77.00,-52,3447,23,-2,3557,134,6481,63,936,50
79.00,-51,3452,21,-2,3558,134,6489,64,936,50
81.00,-49,3449,22,-4,3559,134,6462,5122,932,50
83.00,-50,3450,23,-3,3556,134,6465,5171,940,50
85.00,-54,3447,24,-2,3559,134,6433,5220,940,50
87.00,-52,3452,23,-2,3557,134,6434,5198,945,50
89.00,-53,3448,24,-1,3561,134,6433,5069,950,50
91.00,-52,3450,23,-2,3555,134,6475,5383,953,50
93.00,-51,3451,22,-2,3559,134,6509,5263,964,50
95.00,-57,3449,20,-3,3560,134,6514,5280,971,50
97.00,-56,3448,22,-2,3561,134,6498,5281,969,50
99.00,-54,3449,21,-2,3557,134,6507,5348,977,50
101.00,-61,3451,23,-2,3557,134,6526,5180,982,50
103.00,-55,3452,22,-3,3561,134,6533,5148,987,50
105.00,-56,3449,22,-3,3557,134,6520,5248,987,50
107.00,-62,3450,21,-1,3560,134,6537,5193,982,51
109.00,-62,3449,19,-2,3558,134,6536,5175,987,51
111.00,-60,3450,21,-3,3558,134,6550,5241,992,51
113.00,-60,3452,21,-3,3553,134,6545,5180,1000,51
