#file begin.
#version: possum1.2
#reading eemem.................................#done
# CLOCK ERROR: no square wave
#testing sensor coms 
#ch 10 HC disabled
#ch 23 HCtemp disabled
#channels tested OK: 31
# num inputs: 33
#headers:
#A:,nan,10,0.1218800,0.4652400,1.1046400,0.9065600,1.0000000,1.0000000,1.0000000,1.0000000,0.0570800,0.1756100,1.0000000,1.0000000,1.0000000,0.1134500,0.1073600,0.1127800,0.1124600,0.1100900,0.0047400,0.9754000,0.2766400,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,0.0068300,1.0000000,1.0000000,1.0000000,1.0000000,0.5635700,37.5954018
#B:,nan,10,-8558.6,-8529.7,-43.1,-167.5,-8541.4,-26283.0,-26268.0,-26264.0,-1827.3,3.0,0.0,-171.0,0.0,-13053.0,-13326.0,-14174.0,-13497.0,-14562.0,-785.5,53110.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5581.6,-4.7
#C:,nan,10,Cpitot(-),MolWt(g/mol),NozDiam(mm),MSC(m2/g),Rminrat,Gminrat,Bminrat,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
#D:,nan,10,0.840,29.000,3.175,299.000,nan,299.000,nan,nan,29.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
#units:,s,10,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,Mm^-1,%,sccm,sccm,sccm,sccm,sccm,Pa,Pa,degC,degC,degC,degC,degC,degC,V,m/s,m/s,ug,-,ppm,ppm
time,seconds,ID,CO,CObkg,CO2,CO2bkg,SO2,NO,NO2,H2S,VOC,O2,HC,PM,RH,F1Flow,F2Flow,SampFlow,USampFlow,DilFlow,Pitot,Pamb,TCnoz,TC2,COtemp,HCtemp,HCinTemp,HCoutTemp,BattV,StakVel,NozVel,PMmass,DilRat,COhi,CO2hi
20230125 15:22:21,3,10,35.88,18.28,248.90,523.28,33.60,-109.00,41.00,0.00,100.22,20.02,nan,8.00,9.95,543.20,-11.70,1041.75,613.47,1510.54,-0.02,100526.28,4095.00,nan,8.19,nan,2678.00,2720.00,23.96,-0.54,21.39,0.00,24.09,4.17,554.54
20230125 15:22:22,4,10,35.88,17.82,248.90,524.28,33.60,-9.00,39.00,0.00,100.22,20.02,nan,8.00,9.95,543.65,-11.70,1042.09,613.81,1506.58,-0.01,100527.26,4095.00,nan,8.19,nan,2677.00,2720.00,23.95,-0.46,21.55,0.00,22.33,4.17,479.35
20230125 15:22:23,5,10,35.88,17.82,252.43,524.28,33.60,-91.00,42.00,0.00,99.99,20.02,nan,8.00,9.95,542.06,-11.70,1041.86,613.47,1507.68,-0.02,100526.28,4095.00,nan,8.25,nan,2678.00,2721.00,23.97,-0.61,21.45,0.00,23.36,4.17,516.94
20230125 15:22:24,6,10,35.88,17.82,252.43,523.83,32.60,-5.00,37.00,0.00,100.22,20.02,nan,8.00,9.95,542.18,-11.81,1042.31,613.58,1507.90,-0.03,100526.28,4095.00,nan,8.25,nan,2678.00,2720.00,23.95,-0.68,21.46,0.00,23.28,4.17,479.35
20230125 15:22:25,7,10,35.88,17.82,253.43,523.83,32.60,-42.00,40.00,0.00,100.04,20.02,nan,8.00,9.95,543.43,-11.81,1041.86,613.47,1506.47,0.01,100526.28,4095.00,nan,8.25,nan,2677.00,2720.00,23.98,0.35,21.52,0.00,22.48,4.17,498.14
20230125 15:22:26,8,10,35.88,17.82,253.43,524.37,32.60,42.00,39.00,0.00,99.99,20.02,nan,8.00,9.95,542.29,-11.81,1042.20,613.69,1510.54,-0.02,100525.30,4095.00,nan,8.19,nan,2678.00,2721.00,23.95,-0.61,21.38,0.00,24.31,4.17,479.35
20230125 15:22:27,9,10,35.88,17.82,255.08,524.37,33.60,-91.00,40.00,0.00,100.16,20.02,nan,9.00,9.95,543.65,-11.70,1041.64,613.58,1509.11,-0.05,100525.30,4095.00,nan,8.19,nan,2678.00,2721.00,23.97,-0.98,21.45,0.00,23.41,4.17,516.94
20230125 15:22:28,10,10,36.00,17.82,255.08,527.00,32.60,27.00,39.00,0.00,100.22,20.02,nan,8.00,9.95,542.52,-11.70,1041.75,613.47,1506.47,-0.02,100526.28,4095.00,nan,8.19,nan,2678.00,2722.00,23.96,-0.61,21.50,0.00,22.79,4.17,516.94
20230125 15:22:29,11,10,36.00,17.82,257.62,527.00,32.60,-58.00,42.00,0.00,100.22,20.02,nan,8.00,9.95,542.63,-11.49,1041.75,613.69,1510.43,-0.00,100526.28,4095.00,nan,8.25,nan,2679.00,2721.00,23.97,-0.20,21.39,0.00,24.18,4.17,498.14
20230125 15:22:30,12,10,36.00,17.82,257.62,528.91,33.60,81.00,41.00,0.00,100.10,20.02,nan,8.00,9.95,542.40,-11.81,1041.30,613.36,1510.10,0.02,100526.28,4095.00,nan,8.19,nan,2678.00,2720.00,23.95,0.54,21.36,0.00,24.44,4.17,460.55
20230125 15:22:31,13,10,35.88,17.82,254.42,528.91,32.60,-9.00,39.00,0.00,100.16,20.02,nan,8.00,9.95,541.50,-11.81,1042.43,613.47,1509.00,-0.09,100526.28,4095.00,nan,8.25,nan,2678.00,2720.00,23.97,-1.24,21.40,0.00,23.91,4.17,535.74
20230125 15:22:32,14,10,36.00,18.28,254.42,525.10,33.60,-10.00,39.00,0.00,100.16,20.02,nan,8.00,9.95,542.63,-11.81,1041.52,613.36,1508.45,-0.01,100515.55,4095.00,nan,8.31,nan,2679.00,2722.00,23.96,-0.35,21.42,0.00,23.61,4.17,498.14
20230125 15:22:33,15,10,35.88,18.28,253.10,525.10,33.60,-42.00,39.00,0.00,100.27,20.02,nan,8.00,9.95,542.06,-11.70,1040.62,613.36,1509.88,0.01,100523.36,4095.00,nan,8.25,nan,2678.00,2721.00,23.97,0.46,21.33,0.00,24.71,4.17,498.14
20230125 15:22:34,16,10,36.00,17.82,253.10,521.02,33.60,12.00,38.00,0.00,100.16,20.02,nan,8.00,9.95,541.72,-11.59,1041.52,613.58,1509.33,0.00,100523.36,4095.00,nan,8.25,nan,2678.00,2722.00,23.95,0.20,21.38,0.00,24.22,4.17,516.94
20230125 15:22:35,17,10,36.00,17.82,252.87,521.02,32.60,-55.00,37.00,0.00,100.16,20.02,nan,9.00,9.91,542.97,-11.49,1041.64,613.69,1507.57,-0.00,100526.28,4095.00,nan,8.31,nan,2679.00,2721.00,23.96,-0.20,21.49,0.00,23.00,4.17,479.35
20230125 15:22:36,18,10,36.13,18.28,252.87,517.75,33.60,-43.00,37.00,0.00,100.22,20.02,nan,8.00,9.91,541.72,-11.38,1040.85,613.36,1508.45,-0.01,100525.30,4095.00,nan,8.31,nan,2679.00,2722.00,23.95,-0.35,21.39,0.00,24.04,4.17,460.55
20230125 15:22:37,19,10,36.00,18.28,252.54,517.75,32.60,-72.00,39.00,0.00,100.22,20.02,nan,8.00,9.95,541.95,-11.27,1041.86,613.47,1509.77,-0.04,100524.34,4095.00,nan,8.31,nan,2680.00,2722.00,23.97,-0.79,21.39,0.00,24.05,4.17,498.14
20230125 15:22:38,20,10,36.00,17.82,252.54,513.77,33.60,14.00,38.00,0.00,100.22,20.02,nan,8.00,9.91,541.16,-11.27,1041.41,613.24,1507.68,-0.10,100525.30,4095.00,nan,8.25,nan,2680.00,2722.00,23.96,-1.31,21.41,0.00,23.70,4.17,479.35
20230125 15:22:39,21,10,35.88,17.82,252.65,513.77,33.60,-66.00,37.00,0.00,100.22,20.02,nan,8.00,9.91,541.61,-11.06,1041.86,613.69,1507.13,-0.01,100526.28,4095.00,nan,8.25,nan,2679.00,2722.00,23.97,-0.46,21.48,0.00,23.09,4.17,516.94
20230125 15:22:40,22,10,36.00,17.82,252.65,512.04,33.60,-59.00,38.00,0.00,100.16,20.02,nan,9.00,9.91,543.31,-11.06,1042.09,613.58,1507.46,-0.00,100521.41,4095.00,nan,8.19,nan,2680.00,2723.00,23.95,-0.20,21.53,0.00,22.54,4.73,460.55
20230125 15:22:41,23,10,36.00,17.82,251.11,512.04,33.60,9.00,37.00,0.00,100.27,20.02,nan,8.00,9.91,541.61,-11.27,1040.51,613.58,1507.79,-0.01,100526.28,4095.00,nan,8.19,nan,2679.00,2723.00,23.97,-0.35,21.40,0.00,23.91,4.17,554.54
20230125 15:22:42,24,10,35.88,18.28,251.11,512.86,34.60,-1.00,38.00,0.00,100.16,20.02,nan,8.00,9.91,541.72,-10.63,1041.75,613.47,1508.56,0.02,100524.34,4095.00,nan,8.31,nan,2679.00,2723.00,23.95,0.54,21.44,0.00,23.47,4.17,516.94
20230125 15:22:43,25,10,36.00,18.28,251.88,512.86,33.60,-26.00,38.00,0.00,100.16,20.02,nan,8.00,9.91,542.97,-10.63,1041.64,613.58,1510.10,-0.01,100526.28,4095.00,nan,8.25,nan,2681.00,2724.00,23.97,-0.46,21.43,0.00,23.64,4.17,498.14
20230125 15:22:44,26,10,36.00,17.82,251.88,511.41,33.60,-95.00,37.00,0.00,100.22,20.02,nan,8.00,9.91,542.52,-12.45,1042.65,613.81,1509.66,0.02,100525.30,4095.00,nan,8.19,nan,2680.00,2723.00,23.95,0.54,21.41,0.00,23.94,4.17,479.35
20230125 15:22:45,27,10,36.00,18.28,252.65,511.41,33.60,3.00,35.00,0.00,100.10,20.02,nan,9.00,9.91,542.06,-12.45,1041.07,613.47,1506.80,-0.03,100523.36,4095.00,nan,8.19,nan,2680.00,2723.00,23.98,-0.68,21.43,0.00,23.59,4.17,498.14
20230125 15:22:46,28,10,36.13,18.28,252.65,510.68,34.60,43.00,38.00,0.00,100.16,20.02,nan,8.00,9.91,541.38,-12.56,1040.96,613.36,1509.00,-0.03,100526.28,4095.00,nan,8.19,nan,2680.00,2723.00,23.95,-0.68,21.32,0.00,24.83,4.17,479.35
20230125 15:22:47,29,10,36.00,17.82,246.47,510.68,33.60,-20.00,36.00,0.00,100.27,20.02,nan,8.00,9.91,541.61,-12.45,1040.17,613.69,1511.65,-0.04,100526.28,4095.00,nan,8.25,nan,2681.00,2724.00,23.97,-0.84,21.24,0.00,26.21,4.17,479.35
20230125 15:22:48,30,10,36.00,17.82,246.47,511.68,33.60,-31.00,36.00,0.00,100.22,20.02,nan,8.00,9.91,542.52,-12.45,1042.20,613.58,1508.01,-0.07,100524.34,4095.00,nan,8.19,nan,2681.00,2724.00,23.96,-1.10,21.44,0.00,23.47,4.73,498.14
20230125 15:22:49,31,10,35.88,17.82,238.96,511.68,33.60,71.00,37.00,0.00,100.10,20.02,nan,8.00,9.91,542.18,-12.56,1041.52,613.13,1508.23,-0.06,100525.30,4095.00,nan,8.25,nan,2680.00,2723.00,23.97,-1.02,21.38,0.00,23.98,4.17,479.35
20230125 15:22:50,32,10,36.00,18.28,238.96,509.69,34.60,-58.00,36.00,0.00,100.22,20.02,nan,9.00,9.91,542.18,-12.56,1041.86,613.36,1510.54,-0.01,100524.34,4095.00,nan,8.25,nan,2682.00,2724.00,23.95,-0.46,21.33,0.00,24.79,4.17,535.74
20230125 15:22:51,33,10,36.00,18.28,238.07,509.69,33.60,-22.00,37.00,0.00,100.16,20.02,nan,8.00,9.91,542.29,-12.67,1042.54,613.47,1509.66,-0.05,100523.36,4095.00,nan,8.25,nan,2682.00,2724.00,23.97,-0.89,21.38,0.00,24.16,4.17,498.14
20230125 15:22:52,34,10,36.00,18.28,238.07,512.04,33.60,-14.00,37.00,0.00,100.10,20.02,nan,8.00,9.91,542.40,-12.56,1041.07,613.24,1507.13,-0.07,100525.30,4095.00,nan,8.19,nan,2682.00,2723.00,23.95,-1.14,21.42,0.00,23.63,4.17,460.55
20230125 15:22:53,35,10,36.13,17.82,240.06,512.04,33.60,-12.00,37.00,0.00,100.22,20.02,nan,8.00,9.91,542.40,-12.56,1041.64,613.47,1511.10,-0.06,100525.30,4095.00,nan,8.25,nan,2681.00,2724.00,23.96,-1.06,21.32,0.00,25.02,4.17,460.55
20230125 15:22:54,36,10,36.00,17.82,240.06,515.13,33.60,-9.00,36.00,0.00,100.39,20.02,nan,8.00,9.91,542.74,-12.67,1042.20,613.13,1508.23,-0.08,100526.28,4095.00,nan,8.31,nan,2681.00,2724.00,23.96,-1.21,21.42,0.00,23.55,4.17,460.55
