#file begin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#version: possum1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#reading eemem.................................#done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CLOCK ERROR: no square wave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#testing sensor coms ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ch 10 HC disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ch 23 HCtemp disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#channels tested OK: 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# num inputs: 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#headers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#A:,nan,10,0.12188,0.46524,1.10464,0.90656,1,1,1,1,0.05708,0.17561,1,1,1,0.11345,0.10736,0.11278,0.11246,0.11009,0.00474,0.9754,0.27664,1,1,1,1,1,0.00683,1,1,1,1,0.56357,37.5954018
#B:,nan,10,-8558.6,-8529.7,-43.1,-167.5,-8541.4,-26283,-26268,-26264,-1827.3,3,0,-171,0,-13053,-13326,-14174,-13497,-14562,-785.5,53110.6,0,0,0,0,0,0,0,0,0,0,0,-5581.6,-4.7
#C:,nan,10,Cpitot(-),MolWt(g/mol),NozDiam(mm),MSC(m2/g),Rminrat,Gminrat,Bminrat,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
#D:,nan,10,0.84,29,3.175,299,nan,299,nan,nan,29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
#units:,s,10,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,Mm^-1,%,sccm,sccm,sccm,sccm,sccm,Pa,Pa,degC,degC,degC,degC,degC,degC,V,m/s,m/s,ug,-,ppm,ppm
time,seconds,ID,CO,CObkg,CO2,CO2bkg,SO2,NO,NO2,H2S,VOC,O2,HC,PM,RH,F1Flow,F2Flow,SampFlow,USampFlow,DilFlow,Pitot,Pamb,TCnoz,TC2,COtemp,HCtemp,HCinTemp,HCoutTemp,BattV,StakVel,NozVel,PMmass,DilRat,COhi,CO2hi
20230125 15:22:21,3,10,35.88,18.28,248.9,523.28,33.6,-109,41,0,100.22,20.02,nan,8,9.95,543.2,-11.7,1041.75,613.47,1510.54,-0.02,100526.28,4095,nan,8.19,nan,2678,2720,23.96,-0.54,21.39,0,24.09,4.17,554.54
20230125 15:22:22,4,10,35.88,17.82,248.9,524.28,33.6,-9,39,0,100.22,20.02,nan,8,9.95,543.65,-11.7,1042.09,613.81,1506.58,-0.01,100527.26,4095,nan,8.19,nan,2677,2720,23.95,-0.46,21.55,0,22.33,4.17,479.35
20230125 15:22:23,5,10,35.88,17.82,252.43,524.28,33.6,-91,42,0,99.99,20.02,nan,8,9.95,542.06,-11.7,1041.86,613.47,1507.68,-0.02,100526.28,4095,nan,8.25,nan,2678,2721,23.97,-0.61,21.45,0,23.36,4.17,516.94
20230125 15:22:24,6,10,35.88,17.82,252.43,523.83,32.6,-5,37,0,100.22,20.02,nan,8,9.95,542.18,-11.81,1042.31,613.58,1507.9,-0.03,100526.28,4095,nan,8.25,nan,2678,2720,23.95,-0.68,21.46,0,23.28,4.17,479.35
20230125 15:22:25,7,10,35.88,17.82,253.43,523.83,32.6,-42,40,0,100.04,20.02,nan,8,9.95,543.43,-11.81,1041.86,613.47,1506.47,0.01,100526.28,4095,nan,8.25,nan,2677,2720,23.98,0.35,21.52,0,22.48,4.17,498.14
20230125 15:22:26,8,10,35.88,17.82,253.43,524.37,32.6,42,39,0,99.99,20.02,nan,8,9.95,542.29,-11.81,1042.2,613.69,1510.54,-0.02,100525.3,4095,nan,8.19,nan,2678,2721,23.95,-0.61,21.38,0,24.31,4.17,479.35
20230125 15:22:27,9,10,35.88,17.82,255.08,524.37,33.6,-91,40,0,100.16,20.02,nan,9,9.95,543.65,-11.7,1041.64,613.58,1509.11,-0.05,100525.3,4095,nan,8.19,nan,2678,2721,23.97,-0.98,21.45,0,23.41,4.17,516.94
20230125 15:22:28,10,10,36,17.82,255.08,527,32.6,27,39,0,100.22,20.02,nan,8,9.95,542.52,-11.7,1041.75,613.47,1506.47,-0.02,100526.28,4095,nan,8.19,nan,2678,2722,23.96,-0.61,21.5,0,22.79,4.17,516.94
20230125 15:22:29,11,10,36,17.82,257.62,527,32.6,-58,42,0,100.22,20.02,nan,8,9.95,542.63,-11.49,1041.75,613.69,1510.43,0,100526.28,4095,nan,8.25,nan,2679,2721,23.97,-0.2,21.39,0,24.18,4.17,498.14
20230125 15:22:30,12,10,36,17.82,257.62,528.91,33.6,81,41,0,100.1,20.02,nan,8,9.95,542.4,-11.81,1041.3,613.36,1510.1,0.02,100526.28,4095,nan,8.19,nan,2678,2720,23.95,0.54,21.36,0,24.44,4.17,460.55
