#file begin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#version: possum1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#reading eemem.................................#done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CLOCK ERROR: no square wave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#testing sensor coms ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ch 10 HC disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ch 23 HCtemp disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#channels tested OK: 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# num inputs: 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#headers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#A:,nan,10,0.12188,0.46524,1.10464,0.90656,1,0.01145,1,1,0.05708,0.17561,1,1,1,0.11345,0.10736,0.11278,0.11246,0.11009,0.00474,0.9754,0.27664,1,1,1,1,1,0.00683,1,1,1,1,0.56357,37.5954018
#B:,nan,10,-8558.6,-8529.7,-43.1,-167.5,-8547.7,-26249,-26287,-26264,-1827.3,3,0,-171,0,-13053,-13326,-14174,-13497,-14562,-785.5,53110.6,0,0,0,0,0,0,0,0,0,0,0,-5581.6,-4.7
#C:,nan,10,Cpitot(-),MolWt(g/mol),NozDiam(mm),MSC(m2/g),Rminrat,Gminrat,Bminrat,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
#D:,nan,10,0.84,29,3.175,299,nan,299,nan,nan,29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
#units:,s,10,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,Mm^-1,%,sccm,sccm,sccm,sccm,sccm,Pa,Pa,degC,degC,degC,degC,degC,degC,V,m/s,m/s,ug,-,ppm,ppm
time,seconds,ID,CO,CObkg,CO2,CO2bkg,SO2,NO,NO2,H2S,VOC,O2,HC,PM,RH,F1Flow,F2Flow,SampFlow,USampFlow,DilFlow,Pitot,Pamb,TCnoz,TC2,COtemp,HCtemp,HCinTemp,HCoutTemp,BattV,StakVel,NozVel,PMmass,DilRat,COhi,CO2hi
20230125 15:48:50,3,10,0.9,12.7,66.41,542.41,-3.7,0.45,8,0,0.5,20.02,nan,8,8.92,539.91,-14.92,1033.97,608.63,1502.4,-0.06,100522.38,4095,nan,9.56,nan,2867,2908,23.95,-1.06,21.04,0,26.57,1.92,554.54
20230125 15:48:51,4,10,0.78,13.17,66.41,542.41,-3.7,0.05,6,0,0.55,20.02,nan,8,8.92,540.36,-14.71,1034.76,608.75,1502.18,-0.06,100523.36,4095,nan,9.56,nan,2868,2909,23.97,-1.02,21.1,0,25.8,1.92,535.74
20230125 15:48:52,5,10,0.9,13.17,70.83,545.04,-4.7,-1.09,5,0,0.55,20.02,nan,9,8.92,541.61,-14.39,1036.11,609.2,1502.4,-0.06,100523.36,4095,nan,9.5,nan,2868,2909,23.97,-1.06,21.2,0,24.66,1.92,479.35
20230125 15:48:53,6,10,0.9,12.7,70.83,545.04,-3.7,0.24,7,0,0.55,20.02,nan,9,8.92,540.25,-14.6,1034.87,608.97,1503.5,-0.02,100525.3,4095,nan,9.5,nan,2867,2910,23.97,-0.61,21.07,0,26.37,1.92,498.14
20230125 15:48:54,7,10,0.9,13.17,72.82,548.49,-3.7,-1.02,6,0,0.61,20.02,nan,8,8.92,541.38,-14.49,1035.32,608.97,1501.85,0.03,100516.53,4095,nan,9.5,nan,2868,2910,23.96,0.68,21.17,0,24.88,1.92,498.14
20230125 15:48:55,8,10,0.9,13.17,72.82,548.49,-4.7,1.2,3,0,0.55,20.02,nan,8,8.92,540.14,-14.49,1034.64,608.86,1499.98,-0.11,100522.38,4095,nan,9.62,nan,2868,2910,23.99,-1.4,21.17,0,24.87,1.92,516.94
20230125 15:48:56,9,10,0.78,13.17,73.7,550.48,-3.7,-0.77,3,0,0.55,20.02,nan,9,8.92,540.25,-14.39,1034.64,609.31,1503.06,-0.02,100524.34,4095,nan,9.5,nan,2869,2910,23.97,-0.54,21.09,0,26.16,1.92,498.14
20230125 15:48:57,10,10,1.02,12.7,73.7,550.48,-4.7,1.05,4,0,0.61,20.02,nan,8,8.92,541.84,-14.49,1033.29,608.75,1501.52,-0.1,100521.41,4095,nan,9.5,nan,2868,2910,23.98,-1.31,21.13,0,25.4,1.92,479.35
20230125 15:48:58,11,10,0.9,13.17,73.48,550.12,-3.7,-0.35,5,0,0.61,20.02,nan,8,8.92,540.36,-14.39,1035.32,608.97,1502.73,-0.03,100524.34,4095,nan,9.5,nan,2869,2911,23.97,-0.74,21.12,0,25.66,1.92,516.94
20230125 15:48:59,12,10,0.9,13.17,73.48,550.12,-3.7,0.06,5,0,0.61,20.02,nan,8,8.92,539.8,-14.28,1034.76,608.97,1501.3,-0.02,100525.3,4095,nan,9.5,nan,2868,2910,23.98,-0.61,21.13,0,25.46,1.92,535.74
