#file begin.
#version: possum1.2
#reading eemem.................................#done
# CLOCK ERROR: no square wave
#testing sensor coms 
#ch 10 HC disabled
#ch 23 HCtemp disabled
#channels tested OK: 31
# num inputs: 33
#headers:
#A:,nan,10,0.1218800,0.4652400,1.1046400,0.9065600,1.0000000,0.0114500,-0.0192000,1.0000000,0.0570800,0.1756100,1.0000000,1.0000000,1.0000000,0.1134500,0.1073600,0.1127800,0.1124600,0.1100900,0.0047400,0.9754000,0.2766400,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,0.0068300,1.0000000,1.0000000,1.0000000,1.0000000,0.5635700,37.5954018
#B:,nan,10,-8558.6,-8529.7,-43.1,-167.5,-8547.7,-26249.0,-26287.0,-26264.0,-1827.3,3.0,0.0,-171.0,0.0,-13053.0,-13326.0,-14174.0,-13497.0,-14562.0,-785.5,53110.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5581.6,-4.7
#C:,nan,10,Cpitot(-),MolWt(g/mol),NozDiam(mm),MSC(m2/g),Rminrat,Gminrat,Bminrat,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
#D:,nan,10,0.840,29.000,3.175,299.000,nan,299.000,nan,nan,29.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
#units:,s,10,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,Mm^-1,%,sccm,sccm,sccm,sccm,sccm,Pa,Pa,degC,degC,degC,degC,degC,degC,V,m/s,m/s,ug,-,ppm,ppm
time,seconds,ID,CO,CObkg,CO2,CO2bkg,SO2,NO,NO2,H2S,VOC,O2,HC,PM,RH,F1Flow,F2Flow,SampFlow,USampFlow,DilFlow,Pitot,Pamb,TCnoz,TC2,COtemp,HCtemp,HCinTemp,HCoutTemp,BattV,StakVel,NozVel,PMmass,DilRat,COhi,CO2hi
20230125 16:05:02,3,10,1.63,10.84,52.05,522.92,-26.70,-0.39,15.67,0.00,-0.36,20.02,nan,8.00,8.43,538.66,-15.78,1031.82,606.83,1500.97,-0.21,100539.94,4095.00,nan,10.19,nan,2958.00,3002.00,23.96,-1.93,20.89,0.00,27.93,0.79,441.75
20230125 16:05:03,4,10,1.63,10.84,49.18,521.74,-26.70,0.40,15.71,0.00,-0.30,20.02,nan,8.00,8.43,538.09,-15.89,1029.91,607.06,1501.85,-0.04,100528.23,4095.00,nan,10.19,nan,2959.00,3002.00,23.97,-0.84,20.79,0.00,29.88,0.79,441.75
20230125 16:05:04,5,10,1.63,10.84,49.18,521.74,-26.70,1.13,15.72,0.00,-0.36,20.02,nan,8.00,8.43,539.00,-16.00,1029.79,606.72,1499.76,-0.05,100537.02,4095.00,nan,10.25,nan,2959.00,3002.00,23.96,-0.94,20.87,0.00,28.27,0.79,460.55
20230125 16:05:05,6,10,1.51,10.37,52.49,521.11,-27.70,1.69,15.74,0.00,-0.36,20.02,nan,8.00,8.43,538.89,-16.00,1031.37,606.61,1503.06,-0.13,100541.89,4095.00,nan,10.19,nan,2958.00,3003.00,23.97,-1.49,20.80,0.00,29.35,0.79,460.55
20230125 16:05:06,7,10,1.63,10.84,52.49,521.11,-27.70,0.44,15.80,0.00,-0.30,20.02,nan,8.00,8.43,538.55,-15.78,1031.37,607.28,1501.30,-0.10,100536.04,4095.00,nan,10.19,nan,2959.00,3003.00,23.96,-1.34,20.88,0.00,28.41,0.79,422.95
20230125 16:05:07,8,10,1.63,10.37,56.03,518.21,-27.70,1.67,15.82,0.00,-0.30,20.02,nan,8.00,8.43,538.89,-15.89,1029.57,607.62,1500.09,-0.11,100538.96,4095.00,nan,10.19,nan,2960.00,3003.00,23.97,-1.40,20.88,0.00,28.58,1.35,479.35
20230125 16:05:08,9,10,1.63,10.37,56.03,518.21,-27.70,1.50,15.78,0.00,-0.36,20.02,nan,8.00,8.43,539.23,-16.00,1031.94,606.95,1499.98,-0.14,100538.96,4095.00,nan,10.19,nan,2959.00,3002.00,23.95,-1.54,20.94,0.00,27.18,1.35,498.14
20230125 16:05:09,10,10,1.51,10.37,59.89,515.31,-26.70,2.18,15.80,0.00,-0.36,20.02,nan,8.00,8.43,539.11,-16.00,1029.91,607.06,1498.77,-0.20,100535.06,4095.00,nan,10.25,nan,2959.00,3002.00,23.97,-1.86,20.92,0.00,27.62,0.79,479.35
20230125 16:05:10,11,10,1.51,10.84,59.89,515.31,-27.70,0.24,15.86,0.00,-0.36,20.02,nan,8.00,8.43,539.57,-15.89,1030.58,607.17,1501.19,-0.13,100539.94,4095.00,nan,10.25,nan,2959.00,3003.00,23.95,-1.49,20.88,0.00,28.28,0.79,516.94
20230125 16:05:11,12,10,1.51,10.37,61.44,512.95,-27.70,2.08,15.82,0.00,-0.36,20.02,nan,8.00,8.43,539.80,-16.21,1031.26,606.61,1500.09,-0.14,100532.13,4095.00,nan,10.25,nan,2959.00,3003.00,23.98,-1.57,20.92,0.00,27.40,0.79,479.35
