#file begin.
#version: possum1.2
#reading eemem.................................#done
# CLOCK ERROR: no square wave
#testing sensor coms 
#ch 10 HC disabled
#ch 23 HCtemp disabled
#channels tested OK: 31
# num inputs: 33
#headers:
#A:,nan,10,0.1218800,0.4652400,1.1046400,0.9065600,0.1265200,0.0114500,-0.0192000,1.0000000,0.0570800,0.1756100,1.0000000,1.0000000,1.0000000,0.1134500,0.1073600,0.1127800,0.1124600,0.1100900,0.0047400,0.9754000,0.2766400,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,0.0068300,1.0000000,1.0000000,1.0000000,1.0000000,0.5635700,37.5954018
#B:,nan,10,-8558.6,-8529.7,-43.1,-167.5,-8547.7,-26249.0,-26287.0,-26264.0,-1827.3,3.0,0.0,-171.0,0.0,-13053.0,-13326.0,-14174.0,-13497.0,-14562.0,-785.5,53110.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5581.6,-4.7
#C:,nan,10,Cpitot(-),MolWt(g/mol),NozDiam(mm),MSC(m2/g),Rminrat,Gminrat,Bminrat,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
#D:,nan,10,0.840,29.000,3.175,299.000,nan,299.000,nan,nan,29.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
#units:,s,10,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,Mm^-1,%,sccm,sccm,sccm,sccm,sccm,Pa,Pa,degC,degC,degC,degC,degC,degC,V,m/s,m/s,ug,-,ppm,ppm
time,seconds,ID,CO,CObkg,CO2,CO2bkg,SO2,NO,NO2,H2S,VOC,O2,HC,PM,RH,F1Flow,F2Flow,SampFlow,USampFlow,DilFlow,Pitot,Pamb,TCnoz,TC2,COtemp,HCtemp,HCinTemp,HCoutTemp,BattV,StakVel,NozVel,PMmass,DilRat,COhi,CO2hi
20230125 16:29:28,3,10,2.24,8.05,67.52,494.73,91.76,0.71,-9.31,0.00,0.55,20.19,nan,8.00,8.11,538.66,-15.78,1028.10,605.26,1494.14,-0.06,100555.55,4095.00,nan,10.88,nan,3056.00,3100.00,23.95,-1.02,20.94,0.00,26.29,-0.34,554.54
20230125 16:29:29,4,10,2.12,7.58,67.52,496.54,91.76,3.94,-9.33,0.00,0.55,20.19,nan,8.00,8.11,538.09,-15.89,1027.43,605.26,1494.69,0.01,100556.52,4095.00,nan,10.94,nan,3056.00,3098.00,23.96,0.46,20.88,0.00,27.21,-0.34,535.74
20230125 16:29:30,5,10,2.24,7.58,70.28,496.54,91.89,0.02,-9.31,0.00,0.55,20.19,nan,8.00,8.11,538.77,-15.78,1028.22,605.48,1496.23,-0.04,100557.49,4095.00,nan,10.88,nan,3057.00,3100.00,23.97,-0.79,20.88,0.00,27.22,-0.34,554.54
20230125 16:29:31,6,10,2.12,8.05,70.28,495.91,91.64,2.51,-9.29,0.00,0.55,20.19,nan,8.00,8.11,539.45,-15.78,1028.89,605.15,1494.91,0.01,100554.57,4095.00,nan,10.88,nan,3056.00,3099.00,23.96,0.46,20.96,0.00,25.93,-0.34,460.55
20230125 16:29:32,7,10,2.24,8.05,70.83,495.91,91.64,0.60,-9.37,0.00,0.55,20.19,nan,8.00,8.08,538.77,-15.78,1028.33,605.37,1497.00,-0.05,100554.57,4095.00,nan,10.88,nan,3056.00,3100.00,23.97,-0.94,20.86,0.00,27.56,0.23,479.35
20230125 16:29:33,8,10,2.12,8.05,70.83,493.01,91.64,2.61,-9.39,0.00,0.55,20.19,nan,8.00,8.08,538.55,-15.78,1028.78,605.15,1494.58,0.02,100557.49,4095.00,nan,10.88,nan,3056.00,3099.00,23.96,0.54,20.94,0.00,26.24,-0.34,479.35
20230125 16:29:34,9,10,2.12,8.05,65.97,493.01,91.89,0.54,-9.31,0.00,0.55,20.19,nan,8.00,8.11,538.89,-15.67,1029.00,605.37,1493.70,-0.06,100556.52,4095.00,nan,10.94,nan,3057.00,3100.00,23.97,-1.02,20.99,0.00,25.53,0.23,516.94
20230125 16:29:35,10,10,2.12,7.58,65.97,495.00,91.76,2.30,-9.35,0.00,0.55,20.19,nan,8.00,8.11,538.89,-15.78,1027.31,605.37,1495.35,-0.07,100554.57,4095.00,nan,10.94,nan,3057.00,3100.00,23.96,-1.14,20.88,0.00,27.16,-0.34,535.74
20230125 16:29:36,11,10,2.24,8.05,64.53,495.00,91.89,0.73,-9.31,0.00,0.55,20.19,nan,8.00,8.08,539.34,-15.46,1029.12,605.48,1495.57,-0.06,100553.59,4095.00,nan,10.88,nan,3057.00,3100.00,23.96,-1.02,20.96,0.00,26.04,-0.34,516.94
20230125 16:29:37,12,10,2.12,8.05,64.53,498.63,91.76,3.21,-9.31,0.00,0.55,20.19,nan,8.00,8.08,538.43,-15.67,1029.46,605.26,1494.03,0.04,100556.52,4095.00,nan,10.94,nan,3057.00,3099.00,23.96,0.79,20.98,0.00,25.68,-0.34,498.14
