#,6/5/2023,,,,,,,,,
#,11:11:18,,,,,,,,,
##,## ,,,,,,,,,
#0,0.034335,0.00384,0.2028,1,0.00384,0.1,0.000418,0.000456,1,1
seconds,CO,ChipTemp,PM,Flow,FlueTemp,TC,grav,dilution,CO2,PM_RH
1,50,4641,51,10444,4963,185,8,-28,888,56
3,38,4641,52,10493,4960,185,12,-27,883,56
5,30,4642,53,10477,4961,185,9,-28,878,56
7,24,4642,54,10497,4962,185,14,-28,880,56
9,20,4643,53,10549,4963,185,9,-27,875,56
11,18,4640,54,10317,4962,185,13,-28,888,56
13,12,4644,54,10460,4961,185,8,-28,897,56
15,3,4644,54,10440,4964,185,15,-26,902,56
17,-1,4642,55,10458,4962,185,12,-27,902,56
19,-3,4643,55,10443,4962,185,14,-26,904,56
21,-7,4643,56,10484,4964,185,11,-28,902,56
23,-10,4645,54,10442,4963,185,16,-27,888,56
25,-7,4645,52,10551,4964,185,9,-28,878,56
27,-14,4646,52,10473,4966,185,16,-27,878,56
29,-15,4644,51,10462,4964,185,9,-27,881,56
31,-17,4643,53,10445,4963,185,16,-27,888,56
33,-20,4645,51,10465,4964,185,9,-28,893,56
35,-21,4646,50,10449,4965,185,16,-26,883,56
37,-21,4645,53,10479,4964,185,9,-28,878,56
39,-24,4648,52,10457,4964,185,16,-25,881,56
41,-25,4647,54,10482,4965,185,10,-28,881,56
43,-26,4647,54,10474,4966,185,16,-28,888,56
45,-27,4648,52,10455,4966,185,8,-27,883,56
47,-28,4647,54,10473,4968,185,16,-27,883,56
49,-26,4648,50,10460,4966,185,8,-28,891,56
51,-29,4648,51,10470,4966,185,15,-27,888,56
53,-31,4647,50,10473,4967,185,9,-30,876,56
55,-30,4646,51,10456,4967,185,16,-27,865,56
57,-33,4651,51,10459,4967,185,9,-30,867,56
59,-31,4647,49,10545,4968,185,16,-28,876,56
61,-34,4647,51,10443,4969,185,10,-27,876,56
63,-34,4650,50,10480,4969,185,16,-28,876,56
65,-34,4651,49,10471,4968,185,9,-28,883,56
67,-33,4648,48,10423,4969,185,15,-28,878,56
69,-34,4650,48,10557,4970,185,9,-29,881,56
71,-35,4651,48,10462,4969,185,16,-27,883,56
73,-31,4652,48,10478,4968,185,10,-29,897,56
75,-38,4652,47,10478,4970,185,14,-29,878,56
77,-38,4650,48,10460,4970,185,10,-30,876,56
79,-37,4651,47,10480,4970,185,15,-27,874,56
81,-37,4651,46,10562,4971,185,9,-29,876,56
83,-33,4652,46,10502,4970,185,15,-29,879,56
85,-34,4652,47,10455,4971,185,10,-28,879,56
87,-33,4652,46,10516,4973,185,14,-27,879,56
89,-34,4652,46,10432,4971,185,8,-29,868,56
91,-38,4653,47,10517,4972,185,14,-27,866,56
93,-36,4653,47,10460,4972,185,10,-30,861,56
95,-32,4655,47,10456,4972,185,14,-26,868,56
97,-37,4653,48,10488,4972,185,8,-29,854,56
99,-40,4656,47,10496,4972,185,13,-29,856,56
101,-38,4656,48,10476,4973,185,8,-30,861,56
103,-40,4656,49,10482,4972,185,14,-29,861,56
105,-39,4657,49,10633,4973,185,8,-31,859,56
107,-39,4655,49,10430,4973,185,14,-29,856,56
109,-38,4656,49,10441,4975,185,8,-30,848,56
111,-37,4656,47,10507,4975,185,14,-28,861,56
113,-37,4656,49,10451,4976,185,7,-30,856,56
115,-35,4658,49,10574,4975,185,15,-29,866,56
117,-35,4659,49,10495,4975,185,9,-29,863,56
119,-37,4658,49,10541,4977,185,16,-27,866,56
121,-38,4660,49,10436,4977,185,8,-33,879,56
123,-37,4659,48,10555,4976,185,15,-30,866,56
125,-38,4661,47,10460,4978,185,9,-30,876,56
127,-36,4660,44,10480,4976,185,14,-30,879,56
129,-39,4660,46,10486,4977,185,7,-30,884,56
131,-36,4659,45,10498,4977,185,14,-30,871,56
133,-36,4663,46,10581,4978,185,8,-31,863,56
135,-36,4663,45,10471,4979,185,14,-29,866,56
137,-34,4662,45,10552,4977,185,8,-31,861,56
139,-37,4662,45,10366,4977,186,13,-30,874,56
141,-40,4662,46,10456,4978,186,8,-28,871,56
143,-36,4663,46,10509,4978,186,15,-28,874,56
145,-39,4662,47,10468,4978,186,8,-30,871,55
147,-38,4664,48,10481,4979,185,13,-30,859,55
149,-43,4662,51,10493,4979,185,7,-30,863,55
151,-37,4663,47,10498,4978,186,12,-29,861,55
153,-40,4663,45,10535,4980,186,8,-30,861,55
155,-35,4665,45,10466,4978,186,14,-29,863,55
157,-38,4665,46,10442,4980,186,8,-32,871,55
159,-38,4666,48,10454,4979,186,14,-30,876,55
161,-36,4666,47,10427,4980,186,6,-30,886,55
163,-43,4664,48,10655,4980,186,12,-29,891,55
165,-37,4668,49,10447,4982,186,6,-31,884,55
167,-35,4667,49,10543,4982,186,13,-29,881,55
169,-33,4666,46,10469,4983,186,7,-29,879,55
171,-39,4669,47,10456,4980,186,14,-30,876,55
173,-38,4667,49,10676,4982,186,6,-30,868,55
175,-40,4668,46,10584,4983,186,12,-31,866,55
177,-40,4669,47,10478,4979,186,6,-31,863,55
179,-39,4670,47,10463,4981,186,14,-32,871,55
181,-40,4671,48,10508,4985,186,7,-32,863,55
183,-36,4670,49,10558,4983,186,12,-30,863,55
185,-37,4669,47,10472,4985,186,6,-32,859,55
187,-34,4670,47,10461,4984,186,12,-32,866,55
189,-39,4671,48,10472,4984,186,6,-32,871,55
191,-35,4671,47,10594,4983,186,13,-30,874,55
193,-37,4670,48,10470,4984,186,8,-32,874,55
195,-39,4671,46,10444,4984,186,10,-31,876,55
197,-39,4669,47,10439,4984,186,6,-32,866,55
199,-37,4672,46,10436,4986,186,12,-32,876,55
201,-40,4674,47,10476,4984,186,7,-30,863,55
203,-37,4673,49,10548,4987,186,13,-31,863,55
205,-40,4675,48,10356,4985,186,7,-31,856,55
207,-39,4672,46,10454,4985,186,11,-30,863,55
209,-38,4671,45,10584,4986,186,6,-32,864,55
211,-36,4674,45,10482,4985,186,10,-32,864,55
213,-40,4674,45,10468,4987,186,8,-32,871,55
215,-39,4674,46,10486,4986,186,12,-36,861,55
217,-40,4675,46,10474,4986,186,7,-33,866,55
219,-40,4673,46,10461,4986,186,11,-33,866,55
221,-38,4675,46,10445,4988,186,6,-34,871,55
223,-39,4677,46,10451,4988,186,11,-32,882,55
225,-41,4675,47,10476,4987,186,6,-32,887,55
227,-41,4675,47,10589,4988,186,12,-32,892,55
229,-42,4675,46,10475,4988,186,7,-33,887,55
231,-38,4678,46,10458,4987,186,12,-31,882,55
233,-46,4677,45,10475,4989,186,5,-33,877,55
235,-39,4676,46,10500,4991,186,11,-31,866,55
237,-37,4676,47,10487,4988,186,6,-33,854,55
239,-41,4676,47,10484,4987,186,12,-32,842,55
241,-39,4675,45,10476,4989,186,6,-33,846,55
243,-37,4678,46,10491,4989,186,13,-31,854,55
245,-37,4678,46,10457,4988,186,6,-31,871,55
247,-36,4679,46,10451,4990,186,12,-33,874,55
249,-40,4677,46,10454,4989,186,6,-34,871,55
251,-42,4678,47,10484,4990,186,12,-31,866,55
253,-35,4681,51,10563,4991,186,6,-34,871,55
255,-36,4681,51,10466,4991,186,12,-34,871,55
257,-38,4682,51,10462,4992,186,5,-33,866,55
259,-40,4681,45,10470,4990,186,12,-34,882,55
261,-39,4682,46,10551,4991,186,6,-32,887,55
263,-37,4682,45,10473,4993,186,12,-33,874,55
265,-36,4682,45,10467,4992,186,6,-33,879,55
267,-40,4682,44,10497,4992,186,12,-33,874,55
269,-40,4681,44,10542,4992,186,7,-35,874,55
271,-39,4680,45,10496,4992,186,12,-32,871,55
273,-38,4684,44,10495,4994,186,6,-34,864,55
275,-42,4682,44,10437,4991,186,11,-33,868,55
277,-42,4684,46,10442,4991,186,8,-34,871,55
279,-39,4683,46,10442,4993,186,11,-33,871,55
281,-37,4683,44,10559,4994,186,5,-33,866,55
283,-37,4684,42,10438,4993,186,13,-32,866,55
285,-38,4683,45,10457,4995,186,5,-33,857,55
287,-37,4685,42,10478,4994,186,11,-32,861,55
289,-40,4685,46,10579,4995,186,4,-35,866,55
291,-38,4685,43,10514,4993,186,11,-32,866,55
293,-42,4686,45,10526,4993,186,5,-34,864,55
295,-37,4686,44,10461,4994,186,12,-34,877,55
297,-37,4687,44,10458,4995,186,6,-34,879,55
299,-39,4685,45,10457,4994,186,12,-36,887,55
301,-39,4689,44,10541,4995,186,5,-36,892,55
303,-32,4686,48,10428,4996,186,12,-34,900,55
305,-34,4688,45,10334,4995,186,5,-34,892,55
307,-37,4687,45,10492,4994,186,11,-34,892,55
309,-38,4689,45,10473,4993,186,4,-34,879,55
311,-38,4690,45,10477,4998,186,12,-34,877,55
313,-40,4690,45,10476,4996,186,5,-34,871,55
315,-37,4688,46,10531,4996,186,11,-33,877,55
317,-36,4689,46,10599,4996,186,6,-34,877,55
319,-41,4690,44,10467,4997,186,11,-35,882,55
321,-39,4690,44,10499,4995,186,5,-35,889,55
323,-40,4691,46,10436,4999,186,9,-35,884,55
325,-37,4690,44,10459,4998,186,5,-34,895,55
327,-35,4690,46,10497,4996,186,11,-32,898,55
329,-41,4690,46,10453,4998,186,5,-35,895,55
331,-40,4692,49,10481,4996,186,11,-34,892,55
333,-38,4691,44,10490,4998,186,6,-34,895,55
335,-39,4691,45,10481,4998,186,10,-36,892,55
337,-37,4693,44,10550,4998,186,4,-36,892,55
339,-40,4693,43,10442,4998,186,10,-35,898,55
341,-38,4693,45,10453,4998,187,5,-34,895,55
343,-39,4692,44,10450,4998,187,12,-34,889,55
345,-36,4691,45,10461,4999,187,4,-34,874,55
347,-35,4694,43,10487,4998,187,11,-35,882,55
349,-37,4693,45,10546,4997,187,5,-36,879,55
351,-39,4693,43,10451,4999,187,11,-31,868,55
353,-36,4694,44,10460,4999,187,5,-34,874,55
355,-38,4696,44,10577,4998,187,11,-35,871,55
