time,seconds,CO,ChipTemp,PM,Flow,FlueTemp,TC,F1Flow,DilFlow,CO2,PM_RH,datenumbers,phase
yyyymmdd hhmmss,s,ppm,degC,Mm^-1,,degC,degC,ccm,ccm,ppm,%,date,text
20230605 16:55:01,20623.0,174.11381652360515,32.828160000000004,-1.6541690987124462,11571.0,28.07424,44.6,-12.122000000000002,2468.784,1903.005364806867,37.0,19513.704872685186,postbkg
20230605 16:55:03,20625.0,174.07948152360515,32.80896,-1.5189690987124462,11657.0,28.0704,44.6,-13.794,2466.504,1883.005364806867,37.0,19513.704895833333,postbkg
20230605 16:55:05,20627.0,174.01081152360513,32.82048,-1.5189690987124462,11243.0,28.08192,44.6,-10.450000000000001,2513.016,1918.005364806867,37.0,19513.704918981482,postbkg
20230605 16:55:07,20629.0,174.18248652360515,32.8128,-1.5865690987124461,11890.0,28.06656,44.5,-12.958,2502.5280000000002,1918.005364806867,37.0,19513.70494212963,postbkg
20230605 16:55:09,20631.0,173.80480152360514,32.8128,-1.721769098712446,11562.0,28.07808,44.5,-12.122000000000002,2537.6400000000003,1927.005364806867,37.0,19513.70496527778,postbkg
20230605 16:55:11,20633.0,173.97647652360513,32.82048,-1.5865690987124461,11551.0,28.07424,44.5,-12.540000000000001,2520.7680000000005,1967.005364806867,37.0,19513.704988425925,postbkg
20230605 16:55:13,20635.0,173.83913652360513,32.80512,-1.5865690987124461,11657.0,28.07424,44.400000000000006,-12.958,2491.584,2001.005364806867,37.0,19513.705011574075,postbkg
20230605 16:55:15,20637.0,173.80480152360514,32.80896,-1.5865690987124461,11880.0,28.058880000000002,44.400000000000006,-12.958,2501.6160000000004,1986.005364806867,37.0,19513.70503472222,postbkg
20230605 16:55:17,20639.0,173.59879152360514,32.80128,-1.5865690987124461,11562.0,28.07424,44.400000000000006,-12.540000000000001,2495.232,1971.005364806867,37.0,19513.70505787037,postbkg
20230605 16:55:19,20641.0,173.53012152360515,32.80896,-1.6541690987124462,11497.0,28.07808,44.300000000000004,-12.540000000000001,2535.8160000000003,1962.005364806867,37.0,19513.705081018517,postbkg
20230605 16:55:21,20643.0,173.59879152360514,32.80128,-1.4513690987124461,11657.0,28.06656,44.300000000000004,-10.868,2513.016,1893.005364806867,37.0,19513.705104166667,postbkg
20230605 16:55:23,20645.0,173.59879152360514,32.79744,-1.5189690987124462,11559.0,28.062720000000002,44.300000000000004,-14.63,2494.32,1888.005364806867,37.0,19513.705127314814,postbkg
20230605 16:55:25,20647.0,173.49578652360515,32.80128,-1.6541690987124462,11649.0,28.062720000000002,44.300000000000004,-10.868,2537.6400000000003,1922.005364806867,37.0,19513.705150462964,postbkg
20230605 16:55:27,20649.0,173.22110652360513,32.79744,-1.6541690987124462,11249.0,28.07424,44.2,-14.63,2505.7200000000003,1938.005364806867,37.0,19513.70517361111,postbkg
20230605 16:55:29,20651.0,173.42711652360515,32.8128,-1.5865690987124461,11486.0,28.058880000000002,44.2,-10.450000000000001,2554.9680000000003,1938.005364806867,37.0,19513.70519675926,postbkg
20230605 16:55:31,20653.0,173.25544152360513,32.78976,-1.5865690987124461,11639.0,28.0704,44.2,-13.794,2513.472,1938.005364806867,37.0,19513.705219907406,postbkg
20230605 16:55:33,20655.0,173.28977652360513,32.79744,-1.5189690987124462,11660.0,28.0704,44.2,-10.450000000000001,2526.6960000000004,1981.005364806867,37.0,19513.705243055556,postbkg
20230605 16:55:35,20657.0,173.22110652360513,32.78592,-1.5865690987124461,11470.0,28.06656,44.1,-12.958,2520.312,1951.005364806867,37.0,19513.705266203702,postbkg
20230605 16:55:37,20659.0,173.28977652360513,32.78976,-1.6541690987124462,11896.0,28.062720000000002,44.1,-12.122000000000002,2490.2160000000003,1942.005364806867,37.0,19513.705289351852,postbkg
20230605 16:55:39,20661.0,173.11810152360513,32.78976,-1.5865690987124461,11242.0,28.062720000000002,44.1,-15.048,2537.6400000000003,1942.005364806867,37.0,19513.7053125,postbkg
20230605 16:55:41,20663.0,173.01509652360514,32.78592,-1.5189690987124462,11554.0,28.06656,44.0,-12.540000000000001,2533.08,1951.005364806867,37.0,19513.70533564815,postbkg
20230605 16:55:43,20665.0,172.98076152360514,32.78592,-1.5865690987124461,11553.0,28.062720000000002,44.0,-15.048,2528.5200000000004,1922.005364806867,37.0,19513.705358796295,postbkg
20230605 16:55:45,20667.0,173.01509652360514,32.78592,-1.5865690987124461,11556.0,28.058880000000002,44.0,-12.540000000000001,2531.256,1922.005364806867,37.0,19513.705381944445,postbkg
20230605 16:55:47,20669.0,172.74041652360515,32.78592,-1.4513690987124461,11667.0,28.0512,43.900000000000006,-14.63,2494.7760000000003,1927.005364806867,37.0,19513.70540509259,postbkg
20230605 16:55:49,20671.0,172.84342152360514,32.78592,-1.5189690987124462,11577.0,28.0512,43.900000000000006,-12.958,2550.864,1977.005364806867,37.0,19513.70542824074,postbkg
20230605 16:55:51,20673.0,172.74041652360515,32.778240000000004,-1.5865690987124461,11569.0,28.03968,43.900000000000006,-14.212000000000002,2498.88,1970.005364806867,37.0,19513.70545138889,postbkg
20230605 16:55:53,20675.0,172.70608152360515,32.78208,-0.9781690987124463,11559.0,28.04736,43.900000000000006,-12.122000000000002,2522.136,1961.005364806867,37.0,19513.705474537037,postbkg
20230605 16:55:55,20677.0,172.50007152360513,32.76672,-1.4513690987124461,11578.0,28.05504,43.800000000000004,-14.212000000000002,2510.28,1946.005364806867,37.0,19513.705497685187,postbkg
20230605 16:55:57,20679.0,172.50007152360513,32.77056,-1.5189690987124462,11890.0,28.03584,43.800000000000004,-12.540000000000001,2537.6400000000003,1966.005364806867,37.0,19513.705520833333,postbkg
20230605 16:55:59,20681.0,172.32839652360514,32.7744,-1.3837690987124462,11653.0,28.03584,43.800000000000004,-14.63,2449.632,1990.005364806867,37.0,19513.705543981483,postbkg
20230605 16:56:01,20683.0,172.39706652360513,32.7744,-1.4513690987124461,11485.0,28.04352,43.7,-12.122000000000002,2514.384,1966.005364806867,37.0,19513.70556712963,postbkg
20230605 16:56:03,20685.0,172.32839652360514,32.75904,-1.3837690987124462,11560.0,28.03968,43.7,-14.212000000000002,2441.88,1951.005364806867,37.0,19513.70559027778,postbkg
20230605 16:56:05,20687.0,172.15672152360514,32.76288,-1.721769098712446,11574.0,28.03584,43.7,-12.122000000000002,2507.5440000000003,1961.005364806867,37.0,19513.705613425926,postbkg
20230605 16:56:07,20689.0,172.25972652360514,32.76672,-1.4513690987124461,11558.0,28.03968,43.6,-13.794,2524.8720000000003,1975.005364806867,37.0,19513.705636574075,postbkg
20230605 16:56:09,20691.0,172.01938152360515,32.75904,-1.5189690987124462,11645.0,28.03968,43.6,-12.540000000000001,2485.656,1955.005364806867,37.0,19513.70565972222,postbkg
20230605 16:56:11,20693.0,172.15672152360514,32.76288,-1.5189690987124462,11564.0,28.03968,43.6,-14.63,2430.936,1955.005364806867,37.0,19513.70568287037,postbkg
20230605 16:56:13,20695.0,172.08805152360515,32.7552,-1.5189690987124462,11642.0,28.02816,43.6,-12.122000000000002,2461.032,1955.005364806867,37.0,19513.705706018518,postbkg
20230605 16:56:15,20697.0,172.15672152360514,32.76288,-1.5189690987124462,11557.0,28.016640000000002,43.5,-14.63,2541.288,1951.005364806867,37.0,19513.705729166668,postbkg
20230605 16:56:17,20699.0,171.88204152360515,32.7552,-1.5865690987124461,11647.0,28.02432,43.5,-12.122000000000002,2510.736,1970.005364806867,37.0,19513.705752314814,postbkg
20230605 16:56:19,20701.0,171.88204152360515,32.7552,-1.5189690987124462,11550.0,28.02816,43.5,-13.794,2548.584,1961.005364806867,37.0,19513.705775462964,postbkg
20230605 16:56:21,20703.0,171.81337152360513,32.75136,-1.5189690987124462,11644.0,28.02816,43.5,-12.122000000000002,2518.9440000000004,1975.005364806867,36.0,19513.70579861111,postbkg
20230605 16:56:23,20705.0,171.67603152360513,32.7552,-1.5189690987124462,11665.0,28.012800000000002,43.5,-14.212000000000002,2502.5280000000002,1975.005364806867,36.0,19513.70582175926,postbkg
20230605 16:56:25,20707.0,171.77903652360513,32.74368,-1.5189690987124462,11233.0,28.02432,43.5,-11.704,2468.784,2004.005364806867,36.0,19513.705844907407,postbkg
20230605 16:56:27,20709.0,171.53869152360514,32.74368,-1.4513690987124461,11576.0,28.02816,43.400000000000006,-14.212000000000002,2535.36,1985.005364806867,36.0,19513.705868055556,postbkg
20230605 16:56:29,20711.0,171.47002152360514,32.73984,-1.4513690987124461,11664.0,28.016640000000002,43.400000000000006,-12.958,2509.3680000000004,1990.005364806867,36.0,19513.705891203703,postbkg
20230605 16:56:31,20713.0,171.50435652360514,32.74752,-1.5189690987124462,11584.0,28.016640000000002,43.400000000000006,-14.212000000000002,2515.2960000000003,1965.005364806867,36.0,19513.705914351853,postbkg
20230605 16:56:33,20715.0,171.47002152360514,32.736000000000004,-1.5865690987124461,11569.0,28.016640000000002,43.400000000000006,-12.122000000000002,2446.896,1950.005364806867,36.0,19513.7059375,postbkg
20230605 16:56:35,20717.0,171.29834652360515,32.74368,-1.5189690987124462,11562.0,28.008960000000002,43.400000000000006,-14.212000000000002,2506.632,1941.005364806867,36.0,19513.70596064815,postbkg
20230605 16:56:37,20719.0,171.29834652360515,32.73984,-1.4513690987124461,11234.0,28.02432,43.400000000000006,-12.122000000000002,2439.6,1941.005364806867,36.0,19513.705983796295,postbkg
20230605 16:56:39,20721.0,171.36701652360514,32.6976,-1.4513690987124461,11050.0,27.97824,43.400000000000006,-9.196000000000002,2516.208,1950.005364806867,36.0,19513.706006944445,postbkg
20230605 16:56:41,20723.0,171.33268152360515,32.70528,-1.3837690987124462,10803.0,27.97056,43.5,-6.688000000000001,2472.8880000000004,1926.005364806867,36.0,19513.70603009259,postbkg
20230605 16:56:43,20725.0,171.12667152360515,32.6976,-1.4513690987124461,10452.0,27.97056,43.5,-10.450000000000001,2541.288,1921.005364806867,35.0,19513.70605324074,postbkg
20230605 16:56:45,20727.0,171.12667152360515,32.69376,-1.4513690987124461,10456.0,27.97056,43.6,-7.942000000000001,2489.304,1945.005364806867,35.0,19513.706076388888,postbkg
20230605 16:56:47,20729.0,170.95499652360513,32.69376,-1.5189690987124462,10472.0,27.71712,43.7,2715.746,2472.8880000000004,1941.005364806867,35.0,19513.706099537038,postbkg
20230605 16:56:49,20731.0,170.30263152360513,32.69376,-1.5865690987124461,10455.0,27.97824,43.800000000000004,-7.524,2438.688,1955.005364806867,35.0,19513.706122685184,postbkg
20230605 16:56:51,20733.0,164.74036152360515,32.68992,-1.5189690987124462,10244.0,27.966720000000002,44.0,-10.868,1264.944,1917.005364806867,35.0,19513.706145833334,postbkg
20230605 16:56:53,20735.0,157.25533152360515,32.686080000000004,-1.5189690987124462,10460.0,27.966720000000002,44.1,-7.524,-23.256000000000004,1881.005364806867,35.0,19513.70616898148,postbkg
20230605 16:56:55,20737.0,151.31537652360515,32.46336,-1.5189690987124462,10476.0,27.7056,44.1,2724.5240000000003,-5.472,1881.005364806867,35.0,19513.70619212963,postbkg
20230605 16:56:57,20739.0,143.38399152360515,32.4672,-1.3837690987124462,10565.0,27.678720000000002,44.300000000000004,2732.466,-4.56,1867.005364806867,35.0,19513.706215277776,postbkg
20230605 16:56:59,20741.0,134.28521652360516,32.45568,-1.5189690987124462,10473.0,27.67104,44.400000000000006,2724.5240000000003,-6.840000000000001,1858.005364806867,35.0,19513.706238425926,postbkg
20230605 16:57:01,20743.0,124.53407652360515,32.45952,-1.5189690987124462,10506.0,27.70176,44.5,2729.1220000000003,-5.928,1777.005364806867,35.0,19513.706261574072,postbkg
20230605 16:57:03,20745.0,115.67564652360514,32.451840000000004,-1.4513690987124461,10473.0,27.71712,44.6,2722.434,-6.840000000000001,1753.005364806867,35.0,19513.706284722222,postbkg
20230605 16:57:05,20747.0,106.74854652360514,32.451840000000004,-1.4513690987124461,10479.0,27.67488,44.800000000000004,2719.926,-5.016000000000001,1734.005364806867,35.0,19513.70630787037,postbkg
20230605 16:57:07,20749.0,98.54248152360515,32.42496,-1.5189690987124462,10456.0,27.66336,44.900000000000006,2720.3440000000005,-5.472,1678.005364806867,35.0,19513.70633101852,postbkg
20230605 16:57:09,20751.0,90.95444652360514,32.45568,-1.5865690987124461,10466.0,27.6864,45.0,2729.9580000000005,-5.928,1623.005364806867,35.0,19513.70635416667,postbkg
20230605 16:57:11,20753.0,84.12178152360515,32.4288,-1.6541690987124462,10338.0,27.682560000000002,45.1,2717.0,-5.016000000000001,1596.005364806867,35.0,19513.706377314815,postbkg
20230605 16:57:13,20755.0,78.01015152360515,32.43648,-1.5189690987124462,10508.0,27.682560000000002,45.1,2723.688,-5.928,1542.005364806867,35.0,19513.706400462965,postbkg
20230605 16:57:15,20757.0,71.89852152360515,32.43264,-1.5189690987124462,10576.0,27.65184,45.2,2719.5080000000003,-6.840000000000001,1502.005364806867,35.0,19513.70642361111,postbkg
20230605 16:57:17,20759.0,66.47359152360515,32.41344,-1.5865690987124461,10448.0,27.6672,45.300000000000004,2717.418,-6.384,1489.005364806867,35.0,19513.70644675926,postbkg
20230605 16:57:19,20761.0,61.39201152360515,32.4288,-1.5189690987124462,10489.0,27.66336,45.400000000000006,2722.434,-6.384,1493.005364806867,35.0,19513.706469907407,postbkg
20230605 16:57:21,20763.0,56.688116523605146,32.42112,-1.6541690987124462,10464.0,27.64416,45.5,2719.09,-2.736,1454.005364806867,35.0,19513.706493055557,postbkg
20230605 16:57:23,20765.0,52.53358152360515,32.42112,-1.4513690987124461,10461.0,27.682560000000002,45.6,2720.762,-6.384,1423.005364806867,35.0,19513.706516203703,postbkg
20230605 16:57:25,20767.0,48.41338152360515,32.41344,-1.5865690987124461,10232.0,27.678720000000002,45.7,2716.5820000000003,-3.648,1346.005364806867,35.0,19513.706539351853,postbkg
