variable,units,value,uncertainty
filterID_SB3002_hp,text,3074,
taremass_SB3002_hp,g,0.14055,
grossmass_SB3002_hp,g,0.14244,
start_time_SB3002_hp,yyyymmdd hh:mm:ss,11:29:00,
end_time_SB3002_hp,yyyymmdd hh:mm:ss,11:58:47,
filterID_SB3002_mp,text,3119.0,
taremass_SB3002_mp,g,0.13722,
grossmass_SB3002_mp,g,0.13909,
start_time_SB3002_mp,yyyymmdd hh:mm:ss,12:07:10,
end_time_SB3002_mp,yyyymmdd hh:mm:ss,12:37:15,
filterID_SB3002_lp,text,3120,
taremass_SB3002_lp,g,0.13804,
grossmass_SB3002_lp,g,0.13876,
start_time_SB3002_lp,yyyymmdd hh:mm:ss,12:39:44,
end_time_SB3002_lp,yyyymmdd hh:mm:ss,13:24:44,
GravFlo1,lpm,16.7,
