#,2023-07-27
#,11:13:32
#headers: 
# 0,.01574,1,45,0.0000196,0.0037987,0.0074654,.00191,.0037987,.0234,.0000196,.007324,.007324,.007324,.007324
seconds,co,co2,pm,flue flow,flue T,tc h2o,rh,gas T,tc pitot,flow pito,O2 ch1,O2 ch2,O2 ch3,O2 ch4
##,## 
4,-91.0,630.0,244.0,0.0096,5462.0,20.2,53.4,21.1,65536.0,65536.0,4.0,3.8,3.6,3.0
8,-85.0,639.0,239.0,0.0417,5461.0,20.2,53.4,21.1,65536.0,65536.0,3.9,3.8,3.6,3.0
12,-76.0,640.0,249.0,0.3186,5462.0,20.2,53.4,21.2,65536.0,65536.0,3.9,3.8,3.5,2.9
16,-69.0,634.0,243.0,0.3570,5464.0,20.3,53.4,21.2,65536.0,65536.0,3.9,3.7,3.5,2.9
20,-62.0,628.0,247.0,0.3458,5463.0,20.4,53.3,21.2,65536.0,65536.0,3.8,3.7,3.5,2.9
24,-57.0,618.0,243.0,0.3420,5464.0,20.4,53.3,21.2,65536.0,65536.0,3.8,3.7,3.5,2.9
28,-56.0,630.0,245.0,0.3539,5468.0,20.5,53.3,21.2,65536.0,65536.0,3.8,3.7,3.5,2.9
32,-49.0,625.0,243.0,0.3132,5466.0,20.5,53.3,21.2,65536.0,65536.0,3.8,3.7,3.5,2.9
36,-47.0,628.0,242.0,0.3174,5468.0,20.6,53.3,21.2,65536.0,65536.0,3.8,3.7,3.5,2.9
40,-45.0,631.0,247.0,0.2956,5471.0,20.6,53.3,21.2,65536.0,65536.0,3.8,3.7,3.5,2.9
44,-43.0,633.0,245.0,0.2974,5471.0,20.7,53.3,21.2,65536.0,65536.0,3.8,3.7,3.5,2.9
48,-40.0,623.0,252.0,0.3156,5472.0,20.8,53.3,21.2,65536.0,65536.0,3.8,3.7,3.5,2.9
52,-35.0,612.0,245.0,0.3070,5474.0,20.8,53.3,21.2,65536.0,65536.0,3.8,3.7,3.5,2.9
56,-36.0,628.0,243.0,0.2863,5474.0,20.8,53.3,21.2,65536.0,65536.0,3.8,3.7,3.5,2.9
60,-32.0,618.0,249.0,0.2979,5475.0,20.9,53.3,21.2,65536.0,65536.0,3.8,3.7,3.5,2.9
64,-36.0,613.0,244.0,0.2919,5475.0,20.9,53.3,21.2,65536.0,65536.0,3.8,3.7,3.5,2.9
68,-32.0,625.0,247.0,0.3011,5475.0,20.9,53.4,21.2,65536.0,65536.0,3.8,3.7,3.5,2.9
72,-32.0,621.0,247.0,0.2872,5478.0,21.0,53.5,21.2,65536.0,65536.0,3.8,3.7,3.5,2.9
76,-32.0,631.0,248.0,0.2987,5480.0,21.0,53.5,21.3,65536.0,65536.0,3.8,3.7,3.5,2.9
80,-29.0,630.0,245.0,0.3023,5482.0,21.0,53.5,21.3,65536.0,65536.0,3.8,3.7,3.5,2.9
84,-32.0,643.0,245.0,0.3008,5481.0,21.0,53.5,21.3,65536.0,65536.0,3.8,3.7,3.5,2.9
88,-29.0,652.0,245.0,0.2819,5482.0,21.1,53.5,21.3,65536.0,65536.0,3.8,3.6,3.5,2.9
92,-27.0,652.0,247.0,0.2887,5484.0,21.1,53.5,21.3,65536.0,65536.0,3.8,3.6,3.5,2.9
96,-27.0,664.0,247.0,0.3100,5484.0,21.1,53.5,21.3,65536.0,65536.0,3.8,3.6,3.5,2.9
100,-24.0,671.0,243.0,0.3015,5485.0,21.1,53.5,21.3,65536.0,65536.0,3.8,3.6,3.5,2.9
104,-28.0,671.0,249.0,0.2973,5487.0,21.1,53.5,21.3,65536.0,65536.0,3.8,3.7,3.5,2.9
108,-25.0,673.0,245.0,0.2832,5487.0,21.2,53.5,21.3,65536.0,65536.0,3.8,3.7,3.5,2.9
