variable_name,units,average,uncertainty
time_prebkg,yyyymmdd hh:mm:ss,20230727 11:22:18,
seconds_prebkg,s,526.0,0.0
CO_prebkg,ppm,-2.462818681386791e-17,0.0
CO2_prebkg,ppm,1.6012230665016343e-14,0.0
PM_prebkg,Mm^-1,2.049565525122092e-12,0.0
Flow_prebkg,mmH2O,7.505968309859154,0.0
FLUEtemp_prebkg,C,21.06039407112676,0.0
H2Otemp_prebkg,C,21.807746478873234,0.0
RH_prebkg,%,51.70774647887324,0.0
COtemp_prebkg,C,22.16830985915493,0.0
TC1_prebkg,C,65536.0,0.0
dP2_prebkg,mmH2O,1664614.4000000006,0.0
O2_1_prebkg,lambda,3.847887323943661,0.0
O2_2_prebkg,lambda,3.699999999999999,0.0
O2_3_prebkg,lambda,3.4936619718309863,0.0
O2_4_prebkg,lambda,2.9204225352112676,0.0
datenumbers_prebkg,date,19565.473819444444,
phase_prebkg,text,prebkg,
time_hp,yyyymmdd hh:mm:ss,20230727 11:43:54,
seconds_hp,s,1822.0,0.0
CO_hp,ppm,46.20278072686117,0.0
CO2_hp,ppm,1359.982708752515,0.0
PM_hp,Mm^-1,8637.440738179077,0.0
Flow_hp,mmH2O,7.574841294642856,0.0
FLUEtemp_hp,C,24.89729030535714,0.0
H2Otemp_hp,C,65.00937499999999,0.0
RH_hp,%,54.662053571428565,0.0
COtemp_hp,C,24.50513392857143,0.0
TC1_hp,C,65536.0,0.0
dP2_hp,mmH2O,1664614.4,0.0
O2_1_hp,lambda,3.838169642857143,0.0
O2_2_hp,lambda,3.5743303571428577,0.0
O2_3_hp,lambda,3.392857142857142,0.0
O2_4_hp,lambda,2.89642857142857,0.0
datenumbers_hp,date,19565.488819444443,
phase_hp,text,hp,
time_mp,yyyymmdd hh:mm:ss,20230727 12:22:14,
seconds_mp,s,4122.0,0.0
CO_mp,ppm,51.83315259316964,0.0
CO2_mp,ppm,1361.663374049607,0.0
PM_mp,Mm^-1,11874.531347376296,0.0
Flow_mp,mmH2O,7.4439926106194685,0.0
FLUEtemp_mp,C,25.890955908185838,0.0
H2Otemp_mp,C,64.44137168141593,0.0
RH_mp,%,50.21106194690266,0.0
COtemp_mp,C,27.17345132743363,0.0
TC1_mp,C,65536.0,0.0
dP2_mp,mmH2O,1664614.4,0.0
O2_1_mp,lambda,3.864159292035397,0.0
O2_2_mp,lambda,3.6017699115044253,0.0
O2_3_mp,lambda,3.3694690265486718,0.0
O2_4_mp,lambda,2.8876106194690263,0.0
datenumbers_mp,date,19565.515439814815,
phase_mp,text,mp,
time_lp,yyyymmdd hh:mm:ss,20230727 13:02:14,
seconds_lp,s,6522.0,0.0
CO_lp,ppm,20.24727374989582,0.0
CO2_lp,ppm,717.162680223352,0.0
PM_lp,Mm^-1,4332.170701725146,0.0
Flow_lp,mmH2O,7.387342011834319,0.0
FLUEtemp_lp,C,25.8906692204142,0.0
H2Otemp_lp,C,96.03890532544379,0.0
RH_lp,%,50.55369822485208,0.0
COtemp_lp,C,28.555325443786984,0.0
TC1_lp,C,65536.0,0.0
dP2_lp,mmH2O,1664614.4000000001,0.0
O2_1_lp,lambda,3.8995562130177506,0.0
O2_2_lp,lambda,3.590976331360948,0.0
O2_3_lp,lambda,3.3045857988165683,0.0
O2_4_lp,lambda,2.8631656804733723,0.0
datenumbers_lp,date,19565.543217592596,
phase_lp,text,lp,
time_postbkg,yyyymmdd hh:mm:ss,20230727 13:33:16,
seconds_postbkg,s,8384.0,0.0
CO_postbkg,ppm,0.27427695084413767,0.0
CO2_postbkg,ppm,1.124708515996658,0.0
PM_postbkg,Mm^-1,1607.6282529614796,0.0
Flow_postbkg,mmH2O,7.419609139072846,0.0
FLUEtemp_postbkg,C,24.137719665562912,0.0
H2Otemp_postbkg,C,24.201324503311255,0.0
RH_postbkg,%,40.428476821192056,0.0
COtemp_postbkg,C,29.15231788079469,0.0
TC1_postbkg,C,65536.0,0.0
dP2_postbkg,mmH2O,1664614.4000000004,0.0
O2_1_postbkg,lambda,3.850993377483442,0.0
O2_2_postbkg,lambda,3.600000000000002,0.0
O2_3_postbkg,lambda,3.3099337748344375,0.0
O2_4_postbkg,lambda,2.9,0.0
datenumbers_postbkg,date,19565.564768518518,
phase_postbkg,text,postbkg,
