time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda
20230727 11:13:36,4.0,-1.43234,630.0,32940.0,0.0096,20.7484994,20.2,53.4,21.1,1533.5424,1.2845056,4.0,3.8,3.6,3.0
20230727 11:13:40,8.0,-1.3379,639.0,32265.0,0.0417,20.7447007,20.2,53.4,21.1,1533.5424,1.2845056,3.9,3.8,3.6,3.0
20230727 11:13:44,12.0,-1.19624,640.0,33615.0,0.3186,20.7484994,20.2,53.4,21.2,1533.5424,1.2845056,3.9,3.8,3.5,2.9
20230727 11:13:48,16.0,-1.08606,634.0,32805.0,0.357,20.756096799999998,20.3,53.4,21.2,1533.5424,1.2845056,3.9,3.7,3.5,2.9
20230727 11:13:52,20.0,-0.9758800000000001,628.0,33345.0,0.3458,20.7522981,20.4,53.3,21.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:13:56,24.0,-0.89718,618.0,32805.0,0.342,20.756096799999998,20.4,53.3,21.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:14:00,28.0,-0.88144,630.0,33075.0,0.3539,20.771291599999998,20.5,53.3,21.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:14:04,32.0,-0.7712600000000001,625.0,32805.0,0.3132,20.7636942,20.5,53.3,21.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:14:08,36.0,-0.73978,628.0,32670.0,0.3174,20.771291599999998,20.6,53.3,21.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:14:12,40.0,-0.7083,631.0,33345.0,0.2956,20.7826877,20.6,53.3,21.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:14:16,44.0,-0.67682,633.0,33075.0,0.2974,20.7826877,20.7,53.3,21.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:14:20,48.0,-0.6296,623.0,34020.0,0.3156,20.7864864,20.8,53.3,21.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:14:24,52.0,-0.5509000000000001,612.0,33075.0,0.307,20.7940838,20.8,53.3,21.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:14:28,56.0,-0.56664,628.0,32805.0,0.2863,20.7940838,20.8,53.3,21.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:14:32,60.0,-0.50368,618.0,33615.0,0.2979,20.7978825,20.9,53.3,21.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:14:36,64.0,-0.56664,613.0,32940.0,0.2919,20.7978825,20.9,53.3,21.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:14:40,68.0,-0.50368,625.0,33345.0,0.3011,20.7978825,20.9,53.4,21.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:14:44,72.0,-0.50368,621.0,33345.0,0.2872,20.8092786,21.0,53.5,21.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:14:48,76.0,-0.50368,631.0,33480.0,0.2987,20.816876,21.0,53.5,21.3,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:14:52,80.0,-0.45646000000000003,630.0,33075.0,0.3023,20.8244734,21.0,53.5,21.3,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:14:56,84.0,-0.50368,643.0,33075.0,0.3008,20.820674699999998,21.0,53.5,21.3,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:15:00,88.0,-0.45646000000000003,652.0,33075.0,0.2819,20.8244734,21.1,53.5,21.3,1533.5424,1.2845056,3.8,3.6,3.5,2.9
