time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4,datenumbers,phase,CO_bkg,CO2_bkg,PM_bkg,COmass,CO2mass,PMmass,MCE,MW_duct,density,mass_flow,mole_flow,vol_flow,totvol,CO_ER,CO2_ER,PM_ER,CO_totmass,CO2_totmass,PM_totmass
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda,date,text,ppm,ppm,Mm^-1,gm^-3,gm^-3,gm^-3,mol/mol,g/mol,gm^-3,g/sec,mol/sec,m^3/sec,m^3,g/sec,g/sec,g/sec,g,g,g
20230727 11:13:36,4.0,-1.14159338028169,-4.352112676056322,-1242.5704225352092,0.0096,20.7484994,20.2,53.4,21.1,1533.5424,1.2845056,4.0,3.8,3.6,3.0,19565.467777777776,none,-0.29074661971830984,634.3521126760563,34182.57042253521,-0.0012982900715867965+/-0,-0.007776759789884973+/-0,-0.0005466482497369723+/-0,0.7921997703235961,29.0,1177.4573451145054+/-0,5.464982703656255,0.1884476794364226,0.004641342403044584,0.004641342403044584,-6.025808760707587e-06,-3.6094604971085214e-05,-2.5371817010543148e-06,-6.025808760707587e-06,-3.6094604971085214e-05,-2.5371817010543148e-06
20230727 11:13:40,8.0,-1.0471533802816904,4.647887323943678,-1917.5704225352092,0.0417,20.7447007,20.2,53.4,21.1,1533.5424,1.2845056,3.9,3.8,3.6,3.0,19565.467824074072,none,-0.29074661971830984,634.3521126760563,34182.57042253521,-0.0011909024988196438+/-0,0.00830538479435587+/-0,-0.0008436033050646317+/-0,1.2908166492347732,29.0,1177.4725641953742+/-0,11.390007483764535,0.3927588787505012,0.00967326783664628,0.014314610239690863,-1.1519918838413744e-05,8.03402116022137e-05,-8.160400717770201e-06,-1.754572759912133e-05,4.424560663112849e-05,-1.0697582418824516e-05
20230727 11:13:44,12.0,-0.9054933802816901,5.647887323943678,-567.5704225352092,0.3186,20.7484994,20.2,53.4,21.2,1533.5424,1.2845056,3.9,3.8,3.5,2.9,19565.467870370372,none,-0.29074661971830984,634.3521126760563,34182.57042253521,-0.0010297826580049074+/-0,0.010092170471663088+/-0,-0.00024969319440931275+/-0,1.190935926251307,29.0,1177.4573451145054+/-0,31.482996492273546,1.0856205686990879,0.02673812059766113,0.04105273083735199,-2.7534452899115242e-05,0.00026984567116348227,-6.67632674453145e-06,-4.508018049823657e-05,0.00031409127779461073,-1.7373909163355967e-05
20230727 11:13:48,16.0,-0.7953133802816902,-0.352112676056322,-1377.5704225352092,0.357,20.756096799999998,20.3,53.4,21.2,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.46791666667,none,-0.29074661971830984,634.3521126760563,34182.57042253521,-0.0009044558177695118+/-0,-0.0006291714209195093+/-0,-0.0006060392608025041+/-0,0.3068717797642514,29.0,1177.426908132996+/-0,33.32588336540962,1.1491683919106763,0.02830399333938553,0.06935672417673752,-2.5599711441916755e-05,-1.7808063707037522e-05,-1.7153331201160207e-05,-7.067989194015333e-05,0.0002962832140875732,-3.452724036451618e-05
20230727 11:13:52,20.0,-0.6851333802816902,-6.352112676056322,-837.5704225352092,0.3458,20.7522981,20.4,53.3,21.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.467962962965,none,-0.29074661971830984,634.3521126760563,34182.57042253521,-0.0007791656677814619+/-0,-0.01135039913589535+/-0,-0.00036847521654037656+/-0,0.9026418325014183,29.0,1177.4421264270509+/-0,32.79917069946019,1.1310058861882823,0.02785629116140876,0.09721301533814627,-2.1704665704693892e-05,-0.00031618002312770326,-1.026435291771187e-05,-9.238455764484723e-05,-1.989680904013007e-05,-4.4791593282228045e-05
20230727 11:13:56,24.0,-0.6064333802816901,-16.352112676056322,-1377.5704225352092,0.342,20.756096799999998,20.4,53.3,21.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.46800925926,none,-0.29074661971830984,634.3521126760563,34182.57042253521,-0.0006896554395842506+/-0,-0.02921872078750332+/-0,-0.0006060392608025041+/-0,0.9642402492367532,29.0,1177.426908132996+/-0,32.618246844479074,1.124767132568244,0.02770299083465034,0.1249160061727966,-1.9105518321869245e-05,-0.0008094459541764118,-1.6789100087450038e-05,-0.00011149007596671647,-0.0008293427632165419,-6.158069336967808e-05
20230727 11:14:00,28.0,-0.5906933802816902,-4.352112676056322,-1107.5704225352092,0.3539,20.771291599999998,20.5,53.3,21.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.468055555557,none,-0.29074661971830984,634.3521126760563,34182.57042253521,-0.0006717206804414976+/-0,-0.007776156739103869+/-0,-0.00048725723867144036+/-0,0.8804943237608398,29.0,1177.366038890464+/-0,33.180017991575895,1.1441385514336515,0.02818156537183997,0.15309757154463657,-1.8930140267478893e-05,-0.00021914426948472962,-1.3731671724521427e-05,-0.00013042021623419536,-0.0010484870327012715,-7.531236509419951e-05
20230727 11:14:04,32.0,-0.4805133802816902,-9.352112676056322,-1377.5704225352092,0.3132,20.7636942,20.5,53.3,21.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.468101851853,none,-0.29074661971830984,634.3521126760563,34182.57042253521,-0.0005464410620942731+/-0,-0.01671036098091943+/-0,-0.0006060392608025041+/-0,0.9511307175185456,29.0,1177.3964727250232+/-0,31.214244332953157,1.0763532528604538,0.026511243286392226,0.1796088148310288,-1.4486831938855837e-05,-0.00044301244536859086,-1.6066854284240494e-05,-0.0001449070481730512,-0.0014914994780698622,-9.137921937844001e-05
20230727 11:14:08,36.0,-0.44903338028169015,-6.352112676056322,-1512.5704225352092,0.3174,20.771291599999998,20.6,53.3,21.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.46814814815,none,-0.29074661971830984,634.3521126760563,34182.57042253521,-0.0005106287251770514+/-0,-0.011349665661281063+/-0,-0.0006654302718680361+/-0,0.9339768067672602,29.0,1177.366038890464+/-0,31.422432144985958,1.0835321429305502,0.0266887536306025,0.2062975684616313,-1.3628044242958956e-05,-0.0003029084306236395,-1.7759504584230858e-05,-0.00015853509241601013,-0.0017944079086935018,-0.00010913872396267087
