time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4,datenumbers,phase,COmass,CO2mass,PMmass,MCE,MW_duct,density,mass_flow,mole_flow,vol_flow,totvol,CO_ER,CO2_ER,PM_ER,CO_totmass,CO2_totmass,PM_totmass
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda,date,text,gm^-3,gm^-3,gm^-3,mol/mol,g/mol,gm^-3,g/sec,mol/sec,m^3/sec,m^3,g/sec,g/sec,g/sec,g,g,g
20230727 11:29:00,928.0,-0.024053380281690184,36.64788732394368,647.4295774647908,0.3037,21.2233369,21.2,50.9,23.0,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.47847222222,hp,(-2.731085581213871+/-0)e-05,0.06538022263911997+/-0,0.0002848259051804743+/-0,1.0006567684944916,29.0,1175.5580531881421+/-0,30.713196624298956,1.0590757456654811,0.02612648226176837,0.02612648226176837,-7.135365899295556e-07,0.0017081552270514346,7.441498959389782e-06,-7.135365899295556e-07,0.0017081552270514346,7.441498959389782e-06
20230727 11:29:04,932.0,-0.008313380281690153,32.64788732394368,782.4295774647908,0.2927,21.230934299999998,21.2,50.9,23.0,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.478518518517,hp,(-9.438992271431642+/-0)e-06,0.05824267672229404+/-0,0.0003442169162460062+/-0,1.0002547024754687,29.0,1175.5277143186274+/-0,30.151462405578368,1.0397056001923575,0.025649299491892538,0.051775781753660904,-2.421035396716092e-07,0.0014938838584595978,8.828922774969503e-06,-9.55640129601165e-07,0.0032020390855110326,1.6270421734359286e-05
20230727 11:29:08,936.0,0.054646619718309836,32.64788732394368,647.4295774647908,0.2874,21.234733,21.2,50.9,23.0,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.478564814814,hp,(6.204484190246188+/-0)e-05,0.058241925166825075+/-0,0.0002848259051804743+/-0,0.9983289790383689,29.0,1175.512545471103+/-0,29.877042147845422,1.030242832684325,0.02541618314747273,0.07719196490113364,1.5769430651489615e-06,0.0014802874369014274,7.239187371211636e-06,6.213029355477966e-07,0.00468232652241246,2.350960910557092e-05
20230727 11:29:12,940.0,0.07038661971830984,29.647887323943678,1052.4295774647908,0.2779,21.2385317,21.2,50.8,23.0,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.47861111111,hp,(7.991473878730225+/-0)e-05,0.05288941781394845+/-0,0.00046299893837706995+/-0,0.9976315374220002,29.0,1175.497377015047+/-0,29.37891070514163,1.0130658863841941,0.024992748839426433,0.10218471374056007,1.997288995079415e-06,0.0013218519356875,1.1571616179779185e-05,2.6185919306272118e-06,0.00600417845809996,3.5081225285350106e-05
20230727 11:29:16,944.0,0.03890661971830983,37.64788732394368,647.4295774647908,0.2836,21.2423304,21.2,50.8,23.0,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.478657407406,hp,(4.41727738100882+/-0)e-05,0.06715990004785087+/-0,0.0002848259051804743+/-0,0.9989676325405532,29.0,1175.4822089504444+/-0,29.678484958974604,1.0233960330680898,0.025247923561066657,0.12743263730162674,1.1152708166373941e-06,0.0016956480227770156,7.191262682208235e-06,3.733862747264606e-06,0.007699826480876975,4.227248796755834e-05
20230727 11:29:20,948.0,0.08612661971830984,29.647887323943678,512.4295774647908,0.2892,21.2461291,21.2,50.8,23.0,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.478703703702,hp,(9.778291275801438+/-0)e-05,0.052888052911277586+/-0,0.0002254348941149424+/-0,0.9971034311115379,29.0,1175.4670412772796+/-0,29.969876700720693,1.0334440241627825,0.025496143786519942,0.15292878108814667,2.4930872035430703e-06,0.0013484414016150079,5.74772047485347e-06,6.226949950807676e-06,0.009048267882491983,4.802020844241181e-05
20230727 11:29:24,952.0,0.07038661971830984,25.647887323943678,647.4295774647908,0.2857,21.2461291,21.2,50.7,23.0,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.47875,hp,(7.991267644959992+/-0)e-05,0.045752562637262+/-0,0.0002848259051804743+/-0,0.9972631670433055,29.0,1175.4670412772796+/-0,29.787971667386692,1.0271714368064377,0.02534139250303322,0.1782701735911799,2.0250984998772107e-06,0.001159433647810469,7.217885058210122e-06,8.252048450684887e-06,0.01020770153030245,5.5238093500621927e-05
20230727 11:29:28,956.0,0.054646619718309836,39.64788732394368,647.4295774647908,0.2958,21.2423304,21.2,50.7,23.0,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.478796296295,hp,(6.204324070761676+/-0)e-05,0.07072769122136185+/-0,0.0002848259051804743+/-0,0.9986235986903038,29.0,1175.4822089504444+/-0,30.310122994571024,1.0451766549852077,0.02578526732585268,0.20405544091703257,1.5998015474081235e-06,0.001823732425483179,7.344312106406497e-06,9.85184999809301e-06,0.01203143395578563,6.258240560702842e-05
20230727 11:29:32,960.0,0.054646619718309836,32.64788732394368,647.4295774647908,0.2826,21.2499278,21.2,50.7,23.0,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.47884259259,hp,(6.204163959541382+/-0)e-05,0.05823891913889857+/-0,0.0002848259051804743+/-0,0.9983289790383689,29.0,1175.4518739955379+/-0,29.62573192778673,1.0215769630271287,0.025203696198198577,0.22925913711523113,1.5636786360009376e-06,0.0014678360248882524,7.178665583545588e-06,1.1415528634093948e-05,0.013499269980673884,6.976107119057401e-05
