time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4,datenumbers,phase,COmass,CO2mass,PMmass,MCE,MW_duct,density,mass_flow,mole_flow,vol_flow,totvol,CO_ER,CO2_ER,PM_ER,CO_totmass,CO2_totmass,PM_totmass
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda,date,text,gm^-3,gm^-3,gm^-3,mol/mol,g/mol,gm^-3,g/sec,mol/sec,m^3/sec,m^3,g/sec,g/sec,g/sec,g,g,g
20230727 12:39:44,5172.0,49.840266619718314,363.6478873239437,4832.429577464791,6.852919999999999,26.9555752,96.6,51.2,28.0,65536.0,1664614.4,3.8,3.5,3.3,2.8,19565.527592592593,lp,0.055509070624389346+/-0,0.636360079959089+/-0,0.002125947248211963+/-0,0.8794638585304936,29.0,1153.104025495162+/-0,144.4949465706611,4.982584364505556,0.12530955002833555,0.12530955002833555,0.006955816662433328,0.07974199527566908,0.00026640149305741926,0.006955816662433328,0.07974199527566908,0.00026640149305741926
20230727 12:39:48,5176.0,49.25788661971831,359.6478873239437,3617.429577464791,7.399019999999999,26.9251856,96.7,51.1,28.0,65536.0,1664614.4,3.8,3.5,3.3,2.8,19565.52763888889,lp,0.05486600694757249+/-0,0.6294240782918623+/-0,0.001591428148622176+/-0,0.8795373170091139,29.0,1153.2208041285671+/-0,150.1495097395939,5.177569301365307,0.13020013964546415,0.6461101086101921,0.007143561766362944,0.08195110288981804,0.00020720416718632978,0.014099378428796272,0.1616930981654871,0.00047360566024374904
20230727 12:39:52,5180.0,47.919986619718316,367.6478873239437,5102.429577464791,6.918959999999999,26.887198599999998,96.6,50.9,28.0,65536.0,1664614.4,3.8,3.5,3.3,2.8,19565.527685185185,lp,0.05338254182834264+/-0,0.6435064366926845+/-0,0.002244729270343027+/-0,0.8846879423932208,29.0,1153.3668106867235+/-0,145.20605233234983,5.007105252839649,0.12589754706561482,1.1497002968726515,0.0067207310723159195,0.08101588190054333,0.00028260590896257443,0.02082010950111219,0.24270898006603042,0.0007562115692063235
20230727 12:39:56,5184.0,46.408946619718314,365.6478873239437,6722.429577464791,7.56158,26.8492116,96.5,50.8,28.0,65536.0,1664614.4,3.8,3.5,3.3,2.8,19565.52773148148,lp,0.05170579981075689+/-0,0.6400868094427714+/-0,0.0029574214031294096+/-0,0.8873724622510119,29.0,1153.5128542206512+/-0,151.80919540992767,5.234799841721644,0.13160598501738816,1.6761242369422042,0.006804792715206542,0.08423925505335317,0.00038921435687035215,0.027624902216318734,0.3269482351193836,0.0011454259260766757
20230727 12:40:00,5188.0,44.929386619718315,361.6478873239437,7127.429577464791,7.57428,26.8112246,96.3,50.6,28.0,65536.0,1664614.4,3.8,3.5,3.3,2.8,19565.527777777777,lp,0.05006371049872139+/-0,0.6331647622980466+/-0,0.0031355944363260055+/-0,0.8894936104423189,29.0,1153.6589347443978+/-0,151.94624727387279,5.239525768064579,0.13170811814285274,2.2029567095136153,0.0065937970970351735,0.0833929393166424,0.0004129832424676973,0.034218699313353904,0.410341174436026,0.001558409168544373
20230727 12:40:04,5192.0,43.764626619718314,353.6478873239437,6317.429577464791,7.056119999999999,26.7770363,96.1,50.7,28.0,65536.0,1664614.4,3.8,3.5,3.3,2.8,19565.527824074074,lp,0.04877140583396009+/-0,0.6192291242958151+/-0,0.002779248369932814+/-0,0.8898760731376403,29.0,1153.7904388536813+/-0,146.6651836996777,5.057420127575093,0.1271159638360265,2.7114205648577214,0.006199624260221843,0.0787139069702012,0.0003532868352837152,0.04041832357357575,0.4890550814062272,0.0019116960038280883
20230727 12:40:08,5196.0,42.521166619718315,347.6478873239437,11447.42957746479,7.162799999999999,26.742848,96.0,50.5,28.0,65536.0,1664614.4,3.8,3.5,3.3,2.8,19565.52787037037,lp,0.04739109305046023+/-0,0.6087926610601826+/-0,0.005036106790423026+/-0,0.891018607985609,29.0,1153.9219729463541+/-0,147.7781473843842,5.0957981856684205,0.1280659791987984,3.223684481652915,0.0060691867368085585,0.07796562826771446,0.0006449539474652425,0.046487510310384304,0.5670207096739417,0.002556649951293331
20230727 12:40:12,5200.0,41.261966619718315,314.6478873239437,16442.42957746479,7.67842,26.7086597,96.2,50.6,28.0,65536.0,1664614.4,3.8,3.5,3.3,2.8,19565.527916666666,lp,0.04599292082112765+/-0,0.5510666732985952+/-0,0.007233574199847706+/-0,0.8840662427226593,29.0,1154.053537032671+/-0,153.01340998400863,5.276324482207194,0.13258779170456877,3.75403564847119,0.006098099805716397,0.07306471329464378,0.0009590836292889504,0.0525856101161007,0.6400854229685855,0.003515733580582281
20230727 12:40:16,5204.0,39.93980661971831,320.6478873239437,20762.42957746479,7.25678,26.666874,96.2,51.0,28.0,65536.0,1664614.4,3.8,3.5,3.3,2.8,19565.527962962962,lp,0.044525371203444686+/-0,0.5616531947915175+/-0,0.009134086553944728+/-0,0.8892369116014301,29.0,1154.2143783296901+/-0,148.7632994872507,5.129768947836231,0.12888706143353718,4.269583894205339,0.005738744253649422,0.07238982982143674,0.00117726557481752,0.05832435436975013,0.7124752527900222,0.004692999155399801
20230727 12:40:20,5208.0,38.88522661971832,310.6478873239437,9692.42957746479,6.80974,26.6440818,96.0,51.3,28.0,65536.0,1664614.4,3.8,3.5,3.3,2.8,19565.52800925926,lp,0.04335300859638699+/-0,0.5441783652473478+/-0,0.004264023646571111+/-0,0.8887509507153996,29.0,1154.3021288442962+/-0,144.11380910044338,4.969441693118737,0.12484929681688466,4.7689810814728775,0.005412592638155271,0.06794028624409319,0.0005323603538849715,0.0637369470079054,0.7804155390341154,0.005225359509284773
20230727 12:40:24,5212.0,39.215766619718316,305.6478873239437,7667.429577464791,6.863079999999999,26.625088299999998,95.9,51.9,28.0,65536.0,1664614.4,3.8,3.5,3.3,2.8,19565.528055555555,lp,0.04372429669207648+/-0,0.5354535240408016+/-0,0.003373158480588133+/-0,0.886286170864139,29.0,1154.3752644661001+/-0,144.68170579227217,4.989024337664557,0.12533333851292078,5.27031443552456,0.005480112078547404,0.06711017778654214,0.00042276921370528196,0.0692170590864528,0.8475257168206576,0.005648128722990055
20230727 12:40:28,5216.0,40.585146619718316,314.6478873239437,5642.429577464791,7.03834,26.6060948,95.8,52.4,28.0,65536.0,1664614.4,3.8,3.5,3.3,2.8,19565.52810185185,lp,0.04525397784210019+/-0,0.5512552269234278+/-0,0.0024822933146051544+/-0,0.8857506404481659,29.0,1154.448409356116+/-0,146.52204440294494,5.052484289756722,0.1269195255634389,5.777992537778316,0.005743613397577733,0.06996505186548731,0.0003150514897989824,0.07496067248403053,0.9174907686861449,0.005963180212789037
20230727 12:40:32,5220.0,40.96290661971831,353.6478873239437,5642.429577464791,6.9342,26.5871013,96.0,52.2,28.0,65536.0,1664614.4,3.8,3.5,3.3,2.8,19565.528148148147,lp,0.04567808887928573+/-0,0.619621512435999+/-0,0.0024822933146051544+/-0,0.8961941557392713,29.0,1154.5215635161048+/-0,145.43863500851145,5.015125345121085,0.12597307803032878,6.281884849899631,0.005754209454666555,0.07805562913537044,0.0003127021294149186,0.08071488193869708,0.9955463978215153,0.006275882342203955
20230727 12:40:36,5224.0,40.097206619718314,413.6478873239437,5237.429577464791,7.3863199999999996,26.5719065,96.0,52.2,28.0,65536.0,1664614.4,3.8,3.5,3.3,2.8,19565.528194444443,lp,0.04471500614807213+/-0,0.7247834144522283+/-0,0.0023041202814085586+/-0,0.9116305450903743,29.0,1154.5800935196607+/-0,150.10898063896389,5.1761717461711685,0.13001175187540834,6.801931857401264,0.005813476284430513,0.09423036144317434,0.00029956271431758557,0.0865283582231276,1.0897767592646896,0.006575445056521541
20230727 12:40:40,5228.0,38.20840661971831,472.6478873239437,4697.429577464791,6.9596,26.5567117,96.1,52.0,28.0,65536.0,1664614.4,3.8,3.5,3.3,2.8,19565.52824074074,lp,0.04261084248659307+/-0,0.8282037159955257+/-0,0.002066556237146431+/-0,0.925207133448899,29.0,1154.6386294580304+/-0,145.71214953468308,5.024556880506313,0.12619718916132064,7.306720614046547,0.005377368549603824,0.10451698101159602,0.00026079358837167516,0.09190572677273143,1.1942937402762857,0.006836238644893216
20230727 12:40:44,5232.0,35.67426661971832,536.6478873239437,5102.429577464791,6.842759999999999,26.5377182,96.0,51.7,28.0,65536.0,1664614.4,3.8,3.5,3.3,2.8,19565.528287037036,lp,0.039787236141665294+/-0,0.9404081871819394+/-0,0.002244729270343027+/-0,0.937667507060665,29.0,1154.711807728199+/-0,144.48841967287078,4.98235929906451,0.12512942078347664,7.8072382971804535,0.004978553812981986,0.11767273176211536,0.00028088167341373913,0.09688428058571341,1.311966472038401,0.007117120318306955
20230727 12:40:48,5236.0,33.04568661971831,591.6478873239437,7667.429577464791,7.44728,26.5187247,96.2,52.3,28.0,65536.0,1664614.4,3.8,3.5,3.3,2.8,19565.528333333332,lp,0.036857936982988816+/-0,1.036854509751885+/-0,0.003373158480588133+/-0,0.947100965980645,29.0,1154.7849952746872+/-0,150.74051373717077,5.197948749557613,0.1305355666673815,8.329380563849979,0.004811271690265083,0.13534639098209236,0.0004403171537224555,0.1016955522759785,1.4473128630204934,0.0075574374720294105
20230727 12:40:52,5240.0,31.07818661971831,634.6478873239437,7532.429577464791,7.668259999999999,26.5073286,96.0,52.6,28.0,65536.0,1664614.4,3.8,3.5,3.3,2.8,19565.528379629628,lp,0.03466477849843846+/-0,1.1122536962132075+/-0,0.003313767469522601+/-0,0.9533168553311788,29.0,1154.8289122559477+/-0,152.9635036525703,5.274603574226562,0.13245555426366792,8.859202780904651,0.004591542449437944,0.14732417981373372,0.0004389269068765284,0.10628709472541645,1.5946370428342271,0.007996364378905938
20230727 12:40:56,5244.0,29.23660661971831,660.6478873239437,6857.429577464791,7.33298,26.4883351,95.9,52.6,28.0,65536.0,1664614.4,3.9,3.5,3.3,2.8,19565.528425925924,lp,0.03261273727155597+/-0,1.1578934513512507+/-0,0.0030168124141949416+/-0,0.9576210121022001,29.0,1154.902114648217+/-0,149.58685181411386,5.1581673039349605,0.12952340282074726,9.37729639218764,0.004224112706710942,0.14997429992287337,0.00039074780955840246,0.11051120743212739,1.7446113427571004,0.008387112188464342
20230727 12:41:00,5248.0,27.45798661971831,705.6478873239437,6857.429577464791,6.443979999999999,26.4693416,96.0,52.2,28.0,65536.0,1664614.4,3.8,3.5,3.3,2.8,19565.52847222222,lp,0.03063067070845571+/-0,1.236841710755453+/-0,0.0030168124141949416+/-0,0.9625456736937448,29.0,1154.9753263213934+/-0,140.23099928409306,4.835551699451485,0.121414714313188,9.862955249440391,0.003719014133288486,0.15017078296200803,0.00036628541740595783,0.11423022156541587,1.8947821257191084,0.0087533976058703
20230727 12:41:04,5252.0,25.78954661971831,778.6478873239437,6722.429577464791,7.1475599999999995,26.4541468,95.8,52.6,28.0,65536.0,1664614.4,3.8,3.5,3.3,2.8,19565.52851851852,lp,0.028770906786835426+/-0,1.364863475598455+/-0,0.0029574214031294096+/-0,0.9679408919432205,29.0,1155.033902343374+/-0,147.69196013000993,5.092826211379653,0.12786807368196484,10.37442754416825,0.0036788804289160145,0.17452246346364586,0.0003781597778839712,0.11790910199433188,2.0693045891827544,0.009131557383754272
20230727 12:41:08,5256.0,24.42016661971831,817.6478873239437,7262.429577464791,7.708899999999999,26.438952,95.9,52.4,28.0,65536.0,1664614.4,3.8,3.5,3.3,2.8,19565.528564814816,lp,0.027244603499734874+/-0,1.4332978443250184+/-0,0.003194985447391537+/-0,0.9709997707366391,29.0,1155.0924843071687+/-0,153.38580456336152,5.289165674598673,0.1327909294253293,10.905591261869567,0.0036178362205543735,0.19032895289124013,0.00042426508705952377,0.12152693821488626,2.2596335420739946,0.009555822470813796
20230727 12:41:12,5260.0,23.22392661971831,854.6478873239437,6317.429577464791,7.40664,26.4199585,96.0,52.1,28.0,65536.0,1664614.4,3.9,3.5,3.3,2.8,19565.528611111113,lp,0.025911649121847246+/-0,1.4982520709174334+/-0,0.002779248369932814+/-0,0.9735451961768888,29.0,1155.1657201189653+/-0,150.35343277100364,5.184601130034609,0.13015745719628818,11.42622109065472,0.0033725943614620712,0.19500867978968597,0.000361739900747384,0.12489953257634834,2.4546422218636805,0.00991756237156118
20230727 12:41:16,5264.0,22.10638661971831,886.6478873239437,6317.429577464791,6.92404,26.400965,96.0,52.0,28.0,65536.0,1664614.4,3.9,3.5,3.3,2.8,19565.52865740741,lp,0.02466633928564402+/-0,1.5544486609631913+/-0,0.002779248369932814+/-0,0.9756739668207725,29.0,1155.238965218026+/-0,145.3771940227332,5.0130066904390755,0.12584166427878102,11.929587747769844,0.003104053187370522,0.19561440653153062,0.0003497452403164346,0.12800358576371887,2.650256628395211,0.010267307611877616
20230727 12:41:20,5268.0,21.16198661971831,922.6478873239437,7262.429577464791,7.03072,26.3895689,96.2,52.2,28.0,65536.0,1664614.4,3.9,3.5,3.3,2.8,19565.528703703705,lp,0.02361347470148578+/-0,1.617624491672258+/-0,0.003194985447391537+/-0,0.9775781254212843,29.0,1155.2829167360835+/-0,146.49562689403373,5.051573341173577,0.1268049797775203,12.436807666879925,0.002994306181998892,0.20512284095412225,0.0004051400650459555,0.13099789194571776,2.8553794693493333,0.01067244767692357
20230727 12:41:24,5272.0,20.54812661971831,922.6478873239437,9152.42957746479,7.264399999999999,26.378172799999998,96.2,51.9,28.0,65536.0,1664614.4,3.9,3.5,3.3,2.8,19565.52875,lp,0.022929375092483543+/-0,1.6176860371699555+/-0,0.0040264596023089835+/-0,0.9782143623213555,29.0,1155.326871598574+/-0,148.91309698082813,5.134934378649246,0.12889261094982044,12.952378110679208,0.002955427023117984,0.20850777702790382,0.0005189808910255805,0.13395331896883575,3.063887246377237,0.011191428567949151
20230727 12:41:28,5276.0,20.07592661971831,924.6478873239437,8477.42957746479,7.33806,26.3667767,96.2,52.5,28.0,65536.0,1664614.4,3.9,3.5,3.3,2.8,19565.528796296298,lp,0.022403305908167654+/-0,1.6212543370213834+/-0,0.0037295045469813246+/-0,0.9787494225048554,29.0,1155.3708298058787+/-0,149.66901900925893,5.161000655491687,0.12954197487780247,13.470546010190418,0.002902168491135578,0.21002048859695235,0.00048312738433170483,0.13685548745997134,3.2739077349741894,0.011674555952280856
20230727 12:41:32,5280.0,19.96574661971831,934.6478873239437,9422.42957746479,7.157719999999999,26.3515819,96.1,52.4,28.0,65536.0,1664614.4,3.9,3.5,3.3,2.8,19565.528842592594,lp,0.022281483229359012+/-0,1.6388712270280414+/-0,0.0041452416244400474+/-0,0.9790849974169795,29.0,1155.4294459526561+/-0,147.82219676470754,5.097317129817501,0.1279370170827069,13.982294078521246,0.0028506265005425516,0.20967229616864339,0.000530329848517934,0.13970611396051388,3.4835800311428327,0.01220488580079879
20230727 12:41:36,5284.0,19.71390661971831,946.6478873239437,8882.42957746479,7.45236,26.3515819,96.2,52.8,28.0,65536.0,1664614.4,3.9,3.5,3.3,2.8,19565.52888888889,lp,0.022000433447281743+/-0,1.65991279251068+/-0,0.00390767758017792+/-0,0.979599869589973,29.0,1155.4294459526561+/-0,150.8339874952475,5.201171982594741,0.13054365891712608,14.50446871418975,0.00287201707997088,0.21669108941768847,0.0005101225291848469,0.14257813104048475,3.700271120560521,0.012715008329983638
20230727 12:41:40,5288.0,19.57224661971831,960.6478873239437,10097.42957746479,7.21614,26.343984499999998,96.2,52.8,28.0,65536.0,1664614.4,3.9,3.5,3.3,2.8,19565.528935185186,lp,0.021842897029502296+/-0,1.6845040160686375+/-0,0.004442196679767707+/-0,0.980032804936403,29.0,1155.4587562564586+/-0,148.42610227237518,5.118141457668109,0.1284564260460989,15.018294418374145,0.002805860486902815,0.21638536556447752,0.0005706287092768064,0.14538399152738757,3.9166564861249986,0.013285637039260443
20230727 12:41:44,5292.0,19.52502661971831,970.6478873239437,11717.42957746479,7.29488,26.3401858,96.2,52.7,28.1,65536.0,1664614.4,3.9,3.5,3.3,2.8,19565.528981481482,lp,0.021790475243022005+/-0,1.7020606872534134+/-0,0.00515488881255409+/-0,0.9802811949864857,29.0,1155.4734119660127+/-0,149.23463854444083,5.146022018773822,0.129154541332562,15.534912583704394,0.002814338835431054,0.21982886738239985,0.0006657773002057786,0.14819833036281863,4.136485353507399,0.013951414339466221
20230727 12:41:48,5296.0,19.85556661971831,960.6478873239437,10907.42957746479,7.21614,26.3401858,96.4,52.9,28.1,65536.0,1664614.4,3.9,3.5,3.3,2.8,19565.52902777778,lp,0.022159367118414097+/-0,1.6845253821290604+/-0,0.004798542746160899+/-0,0.9797496209321266,29.0,1155.4734119660127+/-0,148.42704357942557,5.118173916531917,0.12845561139038258,16.048735029265924,0.002846495051219823,0.2163867378640063,0.0006163997422409837,0.15104482541403844,4.352872091371405,0.014567814081707205
20230727 12:41:52,5300.0,20.26480661971831,977.6478873239437,7532.429577464791,7.15264,26.3363871,96.2,52.7,28.1,65536.0,1664614.4,3.9,3.5,3.3,2.8,19565.529074074075,lp,0.022616377256307132+/-0,1.7143571455546365+/-0,0.003313767469522601+/-0,0.9796928060513654,29.0,1155.488068047354+/-0,147.77347962163418,5.0956372283322136,0.12788836484599522,16.560288488649906,0.002892371506049275,0.2192463321070303,0.00042379230315709674,0.1539371969200877,4.572118423478435,0.014991606384864301
20230727 12:41:56,5304.0,20.26480661971831,1003.6478873239437,6587.429577464791,7.21614,26.3325884,96.3,52.0,28.1,65536.0,1664614.4,3.9,3.5,3.3,2.8,19565.52912037037,lp,0.022616664127182474+/-0,1.759971840735509+/-0,0.0028980303920638777+/-0,0.980208462362482,29.0,1155.5027245004974+/-0,148.42892624725488,5.118238836112237,0.12845398206345032,17.074104416903708,0.002905200568128178,0.2260753912620167,0.00037226354400150726,0.15684239748821588,4.7981938147404515,0.015363869928865808
20230727 12:42:00,5308.0,19.88704661971831,1013.6478873239437,7397.429577464791,6.8834,26.3325884,96.5,51.6,28.1,65536.0,1664614.4,3.9,3.5,3.3,2.8,19565.529166666667,lp,0.02219506271735845+/-0,1.7775075907028424+/-0,0.003254376458457069+/-0,0.9807582250327666,29.0,1155.5027245004974+/-0,144.96647351561356,4.998843914331502,0.1254574917409043,17.575934383867324,0.0027845368975518503,0.22300164387999652,0.0004082859076586711,0.15962693438576772,5.021195458620448,0.015772155836524478
20230727 12:42:04,5312.0,20.09166661971831,1011.6478873239437,5237.429577464791,7.327899999999999,26.3211923,96.5,51.7,28.1,65536.0,1664614.4,3.9,3.5,3.3,2.8,19565.529212962963,lp,0.022424283450631386+/-0,1.7740679486598636+/-0,0.0023041202814085586+/-0,0.9805264162424314,29.0,1155.5466960908782+/-0,149.57675280296306,5.15781906217114,0.12944241310971613,18.09370403630619,0.0029026533621059987,0.22963963629513673,0.00029825088932056203,0.1625295877478737,5.250835094915585,0.01607040672584504
