time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4,datenumbers,phase,COmass,CO2mass,PMmass,MCE,MW_duct,density,mass_flow,mole_flow,vol_flow,totvol,CO_ER,CO2_ER,PM_ER,CO_totmass,CO2_totmass,PM_totmass
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda,date,text,gm^-3,gm^-3,gm^-3,mol/mol,g/mol,gm^-3,g/sec,mol/sec,m^3/sec,m^3,g/sec,g/sec,g/sec,g,g,g
20230727 12:07:12,3220.0,80.40734661971831,76.64788732394368,10637.42957746479,7.89686,23.2670375,22.3,47.9,26.4,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.505,mp,0.09066720570075669+/-0,0.13579786709983419+/-0,0.004679760724029835+/-0,0.48803141034725656,29.0,1167.452956669743+/-0,156.07289912648358,5.381824107809779,0.13368667082885682,0.13368667082885682,0.01212099688348931,0.01815436475823638,0.0006256216314711893,0.01212099688348931,0.01815436475823638,0.0006256216314711893
20230727 12:07:16,3224.0,193.05852661971832,130.64788732394368,43172.42957746479,7.238999999999999,23.2784336,22.3,49.8,26.4,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.505046296297,mp,0.2176841413413585+/-0,0.23146133552693568+/-0,0.018992994390823022+/-0,0.4035999340645801,29.0,1167.408074299729+/-0,149.42773664929194,5.152680574113515,0.12799957438955212,0.6456849683870654,0.027863477443048994,0.029626952435085088,0.0024310951984084974,0.0399844743265383,0.04778131719332147,0.003056716829879687
20230727 12:07:20,3228.0,285.27918661971836,320.6478873239437,9962.42957746479,7.44982,23.2936284,22.2,51.1,26.4,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.505092592593,mp,0.32165153631428045+/-0,0.5680442721720035+/-0,0.004382805668702175+/-0,0.5291856084875273,29.0,1167.348236507623+/-0,151.58411384793163,5.227038408549367,0.12985337974333058,1.1650984873603876,0.041767539090043944,0.073762468585375,0.0005691221288392055,0.08175201341658225,0.12154378577869646,0.003625838958718892
20230727 12:07:24,3232.0,338.18132661971833,604.6478873239437,15362.42957746479,7.44474,23.3126219,22.6,51.5,26.4,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50513888889,mp,0.381274132022514+/-0,1.0710962951362504+/-0,0.006758446111323451+/-0,0.6413122105061054,29.0,1167.2734478931661+/-0,151.5275685599349,5.225088571032238,0.12981325741061778,1.6843515170028587,0.049494437044248475,0.1390424990720811,0.0008773359047450198,0.13124645046083072,0.26058628485077756,0.004503174863463912
20230727 12:07:28,3236.0,342.06910661971835,892.6478873239437,30617.42957746479,7.41934,23.324018,22.7,51.5,26.4,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.505185185186,mp,0.38564248876500273+/-0,1.5812096812757908+/-0,0.013469630361728555+/-0,0.7229574807040143,29.0,1167.2285793241451+/-0,151.26594913312763,5.21606721148716,0.1295941101962346,2.202727957787797,0.049976995185361923,0.2049154616786078,0.0017455847614003977,0.18122344564619264,0.46550174652938536,0.006248759624864309
20230727 12:07:32,3240.0,336.19808661971837,1183.6478873239437,33857.42957746479,7.41934,23.3430115,22.8,51.6,26.4,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.505231481482,mp,0.37899932715356266+/-0,2.0965440346985136+/-0,0.014895014627301322+/-0,0.7787946328881215,29.0,1167.1538060405887+/-0,151.26110396695591,5.215900136791583,0.12959826132948898,2.721121003105753,0.0491176538441479,0.2717084616976392,0.0019303679981755577,0.23034109949034054,0.7372102082270245,0.008179127623039868
20230727 12:07:36,3244.0,331.90106661971834,1436.6478873239437,67337.42957746479,7.19328,23.3582063,23.8,51.7,26.4,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50527777778,mp,0.3741360814144749+/-0,2.54454152984721+/-0,0.02962398537155323+/-0,0.8123314223903064,29.0,1167.0939943110136+/-0,148.93507333217178,5.1356921838679925,0.1276118924937958,3.2315685730809363,0.047744213399514,0.3247137601528608,0.00378037283647243,0.27808531288985455,1.0619239683798853,0.011959500459512298
20230727 12:07:40,3248.0,328.92620661971836,1631.6478873239437,82862.42957746479,7.2720199999999995,23.3734011,23.6,51.9,26.4,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.505324074074,mp,0.370763664984838+/-0,2.889770762079063+/-0,0.0364539516440894+/-0,0.832229647614037,29.0,1167.034188711324+/-0,149.74416397199076,5.1635918611031295,0.1283117199311384,3.74481545280549,0.04757332354217696,0.37079145668908114,0.004677469233739661,0.3256586364320315,1.4327154250689664,0.016636969693251957
20230727 12:07:44,3252.0,330.84648661971835,1783.6478873239437,116477.42957746479,7.26948,23.3961933,23.7,52.0,26.4,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50537037037,mp,0.37289953035398377+/-0,3.1587313650917013+/-0,0.05124231339940684+/-0,0.8435339953150741,29.0,1166.9444918032643+/-0,149.71225638237723,5.162491599392318,0.1282942397294569,4.257992411723317,0.04784086174223588,0.4052470389940293,0.006574093639555462,0.3734994981742674,1.8379624640629957,0.023211063332807418
