time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4,datenumbers,phase
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda,date,text
20230727 11:29:00,928.0,-0.024053380281690184,36.64788732394368,647.4295774647908,0.3037,21.2233369,21.2,50.9,23.0,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.47847222222,hp
20230727 11:29:04,932.0,-0.008313380281690153,32.64788732394368,782.4295774647908,0.2927,21.230934299999998,21.2,50.9,23.0,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.478518518517,hp
20230727 11:29:08,936.0,0.054646619718309836,32.64788732394368,647.4295774647908,0.2874,21.234733,21.2,50.9,23.0,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.478564814814,hp
20230727 11:29:12,940.0,0.07038661971830984,29.647887323943678,1052.4295774647908,0.2779,21.2385317,21.2,50.8,23.0,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.47861111111,hp
20230727 11:29:16,944.0,0.03890661971830983,37.64788732394368,647.4295774647908,0.2836,21.2423304,21.2,50.8,23.0,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.478657407406,hp
20230727 11:29:20,948.0,0.08612661971830984,29.647887323943678,512.4295774647908,0.2892,21.2461291,21.2,50.8,23.0,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.478703703702,hp
20230727 11:29:24,952.0,0.07038661971830984,25.647887323943678,647.4295774647908,0.2857,21.2461291,21.2,50.7,23.0,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.47875,hp
20230727 11:29:28,956.0,0.054646619718309836,39.64788732394368,647.4295774647908,0.2958,21.2423304,21.2,50.7,23.0,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.478796296295,hp
20230727 11:29:32,960.0,0.054646619718309836,32.64788732394368,647.4295774647908,0.2826,21.2499278,21.2,50.7,23.0,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.47884259259,hp
20230727 11:29:36,964.0,0.10186661971830985,40.64788732394368,377.4295774647908,0.282,21.2537265,21.2,50.8,23.0,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.47888888889,hp
20230727 11:29:40,968.0,0.054646619718309836,43.64788732394368,782.4295774647908,0.2722,21.2613239,21.2,50.9,23.0,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.478935185187,hp
20230727 11:29:44,972.0,4.7136866197183105,61.64788732394368,2537.429577464791,0.2878,21.2765187,21.2,51.3,23.0,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.478981481483,hp
20230727 11:29:48,976.0,65.3126866197183,57.64788732394368,4832.429577464791,0.2949,21.3069083,21.2,52.5,23.1,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.47902777778,hp
20230727 11:29:52,980.0,137.16578661971832,118.64788732394368,7532.429577464791,0.2865,21.3372979,21.2,54.0,23.1,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.479074074075,hp
