time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4,datenumbers,phase
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda,date,text
20230727 12:07:12,3220.0,80.40734661971831,76.64788732394368,10637.42957746479,7.89686,23.2670375,22.3,47.9,26.4,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.505,mp
20230727 12:07:16,3224.0,193.05852661971832,130.64788732394368,43172.42957746479,7.238999999999999,23.2784336,22.3,49.8,26.4,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.505046296297,mp
20230727 12:07:20,3228.0,285.27918661971836,320.6478873239437,9962.42957746479,7.44982,23.2936284,22.2,51.1,26.4,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.505092592593,mp
20230727 12:07:24,3232.0,338.18132661971833,604.6478873239437,15362.42957746479,7.44474,23.3126219,22.6,51.5,26.4,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50513888889,mp
20230727 12:07:28,3236.0,342.06910661971835,892.6478873239437,30617.42957746479,7.41934,23.324018,22.7,51.5,26.4,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.505185185186,mp
20230727 12:07:32,3240.0,336.19808661971837,1183.6478873239437,33857.42957746479,7.41934,23.3430115,22.8,51.6,26.4,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.505231481482,mp
20230727 12:07:36,3244.0,331.90106661971834,1436.6478873239437,67337.42957746479,7.19328,23.3582063,23.8,51.7,26.4,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50527777778,mp
20230727 12:07:40,3248.0,328.92620661971836,1631.6478873239437,82862.42957746479,7.2720199999999995,23.3734011,23.6,51.9,26.4,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.505324074074,mp
20230727 12:07:44,3252.0,330.84648661971835,1783.6478873239437,116477.42957746479,7.26948,23.3961933,23.7,52.0,26.4,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50537037037,mp
