time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4,datenumbers,phase
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda,date,text
20230727 11:17:36,244.0,-0.008313380281690153,40.64788732394368,-162.57042253520922,0.289,20.9954149,21.9,53.0,21.6,1533.5424,1.2845056,3.9,3.7,3.4,3.1,19565.470555555556,prebkg
20230727 11:17:40,248.0,-0.024053380281690184,36.64788732394368,-702.5704225352092,0.2774,20.9954149,21.9,53.0,21.6,1533.5424,1.2845056,3.9,3.7,3.5,3.0,19565.470601851852,prebkg
20230727 11:17:44,252.0,0.007426619718309824,29.647887323943678,-972.5704225352092,0.285,20.9954149,21.9,53.0,21.6,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.470648148148,prebkg
20230727 11:17:48,256.0,-0.08701338028169014,23.647887323943678,-432.5704225352092,0.3,20.9992136,21.9,52.9,21.6,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.470694444444,prebkg
20230727 11:17:52,260.0,-0.008313380281690153,29.647887323943678,-297.5704225352092,0.2939,21.006811,21.9,52.9,21.6,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.47074074074,prebkg
20230727 11:17:56,264.0,0.007426619718309824,30.647887323943678,-567.5704225352092,0.2964,21.003012299999998,21.9,52.9,21.6,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.470787037037,prebkg
20230727 11:18:00,268.0,-0.03979338028169016,29.647887323943678,107.42957746479078,0.2794,21.003012299999998,21.9,52.8,21.6,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.470833333333,prebkg
20230727 11:18:04,272.0,0.054646619718309836,27.647887323943678,-702.5704225352092,0.2759,21.006811,21.9,52.8,21.6,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.47087962963,prebkg
20230727 11:18:08,276.0,0.007426619718309824,20.647887323943678,-567.5704225352092,0.2841,21.006811,22.0,52.8,21.7,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.470925925925,prebkg
20230727 11:18:12,280.0,0.023166619718309855,15.647887323943678,-297.5704225352092,0.2824,21.0106097,21.9,52.8,21.7,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.47097222222,prebkg
20230727 11:18:16,284.0,-0.03979338028169016,20.647887323943678,-162.57042253520922,0.2747,21.0144084,21.9,52.8,21.7,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.471018518518,prebkg
20230727 11:18:20,288.0,-0.008313380281690153,27.647887323943678,-702.5704225352092,0.2923,21.018207099999998,21.9,52.7,21.7,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.471064814814,prebkg
20230727 11:18:24,292.0,0.007426619718309824,19.647887323943678,-567.5704225352092,0.2899,21.018207099999998,22.0,52.7,21.7,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.47111111111,prebkg
20230727 11:18:28,296.0,0.023166619718309855,14.647887323943678,-162.57042253520922,0.3083,21.0220058,21.9,52.7,21.7,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.471157407406,prebkg
20230727 11:18:32,300.0,-0.024053380281690184,19.647887323943678,-567.5704225352092,0.3047,21.018207099999998,21.9,52.7,21.7,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.471203703702,prebkg
20230727 11:18:36,304.0,-0.05553338028169019,15.647887323943678,-1242.5704225352092,0.3012,21.0258045,22.0,52.7,21.7,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.47125,prebkg
20230727 11:18:40,308.0,0.007426619718309824,20.647887323943678,-567.5704225352092,0.3054,21.0220058,21.9,52.7,21.7,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.471296296295,prebkg
20230727 11:18:44,312.0,-0.03979338028169016,10.647887323943678,-297.5704225352092,0.3034,21.0220058,22.0,52.7,21.7,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.47134259259,prebkg
20230727 11:18:48,316.0,-0.008313380281690153,19.647887323943678,-702.5704225352092,0.306,21.0258045,21.9,52.7,21.7,1533.5424,1.2845056,3.9,3.7,3.4,3.1,19565.471388888887,prebkg
20230727 11:18:52,320.0,0.007426619718309824,20.647887323943678,-162.57042253520922,0.2989,21.0296032,21.9,52.7,21.7,1533.5424,1.2845056,3.9,3.7,3.5,3.0,19565.471435185184,prebkg
20230727 11:18:56,324.0,-0.008313380281690153,15.647887323943678,-162.57042253520922,0.2891,21.0296032,21.9,52.6,21.8,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.47148148148,prebkg
20230727 11:19:00,328.0,-0.05553338028169019,30.647887323943678,107.42957746479078,0.2671,21.0258045,21.9,52.7,21.8,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.47152777778,prebkg
20230727 11:19:04,332.0,-0.024053380281690184,28.647887323943678,-432.5704225352092,0.2892,21.0296032,21.9,52.6,21.8,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.471574074076,prebkg
20230727 11:19:08,336.0,0.007426619718309824,28.647887323943678,-432.5704225352092,0.3047,21.0372006,21.9,52.6,21.8,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.471620370372,prebkg
20230727 11:19:12,340.0,-0.008313380281690153,25.647887323943678,-162.57042253520922,0.2762,21.0334019,21.9,52.6,21.8,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.471666666668,prebkg
20230727 11:19:16,344.0,0.03890661971830983,14.647887323943678,-297.5704225352092,0.3398,21.0334019,21.9,52.6,21.8,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.471712962964,prebkg
20230727 11:19:20,348.0,0.023166619718309855,14.647887323943678,-27.570422535209218,0.3316,21.0334019,21.9,52.6,21.8,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.47175925926,prebkg
20230727 11:19:24,352.0,0.007426619718309824,18.647887323943678,-297.5704225352092,0.3404,21.0372006,21.9,52.6,21.8,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.471805555557,prebkg
20230727 11:19:28,356.0,-0.024053380281690184,24.647887323943678,-297.5704225352092,0.3398,21.0409993,21.9,52.5,21.8,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.471851851853,prebkg
20230727 11:19:32,360.0,0.007426619718309824,28.647887323943678,-297.5704225352092,0.3155,21.0485967,21.9,52.5,21.8,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.47189814815,prebkg
20230727 11:19:36,364.0,0.007426619718309824,31.647887323943678,242.42957746479078,0.3443,21.0485967,21.9,52.5,21.8,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.471944444445,prebkg
20230727 11:19:40,368.0,-0.008313380281690153,24.647887323943678,107.42957746479078,0.313,21.0485967,21.9,52.4,21.9,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.47199074074,prebkg
20230727 11:19:44,372.0,0.03890661971830983,26.647887323943678,-162.57042253520922,0.2879,21.052395399999998,21.9,52.4,21.9,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.472037037038,prebkg
20230727 11:19:48,376.0,0.054646619718309836,18.647887323943678,-432.5704225352092,0.3004,21.0485967,21.9,52.4,21.9,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.472083333334,prebkg
20230727 11:19:52,380.0,0.03890661971830983,26.647887323943678,-27.570422535209218,0.2968,21.0561941,21.9,52.3,21.9,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.47212962963,prebkg
20230727 11:19:56,384.0,0.007426619718309824,22.647887323943678,-702.5704225352092,0.2954,21.0561941,21.9,52.3,21.9,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.472175925926,prebkg
20230727 11:20:00,388.0,-0.008313380281690153,14.647887323943678,-162.57042253520922,0.2915,21.0561941,21.9,52.3,21.9,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.472222222223,prebkg
20230727 11:20:04,392.0,-0.008313380281690153,13.647887323943678,-27.570422535209218,0.2815,21.0561941,21.9,52.2,21.9,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.47226851852,prebkg
20230727 11:20:08,396.0,-0.024053380281690184,9.647887323943678,-432.5704225352092,0.2992,21.0561941,21.9,52.2,21.9,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.472314814815,prebkg
20230727 11:20:12,400.0,0.007426619718309824,6.647887323943678,-162.57042253520922,0.2951,21.0599928,21.9,52.1,21.9,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.47236111111,prebkg
20230727 11:20:16,404.0,0.007426619718309824,14.647887323943678,-297.5704225352092,0.2909,21.0599928,21.9,52.1,21.9,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.472407407407,prebkg
20230727 11:20:20,408.0,-0.024053380281690184,1.647887323943678,-432.5704225352092,0.3114,21.0599928,21.9,52.1,21.9,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.472453703704,prebkg
20230727 11:20:24,412.0,-0.024053380281690184,3.647887323943678,-297.5704225352092,0.3204,21.0599928,21.9,52.1,21.9,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.4725,prebkg
20230727 11:20:28,416.0,-0.024053380281690184,5.647887323943678,-567.5704225352092,0.3201,21.0637915,21.9,52.0,21.9,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.472546296296,prebkg
20230727 11:20:32,420.0,-0.008313380281690153,-4.352112676056322,107.42957746479078,0.2817,21.0599928,21.9,52.0,22.0,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.472592592592,prebkg
20230727 11:20:36,424.0,-0.008313380281690153,-11.352112676056322,-567.5704225352092,0.2863,21.0637915,21.9,51.9,22.0,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.47263888889,prebkg
20230727 11:20:40,428.0,-0.024053380281690184,-11.352112676056322,242.42957746479078,0.2867,21.0713889,21.9,52.0,22.0,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.472685185185,prebkg
20230727 11:20:44,432.0,-0.008313380281690153,-11.352112676056322,242.42957746479078,0.2852,21.0713889,21.9,51.9,22.0,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.47273148148,prebkg
20230727 11:20:48,436.0,-0.024053380281690184,-20.352112676056322,-567.5704225352092,0.2803,21.0713889,21.9,52.0,22.0,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.472777777777,prebkg
20230727 11:20:52,440.0,-0.008313380281690153,-19.352112676056322,-702.5704225352092,0.2893,21.0751876,21.9,52.0,22.0,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.472824074073,prebkg
20230727 11:20:56,444.0,-0.024053380281690184,-24.352112676056322,-432.5704225352092,0.2903,21.0751876,21.9,52.0,22.0,1533.5424,1.2845056,3.8,3.7,3.4,3.0,19565.47287037037,prebkg
20230727 11:21:00,448.0,-0.03979338028169016,-32.35211267605632,-27.570422535209218,0.2817,21.0751876,21.9,52.0,22.0,1533.5424,1.2845056,3.9,3.7,3.5,3.0,19565.472916666666,prebkg
20230727 11:21:04,452.0,0.023166619718309855,-16.352112676056322,-162.57042253520922,0.2949,21.0751876,21.9,51.9,22.0,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.472962962962,prebkg
20230727 11:21:08,456.0,0.007426619718309824,-25.352112676056322,-297.5704225352092,0.2857,21.0789863,21.9,51.9,22.0,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.473009259258,prebkg
20230727 11:21:12,460.0,-0.008313380281690153,-15.352112676056322,107.42957746479078,0.2916,21.082785,21.9,51.9,22.0,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.473055555554,prebkg
20230727 11:21:16,464.0,0.007426619718309824,-15.352112676056322,-162.57042253520922,0.2925,21.0789863,21.9,51.9,22.0,1533.5424,1.2845056,3.9,3.7,3.5,3.0,19565.47310185185,prebkg
20230727 11:21:20,468.0,-0.008313380281690153,-25.352112676056322,-162.57042253520922,0.2922,21.0751876,21.9,51.9,22.1,1533.5424,1.2845056,3.9,3.7,3.4,3.0,19565.473148148147,prebkg
20230727 11:21:24,472.0,-0.05553338028169019,-15.352112676056322,-162.57042253520922,0.3119,21.082785,21.9,51.9,22.1,1533.5424,1.2845056,3.9,3.7,3.5,3.0,19565.473194444443,prebkg
20230727 11:21:28,476.0,0.054646619718309836,-20.352112676056322,107.42957746479078,0.3001,21.0751876,21.9,51.9,22.1,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.47324074074,prebkg
20230727 11:21:32,480.0,-0.03979338028169016,-20.352112676056322,-702.5704225352092,0.2926,21.0789863,21.9,51.9,22.1,1533.5424,1.2845056,3.9,3.7,3.4,3.1,19565.473287037035,prebkg
20230727 11:21:36,484.0,-0.024053380281690184,-18.352112676056322,-162.57042253520922,0.2994,21.0751876,21.9,51.8,22.1,1533.5424,1.2845056,3.9,3.7,3.4,3.1,19565.47333333333,prebkg
20230727 11:21:40,488.0,-0.008313380281690153,-20.352112676056322,-162.57042253520922,0.2993,21.0789863,21.9,51.8,22.1,1533.5424,1.2845056,3.9,3.7,3.5,3.0,19565.47337962963,prebkg
20230727 11:21:44,492.0,-0.008313380281690153,-31.352112676056322,512.4295774647908,0.2851,21.0751876,21.9,51.8,22.1,1533.5424,1.2845056,3.9,3.7,3.5,3.0,19565.473425925928,prebkg
20230727 11:21:48,496.0,0.023166619718309855,-38.35211267605632,-27.570422535209218,0.2709,21.082785,21.9,51.8,22.1,1533.5424,1.2845056,3.9,3.7,3.4,3.1,19565.473472222224,prebkg
20230727 11:21:52,500.0,0.03890661971830983,-30.352112676056322,-27.570422535209218,0.2925,21.0789863,21.9,51.8,22.1,1533.5424,1.2845056,3.9,3.7,3.5,3.0,19565.47351851852,prebkg
20230727 11:21:56,504.0,-0.024053380281690184,-28.352112676056322,242.42957746479078,0.2892,21.0789863,21.9,51.8,22.1,1533.5424,1.2845056,3.9,3.7,3.4,3.1,19565.473564814816,prebkg
20230727 11:22:00,508.0,0.023166619718309855,-20.352112676056322,-27.570422535209218,0.2853,21.0789863,21.9,51.7,22.1,1533.5424,1.2845056,3.9,3.7,3.5,3.0,19565.473611111112,prebkg
20230727 11:22:04,512.0,0.007426619718309824,-17.352112676056322,-27.570422535209218,0.2916,21.0789863,21.9,51.7,22.1,1533.5424,1.2845056,3.9,3.7,3.5,3.0,19565.47365740741,prebkg
20230727 11:22:08,516.0,0.023166619718309855,-31.352112676056322,-297.5704225352092,0.2848,21.0789863,21.9,51.7,22.2,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.473703703705,prebkg
20230727 11:22:12,520.0,0.007426619718309824,-38.35211267605632,107.42957746479078,0.2785,21.0789863,21.9,51.7,22.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.47375,prebkg
20230727 11:22:16,524.0,0.03890661971830983,-30.352112676056322,-162.57042253520922,0.2951,21.0751876,21.9,51.6,22.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.473796296297,prebkg
20230727 11:22:20,528.0,0.007426619718309824,-26.352112676056322,-27.570422535209218,0.2821,21.0751876,21.9,51.6,22.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9,19565.473842592593,prebkg
20230727 11:22:24,532.0,0.007426619718309824,-17.352112676056322,-27.570422535209218,0.2966,21.0789863,22.0,51.6,22.2,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.47388888889,prebkg
