time,#units:,,
seconds,s,11160.0,
CO,ppm,62.13875435808071,
CO2,ppm,934.3829657778934,
PM,Mm^-1,173.1619325273722,
Flow,mmH2O,6.937768479526923,
FLUEtemp,degC,26.445763820446196,
H2Otemp,degC,65535.0,
RH,%,56.88084401039333,
CO_ECtemp,degC,23.22788280620016,
datenumbers,date,20406.5375,
phase,text,,
COmass,gm^-3,0.0669438381044038,
CO2mass,gm^-3,1.5764041853121704,
PMmass,gm^-3,0.0013522362094925578,
Cmass,gm^-3,0.4588927911066593,
MCE,mol/mol,0.8967607579014932,
MW_duct,g/mol,29.0,
density,gm^-3,1113.688516466941,
Flow_smooth,mmH2O,6.937779165368923,
mass_flow,g/sec,586.4387683521657,
vol_flow,m^3/sec,0.5265753486825047,
mole_flow,mol/sec,20.22202649490226,
totvol,m^3,2937.324369580232,
CO_ER,g/sec,0.01908448270149405,
CO2_ER,g/sec,0.8301270743245659,
PM_ER,g/sec,0.0007094641886889406,
C_ER,g/sec,0.18687946604748887,
CO_ER_min,g/min,1.1450689620896475,
CO2_ER_min,g/min,49.807624459473956,
PM_ER_min,g/min,0.027869009490022457,
CO_ER_hr,g/hr,68.70413772537859,
CO2_ER_hr,g/hr,2988.457467568437,
PM_ER_hr,g/hr,1.6721405694013607,
CO_EF,g/kg_C,141.57931788867575,
CO2_EF,g/kg_C,3286.131636573248,
PM_EF,g/kg_C,1.7782258614220248,
firepower_carbon,W,9048.049839480256,
CO_totmass,g,151.66064300422187,
CO2_totmass,g,5811.614698452436,
PM_totmass,g,6.665300662990721,
ID,NAN,4001.0,
ID,NAN,4001.0,
PWM1,10_bit_PWM,80.0,
PWM2,10_bit_PWM,1000.0,
PWM3,14_bit_PWM,955.4908162351044,
Flow1,SLPM,999.0,
Flow2,SLPM,999.0,
Flow3,SLPM,999.0,
Flow4,SLPM,999.0,
Flow5,SLPM,999.0,
Flow6,SLPM,999.0,
deltaP1,Pa,0.01638742048203566,
deltaP2,Pa,-16.667845175163517,
Lambda,Lambda,2.9270235641967566,
Scale1,Scale,42.0,
Scale2,Scale,1.0,
mode1,mode,1.0,
mode2,mode,2.0,
state_press,state,1.0,
Kp1,P,2.0,
Ki1,I,1.0,
Kd1,D,0.0,
Kp2,P,2.0,
Ki2,I,1.0,
Kd2,D,0.0,
press_offset,offset,0.0,
Tp,P,10.8,
Ti,I,0.58,
Td,D,0.0,
Setpointt,degC,405.80548337962546,
temp_control,val,0.0,
temp_auto,temp_auto,0.2474688647970612,
autoRoutineStage,stage,1.2527551294686856,
autoTimeCounter,seconds,32.345667950900456,
PrimaryFlow,SLPM,5994.0,
SecondaryFlow,SLPM,0.0,
TotalFlow,SLPM,0.0,
SenO2Percent,%,12.418627042723003,
