average,units,VG2020 Dry Doug Fir,VG2020 Auto Damper LP,VG2020 Fan + AD,2469E ARC dev natural draft,USStove Auto-Control,Princess Baseline,princess zones updraft gasifier ignitor,princess chimney control,Dauntless insulated 2ft insulated chimney,sirocco baseline dry fir,Sirocco 12 mm holes,average,Percent Change,Percent Change High,Percent Change Low
Emissions Outputs Cut Periods,units,average,average,average,average,average,average,average,average,average,average,average,nan,nan,nan,nan
test_code,,1B,1R1,1R2,2B,2R,3B,3R1,3R2,4R,5B,5R,,,,
time,#units:,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
seconds,s,10937.333,10608.75,8380.333,6991,8294,34267,8036.5,13035.25,12435.5,15688.75,17268.375,13267.526,nan,nan,nan
CO,ppm,72.677,64.335,55.805,144.76,189.939,414.267,243.115,85.426,98.44,59.388,27.538,132.335,nan,nan,nan
CO2,ppm,821.716,980.575,1054.465,1621.76,2922.055,1784.643,5915.534,2371.15,2255.394,548.817,462.392,1885.318,nan,nan,nan
CObkg,,1.812,,,0.963,,,,,,1.955,1.583,1.578,nan,nan,nan
COhi,,3894.507,,,3058.607,,,,,,4452.52,1686.144,3272.945,nan,nan,nan
PM,Mm^-1,362.456,454.664,100.461,1880.126,35.372,3482.995,332.369,1.266,91.99,209.905,86.009,639.783,nan,nan,nan
CO2bkg,,-204.397,,,-204.987,,,,,,-204.018,-204.195,-204.399,nan,nan,nan
CO2hi,,67676.12,,,55674.545,,,,,,118566.101,86474.022,82097.697,nan,nan,nan
O2,,11.618,,,13.401,,,,,,8.031,10.082,10.783,nan,nan,nan
Flow,mmH2O,6.329,6.919,6.048,5.817,10.964,12.401,11.82,12.119,16.424,6.559,6.989,9.308,nan,nan,nan
dP2,mmH2O,0.14,,0.124,0.317,1.049,0.822,0.276,0.138,0.195,0.147,0.158,0.337,nan,nan,nan
DilFlow,,971.586,,,1448.315,,,,,,2053.186,2007.092,1620.045,nan,nan,nan
FiltFlow,,1078.041,,,507.774,,,,,,5.373,7.005,399.548,nan,nan,nan
SampFlow,,1925.754,,,2087.73,,,,,,2352.795,2441.869,2202.037,nan,nan,nan
USampFlow,,1015.49,,,713.018,,,,,,883.675,743.747,838.982,nan,nan,nan
FLUEtemp,degC,31.058,23.255,39.16,42.438,31.305,31.018,46.875,26.489,30.854,26.5,25.988,32.267,nan,nan,nan
AmbPres,,985.728,,,,nan,989.996,nan,nan,nan,985.596,2291.739,1313.265,nan,nan,nan
H2Otemp,degC,21898.944,65535,168.555,65535,23.99,26.047,22.704,13.846,72.982,16452.675,65535,21389.522,nan,nan,nan
RH,%,45.163,51.602,38.442,39.24,55.398,43.322,65.659,64.622,55.766,52.135,51.583,51.176,nan,nan,nan
TCnoz,,61.722,,,185.265,,,,,,218.662,19.471,121.28,nan,nan,nan
TC4,,18.623,,,291.108,329.944,nan,nan,360.39,nan,580.549,14.568,265.864,nan,nan,nan
TC5,,18.39,,,16.53,361.87,28.963,nan,nan,nan,377.915,14.453,136.353,nan,nan,nan
TC6,,18.282,,,16.29,299.928,27.248,-40.979,-47.698,-44.456,14.44,14.389,28.605,nan,nan,nan
TC7,,18.765,,,16.564,nan,26.891,nan,nan,nan,14.94,14.666,18.365,nan,nan,nan
TC8,,18.67,,,16.624,nan,29.881,nan,nan,nan,14.94,14.621,18.947,nan,nan,nan
COtemp,,29.527,,,36.433,25.641,31.461,25.366,20.401,23.3,21.788,25.172,26.565,nan,nan,nan
BattV,,12.168,,,12.174,,,,,,12.16,12.163,12.166,nan,nan,nan
StakVel,,35.712,,,102.384,,,,,,12.149,15.117,41.34,nan,nan,nan
NozVel,,8281.161,,,10968.212,,,,,,4.319,808.724,5015.604,nan,nan,nan
CO_ECtemp,degC,32.561,21.949,34.811,,,,,,22.792,26.255,,27.674,nan,nan,nan
DilRat,,0.497,,,1.271,,,,,,6.737,5.591,3.524,nan,nan,nan
datenumbers,date,20325.032,20409.633,20671.005,20252.136,19871.618,19571.868,19962.358,20173.113,20533.124,20481.212,20240.262,20226.487,nan,nan,nan
phase,text,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
COmass,gm^-3,0.08,0.07,0.06,0.151,0.209,0.451,0.254,0.095,0.108,0.066,0.03,0.143,nan,nan,nan
CO2mass,gm^-3,1.407,1.68,1.759,2.655,,3.053,,,1.612,0.954,0.776,1.737,nan,nan,nan
PMmass,gm^-3,0.003,0.003,0.001,0.018,0.001,0.029,0.007,0.004,0.001,0.001,0.001,0.006,nan,nan,nan
Cmass,gm^-3,0.418,0.489,0.506,0.789,1.344,1.026,2.463,1.065,1.011,0.289,0.225,0.875,nan,nan,nan
MCE,mol/mol,0.886,0.914,0.932,0.907,0.934,0.813,0.955,0.961,0.952,0.909,0.962,0.92,nan,nan,nan
MW_duct,g/mol,29,29,29,29,29,29,29,29,29,29,29,29,nan,nan,nan
density,gm^-3,1133.945,1130.745,1102.419,1077.786,1136.645,1135.625,1080.366,1149.059,1132.804,1147.545,1111.757,1121.7,nan,nan,nan
Flow_smooth,mmH2O,6.329,6.919,6.048,5.817,,,,12.123,16.424,6.558,6.989,8.401,nan,nan,nan
DuctFlow,,10.438,,,10.186,,,,,,11.146,9.98,10.438,nan,nan,nan
vol_flow_ASTM,,0.743,,,0.725,,,,,,0.793,0.71,0.743,nan,nan,nan
mass_flow_ASTM,,848.834,,,798.486,,,,,,900.895,788.036,834.063,nan,nan,nan
mole_flow_ASTM,,29.27,,,27.534,,,,,,31.065,27.174,28.761,nan,nan,nan
totvol_ASTM,,4544.414,,,2515.977,,,,,,2371.603,6184.206,3904.05,nan,nan,nan
CO_ER_ASTM,,0.066,,,0.115,,,,,,0.049,0.021,0.063,nan,nan,nan
CO2_ER_ASTM,,1.024,,,2.22,,,,,,0.944,0.533,1.18,nan,nan,nan
PM_ER_ASTM,,0.002,,,0.01,,,,,,0.001,0,0.003,nan,nan,nan
C_ER_ASTM,,0.308,,,0.655,,,,,,0.278,0.155,0.349,nan,nan,nan
CO_ER_min_ASTM,,3.967,,,6.89,,,,,,2.921,1.255,3.758,nan,nan,nan
CO2_ER_min_ASTM,,61.449,,,133.174,,,,,,56.618,32.008,70.812,nan,nan,nan
PM_ER_min_ASTM,,0.123,,,0.581,,,,,,0.047,0.03,0.195,nan,nan,nan
CO_ER_hr_ASTM,,238.039,,,413.375,,,,,,175.247,75.329,225.498,nan,nan,nan
CO2_ER_hr_ASTM,,3686.94,,,7990.413,,,,,,3397.078,1920.493,4248.731,nan,nan,nan
PM_ER_hr_ASTM,,7.356,,,34.883,,,,,,2.805,1.775,11.705,nan,nan,nan
CO_EF_ASTM,,304.8,,,190.543,,,,,,206.185,89.682,197.803,nan,nan,nan
CO2_EF_ASTM,,3185.537,,,3365.06,,,,,,3340.484,3523.536,3353.654,nan,nan,nan
PM_EF_ASTM,,9.289,,,19.068,,,,,,3.404,2.11,8.468,nan,nan,nan
mass_flow,g/sec,563.859,590.093,544.744,528.185,181.439,192.597,183.634,191.804,292.364,578.465,587.213,403.127,nan,nan,nan
vol_flow,m^3/sec,0.497,0.522,0.494,0.49,0.16,0.17,0.17,0.167,0.257,0.504,0.531,0.36,nan,nan,nan
