All Outputs,units,11.14.25,11.17.25,11.18.25,11.19.25,11.20.25,average,N,stdev,Interval,High Tier Estimate,Low Tier Estimate,COV,CI
variable_name,units,value,value,value,value,value,nan,0,nan,nan,nan,nan,nan,nan-nan
test_name,,LP Algorithm,LP Algorithm,LP algortihm,LP Algo,small load algo,nan,0,nan,nan,nan,nan,nan,nan-nan
test_number,,1,2,3,,,2.0,3,1.0,1.686,3.686,0.314,50.0,0.314-3.686
date,,11.14.25,11.17.25,11.18.25,11.19.25,11.20.25,nan,0,nan,nan,nan,nan,nan,nan-nan
name_of_tester,,,,,,,nan,0,nan,nan,nan,nan,nan,nan-nan
location,,Osprey,osprey,osprey,Osprey,OSprey,nan,0,nan,nan,nan,nan,nan,nan-nan
stove_type/model,,VG2020,VG2020,VG2020,VG2020,VG2020,nan,0,nan,nan,nan,nan,nan,nan-nan
general_comments,,"scale not zeroed before test, datastream shows true weight+0.6lb",,,,,nan,0,nan,nan,nan,nan,nan,nan-nan
high_power_comments,,,,,,,nan,0,nan,nan,nan,nan,nan,nan-nan
medium_power_comments,,,,,,,nan,0,nan,nan,nan,nan,nan,nan-nan
low_power_comments,,,,,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_air_temp,C,14,11.17.25,12,11,12,12.25,4,1.258,1.48,13.73,10.77,10.269,10.77-13.73
initial_RH,%,74,72,69,64,61,68.0,5,5.431,5.178,73.178,62.822,7.987,62.822-73.178
initial_pressure,in Hg,29,29.29,29.08,29.13,29.08,29.116,5,0.108,0.103,29.219,29.013,0.371,29.013-29.219
initial_wind_velocity,m/s,,,,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_air_temp,C,,,,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_RH,%,,,,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_pressure,in Hg,,,,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_wind_velocity,m/s,,,,,,nan,0,nan,nan,nan,nan,nan,nan-nan
pot1_dry_mass,lb,,,,,,nan,0,nan,nan,nan,nan,nan,nan-nan
